X,Y
20.000000,89.935
20.299999,89.998
20.600000,90.059
20.900000,90.117
21.200001,90.173
21.400000,90.209
21.799999,90.279
22.000000,90.313
22.400000,90.379
22.700001,90.426
23.000000,90.472
23.299999,90.516
23.600000,90.558
24.000000,90.613
24.299999,90.652
24.700001,90.701
25.000000,90.736
25.400000,90.781
25.799999,90.824
26.200001,90.865
26.500000,90.895
26.900000,90.934
27.200001,90.961
27.600000,90.996
28.000000,91.030
28.500000,91.070
29.000000,91.108
29.500000,91.143
30.000000,91.177
30.400000,91.203
30.700001,91.221
31.100000,91.245
31.500000,91.267
32.000000,91.293
32.500000,91.318
33.000000,91.340
33.500000,91.362
34.000000,91.383
34.500000,91.405
35.000000,91.426
35.500000,91.443
36.000000,91.457
36.500000,91.471
37.000000,91.486
37.500000,91.501
38.200001,91.518
38.700001,91.528
39.500000,91.546
40.000000,91.556
40.599998,91.566
41.200001,91.574
41.799999,91.581
42.500000,91.588
43.099998,91.594
43.700001,91.598
44.400002,91.602
45.000000,91.606
45.500000,91.609
46.200001,91.613
46.799999,91.615
47.500000,91.616
48.200001,91.616
48.700001,91.612
49.400002,91.603
50.000000,91.600
50.799999,91.604
51.500000,91.605
52.200001,91.600
53.000000,91.594
53.799999,91.589
54.500000,91.582
55.200001,91.575
56.000000,91.565
57.000000,91.555
58.000000,91.544
59.000000,91.529
60.000000,91.515
60.799999,91.502
61.500000,91.491
62.200001,91.480
63.000000,91.466
64.000000,91.449
65.000000,91.433
66.000000,91.413
67.000000,91.393
68.000000,91.373
69.000000,91.351
70.000000,91.329
71.000000,91.307
72.000000,91.286
73.000000,91.262
74.000000,91.238
75.000000,91.217
76.199997,91.183
77.500000,91.151
78.800003,91.119
80.000000,91.091
81.199997,91.059
82.500000,91.027
83.800003,90.991
85.000000,90.961
86.199997,90.926
87.500000,90.890
88.500000,90.863
90.000000,90.820
91.199997,90.784
92.500000,90.747
93.800003,90.709
95.000000,90.675
96.199997,90.638
97.500000,90.601
98.800003,90.567
100.000000,90.523
101.500000,90.476
103.000000,90.434
104.400002,90.394
106.000000,90.341
107.500000,90.299
109.000000,90.249
110.599998,90.205
112.000000,90.158
113.800003,90.102
115.000000,90.066
117.199997,89.996
118.000000,89.974
120.599998,89.890
122.000000,89.851
124.099998,89.782
125.000000,89.754
126.500000,89.704
128.000000,89.660
131.500000,89.552
132.000000,89.539
134.000000,89.473
136.000000,89.417
138.000000,89.348
140.000000,89.289
143.000000,89.195
145.000000,89.134
147.500000,89.057
150.000000,88.978
152.500000,88.902
155.000000,88.826
157.500000,88.751
160.000000,88.678
162.500000,88.604
165.000000,88.531
167.500000,88.447
170.000000,88.377
172.500000,88.308
175.000000,88.234
177.500000,88.165
180.000000,88.093
182.500000,88.020
185.000000,87.946
187.500000,87.877
190.000000,87.814
192.500000,87.740
195.000000,87.667
197.500000,87.604
200.000000,87.536
203.000000,87.454
206.000000,87.377
209.000000,87.291
212.000000,87.216
214.000000,87.158
218.000000,87.058
220.000000,87.006
224.000000,86.904
227.000000,86.834
230.000000,86.753
233.000000,86.686
236.000000,86.606
240.000000,86.512
243.000000,86.435
247.000000,86.352
250.000000,86.278
254.000000,86.186
258.000000,86.093
262.000000,85.997
265.000000,85.940
269.000000,85.849
272.000000,85.776
276.000000,85.701
280.000000,85.616
285.000000,85.496
290.000000,85.400
295.000000,85.311
300.000000,85.218
304.000000,85.123
307.000000,85.057
311.000000,84.966
315.000000,84.875
320.000000,84.777
325.000000,84.675
330.000000,84.571
335.000000,84.466
340.000000,84.362
345.000000,84.283
350.000000,84.212
355.000000,84.139
360.000000,84.042
365.000000,83.967
370.000000,83.897
375.000000,83.799
382.000000,83.712
387.000000,83.631
395.000000,83.528
400.000000,83.453
406.000000,83.371
412.000000,83.288
418.000000,83.214
425.000000,83.128
431.000000,83.059
437.000000,82.989
444.000000,82.906
450.000000,82.836
455.000000,82.781
462.000000,82.708
468.000000,82.644
475.000000,82.590
482.000000,82.520
487.000000,82.474
494.000000,82.411
500.000000,82.360
508.000000,82.297
515.000000,82.250
522.000000,82.201
530.000000,82.144
538.000000,82.090
545.000000,82.033
552.000000,81.992
560.000000,81.950
570.000000,81.904
580.000000,81.853
590.000000,81.800
600.000000,81.759
608.000000,81.725
615.000000,81.707
622.000000,81.691
630.000000,81.671
640.000000,81.654
650.000000,81.628
660.000000,81.605
670.000000,81.584
680.000000,81.578
690.000000,81.565
700.000000,81.562
710.000000,81.547
720.000000,81.544
730.000000,81.550
740.000000,81.553
750.000000,81.573
762.000000,81.600
775.000000,81.622
788.000000,81.644
800.000000,81.675
812.000000,81.725
825.000000,81.772
838.000000,81.844
850.000000,81.896
862.000000,81.952
875.000000,82.016
885.000000,82.077
900.000000,82.181
912.000000,82.259
925.000000,82.356
938.000000,82.454
950.000000,82.540
962.000000,82.628
975.000000,82.732
988.000000,82.840
1000.000000,82.955
1015.000000,83.083
1030.000000,83.207
1044.000000,83.321
1060.000000,83.450
1075.000000,83.584
1090.000000,83.706
1106.000000,83.848
1120.000000,83.964
1138.000000,84.098
1150.000000,84.179
1172.000000,84.341
1180.000000,84.402
1206.000000,84.599
1220.000000,84.684
1241.000000,84.816
1250.000000,84.871
1265.000000,84.957
1280.000000,85.039
1315.000000,85.249
1320.000000,85.279
1340.000000,85.379
1360.000000,85.483
1380.000000,85.578
1400.000000,85.681
1430.000000,85.825
1450.000000,85.903
1475.000000,86.031
1500.000000,86.175
1525.000000,86.302
1550.000000,86.419
1575.000000,86.506
1600.000000,86.622
1625.000000,86.708
1650.000000,86.800
1675.000000,86.859
1700.000000,86.935
1725.000000,87.006
1750.000000,87.089
1775.000000,87.141
1800.000000,87.197
1825.000000,87.250
1850.000000,87.277
1875.000000,87.301
1900.000000,87.333
1925.000000,87.356
1950.000000,87.368
1975.000000,87.370
2000.000000,87.365
2030.000000,87.343
2060.000000,87.312
2090.000000,87.297
2120.000000,87.266
2140.000000,87.236
2180.000000,87.176
2200.000000,87.142
2240.000000,87.056
2270.000000,86.996
2300.000000,86.943
2330.000000,86.888
2360.000000,86.817
2400.000000,86.733
2430.000000,86.668
2470.000000,86.564
2500.000000,86.513
2540.000000,86.450
2580.000000,86.386
2620.000000,86.326
