X,Y
20.299999,78.926
20.600000,79.066
20.900000,79.215
21.200001,79.356
21.400000,79.444
21.799999,79.610
22.000000,79.688
22.400000,79.834
22.700001,79.938
23.000000,80.036
23.299999,80.129
23.600000,80.218
24.000000,80.332
24.299999,80.413
24.700001,80.516
25.000000,80.592
25.400000,80.689
25.799999,80.784
26.200001,80.877
26.500000,80.946
26.900000,81.037
27.200001,81.105
27.600000,81.196
28.000000,81.287
28.500000,81.399
29.000000,81.508
29.500000,81.610
30.000000,81.703
30.400000,81.772
30.700001,81.819
31.100000,81.880
31.500000,81.936
32.000000,82.005
32.500000,82.073
33.000000,82.142
33.500000,82.211
34.000000,82.279
34.500000,82.347
35.000000,82.413
35.500000,82.477
36.000000,82.539
36.500000,82.599
37.000000,82.657
37.500000,82.714
38.200001,82.790
38.700001,82.843
39.500000,82.925
40.000000,82.975
40.599998,83.032
41.200001,83.087
41.799999,83.140
42.500000,83.200
43.099998,83.249
43.700001,83.297
44.400002,83.350
45.000000,83.394
45.500000,83.429
46.200001,83.476
46.799999,83.514
47.500000,83.557
48.200001,83.598
48.700001,83.626
49.400002,83.666
50.000000,83.700
50.799999,83.743
51.500000,83.779
52.200001,83.813
53.000000,83.851
53.799999,83.889
54.500000,83.922
55.200001,83.955
56.000000,83.992
57.000000,84.036
58.000000,84.077
59.000000,84.113
60.000000,84.144
60.799999,84.166
61.500000,84.183
62.200001,84.200
63.000000,84.219
64.000000,84.244
65.000000,84.270
66.000000,84.296
67.000000,84.322
68.000000,84.347
69.000000,84.368
70.000000,84.386
71.000000,84.401
72.000000,84.416
73.000000,84.432
74.000000,84.451
75.000000,84.470
76.199997,84.492
77.500000,84.510
78.800003,84.522
80.000000,84.531
81.199997,84.540
82.500000,84.549
83.800003,84.560
85.000000,84.574
86.199997,84.590
87.500000,84.607
88.500000,84.619
90.000000,84.638
91.199997,84.652
92.500000,84.663
93.800003,84.673
95.000000,84.683
96.199997,84.696
97.500000,84.709
98.800003,84.719
100.000000,84.725
101.500000,84.731
103.000000,84.737
104.400002,84.747
106.000000,84.758
107.500000,84.762
109.000000,84.762
110.599998,84.763
112.000000,84.765
113.800003,84.762
115.000000,84.760
117.199997,84.761
118.000000,84.764
120.599998,84.768
122.000000,84.765
124.099998,84.761
125.000000,84.760
126.500000,84.757
128.000000,84.749
131.500000,84.737
132.000000,84.738
134.000000,84.743
136.000000,84.745
138.000000,84.744
140.000000,84.737
143.000000,84.718
145.000000,84.712
147.500000,84.710
150.000000,84.706
152.500000,84.701
155.000000,84.696
157.500000,84.691
160.000000,84.685
162.500000,84.676
165.000000,84.665
167.500000,84.651
170.000000,84.638
172.500000,84.627
175.000000,84.615
177.500000,84.598
180.000000,84.582
182.500000,84.573
185.000000,84.564
187.500000,84.552
190.000000,84.538
192.500000,84.524
195.000000,84.509
197.500000,84.495
200.000000,84.484
203.000000,84.473
206.000000,84.459
209.000000,84.439
212.000000,84.419
214.000000,84.407
218.000000,84.380
220.000000,84.365
224.000000,84.335
227.000000,84.314
230.000000,84.296
233.000000,84.275
236.000000,84.249
240.000000,84.213
243.000000,84.192
247.000000,84.164
250.000000,84.137
254.000000,84.098
258.000000,84.059
262.000000,84.023
265.000000,83.994
269.000000,83.949
272.000000,83.915
276.000000,83.876
280.000000,83.844
285.000000,83.815
290.000000,83.806
295.000000,83.813
300.000000,83.823
304.000000,83.829
307.000000,83.830
311.000000,83.827
315.000000,83.821
320.000000,83.815
325.000000,83.803
330.000000,83.785
335.000000,83.765
340.000000,83.744
345.000000,83.723
350.000000,83.702
355.000000,83.682
360.000000,83.662
365.000000,83.636
370.000000,83.609
375.000000,83.586
382.000000,83.556
387.000000,83.533
395.000000,83.498
400.000000,83.475
406.000000,83.449
412.000000,83.424
418.000000,83.400
425.000000,83.370
431.000000,83.344
437.000000,83.320
444.000000,83.294
450.000000,83.272
455.000000,83.255
462.000000,83.230
468.000000,83.208
475.000000,83.182
482.000000,83.157
487.000000,83.140
494.000000,83.117
500.000000,83.099
508.000000,83.075
515.000000,83.056
522.000000,83.037
530.000000,83.017
538.000000,82.997
545.000000,82.982
552.000000,82.967
560.000000,82.951
570.000000,82.931
580.000000,82.913
590.000000,82.897
600.000000,82.885
608.000000,82.878
615.000000,82.872
622.000000,82.868
630.000000,82.863
640.000000,82.859
650.000000,82.860
660.000000,82.864
670.000000,82.870
680.000000,82.880
690.000000,82.894
700.000000,82.913
710.000000,82.939
720.000000,82.974
730.000000,83.014
740.000000,83.040
750.000000,83.022
762.000000,82.960
775.000000,82.936
788.000000,82.974
800.000000,83.031
812.000000,83.093
825.000000,83.155
838.000000,83.189
850.000000,83.155
862.000000,83.023
875.000000,82.881
885.000000,82.905
900.000000,83.127
912.000000,83.323
925.000000,83.505
938.000000,83.663
950.000000,83.797
962.000000,83.923
975.000000,84.057
988.000000,84.191
1000.000000,84.313
1015.000000,84.465
1030.000000,84.617
1044.000000,84.759
1060.000000,84.920
1075.000000,85.069
1090.000000,85.216
1106.000000,85.371
1120.000000,85.505
1138.000000,85.673
1150.000000,85.782
1172.000000,85.979
1180.000000,86.049
1206.000000,86.271
1220.000000,86.385
1241.000000,86.550
1250.000000,86.620
1265.000000,86.733
1280.000000,86.844
1315.000000,87.096
1320.000000,87.131
1340.000000,87.267
1360.000000,87.401
1380.000000,87.533
1400.000000,87.663
1430.000000,87.856
1450.000000,87.985
1475.000000,88.143
1500.000000,88.302
1525.000000,88.462
1550.000000,88.623
1575.000000,88.787
1600.000000,88.949
1625.000000,89.112
1650.000000,89.277
1675.000000,89.443
1700.000000,89.610
1725.000000,89.778
1750.000000,89.947
1775.000000,90.114
1800.000000,90.281
1825.000000,90.447
1850.000000,90.609
1875.000000,90.767
1900.000000,90.919
1925.000000,91.062
1950.000000,91.196
1975.000000,91.318
2000.000000,91.427
2030.000000,91.541
2060.000000,91.636
2090.000000,91.712
2120.000000,91.769
2140.000000,91.796
2180.000000,91.827
2200.000000,91.831
2240.000000,91.817
2270.000000,91.790
2300.000000,91.750
2330.000000,91.699
2360.000000,91.638
2400.000000,91.544
2430.000000,91.465
2470.000000,91.350
2500.000000,91.258
2540.000000,91.128
2580.000000,90.991
2620.000000,90.850
2650.000000,90.741
2690.000000,90.592
2720.000000,90.480
2760.000000,90.327
2800.000000,90.174
2850.000000,89.985
2900.000000,89.800
2950.000000,89.619
3000.000000,89.445
3040.000000,89.313
3070.000000,89.219
3110.000000,89.106
3150.000000,89.008
3200.000000,88.910
3250.000000,88.834
3300.000000,88.765
3350.000000,88.694
3400.000000,88.618
3450.000000,88.535
3500.000000,88.449
3550.000000,88.363
3600.000000,88.280
3650.000000,88.200
3700.000000,88.123
3750.000000,88.051
3820.000000,87.956
3870.000000,87.894
3950.000000,87.806
4000.000000,87.761
4060.000000,87.721
4120.000000,87.700
4180.000000,87.701
4250.000000,87.730
4310.000000,87.776
4370.000000,87.835
4440.000000,87.917
4500.000000,87.994
4550.000000,88.060
4620.000000,88.156
4680.000000,88.237
4750.000000,88.331
4820.000000,88.421
4870.000000,88.482
4940.000000,88.561
5000.000000,88.622
5080.000000,88.697
5150.000000,88.754
5220.000000,88.801
5300.000000,88.838
5380.000000,88.851
