X,Y
19.5,87.3
19.8,87.3
20.1,87.3
20.3,87.3
20.6,87.3
20.9,87.4
21.2,87.4
21.6,87.4
21.9,87.5
22.2,87.5
22.5,87.6
22.8,87.7
23.2,87.8
23.5,87.8
23.8,87.9
24.2,87.9
24.5,87.8
24.9,87.7
25.3,87.5
25.6,87.3
26,87.1
26.4,87
26.8,86.9
27.2,86.9
27.5,86.8
28,86.8
28.4,86.8
28.8,86.8
29.2,86.8
29.6,86.8
30,86.8
30.5,86.8
30.9,86.8
31.4,86.8
31.8,86.8
32.3,86.7
32.8,86.7
33.2,86.6
33.7,86.5
34.2,86.3
34.7,86.1
35.2,86
35.7,85.8
36.2,85.7
36.8,85.6
37.3,85.5
37.9,85.4
38.4,85.4
39,85.4
39.5,85.3
40.1,85.2
40.7,85.1
41.3,84.9
41.9,84.8
42.5,84.7
43.1,84.4
43.7,84.3
44.4,84.2
45,84.1
45.7,84
46.3,83.9
47,83.9
47.7,83.8
48.4,83.8
49.1,83.7
49.8,83.6
50.5,83.4
51.3,83.3
52,83.1
52.8,82.8
53.5,82.7
54.3,82.6
55.1,82.4
55.9,82.3
56.7,82.3
57.5,82.2
58.4,82.1
59.2,82.1
60.1,82
61,81.9
61.8,81.8
62.7,81.7
63.7,81.5
64.6,81.3
65.5,81.2
66.5,81.1
67.4,80.9
68.4,80.8
69.4,80.7
70.4,80.5
71.5,80.4
72.5,80.3
73.5,80.2
74.6,79.9
75.7,79.8
76.8,79.7
77.9,79.4
79.1,79.2
80.2,79
81.4,78.6
82.6,78.5
83.8,78.3
85,78.1
86.2,77.8
87.5,77.6
88.7,77.5
90,77.2
91.3,77
92.7,76.9
94,76.7
95.4,76.4
96.8,76.3
98.2,76.2
99.6,76
101,75.9
103,75.8
104,75.5
106,75.4
107,75.2
109,75.1
110,74.7
112,74.6
113,74.5
115,74.3
117,74.2
118,74.1
120,74
122,73.9
124,73.8
125,73.7
127,73.6
129,73.5
131,73.4
133,73.1
135,73.1
137,73
139,73
141,72.9
143,72.9
145,72.9
147,72.9
149,72.8
151,72.8
154,72.7
156,72.7
158,72.7
160,72.7
163,72.6
165,72.6
168,72.6
170,72.6
172,72.6
175,72.6
177,72.6
180,72.6
183,72.6
185,72.6
188,72.7
191,72.7
194,72.8
196,72.8
199,72.8
202,72.8
205,72.8
208,72.8
211,72.8
214,72.8
217,72.9
220,72.9
224,72.9
227,72.9
230,72.9
234,72.9
237,73
240,73
244,73
247,73
251,73
255,73
258,73
262,73
266,73
270,73
274,73
278,73
282,73
286,73
290,73
294,73
298,73.1
303,73
307,73
312,73.1
316,73.1
321,73.1
325,73.1
330,73.1
335,73.1
340,73.2
345,73.2
350,73.2
355,73.2
360,73.2
365,73.2
371,73.2
376,73.3
382,73.3
387,73.3
393,73.4
398,73.4
404,73.4
410,73.4
416,73.4
422,73.4
428,73.4
434,73.4
441,73.4
447,73.4
454,73.4
460,73.4
467,73.5
474,73.4
481,73.4
488,73.5
495,73.5
502,73.5
509,73.5
517,73.5
524,73.5
532,73.5
540,73.5
547,73.6
555,73.6
563,73.5
572,73.5
580,73.6
588,73.6
597,73.6
606,73.6
614,73.6
623,73.5
632,73.5
642,73.6
651,73.6
660,73.6
670,73.6
680,73.6
690,73.7
700,73.7
710,73.7
720,73.7
731,73.8
741,73.8
752,73.8
763,73.9
774,73.9
785,73.9
797,74
808,74
820,74.1
832,74.1
844,74.2
856,74.3
869,74.4
882,74.5
894,74.6
907,74.7
921,74.8
934,74.9
948,75
961,75.1
975,75.2
990,75.4
1004,75.5
1019,75.6
1033,75.8
1048,75.9
1064,76
1079,76.1
1095,76.3
1111,76.4
1127,76.5
1143,76.7
1160,76.7
1177,76.8
1194,77
1211,77.1
1229,77.2
1247,77.3
1265,77.5
1283,77.6
1302,77.7
1321,77.9
1340,78
1360,78.1
1379,78.3
1399,78.4
1420,78.5
1440,78.6
1461,78.8
1483,78.9
1504,79
1526,79.3
1548,79.4
1571,79.5
1594,79.7
1617,80
1640,80.1
1664,80.3
1688,80.6
1713,80.8
1738,81
1763,81.3
1789,81.5
1815,81.7
1841,81.9
1868,82.2
1895,82.4
1923,82.6
1951,83
