X,Y
10.145,45.818
10.293,45.864
10.443,45.914
10.595,46.022
10.749,46.156
10.905,46.301
11.064,46.464
11.225,46.653
11.388,46.864
11.554,47.092
11.722,47.333
11.892,47.561
12.065,47.775
12.241,47.952
12.419,48.094
12.599,48.193
12.782,48.261
12.968,48.307
13.157,48.362
13.348,48.444
13.543,48.592
13.740,48.817
13.939,49.125
14.142,49.497
14.348,49.907
14.557,50.308
14.768,50.677
14.983,50.974
15.201,51.189
15.422,51.309
15.646,51.338
15.874,51.292
16.105,51.185
16.339,51.064
16.577,50.962
16.818,50.909
17.063,50.931
17.311,51.021
17.563,51.163
17.818,51.335
18.077,51.509
18.340,51.674
18.607,51.825
18.877,51.962
19.152,52.088
19.431,52.204
19.713,52.305
20.000,52.384
20.291,52.435
20.586,52.457
20.885,52.457
21.189,52.449
21.497,52.441
21.810,52.437
22.127,52.439
22.449,52.450
22.776,52.475
23.107,52.514
23.443,52.565
23.784,52.621
24.130,52.675
24.481,52.721
24.837,52.758
25.198,52.789
25.565,52.819
25.937,52.852
26.314,52.893
26.697,52.942
27.085,53.000
27.479,53.061
27.879,53.118
28.284,53.162
28.696,53.191
29.113,53.209
29.537,53.226
29.966,53.249
30.402,53.280
30.844,53.310
31.293,53.333
31.748,53.347
32.210,53.359
32.678,53.373
33.154,53.392
33.636,53.416
34.125,53.439
34.621,53.458
35.125,53.471
35.636,53.482
36.154,53.494
36.680,53.506
37.214,53.514
37.755,53.517
38.304,53.521
38.861,53.531
39.427,53.545
40.000,53.559
40.582,53.574
41.172,53.595
41.771,53.618
42.379,53.641
42.995,53.659
43.620,53.670
44.255,53.674
44.898,53.675
45.552,53.679
46.214,53.691
46.886,53.704
47.568,53.716
48.260,53.726
48.962,53.733
49.674,53.734
50.397,53.736
51.130,53.744
51.874,53.754
52.628,53.762
53.394,53.770
54.170,53.785
54.958,53.799
55.758,53.805
56.569,53.806
57.391,53.809
58.226,53.812
59.073,53.812
59.932,53.816
60.804,53.829
61.688,53.848
62.586,53.863
63.496,53.874
64.420,53.876
65.357,53.868
66.307,53.859
67.272,53.856
68.250,53.857
69.243,53.854
70.250,53.852
71.272,53.856
72.309,53.861
73.360,53.865
74.427,53.866
75.510,53.864
76.608,53.866
77.723,53.869
78.853,53.872
80.000,53.881
81.164,53.894
82.344,53.893
83.542,53.863
84.757,53.814
85.990,53.774
87.241,53.771
88.510,53.779
89.797,53.693
91.103,53.592
92.428,53.679
93.773,53.814
95.137,53.877
96.520,53.878
97.924,53.849
99.349,53.820
100.794,53.804
102.260,53.800
103.747,53.797
105.256,53.789
106.787,53.775
108.340,53.758
109.916,53.742
111.515,53.727
113.137,53.713
114.783,53.694
116.452,53.672
118.146,53.644
119.865,53.621
121.608,53.598
123.377,53.576
125.171,53.554
126.992,53.564
128.839,53.630
130.713,53.749
132.615,53.888
134.543,54.008
136.500,54.080
138.486,54.090
