X,Y
20.299999,81.123
20.600000,81.126
20.900000,81.132
21.200001,81.132
21.400000,81.128
21.799999,81.112
22.000000,81.102
22.400000,81.082
22.700001,81.070
23.000000,81.064
23.299999,81.060
23.600000,81.060
24.000000,81.063
24.299999,81.069
24.700001,81.081
25.000000,81.093
25.400000,81.109
25.799999,81.121
26.200001,81.123
26.500000,81.118
26.900000,81.102
27.200001,81.088
27.600000,81.071
28.000000,81.059
28.500000,81.054
29.000000,81.053
29.500000,81.052
30.000000,81.044
30.400000,81.033
30.700001,81.025
31.100000,81.016
31.500000,81.010
32.000000,81.006
32.500000,81.002
33.000000,80.993
33.500000,80.977
34.000000,80.959
34.500000,80.947
35.000000,80.942
35.500000,80.941
36.000000,80.937
36.500000,80.928
37.000000,80.914
37.500000,80.899
38.200001,80.882
38.700001,80.871
39.500000,80.849
40.000000,80.832
40.599998,80.810
41.200001,80.788
41.799999,80.767
42.500000,80.743
43.099998,80.725
43.700001,80.710
44.400002,80.691
45.000000,80.671
45.500000,80.650
46.200001,80.619
46.799999,80.596
47.500000,80.574
48.200001,80.552
48.700001,80.535
49.400002,80.507
50.000000,80.480
50.799999,80.439
51.500000,80.400
52.200001,80.357
53.000000,80.303
53.799999,80.253
54.500000,80.229
55.200001,80.233
56.000000,80.256
57.000000,80.248
58.000000,80.179
59.000000,80.095
60.000000,80.028
60.799999,79.984
61.500000,79.950
62.200001,79.918
63.000000,79.887
64.000000,79.852
65.000000,79.811
66.000000,79.759
67.000000,79.702
68.000000,79.647
69.000000,79.592
70.000000,79.537
71.000000,79.483
72.000000,79.432
73.000000,79.381
74.000000,79.329
75.000000,79.277
76.199997,79.217
77.500000,79.149
78.800003,79.077
80.000000,79.008
81.199997,78.938
82.500000,78.863
83.800003,78.789
85.000000,78.722
86.199997,78.654
87.500000,78.582
88.500000,78.528
90.000000,78.446
91.199997,78.379
92.500000,78.306
93.800003,78.234
95.000000,78.167
96.199997,78.099
97.500000,78.025
98.800003,77.951
100.000000,77.880
101.500000,77.792
103.000000,77.705
104.400002,77.627
106.000000,77.538
107.500000,77.456
109.000000,77.373
110.599998,77.282
112.000000,77.203
113.800003,77.103
115.000000,77.042
117.199997,76.943
118.000000,76.911
120.599998,76.783
122.000000,76.689
124.099998,76.542
125.000000,76.484
126.500000,76.392
128.000000,76.306
131.500000,76.113
132.000000,76.086
134.000000,75.975
136.000000,75.864
138.000000,75.758
140.000000,75.655
143.000000,75.509
145.000000,75.411
147.500000,75.287
150.000000,75.163
152.500000,75.042
155.000000,74.923
157.500000,74.803
160.000000,74.685
162.500000,74.574
165.000000,74.465
167.500000,74.356
170.000000,74.245
172.500000,74.132
175.000000,74.022
177.500000,73.913
180.000000,73.806
182.500000,73.703
185.000000,73.605
187.500000,73.510
190.000000,73.413
192.500000,73.313
195.000000,73.213
197.500000,73.115
200.000000,73.023
203.000000,72.918
206.000000,72.816
209.000000,72.716
212.000000,72.620
214.000000,72.556
218.000000,72.431
220.000000,72.370
224.000000,72.253
227.000000,72.168
230.000000,72.083
233.000000,71.998
236.000000,71.912
240.000000,71.801
243.000000,71.721
247.000000,71.622
250.000000,71.560
254.000000,71.497
258.000000,71.452
262.000000,71.410
265.000000,71.374
269.000000,71.322
272.000000,71.283
276.000000,71.233
280.000000,71.182
285.000000,71.117
290.000000,71.053
295.000000,70.991
300.000000,70.929
304.000000,70.880
307.000000,70.844
311.000000,70.801
315.000000,70.763
320.000000,70.720
325.000000,70.673
330.000000,70.625
335.000000,70.582
340.000000,70.541
345.000000,70.501
350.000000,70.462
355.000000,70.426
360.000000,70.390
365.000000,70.352
370.000000,70.315
375.000000,70.281
382.000000,70.243
387.000000,70.218
395.000000,70.173
400.000000,70.145
406.000000,70.114
412.000000,70.091
418.000000,70.072
425.000000,70.051
431.000000,70.030
437.000000,70.010
444.000000,69.987
450.000000,69.968
455.000000,69.950
462.000000,69.916
468.000000,69.874
475.000000,69.808
482.000000,69.736
487.000000,69.692
494.000000,69.654
500.000000,69.641
508.000000,69.643
515.000000,69.656
522.000000,69.675
530.000000,69.698
538.000000,69.717
545.000000,69.728
552.000000,69.736
560.000000,69.743
570.000000,69.749
580.000000,69.751
590.000000,69.756
600.000000,69.766
608.000000,69.782
615.000000,69.802
622.000000,69.830
630.000000,69.870
640.000000,69.928
650.000000,69.991
