X,Y
20.299999,70.294
20.600000,70.348
20.900000,70.484
21.200001,70.640
21.400000,70.748
21.799999,70.959
22.000000,71.058
22.400000,71.237
22.700001,71.356
23.000000,71.465
23.299999,71.570
23.600000,71.670
24.000000,71.793
24.299999,71.869
24.700001,71.937
25.000000,71.957
25.400000,71.953
25.799999,71.940
26.200001,71.959
26.500000,72.009
26.900000,72.119
27.200001,72.219
27.600000,72.349
28.000000,72.454
28.500000,72.548
29.000000,72.621
29.500000,72.686
30.000000,72.728
30.400000,72.736
30.700001,72.728
31.100000,72.710
31.500000,72.693
32.000000,72.690
32.500000,72.708
33.000000,72.741
33.500000,72.785
34.000000,72.836
34.500000,72.889
35.000000,72.937
35.500000,72.979
36.000000,73.020
36.500000,73.066
37.000000,73.116
37.500000,73.163
38.200001,73.211
38.700001,73.235
39.500000,73.278
40.000000,73.313
40.599998,73.358
41.200001,73.401
41.799999,73.441
42.500000,73.484
43.099998,73.507
43.700001,73.511
44.400002,73.498
45.000000,73.486
45.500000,73.481
46.200001,73.486
46.799999,73.510
47.500000,73.574
48.200001,73.656
48.700001,73.702
49.400002,73.726
50.000000,73.723
50.799999,73.721
51.500000,73.729
52.200001,73.735
53.000000,73.730
53.799999,73.715
54.500000,73.700
55.200001,73.690
56.000000,73.696
57.000000,73.723
58.000000,73.747
59.000000,73.762
60.000000,73.775
60.799999,73.783
61.500000,73.787
62.200001,73.790
63.000000,73.794
64.000000,73.803
65.000000,73.810
66.000000,73.810
67.000000,73.799
68.000000,73.785
69.000000,73.776
70.000000,73.771
71.000000,73.762
72.000000,73.745
73.000000,73.724
74.000000,73.702
75.000000,73.682
76.199997,73.669
77.500000,73.673
78.800003,73.683
80.000000,73.680
81.199997,73.658
82.500000,73.626
83.800003,73.599
85.000000,73.581
86.199997,73.560
87.500000,73.532
88.500000,73.510
90.000000,73.479
91.199997,73.461
92.500000,73.451
93.800003,73.446
95.000000,73.437
96.199997,73.419
97.500000,73.388
98.800003,73.350
100.000000,73.318
101.500000,73.285
103.000000,73.255
104.400002,73.225
106.000000,73.188
107.500000,73.148
109.000000,73.106
110.599998,73.064
112.000000,73.035
113.800003,73.010
115.000000,72.995
