X,Y
20.000000,96.191
20.299999,96.156
20.600000,96.131
20.900000,96.118
21.200001,96.123
21.400000,96.136
21.799999,96.182
22.000000,96.211
22.400000,96.279
22.700001,96.338
23.000000,96.403
23.299999,96.472
23.600000,96.540
24.000000,96.627
24.299999,96.682
24.700001,96.741
25.000000,96.773
25.400000,96.803
25.799999,96.819
26.200001,96.821
26.500000,96.814
26.900000,96.793
27.200001,96.770
27.600000,96.735
28.000000,96.700
28.500000,96.658
29.000000,96.627
29.500000,96.613
30.000000,96.617
30.400000,96.630
30.700001,96.644
31.100000,96.670
31.500000,96.702
32.000000,96.743
32.500000,96.780
33.000000,96.807
33.500000,96.827
34.000000,96.842
34.500000,96.853
35.000000,96.855
35.500000,96.850
36.000000,96.841
36.500000,96.833
37.000000,96.825
37.500000,96.816
38.200001,96.800
38.700001,96.785
39.500000,96.758
40.000000,96.747
40.599998,96.745
41.200001,96.752
41.799999,96.762
42.500000,96.769
43.099998,96.769
43.700001,96.764
44.400002,96.755
45.000000,96.743
45.500000,96.733
46.200001,96.723
46.799999,96.716
47.500000,96.706
48.200001,96.691
48.700001,96.678
49.400002,96.656
50.000000,96.640
50.799999,96.625
51.500000,96.615
52.200001,96.603
53.000000,96.586
53.799999,96.567
54.500000,96.557
55.200001,96.551
56.000000,96.543
57.000000,96.521
58.000000,96.486
59.000000,96.450
60.000000,96.418
60.799999,96.393
61.500000,96.371
62.200001,96.352
63.000000,96.337
64.000000,96.325
65.000000,96.310
66.000000,96.288
67.000000,96.262
68.000000,96.231
69.000000,96.194
70.000000,96.156
71.000000,96.121
72.000000,96.089
73.000000,96.063
74.000000,96.042
75.000000,96.024
76.199997,95.994
77.500000,95.953
78.800003,95.907
80.000000,95.863
81.199997,95.823
82.500000,95.784
83.800003,95.750
85.000000,95.721
86.199997,95.691
87.500000,95.653
88.500000,95.619
90.000000,95.559
91.199997,95.512
92.500000,95.470
93.800003,95.435
95.000000,95.406
96.199997,95.377
97.500000,95.342
98.800003,95.298
100.000000,95.253
101.500000,95.199
103.000000,95.153
104.400002,95.118
106.000000,95.080
107.500000,95.038
109.000000,94.989
110.599998,94.935
112.000000,94.893
113.800003,94.843
115.000000,94.810
117.199997,94.746
118.000000,94.722
120.599998,94.641
122.000000,94.599
124.099998,94.543
125.000000,94.522
126.500000,94.486
128.000000,94.448
131.500000,94.340
132.000000,94.325
134.000000,94.274
136.000000,94.228
138.000000,94.173
140.000000,94.110
143.000000,94.027
145.000000,93.979
147.500000,93.918
150.000000,93.853
152.500000,93.793
155.000000,93.742
157.500000,93.691
160.000000,93.635
162.500000,93.585
165.000000,93.540
167.500000,93.489
170.000000,93.420
172.500000,93.343
175.000000,93.259
177.500000,93.162
180.000000,93.058
182.500000,92.972
185.000000,92.918
187.500000,92.884
190.000000,92.857
192.500000,92.830
195.000000,92.801
197.500000,92.766
200.000000,92.723
203.000000,92.669
206.000000,92.616
209.000000,92.559
212.000000,92.499
214.000000,92.463
218.000000,92.395
220.000000,92.359
224.000000,92.286
227.000000,92.236
230.000000,92.187
233.000000,92.140
236.000000,92.096
240.000000,92.038
243.000000,91.996
247.000000,91.946
250.000000,91.906
254.000000,91.846
258.000000,91.783
262.000000,91.722
265.000000,91.681
269.000000,91.630
272.000000,91.591
276.000000,91.540
280.000000,91.490
285.000000,91.432
290.000000,91.377
295.000000,91.322
300.000000,91.271
304.000000,91.233
307.000000,91.207
311.000000,91.173
315.000000,91.135
320.000000,91.080
325.000000,91.029
330.000000,90.988
335.000000,90.946
340.000000,90.899
345.000000,90.852
350.000000,90.809
355.000000,90.772
360.000000,90.737
365.000000,90.699
370.000000,90.660
375.000000,90.622
382.000000,90.569
387.000000,90.533
395.000000,90.478
400.000000,90.444
406.000000,90.401
412.000000,90.360
418.000000,90.321
425.000000,90.285
431.000000,90.259
437.000000,90.232
444.000000,90.197
450.000000,90.164
455.000000,90.137
462.000000,90.099
468.000000,90.068
475.000000,90.042
482.000000,90.022
487.000000,90.003
494.000000,89.970
500.000000,89.943
508.000000,89.915
515.000000,89.893
522.000000,89.869
530.000000,89.840
538.000000,89.819
545.000000,89.799
552.000000,89.777
560.000000,89.753
570.000000,89.744
580.000000,89.749
590.000000,89.742
600.000000,89.727
608.000000,89.715
615.000000,89.706
622.000000,89.698
630.000000,89.688
640.000000,89.677
650.000000,89.665
660.000000,89.653
670.000000,89.650
680.000000,89.653
690.000000,89.657
700.000000,89.658
710.000000,89.657
720.000000,89.659
730.000000,89.667
740.000000,89.684
750.000000,89.704
762.000000,89.725
775.000000,89.750
788.000000,89.782
800.000000,89.818
812.000000,89.858
825.000000,89.902
838.000000,89.951
850.000000,90.003
862.000000,90.061
875.000000,90.126
885.000000,90.179
900.000000,90.263
912.000000,90.333
925.000000,90.415
938.000000,90.506
950.000000,90.591
962.000000,90.676
975.000000,90.771
988.000000,90.870
1000.000000,90.966
1015.000000,91.087
1030.000000,91.207
1044.000000,91.316
1060.000000,91.439
1075.000000,91.556
1090.000000,91.673
1106.000000,91.803
1120.000000,91.920
1138.000000,92.057
1150.000000,92.138
1172.000000,92.282
1180.000000,92.334
1206.000000,92.495
1220.000000,92.581
1241.000000,92.711
1250.000000,92.764
1265.000000,92.847
1280.000000,92.926
1315.000000,93.103
1320.000000,93.128
1340.000000,93.228
1360.000000,93.327
1380.000000,93.423
1400.000000,93.519
1430.000000,93.672
1450.000000,93.778
1475.000000,93.917
1500.000000,94.078
1525.000000,94.264
1550.000000,94.475
1575.000000,94.695
1600.000000,94.879
1625.000000,94.966
1650.000000,94.936
1675.000000,94.838
1700.000000,94.746
1725.000000,94.712
1750.000000,94.759
1775.000000,94.878
1800.000000,95.041
1825.000000,95.213
1850.000000,95.383
1875.000000,95.556
1900.000000,95.736
1925.000000,95.919
1950.000000,96.099
1975.000000,96.275
2000.000000,96.444
2030.000000,96.643
2060.000000,96.839
2090.000000,97.032
2120.000000,97.220
2140.000000,97.344
2180.000000,97.589
2200.000000,97.711
2240.000000,97.954
2270.000000,98.133
2300.000000,98.304
2330.000000,98.467
2360.000000,98.621
2400.000000,98.818
2430.000000,98.960
2470.000000,99.135
2500.000000,99.253
2540.000000,99.391
2580.000000,99.505
2620.000000,99.592
2650.000000,99.638
2690.000000,99.679
2720.000000,99.696
2760.000000,99.696
2800.000000,99.671
2850.000000,99.615
2900.000000,99.535
2950.000000,99.425
3000.000000,99.292
3040.000000,99.180
3070.000000,99.095
3110.000000,98.982
3150.000000,98.876
3200.000000,98.757
3250.000000,98.651
3300.000000,98.556
3350.000000,98.476
3400.000000,98.405
3450.000000,98.337
3500.000000,98.271
3550.000000,98.215
3600.000000,98.173
3650.000000,98.148
3700.000000,98.139
3750.000000,98.154
3820.000000,98.222
3870.000000,98.304
3950.000000,98.474
4000.000000,98.599
4060.000000,98.757
4120.000000,98.923
4180.000000,99.100
4250.000000,99.323
4310.000000,99.531
4370.000000,99.756
4440.000000,100.037
4500.000000,100.287
4550.000000,100.493
4620.000000,100.761
4680.000000,100.958
4750.000000,101.133
4820.000000,101.230
4870.000000,101.241
4940.000000,101.172
5000.000000,101.030
5080.000000,100.728
5150.000000,100.369
5220.000000,99.942
5300.000000,99.397
5380.000000,98.812
5450.000000,98.276
5520.000000,97.725
5600.000000,97.092
5700.000000,96.315
5800.000000,95.578
5900.000000,94.905
6000.000000,94.305
6080.000000,93.874
6150.000000,93.534
6220.000000,93.233
6300.000000,92.942
6400.000000,92.658
6500.000000,92.450
6600.000000,92.321
6700.000000,92.275
6800.000000,92.309
6900.000000,92.428
7000.000000,92.634
7100.000000,92.927
7200.000000,93.313
7300.000000,93.804
7400.000000,94.409
7500.000000,95.151
7620.000000,96.254
7750.000000,97.514
7880.000000,98.373
8000.000000,98.526
8120.000000,97.995
8250.000000,96.796
8380.000000,95.256
8500.000000,93.782
8620.000000,92.407
8750.000000,91.098
8850.000000,90.230
9000.000000,89.155
9120.000000,88.469
9250.000000,87.876
9380.000000,87.411
9500.000000,87.061
9620.000000,86.792
9750.000000,86.641
9880.000000,86.638
10000.000000,86.747
10150.000000,87.020
10300.000000,87.428
10440.000000,87.917
10600.000000,88.556
10750.000000,89.109
10900.000000,89.476
11060.000000,89.506
11200.000000,89.102
11380.000000,87.943
11500.000000,86.830
11720.000000,84.425
11800.000000,83.544
12060.000000,81.143
12200.000000,80.342
12410.000000,79.917
12500.000000,79.962
12650.000000,80.180
12800.000000,80.433
13150.000000,80.861
13200.000000,80.910
13400.000000,81.097
13600.000000,81.228
13800.000000,81.280
14000.000000,81.377
14300.000000,81.969
14500.000000,82.727
14750.000000,84.019
15000.000000,85.565
15250.000000,87.208
15500.000000,88.698
15750.000000,89.716
16000.000000,90.129
16250.000000,90.156
16500.000000,90.117
16750.000000,89.988
17000.000000,89.363
17250.000000,87.890
17500.000000,85.567
17750.000000,82.654
18000.000000,79.487
18250.000000,76.339
18500.000000,73.298
18750.000000,70.280
19000.000000,67.160
19250.000000,63.851
19500.000000,60.375
19750.000000,57.346
