X,Y
20.000000,73.457
20.299999,73.541
20.600000,73.617
20.900000,73.686
21.200001,73.747
21.400000,73.783
21.799999,73.847
22.000000,73.875
22.400000,73.924
22.700001,73.955
23.000000,73.981
23.299999,74.005
23.600000,74.024
24.000000,74.046
24.299999,74.058
24.700001,74.069
25.000000,74.074
25.400000,74.078
25.799999,74.079
26.200001,74.079
26.500000,74.079
26.900000,74.079
27.200001,74.080
27.600000,74.081
28.000000,74.082
28.500000,74.086
29.000000,74.092
29.500000,74.100
30.000000,74.110
30.400000,74.117
30.700001,74.123
31.100000,74.129
31.500000,74.134
32.000000,74.142
32.500000,74.150
33.000000,74.158
33.500000,74.162
34.000000,74.162
34.500000,74.154
35.000000,74.139
35.500000,74.117
36.000000,74.089
36.500000,74.056
37.000000,74.020
37.500000,73.982
38.200001,73.928
38.700001,73.891
39.500000,73.836
40.000000,73.803
40.599998,73.765
41.200001,73.726
41.799999,73.684
42.500000,73.630
43.099998,73.579
43.700001,73.527
44.400002,73.467
45.000000,73.418
45.500000,73.381
46.200001,73.335
46.799999,73.302
47.500000,73.272
48.200001,73.248
48.700001,73.234
49.400002,73.218
50.000000,73.208
50.799999,73.197
51.500000,73.189
52.200001,73.182
53.000000,73.175
53.799999,73.170
54.500000,73.166
55.200001,73.165
56.000000,73.165
57.000000,73.169
58.000000,73.176
59.000000,73.186
60.000000,73.200
60.799999,73.214
61.500000,73.229
62.200001,73.247
63.000000,73.270
64.000000,73.302
65.000000,73.336
66.000000,73.371
67.000000,73.404
68.000000,73.434
69.000000,73.461
70.000000,73.483
71.000000,73.500
72.000000,73.512
73.000000,73.519
74.000000,73.522
75.000000,73.521
76.199997,73.515
77.500000,73.505
78.800003,73.492
80.000000,73.477
81.199997,73.461
82.500000,73.443
83.800003,73.422
85.000000,73.403
86.199997,73.382
87.500000,73.359
88.500000,73.340
90.000000,73.309
91.199997,73.282
92.500000,73.251
93.800003,73.218
95.000000,73.185
96.199997,73.150
97.500000,73.111
98.800003,73.071
100.000000,73.034
101.500000,72.988
103.000000,72.942
104.400002,72.900
106.000000,72.854
107.500000,72.810
109.000000,72.768
110.599998,72.722
112.000000,72.682
113.800003,72.629
115.000000,72.593
117.199997,72.527
118.000000,72.503
120.599998,72.424
122.000000,72.381
124.099998,72.316
125.000000,72.289
126.500000,72.242
128.000000,72.196
131.500000,72.090
132.000000,72.076
134.000000,72.017
136.000000,71.960
138.000000,71.902
140.000000,71.844
143.000000,71.757
145.000000,71.703
147.500000,71.643
150.000000,71.592
152.500000,71.547
155.000000,71.504
157.500000,71.460
160.000000,71.413
162.500000,71.361
165.000000,71.306
167.500000,71.246
170.000000,71.182
172.500000,71.115
175.000000,71.044
177.500000,70.970
180.000000,70.894
182.500000,70.817
185.000000,70.739
187.500000,70.661
190.000000,70.583
192.500000,70.507
195.000000,70.432
197.500000,70.358
200.000000,70.286
203.000000,70.203
206.000000,70.125
209.000000,70.052
212.000000,69.985
214.000000,69.944
218.000000,69.870
220.000000,69.837
224.000000,69.779
227.000000,69.742
230.000000,69.710
233.000000,69.683
236.000000,69.661
240.000000,69.636
243.000000,69.621
247.000000,69.606
250.000000,69.597
254.000000,69.587
258.000000,69.577
262.000000,69.565
265.000000,69.552
269.000000,69.531
272.000000,69.511
276.000000,69.478
280.000000,69.440
285.000000,69.383
290.000000,69.318
295.000000,69.247
300.000000,69.172
304.000000,69.109
307.000000,69.063
311.000000,69.001
315.000000,68.940
320.000000,68.866
325.000000,68.796
330.000000,68.731
335.000000,68.671
340.000000,68.618
345.000000,68.573
350.000000,68.535
355.000000,68.503
360.000000,68.475
365.000000,68.450
370.000000,68.427
375.000000,68.405
382.000000,68.376
387.000000,68.357
395.000000,68.333
400.000000,68.322
406.000000,68.314
412.000000,68.314
418.000000,68.325
425.000000,68.354
431.000000,68.396
437.000000,68.454
444.000000,68.542
450.000000,68.632
455.000000,68.716
462.000000,68.843
468.000000,68.956
475.000000,69.088
482.000000,69.214
487.000000,69.299
494.000000,69.408
500.000000,69.492
508.000000,69.589
515.000000,69.661
522.000000,69.724
530.000000,69.784
538.000000,69.836
545.000000,69.876
552.000000,69.912
560.000000,69.947
570.000000,69.986
580.000000,70.022
590.000000,70.057
600.000000,70.094
608.000000,70.128
615.000000,70.161
622.000000,70.197
630.000000,70.244
640.000000,70.309
650.000000,70.383
660.000000,70.463
670.000000,70.547
680.000000,70.634
690.000000,70.721
700.000000,70.808
710.000000,70.892
720.000000,70.975
730.000000,71.056
740.000000,71.135
750.000000,71.212
762.000000,71.302
775.000000,71.390
788.000000,71.462
800.000000,71.509
812.000000,71.528
825.000000,71.513
838.000000,71.457
850.000000,71.370
862.000000,71.260
875.000000,71.131
885.000000,71.034
900.000000,70.911
912.000000,70.838
925.000000,70.790
938.000000,70.779
950.000000,70.798
962.000000,70.840
975.000000,70.905
988.000000,70.980
1000.000000,71.051
1015.000000,71.143
1030.000000,71.247
1044.000000,71.365
1060.000000,71.527
1075.000000,71.692
1090.000000,71.856
1106.000000,72.014
1120.000000,72.122
1138.000000,72.200
1150.000000,72.217
1172.000000,72.205
1180.000000,72.192
1206.000000,72.128
1220.000000,72.112
1241.000000,72.147
1250.000000,72.168
1265.000000,72.181
1280.000000,72.150
1315.000000,72.004
1320.000000,71.986
1340.000000,71.935
1360.000000,71.896
1380.000000,71.852
1400.000000,71.817
1430.000000,71.829
1450.000000,71.892
1475.000000,72.022
1500.000000,72.195
1525.000000,72.472
1550.000000,72.931
1575.000000,73.505
1600.000000,73.993
1625.000000,74.209
1650.000000,74.121
1675.000000,73.878
1700.000000,73.691
1725.000000,73.646
1750.000000,73.671
1775.000000,73.677
1800.000000,73.639
1825.000000,73.624
1850.000000,73.748
1875.000000,74.037
1900.000000,74.389
1925.000000,74.690
1950.000000,74.909
1975.000000,75.072
2000.000000,75.220
2030.000000,75.437
2060.000000,75.763
2090.000000,76.222
2120.000000,76.763
2140.000000,77.125
2180.000000,77.758
2200.000000,78.013
2240.000000,78.396
2270.000000,78.593
2300.000000,78.756
2330.000000,78.931
2360.000000,79.131
2400.000000,79.371
2430.000000,79.488
2470.000000,79.581
2500.000000,79.643
2540.000000,79.713
2580.000000,79.714
2620.000000,79.611
2650.000000,79.472
2690.000000,79.235
2720.000000,79.028
2760.000000,78.699
2800.000000,78.298
2850.000000,77.838
2900.000000,77.732
2950.000000,78.053
3000.000000,78.511
3040.000000,78.778
3070.000000,78.883
3110.000000,78.914
3150.000000,78.882
3200.000000,78.864
3250.000000,78.928
3300.000000,79.037
3350.000000,79.121
3400.000000,79.126
3450.000000,79.033
3500.000000,78.861
3550.000000,78.663
3600.000000,78.512
3650.000000,78.482
3700.000000,78.622
3750.000000,78.916
3820.000000,79.432
3870.000000,79.775
3950.000000,80.213
4000.000000,80.402
4060.000000,80.511
4120.000000,80.470
4180.000000,80.304
4250.000000,80.019
4310.000000,79.742
4370.000000,79.459
4440.000000,79.135
4500.000000,78.856
4550.000000,78.606
4620.000000,78.195
4680.000000,77.753
4750.000000,77.105
4820.000000,76.304
4870.000000,75.641
4940.000000,74.614
5000.000000,73.687
5080.000000,72.482
5150.000000,71.561
5220.000000,70.858
5300.000000,70.424
5380.000000,70.430
5450.000000,70.734
5520.000000,71.184
5600.000000,71.723
5700.000000,72.282
5800.000000,72.637
5900.000000,72.772
6000.000000,72.752
6080.000000,72.683
6150.000000,72.598
6220.000000,72.501
6300.000000,72.389
6400.000000,72.258
6500.000000,72.102
6600.000000,71.855
6700.000000,71.459
6800.000000,70.905
6900.000000,70.248
7000.000000,69.577
7100.000000,68.984
7200.000000,68.560
7300.000000,68.391
7400.000000,68.538
7500.000000,68.986
7620.000000,69.752
7750.000000,70.554
7880.000000,71.112
8000.000000,71.384
8120.000000,71.459
8250.000000,71.324
8380.000000,70.948
8500.000000,70.395
8620.000000,69.687
8750.000000,68.782
8850.000000,68.008
9000.000000,66.851
9120.000000,66.195
9250.000000,66.036
9380.000000,66.429
9500.000000,67.077
9620.000000,67.839
9750.000000,68.681
9880.000000,69.436
10000.000000,69.990
10150.000000,70.468
10300.000000,70.738
10440.000000,70.827
10600.000000,70.700
10750.000000,70.267
10900.000000,69.442
11060.000000,68.097
11200.000000,66.578
11380.000000,64.328
11500.000000,62.780
11720.000000,60.276
11800.000000,59.617
12060.000000,58.971
12200.000000,59.484
12410.000000,60.663
12500.000000,61.128
12650.000000,61.691
12800.000000,61.929
13150.000000,61.543
13200.000000,61.464
13400.000000,61.398
13600.000000,61.983
13800.000000,63.206
14000.000000,64.732
14300.000000,66.792
14500.000000,67.678
14750.000000,68.130
15000.000000,67.983
15250.000000,67.618
15500.000000,67.719
15750.000000,68.621
16000.000000,69.678
16250.000000,70.246
16500.000000,70.282
16750.000000,70.117
17000.000000,69.995
17250.000000,69.816
17500.000000,69.356
17750.000000,68.511
18000.000000,67.329
18250.000000,65.966
18500.000000,64.610
18750.000000,63.383
19000.000000,62.369
19250.000000,61.717
19500.000000,61.504
19750.000000,61.540
