X,Y
20.000000,90.246
20.299999,90.248
20.600000,90.251
20.900000,90.255
21.200001,90.258
21.400000,90.259
21.799999,90.259
22.000000,90.258
22.400000,90.254
22.700001,90.251
23.000000,90.249
23.299999,90.247
23.600000,90.245
24.000000,90.242
24.299999,90.239
24.700001,90.232
25.000000,90.225
25.400000,90.215
25.799999,90.205
26.200001,90.194
26.500000,90.187
26.900000,90.177
27.200001,90.169
27.600000,90.158
28.000000,90.145
28.500000,90.129
29.000000,90.113
29.500000,90.099
30.000000,90.084
30.400000,90.071
30.700001,90.061
31.100000,90.046
31.500000,90.031
32.000000,90.014
32.500000,89.997
33.000000,89.980
33.500000,89.961
34.000000,89.943
34.500000,89.925
35.000000,89.907
35.500000,89.889
36.000000,89.869
36.500000,89.849
37.000000,89.827
37.500000,89.807
38.200001,89.778
38.700001,89.757
39.500000,89.723
40.000000,89.700
40.599998,89.672
41.200001,89.643
41.799999,89.614
42.500000,89.578
43.099998,89.548
43.700001,89.519
44.400002,89.484
45.000000,89.455
45.500000,89.431
46.200001,89.395
46.799999,89.363
47.500000,89.325
48.200001,89.290
48.700001,89.266
49.400002,89.233
50.000000,89.203
50.799999,89.160
51.500000,89.123
52.200001,89.085
53.000000,89.043
53.799999,89.002
54.500000,88.966
55.200001,88.930
56.000000,88.889
57.000000,88.838
58.000000,88.788
59.000000,88.738
60.000000,88.687
60.799999,88.645
61.500000,88.609
62.200001,88.574
63.000000,88.533
64.000000,88.482
65.000000,88.434
66.000000,88.385
67.000000,88.337
68.000000,88.288
69.000000,88.238
70.000000,88.189
71.000000,88.139
72.000000,88.090
73.000000,88.041
74.000000,87.993
75.000000,87.945
76.199997,87.884
77.500000,87.817
78.800003,87.751
80.000000,87.692
81.199997,87.630
82.500000,87.564
83.800003,87.499
85.000000,87.440
86.199997,87.383
87.500000,87.320
88.500000,87.271
90.000000,87.198
91.199997,87.140
92.500000,87.079
93.800003,87.018
95.000000,86.963
96.199997,86.909
97.500000,86.851
98.800003,86.794
100.000000,86.741
101.500000,86.675
103.000000,86.609
104.400002,86.547
106.000000,86.478
107.500000,86.416
109.000000,86.355
110.599998,86.289
112.000000,86.232
113.800003,86.158
115.000000,86.110
117.199997,86.023
118.000000,85.992
120.599998,85.890
122.000000,85.835
124.099998,85.753
125.000000,85.718
126.500000,85.663
128.000000,85.607
131.500000,85.476
132.000000,85.457
134.000000,85.383
136.000000,85.313
138.000000,85.242
140.000000,85.170
143.000000,85.061
145.000000,84.992
147.500000,84.909
150.000000,84.829
152.500000,84.749
155.000000,84.676
157.500000,84.605
160.000000,84.532
162.500000,84.458
165.000000,84.385
167.500000,84.312
170.000000,84.244
172.500000,84.178
175.000000,84.111
177.500000,84.043
180.000000,83.978
182.500000,83.914
185.000000,83.850
187.500000,83.788
190.000000,83.729
192.500000,83.671
195.000000,83.613
197.500000,83.555
200.000000,83.499
203.000000,83.434
206.000000,83.370
209.000000,83.307
212.000000,83.244
214.000000,83.203
218.000000,83.124
220.000000,83.086
224.000000,83.007
227.000000,82.949
230.000000,82.893
233.000000,82.838
236.000000,82.786
240.000000,82.718
243.000000,82.667
247.000000,82.601
250.000000,82.552
254.000000,82.488
258.000000,82.426
262.000000,82.365
265.000000,82.320
269.000000,82.260
272.000000,82.217
276.000000,82.164
280.000000,82.111
285.000000,82.045
290.000000,81.980
295.000000,81.920
300.000000,81.862
304.000000,81.813
307.000000,81.776
311.000000,81.727
315.000000,81.678
320.000000,81.619
325.000000,81.564
330.000000,81.514
335.000000,81.477
340.000000,81.461
345.000000,81.465
350.000000,81.480
355.000000,81.486
360.000000,81.474
365.000000,81.450
370.000000,81.420
375.000000,81.386
382.000000,81.337
387.000000,81.303
395.000000,81.253
400.000000,81.223
406.000000,81.188
412.000000,81.160
418.000000,81.134
425.000000,81.104
431.000000,81.081
437.000000,81.062
444.000000,81.037
450.000000,81.014
455.000000,80.997
462.000000,80.977
468.000000,80.961
475.000000,80.941
482.000000,80.923
487.000000,80.912
494.000000,80.900
500.000000,80.891
508.000000,80.877
515.000000,80.865
522.000000,80.852
530.000000,80.840
538.000000,80.830
545.000000,80.822
552.000000,80.815
560.000000,80.808
570.000000,80.800
580.000000,80.796
590.000000,80.793
600.000000,80.793
608.000000,80.795
615.000000,80.797
622.000000,80.800
630.000000,80.806
640.000000,80.816
650.000000,80.831
660.000000,80.845
670.000000,80.861
680.000000,80.878
690.000000,80.899
700.000000,80.923
710.000000,80.950
720.000000,80.978
730.000000,81.007
740.000000,81.039
750.000000,81.074
762.000000,81.117
775.000000,81.170
788.000000,81.230
800.000000,81.289
812.000000,81.347
825.000000,81.415
838.000000,81.489
850.000000,81.560
862.000000,81.636
875.000000,81.722
885.000000,81.790
900.000000,81.913
912.000000,82.038
925.000000,82.176
938.000000,82.293
950.000000,82.394
962.000000,82.497
975.000000,82.612
988.000000,82.730
1000.000000,82.843
1015.000000,82.988
1030.000000,83.135
1044.000000,83.273
1060.000000,83.432
1075.000000,83.582
1090.000000,83.733
1106.000000,83.893
1120.000000,84.030
1138.000000,84.204
1150.000000,84.320
1172.000000,84.528
1180.000000,84.603
1206.000000,84.841
1220.000000,84.966
1241.000000,85.151
1250.000000,85.230
1265.000000,85.359
1280.000000,85.488
1315.000000,85.781
1320.000000,85.823
1340.000000,85.990
1360.000000,86.158
1380.000000,86.326
1400.000000,86.493
1430.000000,86.746
1450.000000,86.917
1475.000000,87.131
1500.000000,87.348
1525.000000,87.568
1550.000000,87.792
1575.000000,88.019
1600.000000,88.248
1625.000000,88.479
1650.000000,88.713
1675.000000,88.950
1700.000000,89.188
1725.000000,89.429
1750.000000,89.669
1775.000000,89.910
1800.000000,90.150
1825.000000,90.389
1850.000000,90.624
1875.000000,90.854
1900.000000,91.079
1925.000000,91.295
1950.000000,91.501
1975.000000,91.695
2000.000000,91.876
2030.000000,92.074
2060.000000,92.246
2090.000000,92.389
2120.000000,92.504
2140.000000,92.562
2180.000000,92.633
2200.000000,92.643
2240.000000,92.605
2270.000000,92.535
2300.000000,92.434
2330.000000,92.308
2360.000000,92.160
2400.000000,91.935
2430.000000,91.750
2470.000000,91.488
2500.000000,91.283
2540.000000,91.004
2580.000000,90.722
2620.000000,90.443
2650.000000,90.236
2690.000000,89.966
2720.000000,89.769
2760.000000,89.516
2800.000000,89.274
2850.000000,88.989
2900.000000,88.723
2950.000000,88.476
3000.000000,88.250
3040.000000,88.085
3070.000000,87.971
3110.000000,87.830
3150.000000,87.703
3200.000000,87.562
3250.000000,87.442
3300.000000,87.342
3350.000000,87.268
3400.000000,87.223
3450.000000,87.209
3500.000000,87.224
3550.000000,87.260
3600.000000,87.307
3650.000000,87.360
3700.000000,87.421
3750.000000,87.492
3820.000000,87.608
3870.000000,87.704
3950.000000,87.877
4000.000000,87.995
4060.000000,88.143
4120.000000,88.293
4180.000000,88.438
4250.000000,88.591
4310.000000,88.697
4370.000000,88.772
4440.000000,88.815
4500.000000,88.818
4550.000000,88.799
4620.000000,88.738
4680.000000,88.649
4750.000000,88.495
4820.000000,88.287
4870.000000,88.108
4940.000000,87.822
5000.000000,87.552
5080.000000,87.169
5150.000000,86.824
5220.000000,86.478
5300.000000,86.090
5380.000000,85.711
5450.000000,85.386
5520.000000,85.080
5600.000000,84.843
5700.000000,84.745
5800.000000,84.616
5900.000000,84.463
6000.000000,84.355
6080.000000,84.307
6150.000000,84.288
6220.000000,84.289
6300.000000,84.310
6400.000000,84.366
6500.000000,84.451
6600.000000,84.564
6700.000000,84.706
6800.000000,84.883
6900.000000,85.101
7000.000000,85.373
7100.000000,85.712
7200.000000,86.131
7300.000000,86.646
7400.000000,87.273
7500.000000,88.032
7620.000000,89.132
7750.000000,90.511
7880.000000,91.843
8000.000000,92.605
8120.000000,92.523
8250.000000,91.399
8380.000000,89.551
8500.000000,87.640
8620.000000,85.811
8750.000000,84.041
8850.000000,82.830
9000.000000,81.201
9120.000000,80.023
9250.000000,78.897
9380.000000,77.957
9500.000000,77.233
9620.000000,76.614
9750.000000,76.042
9880.000000,75.563
10000.000000,75.196
10150.000000,74.823
10300.000000,74.536
10440.000000,74.355
10600.000000,74.279
10750.000000,74.369
10900.000000,74.634
11060.000000,75.120
11200.000000,75.726
11380.000000,76.797
11500.000000,77.722
11720.000000,79.871
11800.000000,80.744
12060.000000,83.078
12200.000000,83.398
12410.000000,82.183
12500.000000,81.167
12650.000000,79.164
12800.000000,77.124
13150.000000,73.229
13200.000000,72.783
13400.000000,71.221
13600.000000,69.958
13800.000000,68.973
14000.000000,68.278
14300.000000,67.523
14500.000000,66.846
14750.000000,65.790
15000.000000,64.638
15250.000000,63.718
15500.000000,63.745
15750.000000,64.489
16000.000000,64.727
16250.000000,63.991
16500.000000,63.145
16750.000000,63.134
17000.000000,64.143
17250.000000,65.913
17500.000000,67.879
17750.000000,69.264
18000.000000,69.445
18250.000000,68.351
18500.000000,66.471
18750.000000,64.368
19000.000000,62.281
19250.000000,60.226
19500.000000,58.288
19750.000000,56.714
