* More info about this measurement = https://www.achoreviews.com/solospec
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.007	-154.6806
20.299999	93.997	-155.4343
20.600000	93.980	-156.1620
20.900000	93.956	-156.8493
21.200001	93.927	-157.4825
21.400000	93.907	-157.8727
21.799999	93.871	-158.5941
22.000000	93.857	-158.9408
22.400000	93.837	-159.6497
22.700001	93.825	-160.2266
23.000000	93.812	-160.8556
23.299999	93.791	-161.5209
23.600000	93.761	-162.1933
24.000000	93.707	-163.0492
24.299999	93.661	-163.6323
24.700001	93.601	-164.3308
25.000000	93.560	-164.8197
25.400000	93.511	-165.4673
25.799999	93.466	-166.1393
26.200001	93.416	-166.8273
26.500000	93.376	-167.3332
26.900000	93.319	-167.9720
27.200001	93.277	-168.4217
27.600000	93.224	-168.9958
28.000000	93.175	-169.5646
28.500000	93.114	-170.2822
29.000000	93.049	-170.9814
29.500000	92.982	-171.6313
30.000000	92.919	-172.2377
30.400000	92.871	-172.7141
30.700001	92.836	-173.0733
31.100000	92.787	-173.5495
31.500000	92.737	-174.0099
32.000000	92.673	-174.5523
32.500000	92.614	-175.0781
33.000000	92.558	-175.6259
33.500000	92.498	-176.2036
34.000000	92.430	-176.7725
34.500000	92.356	-177.2829
35.000000	92.285	-177.7224
35.500000	92.221	-178.1204
36.000000	92.166	-178.5134
36.500000	92.115	-178.9149
37.000000	92.068	-179.3208
37.500000	92.022	-179.7287
38.200001	91.959	179.6908
38.700001	91.912	179.2784
39.500000	91.834	178.6644
40.000000	91.787	178.3026
40.599998	91.731	177.8580
41.200001	91.669	177.4025
41.799999	91.601	176.9779
42.500000	91.523	176.5404
43.099998	91.461	176.1661
43.700001	91.397	175.7621
44.400002	91.315	175.3023
45.000000	91.242	174.9741
45.500000	91.186	174.7462
46.200001	91.119	174.4416
46.799999	91.069	174.1475
47.500000	91.009	173.7694
48.200001	90.943	173.4179
48.700001	90.896	173.2112
49.400002	90.837	172.9612
50.000000	90.794	172.7313
50.799999	90.735	172.3751
51.500000	90.674	172.0693
52.200001	90.609	171.8151
53.000000	90.538	171.5768
53.799999	90.474	171.3487
54.500000	90.420	171.1343
55.200001	90.368	170.9073
56.000000	90.308	170.6435
57.000000	90.237	170.2962
58.000000	90.160	169.9485
59.000000	90.077	169.7082
60.000000	90.007	169.5800
60.799999	89.959	169.4835
61.500000	89.916	169.3820
62.200001	89.870	169.2708
63.000000	89.811	169.1437
64.000000	89.729	168.9941
65.000000	89.644	168.8368
66.000000	89.559	168.6432
67.000000	89.477	168.4202
68.000000	89.404	168.1832
69.000000	89.339	167.9480
70.000000	89.282	167.7393
71.000000	89.231	167.5685
72.000000	89.182	167.4456
73.000000	89.131	167.3676
74.000000	89.077	167.3129
75.000000	89.017	167.2645
76.199997	88.942	167.1890
77.500000	88.857	167.0681
78.800003	88.771	166.9290
80.000000	88.695	166.8171
81.199997	88.626	166.7399
82.500000	88.557	166.6882
83.800003	88.491	166.6610
85.000000	88.431	166.6512
86.199997	88.373	166.6464
87.500000	88.310	166.6385
88.500000	88.262	166.6331
90.000000	88.193	166.6243
91.199997	88.139	166.6078
92.500000	88.079	166.5918
93.800003	88.017	166.5989
95.000000	87.961	166.6286
96.199997	87.909	166.6691
97.500000	87.856	166.7084
98.800003	87.803	166.7380
100.000000	87.754	166.7650
101.500000	87.692	166.8093
103.000000	87.633	166.8633
104.400002	87.580	166.9171
106.000000	87.522	166.9811
107.500000	87.469	167.0513
109.000000	87.415	167.1436
110.599998	87.360	167.2526
112.000000	87.314	167.3342
113.800003	87.256	167.4146
115.000000	87.217	167.4614
117.199997	87.146	167.5759
118.000000	87.122	167.6350
120.599998	87.051	167.8629
122.000000	87.016	167.9808
124.099998	86.961	168.1480
125.000000	86.937	168.2186
126.500000	86.897	168.3336
128.000000	86.858	168.4466
131.500000	86.769	168.7261
132.000000	86.757	168.7678
134.000000	86.712	168.9325
136.000000	86.667	169.0910
138.000000	86.621	169.2546
140.000000	86.576	169.4320
143.000000	86.510	169.7236
145.000000	86.464	169.9434
147.500000	86.405	170.2352
150.000000	86.352	170.5040
152.500000	86.310	170.7117
155.000000	86.272	170.8921
157.500000	86.233	171.0961
160.000000	86.191	171.3251
162.500000	86.149	171.5729
165.000000	86.109	171.8401
167.500000	86.071	172.1165
170.000000	86.032	172.3807
172.500000	85.992	172.6277
175.000000	85.954	172.8717
177.500000	85.920	173.1188
180.000000	85.887	173.3676
182.500000	85.854	173.6204
185.000000	85.820	173.8815
187.500000	85.787	174.1467
190.000000	85.755	174.4070
192.500000	85.724	174.6626
195.000000	85.694	174.9233
197.500000	85.663	175.1924
200.000000	85.633	175.4613
203.000000	85.600	175.7681
206.000000	85.570	176.0609
209.000000	85.541	176.3588
212.000000	85.515	176.6655
214.000000	85.498	176.8706
218.000000	85.464	177.2759
220.000000	85.446	177.4769
224.000000	85.408	177.8780
227.000000	85.380	178.1775
230.000000	85.354	178.4785
233.000000	85.329	178.7823
236.000000	85.304	179.0843
240.000000	85.273	179.4779
243.000000	85.253	179.7750
247.000000	85.229	-179.8100
250.000000	85.212	-179.4931
254.000000	85.185	-179.0802
258.000000	85.158	-178.6808
262.000000	85.132	-178.3039
265.000000	85.113	-178.0313
269.000000	85.091	-177.6670
272.000000	85.076	-177.3871
276.000000	85.056	-177.0002
280.000000	85.036	-176.6032
285.000000	85.012	-176.1108
290.000000	84.990	-175.6325
295.000000	84.968	-175.1623
300.000000	84.946	-174.6955
304.000000	84.928	-174.3307
307.000000	84.916	-174.0575
311.000000	84.901	-173.6845
315.000000	84.888	-173.3028
320.000000	84.873	-172.8314
325.000000	84.859	-172.3737
330.000000	84.846	-171.9194
335.000000	84.832	-171.4659
340.000000	84.816	-171.0216
345.000000	84.799	-170.5898
350.000000	84.785	-170.1550
355.000000	84.774	-169.6998
360.000000	84.766	-169.2328
365.000000	84.757	-168.7732
370.000000	84.747	-168.3259
375.000000	84.738	-167.8834
382.000000	84.728	-167.2722
387.000000	84.722	-166.8461
395.000000	84.713	-166.1662
400.000000	84.705	-165.7368
406.000000	84.696	-165.2170
412.000000	84.689	-164.6924
418.000000	84.683	-164.1664
425.000000	84.677	-163.5552
431.000000	84.672	-163.0389
437.000000	84.667	-162.5387
444.000000	84.661	-161.9742
450.000000	84.659	-161.4901
455.000000	84.659	-161.0790
462.000000	84.660	-160.4985
468.000000	84.659	-160.0015
475.000000	84.657	-159.4182
482.000000	84.656	-158.8300
487.000000	84.657	-158.4114
494.000000	84.658	-157.8300
500.000000	84.661	-157.3350
508.000000	84.665	-156.6778
515.000000	84.669	-156.1014
522.000000	84.674	-155.5217
530.000000	84.679	-154.8603
538.000000	84.685	-154.2112
545.000000	84.690	-153.6509
552.000000	84.697	-153.0915
560.000000	84.705	-152.4504
570.000000	84.716	-151.6429
580.000000	84.727	-150.8281
590.000000	84.739	-150.0169
600.000000	84.754	-149.2162
608.000000	84.768	-148.5764
615.000000	84.780	-148.0160
622.000000	84.793	-147.4572
630.000000	84.808	-146.8218
640.000000	84.829	-146.0300
650.000000	84.850	-145.2325
660.000000	84.873	-144.4248
670.000000	84.895	-143.6133
680.000000	84.917	-142.8064
690.000000	84.941	-142.0098
700.000000	84.966	-141.2156
710.000000	84.995	-140.4142
720.000000	85.026	-139.6082
730.000000	85.059	-138.8043
740.000000	85.094	-138.0065
750.000000	85.130	-137.2106
762.000000	85.174	-136.2488
775.000000	85.224	-135.2087
788.000000	85.278	-134.1778
800.000000	85.330	-133.2306
812.000000	85.386	-132.2867
825.000000	85.451	-131.2659
838.000000	85.519	-130.2427
850.000000	85.585	-129.3009
862.000000	85.654	-128.3739
875.000000	85.732	-127.3932
885.000000	85.794	-126.6535
900.000000	85.890	-125.5565
912.000000	85.972	-124.6842
925.000000	86.063	-123.7477
938.000000	86.157	-122.8318
950.000000	86.246	-122.0154
962.000000	86.336	-121.2292
975.000000	86.436	-120.4064
988.000000	86.537	-119.6084
1000.000000	86.633	-118.8920
1015.000000	86.754	-118.0237
1030.000000	86.877	-117.1869
1044.000000	86.993	-116.4345
1060.000000	87.127	-115.6060
1075.000000	87.253	-114.8611
1090.000000	87.379	-114.1515
1106.000000	87.511	-113.4354
1120.000000	87.625	-112.8409
1138.000000	87.769	-112.1090
1150.000000	87.864	-111.6342
1172.000000	88.036	-110.7872
1180.000000	88.098	-110.4881
1206.000000	88.296	-109.5549
1220.000000	88.401	-109.0764
1241.000000	88.556	-108.3827
1250.000000	88.621	-108.0921
1265.000000	88.729	-107.6147
1280.000000	88.835	-107.1436
1315.000000	89.080	-106.0598
1320.000000	89.115	-105.9068
1340.000000	89.254	-105.3028
1360.000000	89.392	-104.7134
1380.000000	89.529	-104.1350
1400.000000	89.666	-103.5652
1430.000000	89.872	-102.7318
1450.000000	90.011	-102.1914
1475.000000	90.185	-101.5349
