* More info about this measurement = https://www.achoreviews.com/solospec
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.688	-118.6229
20.600000	97.707	-118.9507
20.900000	97.753	-119.6431
21.200001	97.801	-120.4009
21.400000	97.831	-120.9060
21.799999	97.887	-121.8963
22.000000	97.913	-122.3762
22.400000	97.964	-123.3084
22.700001	98.000	-123.9855
23.000000	98.034	-124.6464
23.299999	98.065	-125.2958
23.600000	98.093	-125.9380
24.000000	98.126	-126.7881
24.299999	98.146	-127.4221
24.700001	98.167	-128.2585
25.000000	98.180	-128.8732
25.400000	98.195	-129.6673
25.799999	98.208	-130.4265
26.200001	98.221	-131.1526
26.500000	98.233	-131.6811
26.900000	98.249	-132.3736
27.200001	98.261	-132.8896
27.600000	98.277	-133.5766
28.000000	98.292	-134.2602
28.500000	98.307	-135.1006
29.000000	98.321	-135.9173
29.500000	98.334	-136.7111
30.000000	98.345	-137.4867
30.400000	98.352	-138.0936
30.700001	98.356	-138.5387
31.100000	98.360	-139.1168
31.500000	98.364	-139.6787
32.000000	98.371	-140.3669
32.500000	98.378	-141.0476
33.000000	98.384	-141.7180
33.500000	98.388	-142.3660
34.000000	98.390	-142.9852
34.500000	98.393	-143.5853
35.000000	98.397	-144.1814
35.500000	98.401	-144.7780
36.000000	98.403	-145.3643
36.500000	98.404	-145.9283
37.000000	98.408	-146.4711
37.500000	98.413	-147.0070
38.200001	98.420	-147.7660
38.700001	98.420	-148.3075
39.500000	98.414	-149.1338
40.000000	98.410	-149.6242
40.599998	98.408	-150.2103
41.200001	98.406	-150.8153
41.799999	98.402	-151.4335
42.500000	98.395	-152.1396
43.099998	98.390	-152.7114
43.700001	98.387	-153.2503
44.400002	98.389	-153.8462
45.000000	98.391	-154.3397
45.500000	98.390	-154.7461
46.200001	98.383	-155.3117
46.799999	98.370	-155.7897
47.500000	98.351	-156.3366
48.200001	98.333	-156.8819
48.700001	98.324	-157.2773
49.400002	98.317	-157.8390
50.000000	98.315	-158.3205
50.799999	98.312	-158.9520
51.500000	98.307	-159.4911
52.200001	98.295	-160.0155
53.000000	98.278	-160.5897
53.799999	98.261	-161.1293
54.500000	98.249	-161.5768
55.200001	98.240	-162.0157
56.000000	98.231	-162.5209
57.000000	98.213	-163.1529
58.000000	98.193	-163.7661
59.000000	98.174	-164.3588
60.000000	98.159	-164.9369
60.799999	98.147	-165.3882
61.500000	98.136	-165.7742
62.200001	98.125	-166.1505
63.000000	98.111	-166.5685
64.000000	98.091	-167.0861
65.000000	98.067	-167.6175
66.000000	98.041	-168.1575
67.000000	98.016	-168.6843
68.000000	97.996	-169.1869
69.000000	97.977	-169.6672
70.000000	97.959	-170.1309
71.000000	97.940	-170.5861
72.000000	97.921	-171.0391
73.000000	97.898	-171.4854
74.000000	97.873	-171.9154
75.000000	97.846	-172.3273
76.199997	97.813	-172.8106
77.500000	97.779	-173.3300
78.800003	97.746	-173.8279
80.000000	97.717	-174.2513
81.199997	97.688	-174.6517
82.500000	97.656	-175.0866
83.800003	97.622	-175.5268
85.000000	97.589	-175.9279
86.199997	97.555	-176.3203
87.500000	97.518	-176.7314
88.500000	97.491	-177.0363
90.000000	97.454	-177.4825
91.199997	97.427	-177.8307
92.500000	97.398	-178.1933
93.800003	97.366	-178.5446
95.000000	97.334	-178.8659
96.199997	97.302	-179.1849
97.500000	97.270	-179.5225
98.800003	97.239	-179.8480
100.000000	97.209	179.8590
101.500000	97.169	179.4966
103.000000	97.127	179.1396
104.400002	97.091	178.8234
106.000000	97.054	178.4942
107.500000	97.018	178.2001
109.000000	96.981	177.9015
110.599998	96.939	177.5881
112.000000	96.902	177.3317
113.800003	96.854	177.0256
115.000000	96.822	176.8280
117.199997	96.765	176.4680
118.000000	96.745	176.3385
120.599998	96.682	175.9164
122.000000	96.649	175.6887
124.099998	96.598	175.3593
125.000000	96.577	175.2231
126.500000	96.541	175.0022
128.000000	96.506	174.7896
131.500000	96.425	174.3398
132.000000	96.414	174.2823
134.000000	96.369	174.0653
136.000000	96.322	173.8607
138.000000	96.275	173.6707
140.000000	96.227	173.4973
143.000000	96.153	173.2488
145.000000	96.102	173.0889
147.500000	96.041	172.9020
150.000000	95.984	172.7257
152.500000	95.928	172.5580
155.000000	95.872	172.3994
157.500000	95.814	172.2437
160.000000	95.755	172.0974
162.500000	95.697	171.9787
165.000000	95.640	171.8828
167.500000	95.585	171.7896
170.000000	95.532	171.6966
172.500000	95.480	171.6201
175.000000	95.428	171.5668
177.500000	95.375	171.5228
180.000000	95.322	171.4729
182.500000	95.270	171.4174
185.000000	95.219	171.3668
187.500000	95.167	171.3317
190.000000	95.117	171.3166
192.500000	95.067	171.3185
195.000000	95.019	171.3330
197.500000	94.971	171.3572
200.000000	94.924	171.3856
203.000000	94.866	171.4148
206.000000	94.807	171.4362
209.000000	94.747	171.4591
212.000000	94.687	171.4986
214.000000	94.646	171.5385
218.000000	94.561	171.6463
220.000000	94.517	171.7170
224.000000	94.423	171.9157
227.000000	94.350	172.1343
230.000000	94.279	172.4356
233.000000	94.217	172.8321
236.000000	94.171	173.3012
240.000000	94.139	173.9448
243.000000	94.135	174.3671
247.000000	94.145	174.7919
250.000000	94.154	175.0064
254.000000	94.159	175.1936
258.000000	94.153	175.3270
262.000000	94.138	175.4527
265.000000	94.124	175.5527
269.000000	94.101	175.6993
272.000000	94.084	175.8238
276.000000	94.060	176.0065
280.000000	94.038	176.1984
285.000000	94.013	176.4476
290.000000	93.990	176.7215
295.000000	93.970	177.0372
300.000000	93.955	177.4047
304.000000	93.949	177.7391
307.000000	93.949	178.0133
311.000000	93.954	178.4073
315.000000	93.963	178.8293
320.000000	93.976	179.3818
325.000000	93.987	179.9333
330.000000	93.995	-179.5444
335.000000	94.000	-179.0580
340.000000	94.002	-178.5966
345.000000	94.001	-178.1441
350.000000	93.997	-177.6826
355.000000	93.990	-177.1985
360.000000	93.982	-176.6930
365.000000	93.974	-176.1614
370.000000	93.969	-175.5975
375.000000	93.972	-175.0220
382.000000	93.986	-174.2590
387.000000	93.998	-173.7496
395.000000	94.011	-172.9447
400.000000	94.015	-172.4364
406.000000	94.017	-171.8255
412.000000	94.016	-171.2086
418.000000	94.015	-170.5857
425.000000	94.013	-169.8660
431.000000	94.013	-169.2548
437.000000	94.015	-168.6381
