* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 20, 2023 1:37:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: U4S M12 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.471	69.6702
20.299999	88.518	68.3474
20.600000	88.571	67.1191
20.900000	88.635	65.9395
21.200001	88.709	64.7677
21.400000	88.761	63.9847
21.799999	88.869	62.4332
22.000000	88.925	61.6771
22.400000	89.039	60.2307
22.700001	89.129	59.2043
23.000000	89.225	58.2105
23.299999	89.323	57.2273
23.600000	89.418	56.2473
24.000000	89.533	54.9598
24.299999	89.605	54.0431
24.700001	89.686	52.9365
25.000000	89.740	52.2106
25.400000	89.811	51.3635
25.799999	89.886	50.5887
26.200001	89.963	49.8118
26.500000	90.019	49.2023
26.900000	90.085	48.3529
27.200001	90.128	47.7007
27.600000	90.178	46.8258
28.000000	90.224	45.9441
28.500000	90.279	44.8049
29.000000	90.330	43.6037
29.500000	90.370	42.3721
30.000000	90.403	41.1819
30.400000	90.430	40.2913
30.700001	90.454	39.6569
31.100000	90.494	38.8336
31.500000	90.541	38.0124
32.000000	90.603	36.9729
32.500000	90.664	35.9382
33.000000	90.722	34.9353
33.500000	90.781	33.9543
34.000000	90.838	32.9530
34.500000	90.886	31.9109
35.000000	90.916	30.8651
35.500000	90.931	29.8880
36.000000	90.942	29.0148
36.500000	90.961	28.2053
37.000000	90.989	27.3732
37.500000	91.020	26.4672
38.200001	91.046	25.1340
38.700001	91.052	24.2367
39.500000	91.069	22.9904
40.000000	91.096	22.2618
40.599998	91.141	21.3333
41.200001	91.183	20.3173
41.799999	91.210	19.2847
42.500000	91.227	18.1740
43.099998	91.241	17.3157
43.700001	91.259	16.4828
44.400002	91.278	15.4971
45.000000	91.286	14.6664
45.500000	91.288	14.0114
46.200001	91.293	13.1394
46.799999	91.300	12.3882
47.500000	91.303	11.4770
48.200001	91.297	10.5672
48.700001	91.288	9.9495
49.400002	91.279	9.1289
50.000000	91.279	8.4236
50.799999	91.282	7.4213
51.500000	91.281	6.5038
52.200001	91.276	5.6048
53.000000	91.273	4.6186
53.799999	91.276	3.6346
54.500000	91.276	2.7630
55.200001	91.270	1.9112
56.000000	91.257	0.9900
57.000000	91.237	-0.0936
58.000000	91.214	-1.1268
59.000000	91.189	-2.1238
60.000000	91.167	-3.1047
60.799999	91.153	-3.8984
61.500000	91.142	-4.6077
62.200001	91.129	-5.3240
63.000000	91.113	-6.1292
64.000000	91.088	-7.0770
65.000000	91.064	-7.9458
66.000000	91.044	-8.7793
67.000000	91.022	-9.6185
68.000000	90.994	-10.4547
69.000000	90.963	-11.2775
70.000000	90.933	-12.0949
71.000000	90.904	-12.9162
72.000000	90.876	-13.7396
73.000000	90.847	-14.5492
74.000000	90.819	-15.3381
75.000000	90.790	-16.1103
76.199997	90.753	-17.0149
