* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 17, 2023 1:29:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DU
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.427	-139.9653
20.299999	89.481	-140.5965
20.600000	89.529	-141.1966
20.900000	89.572	-141.7724
21.200001	89.610	-142.3304
21.400000	89.633	-142.6960
21.799999	89.671	-143.4181
22.000000	89.688	-143.7785
22.400000	89.717	-144.5055
22.700001	89.734	-145.0611
23.000000	89.749	-145.6279
23.299999	89.762	-146.2053
23.600000	89.774	-146.7917
24.000000	89.788	-147.5851
24.299999	89.799	-148.1875
24.700001	89.816	-148.9986
25.000000	89.829	-149.6100
25.400000	89.849	-150.4219
25.799999	89.870	-151.2191
26.200001	89.894	-151.9913
26.500000	89.913	-152.5506
26.900000	89.941	-153.2687
27.200001	89.962	-153.7871
27.600000	89.991	-154.4524
28.000000	90.019	-155.0889
28.500000	90.051	-155.8453
29.000000	90.077	-156.5618
29.500000	90.098	-157.2442
30.000000	90.114	-157.9010
30.400000	90.122	-158.4144
30.700001	90.126	-158.7955
31.100000	90.129	-159.3015
31.500000	90.130	-159.8078
32.000000	90.130	-160.4445
32.500000	90.129	-161.0891
33.000000	90.127	-161.7427
33.500000	90.127	-162.4027
34.000000	90.126	-163.0632
34.500000	90.127	-163.7168
35.000000	90.127	-164.3553
35.500000	90.128	-164.9710
36.000000	90.130	-165.5594
36.500000	90.133	-166.1218
37.000000	90.136	-166.6633
37.500000	90.138	-167.1876
38.200001	90.138	-167.8954
38.700001	90.136	-168.3848
39.500000	90.131	-169.1530
40.000000	90.125	-169.6302
40.599998	90.116	-170.1999
41.200001	90.106	-170.7628
41.799999	90.094	-171.3186
42.500000	90.081	-171.9604
43.099998	90.069	-172.5048
43.700001	90.056	-173.0405
44.400002	90.041	-173.6519
45.000000	90.027	-174.1638
45.500000	90.015	-174.5799
46.200001	89.997	-175.1418
46.799999	89.982	-175.6051
47.500000	89.967	-176.1353
48.200001	89.952	-176.6666
48.700001	89.942	-177.0489
49.400002	89.926	-177.5847
50.000000	89.911	-178.0399
50.799999	89.888	-178.6320
51.500000	89.865	-179.1276
52.200001	89.840	-179.6002
53.000000	89.812	179.8812
53.799999	89.783	179.3771
54.500000	89.757	178.9434
55.200001	89.731	178.5123
56.000000	89.701	178.0184
57.000000	89.664	177.4016
58.000000	89.627	176.8004
59.000000	89.592	176.2203
60.000000	89.558	175.6508
60.799999	89.530	175.2025
61.500000	89.504	174.8218
62.200001	89.476	174.4554
63.000000	89.443	174.0526
64.000000	89.402	173.5634
65.000000	89.360	173.0769
66.000000	89.318	172.5867
67.000000	89.274	172.0990
68.000000	89.230	171.6212
69.000000	89.186	171.1559
70.000000	89.141	170.7065
71.000000	89.095	170.2771
72.000000	89.048	169.8675
73.000000	89.000	169.4746
74.000000	88.949	169.0929
75.000000	88.897	168.7152
76.199997	88.832	168.2600
77.500000	88.760	167.7631
78.800003	88.688	167.2754
80.000000	88.621	166.8668
81.199997	88.556	166.5398
82.500000	88.490	166.2736
83.800003	88.422	166.0380
85.000000	88.347	165.8569
86.199997	88.260	165.7759
87.500000	88.175	165.7850
88.500000	88.126	165.7894
90.000000	88.078	165.6962
