* Measurement data measured by REW V5.20
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Apr 10, 2021 10:28:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Dunu SA6 L On
* Smoothing: 1/6 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.041039	-176.3068
20.600000	83.042511	-176.3742
20.900000	83.046677	-176.5593
21.200001	83.049545	-176.7900
21.400000	83.049805	-176.9634
21.799999	83.045624	-177.3434
22.000000	83.041183	-177.5433
22.400000	83.028770	-177.9531
22.700001	83.017960	-178.2665
23.000000	83.007492	-178.5859
23.299999	82.998474	-178.9147
23.600000	82.991516	-179.2558
24.000000	82.985832	-179.7333
24.299999	82.984177	179.8913
24.700001	82.984970	179.3705
25.000000	82.987457	178.9693
25.400000	82.992859	178.4267
25.799999	83.000313	177.8829
26.200001	83.009415	177.3434
26.500000	83.016960	176.9438
26.900000	83.027328	176.4194
27.200001	83.034775	176.0335
27.600000	83.043457	175.5312
28.000000	83.050056	175.0461
28.500000	83.054993	174.4686
29.000000	83.056610	173.9239
29.500000	83.055626	173.4068
30.000000	83.052582	172.9073
30.400000	83.048767	172.5135
30.700001	83.045082	172.2189
31.100000	83.039062	171.8252
31.500000	83.031853	171.4288
32.000000	83.021324	170.9285
32.500000	83.009415	170.4234
33.000000	82.996552	169.9161
33.500000	82.983353	169.4099
34.000000	82.970505	168.9078
34.500000	82.958656	168.4111
35.000000	82.948151	167.9196
35.500000	82.938957	167.4329
36.000000	82.930786	166.9507
36.500000	82.923210	166.4728
37.000000	82.915665	165.9994
37.500000	82.907578	165.5311
38.200001	82.894417	164.8869
38.700001	82.883469	164.4372
39.500000	82.863632	163.7372
40.000000	82.850212	163.3096
40.599998	82.833366	162.8022
41.200001	82.815720	162.2976
41.799999	82.797211	161.7934
42.500000	82.774467	161.2057
43.099998	82.754005	160.7037
43.700001	82.732796	160.2061
44.400002	82.707352	159.6344
45.000000	82.685249	159.1549
45.500000	82.666809	158.7644
46.200001	82.641289	158.2332
46.799999	82.620041	157.7926
47.500000	82.596237	157.2922
48.200001	82.573151	156.8011
48.700001	82.556534	156.4542
49.400002	82.532433	155.9750
50.000000	82.510933	155.5723
50.799999	82.481781	155.0463
51.500000	82.456703	154.5903
52.200001	82.432381	154.1285
53.000000	82.404930	153.5833
53.799999	82.376518	153.0154
54.500000	82.349976	152.5050
55.200001	82.321831	151.9903
56.000000	82.288445	151.4055
57.000000	82.246246	150.6883
58.000000	82.204460	149.9922
59.000000	82.163231	149.3207
60.000000	82.122330	148.6743
60.799999	82.089577	148.1733
61.500000	82.060753	147.7444
62.200001	82.031662	147.3219
63.000000	81.998032	146.8442
64.000000	81.955360	146.2523
65.000000	81.912056	145.6656
66.000000	81.868347	145.0861
67.000000	81.824448	144.5162
68.000000	81.780296	143.9579
69.000000	81.735764	143.4113
70.000000	81.690742	142.8745
71.000000	81.645233	142.3438
72.000000	81.599358	141.8155
73.000000	81.553413	141.2877
74.000000	81.507683	140.7607
75.000000	81.462280	140.2377
76.199997	81.408112	139.6220
