* Measurement data measured by REW V5.20
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Apr 28, 2021 12:32:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SSR R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	62.312008	-92.4744
20.600000	62.469017	-92.5475
20.900000	62.667725	-92.8288
21.200001	62.874344	-93.6033
21.400000	62.988316	-94.4191
21.799999	63.116623	-96.5481
22.000000	63.116993	-97.6821
22.400000	62.993832	-99.6072
22.700001	62.839008	-100.4134
23.000000	62.701077	-100.5324
23.299999	62.642059	-100.1829
23.600000	62.684494	-99.7356
24.000000	62.877094	-99.5597
24.299999	63.068878	-99.9648
24.700001	63.319756	-101.1127
25.000000	63.482056	-102.2094
25.400000	63.665638	-103.7369
25.799999	63.825855	-105.2132
26.200001	63.966167	-106.5920
26.500000	64.056068	-107.5103
26.900000	64.159485	-108.4866
27.200001	64.235413	-108.9962
27.600000	64.349915	-109.4259
28.000000	64.481697	-109.7116
28.500000	64.645370	-109.9748
29.000000	64.794724	-109.9862
29.500000	64.973221	-109.6934
30.000000	65.221161	-109.5809
30.400000	65.434578	-110.0483
30.700001	65.564278	-110.7817
31.100000	65.653938	-112.0533
31.500000	65.640984	-113.2886
32.000000	65.539467	-114.2604
32.500000	65.464157	-114.5505
33.000000	65.495506	-114.8202
33.500000	65.588326	-115.7316
34.000000	65.636719	-117.2395
34.500000	65.603500	-118.6345
35.000000	65.562286	-119.3368
35.500000	65.623947	-119.4793
36.000000	65.808876	-119.6986
36.500000	66.049271	-120.3336
37.000000	66.279327	-121.2919
37.500000	66.464203	-122.4356
38.200001	66.568069	-123.8776
38.700001	66.546204	-124.0302
39.500000	66.709000	-122.9559
40.000000	66.932007	-123.4273
40.599998	66.973335	-125.5369
41.200001	66.684143	-126.8076
41.799999	66.461815	-126.4654
42.500000	66.406715	-127.2376
43.099998	66.141571	-128.1712
43.700001	66.095970	-126.5722
44.400002	66.871246	-127.2015
45.000000	67.280876	-132.8555
45.500000	67.048218	-135.8726
46.200001	67.303520	-132.4420
46.799999	68.910004	-134.1129
47.500000	69.900139	-147.9464
48.200001	68.392448	-161.3841
48.700001	66.162445	-158.6519
49.400002	66.085831	-137.0463
50.000000	67.877487	-134.6335
50.799999	68.096375	-140.0015
51.500000	67.698860	-136.8560
52.200001	68.186508	-134.9070
53.000000	68.121208	-138.8352
53.799999	67.380157	-138.1931
54.500000	67.444893	-135.8835
55.200001	67.677879	-137.7598
56.000000	67.457550	-140.4171
57.000000	67.446060	-139.5750
58.000000	67.995132	-141.0035
59.000000	68.136223	-143.4389
60.000000	68.203491	-143.5527
60.799999	68.245079	-143.6132
61.500000	68.214012	-143.0980
62.200001	68.270744	-142.3846
63.000000	68.365288	-142.6024
64.000000	68.368942	-143.6268
65.000000	68.363052	-145.1128
66.000000	68.333275	-146.8106
67.000000	68.324379	-148.2362
68.000000	68.349953	-148.7848
69.000000	68.529297	-148.9409
70.000000	68.665321	-149.4259
71.000000	68.774841	-149.2408
72.000000	68.910301	-149.8707
73.000000	68.787697	-150.7514
74.000000	68.673599	-150.3257
75.000000	68.661240	-150.8388
76.199997	68.440041	-150.7307
77.500000	68.760536	-149.8998
78.800003	68.852516	-153.4676
80.000000	68.674736	-153.6742
81.199997	68.821350	-155.0355
