* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 1, 2023 12:42:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RED R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.350	-160.5676
20.299999	84.379	-160.9388
20.600000	84.402	-161.2921
20.900000	84.419	-161.6429
21.200001	84.427	-162.0018
21.400000	84.429	-162.2475
21.799999	84.423	-162.7548
22.000000	84.415	-163.0171
22.400000	84.395	-163.5627
22.700001	84.377	-163.9963
23.000000	84.357	-164.4559
23.299999	84.337	-164.9412
23.600000	84.318	-165.4485
24.000000	84.295	-166.1504
24.299999	84.280	-166.6896
24.700001	84.268	-167.4200
25.000000	84.263	-167.9727
25.400000	84.262	-168.7074
25.799999	84.267	-169.4226
26.200001	84.275	-170.0991
26.500000	84.283	-170.5730
26.900000	84.297	-171.1574
27.200001	84.308	-171.5617
27.600000	84.323	-172.0597
28.000000	84.336	-172.5164
28.500000	84.348	-173.0374
29.000000	84.352	-173.5151
29.500000	84.347	-173.9636
30.000000	84.333	-174.3989
30.400000	84.317	-174.7477
30.700001	84.303	-175.0136
31.100000	84.281	-175.3780
31.500000	84.258	-175.7564
32.000000	84.228	-176.2521
32.500000	84.200	-176.7744
33.000000	84.174	-177.3180
33.500000	84.150	-177.8707
34.000000	84.131	-178.4164
34.500000	84.115	-178.9457
35.000000	84.104	-179.4572
35.500000	84.095	-179.9493
36.000000	84.086	179.5858
36.500000	84.075	179.1573
37.000000	84.062	178.7679
37.500000	84.048	178.4092
38.200001	84.027	177.9318
38.700001	84.008	177.5938
39.500000	83.973	177.0489
40.000000	83.948	176.7064
40.599998	83.916	176.2925
41.200001	83.884	175.8739
41.799999	83.853	175.4540
42.500000	83.817	174.9722
43.099998	83.789	174.5712
43.700001	83.762	174.1796
44.400002	83.733	173.7290
45.000000	83.705	173.3474
45.500000	83.680	173.0393
46.200001	83.642	172.6385
46.799999	83.610	172.3245
47.500000	83.577	171.9630
48.200001	83.544	171.5745
48.700001	83.519	171.2866
49.400002	83.481	170.9025
50.000000	83.450	170.6017
50.799999	83.415	170.2087
51.500000	83.387	169.8451
52.200001	83.356	169.4766
53.000000	83.317	169.0786
53.799999	83.278	168.7089
54.500000	83.244	168.3969
55.200001	83.210	168.0864
56.000000	83.170	167.7298
57.000000	83.119	167.2868
58.000000	83.065	166.8599
59.000000	83.009	166.4641
60.000000	82.952	166.1085
