* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 1, 2023 7:43:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: VE PHOENIX R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.848	60.8442
20.299999	96.917	60.3360
20.600000	96.983	59.8200
20.900000	97.049	59.2986
21.200001	97.114	58.7739
21.400000	97.157	58.4236
21.799999	97.241	57.7253
22.000000	97.282	57.3793
22.400000	97.363	56.6981
22.700001	97.423	56.1994
23.000000	97.482	55.7125
23.299999	97.539	55.2372
23.600000	97.595	54.7730
24.000000	97.667	54.1710
24.299999	97.718	53.7331
24.700001	97.782	53.1691
25.000000	97.826	52.7617
25.400000	97.882	52.2386
25.799999	97.932	51.7358
26.200001	97.979	51.2510
26.500000	98.012	50.8993
26.900000	98.053	50.4472
27.200001	98.083	50.1207
27.600000	98.124	49.6982
28.000000	98.169	49.2793
28.500000	98.230	48.7349
29.000000	98.297	48.1372
29.500000	98.365	47.4722
30.000000	98.431	46.7487
30.400000	98.480	46.1438
30.700001	98.514	45.6839
31.100000	98.557	45.0729
31.500000	98.597	44.4727
32.000000	98.643	43.7467
32.500000	98.688	43.0513
33.000000	98.731	42.3841
33.500000	98.773	41.7389
34.000000	98.813	41.1102
34.500000	98.852	40.4957
35.000000	98.888	39.8944
35.500000	98.922	39.3038
36.000000	98.955	38.7206
36.500000	98.987	38.1437
37.000000	99.018	37.5733
37.500000	99.048	37.0088
38.200001	99.092	36.2221
38.700001	99.123	35.6586
39.500000	99.173	34.7570
40.000000	99.203	34.2001
40.599998	99.238	33.5436
41.200001	99.272	32.9021
41.799999	99.306	32.2773
42.500000	99.344	31.5703
43.099998	99.376	30.9803
43.700001	99.408	30.3993
44.400002	99.444	29.7275
45.000000	99.473	29.1548
45.500000	99.496	28.6791
46.200001	99.527	28.0150
46.799999	99.550	27.4476
47.500000	99.575	26.7894
48.200001	99.597	26.1377
48.700001	99.612	25.6777
49.400002	99.631	25.0419
50.000000	99.646	24.5027
50.799999	99.666	23.7871
51.500000	99.683	23.1620
52.200001	99.698	22.5402
53.000000	99.715	21.8366
53.799999	99.731	21.1406
54.500000	99.743	20.5379
55.200001	99.755	19.9425
56.000000	99.766	19.2725
57.000000	99.779	18.4520
58.000000	99.790	17.6474
59.000000	99.800	16.8494
60.000000	99.809	16.0521
60.799999	99.815	15.4172
61.500000	99.820	14.8666
62.200001	99.824	14.3223
63.000000	99.828	13.7092
64.000000	99.833	12.9589
65.000000	99.836	12.2271
66.000000	99.837	11.5098
67.000000	99.836	10.8026
68.000000	99.834	10.1041
69.000000	99.831	9.4119
70.000000	99.827	8.7234
71.000000	99.824	8.0395
72.000000	99.819	7.3647
73.000000	99.815	6.7029
74.000000	99.809	6.0555
75.000000	99.803	5.4222
76.199997	99.794	4.6789
77.500000	99.782	3.8930
78.800003	99.769	3.1256
80.000000	99.756	2.4300
81.199997	99.743	1.7451
82.500000	99.729	1.0162
83.800003	99.714	0.3020
85.000000	99.700	-0.3433
86.199997	99.684	-0.9738
87.500000	99.666	-1.6390
88.500000	99.652	-2.1385
90.000000	99.629	-2.8715
91.199997	99.610	-3.4457
92.500000	99.589	-4.0558
93.800003	99.569	-4.6529
95.000000	99.550	-5.1924
96.199997	99.531	-5.7207
97.500000	99.510	-6.2797
98.800003	99.488	-6.8251
100.000000	99.467	-7.3170
101.500000	99.440	-7.9176
103.000000	99.412	-8.5034
104.400002	99.385	-9.0369
106.000000	99.355	-9.6310
107.500000	99.327	-10.1739
109.000000	99.299	-10.7036
110.599998	99.270	-11.2526
112.000000	99.243	-11.7189
113.800003	99.207	-12.3014
115.000000	99.183	-12.6813
117.199997	99.138	-13.3652
118.000000	99.122	-13.6100
120.599998	99.068	-14.3866
122.000000	99.038	-14.7895
124.099998	98.994	-15.3720
125.000000	98.976	-15.6144
126.500000	98.945	-16.0112
128.000000	98.914	-16.4004
131.500000	98.841	-17.2811
132.000000	98.830	-17.4034
134.000000	98.787	-17.8840
136.000000	98.743	-18.3497
138.000000	98.699	-18.7986
140.000000	98.654	-19.2295
143.000000	98.587	-19.8424
145.000000	98.543	-20.2288
147.500000	98.491	-20.6995
150.000000	98.439	-21.1776
152.500000	98.384	-21.6627
155.000000	98.326	-22.1452
157.500000	98.267	-22.6039
160.000000	98.205	-23.0107
162.500000	98.143	-23.3540
165.000000	98.084	-23.6356
167.500000	98.030	-23.8639
170.000000	97.977	-24.0504
172.500000	97.921	-24.2057
175.000000	97.865	-24.3401
177.500000	97.813	-24.4555
180.000000	97.773	-24.5408
182.500000	97.749	-24.5939
185.000000	97.742	-24.6395
187.500000	97.753	-24.7227
190.000000	97.775	-24.8919
192.500000	97.798	-25.1776
195.000000	97.815	-25.5832
197.500000	97.817	-26.0844
200.000000	97.803	-26.6383
203.000000	97.768	-27.3163
206.000000	97.721	-27.9755
209.000000	97.668	-28.6058
212.000000	97.614	-29.1976
214.000000	97.577	-29.5650
218.000000	97.502	-30.2263
220.000000	97.465	-30.5203
224.000000	97.391	-31.0481
227.000000	97.335	-31.4088
230.000000	97.280	-31.7511
233.000000	97.223	-32.0794
236.000000	97.167	-32.3972
240.000000	97.095	-32.8087
243.000000	97.042	-33.1094
247.000000	96.974	-33.5016
250.000000	96.924	-33.7870
254.000000	96.859	-34.1494
258.000000	96.795	-34.4905
262.000000	96.733	-34.8188
265.000000	96.686	-35.0617
269.000000	96.624	-35.3816
272.000000	96.577	-35.6161
276.000000	96.517	-35.9193
280.000000	96.456	-36.2146
285.000000	96.382	-36.5802
290.000000	96.310	-36.9404
295.000000	96.238	-37.2866
300.000000	96.166	-37.6203
304.000000	96.108	-37.8806
307.000000	96.065	-38.0712
311.000000	96.008	-38.3169
315.000000	95.952	-38.5526
320.000000	95.883	-38.8391
325.000000	95.815	-39.1240
330.000000	95.748	-39.4127
335.000000	95.680	-39.6922
340.000000	95.612	-39.9509
345.000000	95.546	-40.2042
350.000000	95.479	-40.4510
355.000000	95.411	-40.6728
360.000000	95.345	-40.8778
365.000000	95.283	-41.0935
370.000000	95.222	-41.3289
375.000000	95.160	-41.5699
382.000000	95.074	-41.8883
387.000000	95.010	-42.0887
395.000000	94.909	-42.3434
400.000000	94.848	-42.4754
406.000000	94.777	-42.6484
412.000000	94.705	-42.8648
418.000000	94.635	-43.1043
425.000000	94.560	-43.3539
431.000000	94.499	-43.5366
437.000000	94.434	-43.7141
444.000000	94.352	-43.8991
450.000000	94.279	-44.0279
455.000000	94.220	-44.1307
462.000000	94.143	-44.2852
468.000000	94.078	-44.4199
475.000000	94.001	-44.5689
482.000000	93.926	-44.7144
487.000000	93.876	-44.8172
494.000000	93.812	-44.9531
500.000000	93.755	-45.0593
508.000000	93.673	-45.1865
515.000000	93.601	-45.2780
522.000000	93.535	-45.3473
530.000000	93.462	-45.4185
538.000000	93.385	-45.5042
545.000000	93.315	-45.5794
552.000000	93.249	-45.6287
560.000000	93.181	-45.6474
570.000000	93.100	-45.6653
580.000000	93.013	-45.7185
590.000000	92.928	-45.7488
600.000000	92.853	-45.7019
608.000000	92.795	-45.6452
615.000000	92.741	-45.6170
622.000000	92.687	-45.6072
630.000000	92.627	-45.5826
640.000000	92.559	-45.4832
650.000000	92.495	-45.3349
660.000000	92.433	-45.2115
670.000000	92.376	-45.1212
680.000000	92.327	-45.0123
690.000000	92.284	-44.8691
700.000000	92.243	-44.7358
710.000000	92.202	-44.6469
720.000000	92.161	-44.5787
730.000000	92.123	-44.4849
740.000000	92.085	-44.3534
750.000000	92.048	-44.2097
762.000000	92.005	-44.0514
775.000000	91.965	-43.8777
788.000000	91.931	-43.6652
800.000000	91.903	-43.4468
812.000000	91.879	-43.2356
825.000000	91.858	-43.0138
838.000000	91.843	-42.7768
850.000000	91.834	-42.5432
862.000000	91.829	-42.3128
875.000000	91.830	-42.0813
885.000000	91.835	-41.9124
900.000000	91.848	-41.6606
912.000000	91.864	-41.4629
925.000000	91.884	-41.2650
938.000000	91.909	-41.0893
950.000000	91.935	-40.9409
962.000000	91.964	-40.8010
975.000000	91.999	-40.6649
988.000000	92.039	-40.5568
1000.000000	92.081	-40.4880
1015.000000	92.138	-40.4392
1030.000000	92.198	-40.4186
1044.000000	92.256	-40.4199
1060.000000	92.325	-40.4546
1075.000000	92.390	-40.5258
1090.000000	92.455	-40.6299
1106.000000	92.525	-40.7674
1120.000000	92.585	-40.9093
1138.000000	92.663	-41.1301
1150.000000	92.715	-41.3024
1172.000000	92.811	-41.6576
1180.000000	92.845	-41.7956
1206.000000	92.954	-42.2705
1220.000000	93.011	-42.5431
1241.000000	93.096	-42.9725
1250.000000	93.133	-43.1626
1265.000000	93.192	-43.4848
1280.000000	93.251	-43.8122
1315.000000	93.387	-44.5952
1320.000000	93.406	-44.7095
1340.000000	93.483	-45.1696
1360.000000	93.557	-45.6290
1380.000000	93.630	-46.0847
1400.000000	93.702	-46.5385
1430.000000	93.808	-47.2205
1450.000000	93.880	-47.6763
1475.000000	93.973	-48.2478
1500.000000	94.070	-48.8261
1525.000000	94.172	-49.4161
1550.000000	94.278	-50.0164
1575.000000	94.385	-50.6240
1600.000000	94.495	-51.2449
1625.000000	94.608	-51.8894
1650.000000	94.723	-52.5607
1675.000000	94.840	-53.2573
1700.000000	94.957	-53.9812
1725.000000	95.076	-54.7371
1750.000000	95.197	-55.5291
1775.000000	95.318	-56.3595
1800.000000	95.440	-57.2283
1825.000000	95.562	-58.1339
1850.000000	95.683	-59.0781
1875.000000	95.803	-60.0643
1900.000000	95.921	-61.0902
1925.000000	96.035	-62.1464
1950.000000	96.143	-63.2271
1975.000000	96.246	-64.3347
2000.000000	96.344	-65.4726
2030.000000	96.457	-66.8710
2060.000000	96.564	-68.2907
2090.000000	96.666	-69.7253
2120.000000	96.765	-71.1783
2140.000000	96.830	-72.1576
2180.000000	96.956	-74.1352
2200.000000	97.017	-75.1312
2240.000000	97.132	-77.1429
2270.000000	97.214	-78.6781
2300.000000	97.291	-80.2407
2330.000000	97.361	-81.8279
2360.000000	97.422	-83.4361
2400.000000	97.491	-85.6100
2430.000000	97.533	-87.2582
2470.000000	97.575	-89.4636
2500.000000	97.596	-91.1096
2540.000000	97.609	-93.2801
2580.000000	97.608	-95.4177
2620.000000	97.593	-97.5160
2650.000000	97.571	-99.0548
2690.000000	97.526	-101.0392
2720.000000	97.479	-102.4572
2760.000000	97.400	-104.2183
2800.000000	97.311	-105.7869
2850.000000	97.195	-107.4280
2900.000000	97.093	-108.7285
2950.000000	97.020	-109.7743
3000.000000	96.984	-110.6757
3040.000000	96.982	-111.3565
3070.000000	96.994	-111.8686
3110.000000	97.027	-112.5790
3150.000000	97.079	-113.3455
3200.000000	97.166	-114.4149
3250.000000	97.272	-115.6381
3300.000000	97.392	-117.0456
3350.000000	97.520	-118.6684
3400.000000	97.649	-120.5253
3450.000000	97.769	-122.6133
3500.000000	97.872	-124.9123
3550.000000	97.950	-127.3889
3600.000000	98.000	-129.9999
3650.000000	98.018	-132.6950
3700.000000	98.005	-135.4152
3750.000000	97.960	-138.0932
3820.000000	97.848	-141.6500
3870.000000	97.742	-143.9932
3950.000000	97.549	-147.3529
4000.000000	97.423	-149.2129
4060.000000	97.267	-151.2272
4120.000000	97.108	-153.0455
4180.000000	96.948	-154.7156
4250.000000	96.761	-156.5258
4310.000000	96.600	-157.9845
4370.000000	96.442	-159.3742
4440.000000	96.267	-160.9283
4500.000000	96.126	-162.2191
4550.000000	96.014	-163.2737
4620.000000	95.858	-164.7235
4680.000000	95.722	-165.9404
4750.000000	95.556	-167.3205
4820.000000	95.380	-168.6377
4870.000000	95.246	-169.5246
4940.000000	95.048	-170.6749
5000.000000	94.872	-171.5704
5080.000000	94.636	-172.6342
5150.000000	94.435	-173.4443
5220.000000	94.242	-174.1373
5300.000000	94.029	-174.7799
5380.000000	93.827	-175.2692
5450.000000	93.661	-175.5784
5520.000000	93.504	-175.7764
5600.000000	93.330	-175.8641
5700.000000	93.123	-175.7828
5800.000000	92.934	-175.5515
5900.000000	92.760	-175.2481
6000.000000	92.581	-174.9194
6080.000000	92.427	-174.6073
6150.000000	92.292	-174.2286
6220.000000	92.167	-173.6943
6300.000000	92.055	-172.8806
6400.000000	91.968	-171.6380
6500.000000	91.931	-170.2701
6600.000000	91.926	-168.8436
6700.000000	91.942	-167.3777
6800.000000	91.976	-165.8973
6900.000000	92.027	-164.4400
7000.000000	92.095	-163.0489
7100.000000	92.183	-161.7759
7200.000000	92.295	-160.6639
7300.000000	92.426	-159.7085
7400.000000	92.569	-158.8735
7500.000000	92.723	-158.1283
7620.000000	92.934	-157.3418
7750.000000	93.202	-156.6618
7880.000000	93.508	-156.2303
8000.000000	93.817	-156.0916
8120.000000	94.159	-156.2487
8250.000000	94.569	-156.8581
8380.000000	95.011	-158.0851
8500.000000	95.429	-159.9330
8620.000000	95.831	-162.6096
8750.000000	96.204	-166.5285
8850.000000	96.417	-170.2354
9000.000000	96.567	-176.6644
9120.000000	96.516	177.8273
9250.000000	96.282	172.0181
9380.000000	95.880	166.8725
9500.000000	95.393	163.0258
9620.000000	94.840	160.1383
9750.000000	94.217	157.9498
9880.000000	93.593	156.5435
10000.000000	93.031	155.8596
10150.000000	92.372	155.6913
10300.000000	91.783	156.0474
10440.000000	91.298	156.6452
10600.000000	90.812	157.4627
10750.000000	90.407	158.2605
10900.000000	90.030	159.0620
11060.000000	89.636	159.9553
11200.000000	89.286	160.8312
11380.000000	88.825	162.2046
11500.000000	88.514	163.3447
11720.000000	87.950	166.0436
11800.000000	87.752	167.2437
12060.000000	87.181	171.9546
12200.000000	86.948	174.9378
12410.000000	86.736	179.7924
12500.000000	86.701	-178.0598
12650.000000	86.723	-174.5021
12800.000000	86.846	-171.1008
13150.000000	87.485	-164.5979
13200.000000	87.609	-163.9073
13400.000000	88.157	-161.9147
13600.000000	88.737	-161.2972
13800.000000	89.286	-162.1318
14000.000000	89.748	-164.3199
14300.000000	90.194	-169.5294
14500.000000	90.307	-173.7497
14750.000000	90.252	-179.2655
15000.000000	90.020	175.3456
15250.000000	89.654	170.2625
15500.000000	89.177	165.5886
15750.000000	88.613	161.4981
16000.000000	88.020	158.0640
16250.000000	87.477	155.0362
16500.000000	87.042	151.8569
16750.000000	86.724	147.5411
17000.000000	86.377	141.0979
17250.000000	85.753	133.1747
17500.000000	84.719	125.8115
17750.000000	83.160	122.0760
18000.000000	81.164	124.1601
18250.000000	79.258	129.4718
18500.000000	77.908	133.7313
18750.000000	76.989	135.3080
19000.000000	76.106	135.0614
19250.000000	75.044	134.5278
19500.000000	73.815	134.6670
19750.000000	72.614	135.4652
