* Measurement data measured by REW V5.20.4
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.510
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13 Feb, 2022 1:02:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KBEAR Aurora Matte R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	24.671	94.3669
1.015000	24.920	92.6965
1.030000	25.170	91.0542
1.044000	25.404	89.5418
1.060000	25.673	87.8368
1.075000	25.926	86.2606
1.090000	26.179	84.7055
1.106000	26.450	83.0693
1.120000	26.686	81.6562
1.138000	26.990	79.8643
1.150000	27.192	78.6848
1.172000	27.562	76.5529
1.180000	27.696	75.7872
1.206000	28.128	73.3325
1.220000	28.359	72.0315
1.241000	28.702	70.1060
1.250000	28.848	69.2901
1.265000	29.089	67.9422
1.280000	29.328	66.6088
1.315000	29.873	63.5511
1.320000	29.949	63.1201
1.340000	30.251	61.4100
1.360000	30.547	59.7255
1.380000	30.839	58.0771
1.400000	31.127	56.4637
1.430000	31.553	54.1051
1.450000	31.832	52.5710
1.475000	32.176	50.6932
1.500000	32.514	48.8562
1.525000	32.846	47.0563
1.550000	33.173	45.2899
1.575000	33.493	43.5533
1.600000	33.808	41.8428
1.625000	34.118	40.1549
1.650000	34.421	38.4858
1.675000	34.719	36.8319
1.700000	35.011	35.1955
1.725000	35.296	33.5908
1.750000	35.575	32.0173
1.775000	35.848	30.4735
1.800000	36.115	28.9577
1.825000	36.376	27.4684
1.850000	36.632	26.0042
1.875000	36.882	24.5633
1.900000	37.128	23.1444
1.925000	37.369	21.7457
1.950000	37.605	20.3658
1.975000	37.837	19.0032
2.000000	38.065	17.6562
2.030000	38.334	16.0593
2.060000	38.595	14.4913
2.090000	38.848	12.9537
2.120000	39.094	11.4460
2.140000	39.254	10.4570
2.180000	39.566	8.5166
2.200000	39.718	7.5648
2.240000	40.014	5.6968
2.270000	40.230	4.3260
2.300000	40.441	2.9802
2.330000	40.649	1.6586
2.360000	40.852	0.3606
2.400000	41.114	-1.3305
2.430000	41.304	-2.5682
2.470000	41.548	-4.1779
2.500000	41.725	-5.3551
2.540000	41.955	-6.8852
2.580000	42.177	-8.3706
2.620000	42.393	-9.8120
2.650000	42.552	-10.8645
2.690000	42.761	-12.2303
2.720000	42.913	-13.2251
2.760000	43.110	-14.5096
2.800000	43.299	-15.7481
2.850000	43.528	-17.2342
2.900000	43.749	-18.6548
2.950000	43.965	-20.0135
3.000000	44.178	-21.3140
3.040000	44.348	-22.3141
3.070000	44.472	-23.0341
3.110000	44.635	-23.9532
3.150000	44.794	-24.8299
3.200000	44.990	-25.8732
3.250000	45.183	-26.8670
3.300000	45.376	-27.8204
3.350000	45.570	-28.7427
3.400000	45.766	-29.6312
3.450000	45.960	-30.4623
3.500000	46.154	-31.2469
3.550000	46.348	-31.9974
3.600000	46.542	-32.7267
3.650000	46.737	-33.4474
3.700000	46.933	-34.1721
3.750000	47.132	-34.8896
3.820000	47.412	-35.8575
3.870000	47.613	-36.5351
3.950000	47.935	-37.6212
4.000000	48.134	-38.3155
4.060000	48.371	-39.1771
4.120000	48.609	-40.0538
4.180000	48.846	-40.9424
4.250000	49.119	-41.9979
4.310000	49.349	-42.9221
4.370000	49.571	-43.8673
4.440000	49.824	-45.0031
4.500000	50.036	-46.0033
4.550000	50.208	-46.8501
4.620000	50.442	-48.0476
4.680000	50.633	-49.0771
4.750000	50.844	-50.2793
4.820000	51.045	-51.5027
4.870000	51.182	-52.3824
4.940000	51.364	-53.6079
5.000000	51.511	-54.6404
5.080000	51.694	-55.9769
5.150000	51.840	-57.1332
5.220000	51.975	-58.2696
5.300000	52.116	-59.5223
5.380000	52.247	-60.7014
5.450000	52.352	-61.6729
5.520000	52.445	-62.6007
5.600000	52.542	-63.5965
5.700000	52.656	-64.7247
5.800000	52.762	-65.7067
5.900000	52.857	-66.5540
6.000000	52.951	-67.2823
6.080000	53.030	-67.7877
6.150000	53.100	-68.1568
6.220000	53.171	-68.4660
6.300000	53.256	-68.7702
6.400000	53.371	-69.1171
6.500000	53.499	-69.4064
6.600000	53.635	-69.6419
6.700000	53.779	-69.8827
6.800000	53.931	-70.1618
6.900000	54.093	-70.4491
7.000000	54.258	-70.7675
7.100000	54.423	-71.1421
7.200000	54.589	-71.5723
7.300000	54.755	-72.0454
7.400000	54.915	-72.5509
7.500000	55.068	-73.0959
7.620000	55.244	-73.7967
7.750000	55.425	-74.5639
7.880000	55.591	-75.3365
8.000000	55.736	-76.0482
8.120000	55.874	-76.7273
8.250000	56.015	-77.4298
8.380000	56.152	-78.1038
8.500000	56.277	-78.6964
8.620000	56.402	-79.2609
8.750000	56.537	-79.8711
8.850000	56.643	-80.3427
9.000000	56.802	-81.0540
9.120000	56.929	-81.6551
9.250000	57.066	-82.3400
9.380000	57.199	-83.0550
9.500000	57.316	-83.7461
9.620000	57.429	-84.4688
9.750000	57.540	-85.2582
9.880000	57.637	-86.0499
10.000000	57.714	-86.7794
10.150000	57.786	-87.6413
10.300000	57.826	-88.4534
10.440000	57.859	-89.1474
10.600000	57.898	-89.8467
10.750000	57.937	-90.4324
10.900000	57.985	-90.9527
11.060000	58.044	-91.4559
11.200000	58.106	-91.8948
11.380000	58.198	-92.4533
11.500000	58.264	-92.8621
11.720000	58.395	-93.6799
11.800000	58.443	-94.0038
12.060000	58.599	-95.1596
12.200000	58.675	-95.8138
12.410000	58.781	-96.8255
12.500000	58.822	-97.2463
12.650000	58.884	-97.9377
12.800000	58.943	-98.5971
13.150000	59.074	-99.9848
13.200000	59.094	-100.1689
13.400000	59.176	-100.8788
13.600000	59.266	-101.5869
