* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.510
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 20 May, 2023 1:18:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Meteor R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 85.162 41.7327
1.015000 85.393 40.0097
1.030000 85.626 38.3513
1.044000 85.845 36.8580
1.060000 86.099 35.2126
1.075000 86.339 33.7259
1.090000 86.581 32.2903
1.106000 86.841 30.8114
1.120000 87.069 29.5589
1.138000 87.363 28.0012
1.150000 87.560 26.9932
1.172000 87.920 25.2020
1.180000 88.050 24.5674
1.206000 88.472 22.5588
1.220000 88.698 21.5070
1.241000 89.034 19.9615
1.250000 89.176 19.3091
1.265000 89.411 18.2325
1.280000 89.643 17.1665
1.315000 90.171 14.7025
1.320000 90.245 14.3515
1.340000 90.535 12.9450
1.360000 90.817 11.5446
1.380000 91.094 10.1885
1.400000 91.368 8.8759
1.430000 91.770 6.9816
1.450000 92.033 5.7635
1.475000 92.356 4.2855
1.500000 92.674 2.8512
1.525000 92.985 1.4539
1.550000 93.291 0.0874
1.575000 93.592 -1.2549
1.600000 93.887 -2.5794
1.625000 94.178 -3.8925
1.650000 94.463 -5.2007
1.675000 94.744 -6.5103
1.700000 95.020 -7.8182
1.725000 95.290 -9.1011
1.750000 95.554 -10.3593
1.775000 95.812 -11.5950
1.800000 96.064 -12.8100
1.825000 96.312 -14.0064
1.850000 96.554 -15.1862
1.875000 96.792 -16.3513
1.900000 97.026 -17.5038
1.925000 97.255 -18.6456
1.950000 97.480 -19.7788
1.975000 97.702 -20.9053
2.000000 97.920 -22.0272
2.030000 98.178 -23.3688
2.060000 98.429 -24.6956
2.090000 98.674 -26.0055
2.120000 98.912 -27.2993
2.140000 99.067 -28.1536
2.180000 99.370 -29.8433
2.200000 99.518 -30.6794
2.240000 99.808 -32.3355
2.270000 100.019 -33.5647
2.300000 100.226 -34.7840
2.330000 100.429 -35.9944
2.360000 100.628 -37.1969
2.400000 100.886 -38.7843
2.430000 101.073 -39.9618
2.470000 101.315 -41.5147
2.500000 101.491 -42.6667
2.540000 101.719 -44.1862
2.580000 101.940 -45.6873
2.620000 102.154 -47.1702
2.650000 102.310 -48.2709
2.690000 102.514 -49.7233
2.720000 102.663 -50.8012
2.760000 102.854 -52.2231
2.800000 103.039 -53.6271
2.850000 103.260 -55.3567
2.900000 103.471 -57.0577
2.950000 103.674 -58.7296
3.000000 103.869 -60.3721
3.040000 104.021 -61.6647
3.070000 104.131 -62.6221
3.110000 104.272 -63.8825
3.150000 104.407 -65.1243
3.200000 104.569 -66.6503
3.250000 104.724 -68.1468
3.300000 104.873 -69.6132
3.350000 105.016 -71.0493
3.400000 105.154 -72.4548
3.450000 105.285 -73.8296
3.500000 105.409 -75.1742
3.550000 105.527 -76.4890
3.600000 105.640 -77.7745
3.650000 105.748 -79.0310
3.700000 105.854 -80.2590
3.750000 105.955 -81.4570
3.820000 106.088 -83.0825
3.870000 106.178 -84.2088
3.950000 106.314 -85.9547
4.000000 106.396 -87.0130
4.060000 106.492 -88.2515
4.120000 106.583 -89.4496
4.180000 106.669 -90.6088
4.250000 106.765 -91.9173
4.310000 106.845 -93.0057
4.370000 106.922 -94.0676
4.440000 107.010 -95.2694
4.500000 107.082 -96.2641
4.550000 107.140 -97.0708
4.620000 107.219 -98.1709
4.680000 107.284 -99.0907
4.750000 107.359 -100.1394
4.820000 107.431 -101.1550
4.870000 107.481 -101.8613
4.940000 107.549 -102.8264
5.000000 107.605 -103.6341
5.080000 107.678 -104.6864
5.150000 107.739 -105.5806
5.220000 107.798 -106.4501
5.300000 107.863 -107.4152
5.380000 107.926 -108.3515
5.450000 107.979 -109.1474
5.520000 108.029 -109.9205
5.600000 108.084 -110.7767
5.700000 108.151 -111.8066
5.800000 108.215 -112.7910
5.900000 108.277 -113.7293
6.000000 108.336 -114.6259
6.080000 108.383 -115.3158
6.150000 108.424 -115.8960
6.220000 108.465 -116.4558
6.300000 108.511 -117.0753
6.400000 108.569 -117.8275
6.500000 108.629 -118.5499
6.600000 108.689 -119.2442
6.700000 108.750 -119.9242
6.800000 108.813 -120.5971
6.900000 108.877 -121.2549
7.000000 108.941 -121.9071
7.100000 109.004 -122.5633
7.200000 109.068 -123.2203
7.300000 109.132 -123.8778
7.400000 109.193 -124.5384
7.500000 109.253 -125.2046
7.620000 109.322 -126.0082
7.750000 109.392 -126.8751
7.880000 109.457 -127.7399
8.000000 109.513 -128.5318
8.120000 109.564 -129.3067
8.250000 109.615 -130.1302
8.380000 109.661 -130.9322
8.500000 109.701 -131.6475
8.620000 109.738 -132.3412
8.750000 109.776 -133.0696
8.850000 109.805 -133.6128
9.000000 109.845 -134.4015
9.120000 109.877 -135.0166
9.250000 109.910 -135.6660
9.380000 109.943 -136.3004
9.500000 109.971 -136.8762
9.620000 109.999 -137.4417
9.750000 110.028 -138.0404
9.880000 110.055 -138.6252
10.000000 110.079 -139.1516
10.150000 110.107 -139.7839
10.300000 110.134 -140.3885
10.440000 110.160 -140.9264
10.600000 110.190 -141.5055
10.750000 110.220 -142.0231
10.900000 110.254 -142.5196
11.060000 110.295 -143.0339
11.200000 110.335 -143.4888
11.380000 110.392 -144.0792
11.500000 110.432 -144.4943
11.720000 110.509 -145.2966
11.800000 110.536 -145.6052
12.060000 110.622 -146.6725
12.200000 110.662 -147.2739
12.410000 110.715 -148.2041
12.500000 110.734 -148.5984
12.650000 110.759 -149.2557
12.800000 110.780 -149.8898
13.150000 110.813 -151.2444
13.200000 110.816 -151.4200
13.400000 110.831 -152.0802
13.600000 110.848 -152.6798
13.800000 110.871 -153.2329
14.000000 110.901 -153.7611
14.300000 110.957 -154.5580
14.500000 110.999 -155.1117
14.750000 111.054 -155.8456
15.000000 111.105 -156.6183
15.250000 111.149 -157.4106
15.500000 111.187 -158.2028
15.750000 111.217 -158.9711
16.000000 111.243 -159.6996
16.250000 111.267 -160.3865
16.500000 111.291 -161.0342
16.750000 111.317 -161.6533
17.000000 111.347 -162.2613
17.250000 111.379 -162.8720
17.500000 111.413 -163.4969
17.750000 111.446 -164.1456
18.000000 111.476 -164.8153
18.250000 111.501 -165.4958
18.500000 111.518 -166.1734
18.750000 111.530 -166.8253
19.000000 111.536 -167.4325
19.250000 111.541 -167.9882
19.500000 111.549 -168.4913
19.750000 111.561 -168.9574
20.000000 111.581 -169.4132
20.299999 111.612 -169.9763
20.600000 111.647 -170.5836
20.900000 111.679 -171.2371
21.200001 111.706 -171.9130
21.400000 111.719 -172.3569
21.799999 111.740 -173.1958
22.000000 111.751 -173.5885
22.400000 111.777 -174.3484
22.700001 111.800 -174.9341
23.000000 111.822 -175.5527
23.299999 111.836 -176.1944
23.600000 111.840 -176.8244
24.000000 111.832 -177.5680
24.299999 111.824 -178.0229
24.700001 111.827 -178.5201
25.000000 111.844 -178.8781
25.400000 111.881 -179.4345
25.799999 111.919 179.8691
26.200001 111.942 179.0778
26.500000 111.947 178.4791
26.900000 111.943 177.7319
27.200001 111.938 177.2191
27.600000 111.934 176.5708
28.000000 111.935 175.9246
28.500000 111.938 175.0919
29.000000 111.938 174.2466
29.500000 111.939 173.4032
30.000000 111.939 172.5668
30.400000 111.939 171.9169
30.700001 111.942 171.4462
31.100000 111.954 170.8245
31.500000 111.974 170.1546
32.000000 111.997 169.1723
32.500000 111.989 168.0832
33.000000 111.938 167.1511
33.500000 111.878 166.6052
34.000000 111.863 166.3409
34.500000 111.904 165.9745
35.000000 111.955 165.2594
35.500000 111.962 164.3601
36.000000 111.929 163.6315
36.500000 111.905 163.1750
37.000000 111.919 162.7211
37.500000 111.942 162.0081
38.200001 111.913 160.8192
38.700001 111.863 160.2126
39.500000 111.840 159.5515
40.000000 111.857 158.9400
40.599998 111.853 158.0240
41.200001 111.827 157.2234
41.799999 111.820 156.5067
42.500000 111.815 155.4766
43.099998 111.773 154.6053
43.700001 111.725 154.0441
44.400002 111.724 153.5374
45.000000 111.750 152.8636
45.500000 111.757 152.1372
46.200001 111.728 151.0663
46.799999 111.666 150.2595
47.500000 111.578 149.7247
48.200001 111.561 149.5562
48.700001 111.607 149.2081
49.400002 111.651 148.0713
50.000000 111.604 147.0216
50.799999 111.522 146.2359
51.500000 111.513 145.6005
52.200001 111.492 144.6688
53.000000 111.429 143.7925
53.799999 111.396 143.0577
54.500000 111.363 142.2811
55.200001 111.311 141.6356
56.000000 111.281 141.0423
57.000000 111.264 140.0698
58.000000 111.220 138.9783
59.000000 111.146 138.0727
60.000000 111.115 137.4118
60.799999 111.109 136.6266
61.500000 111.080 135.9337
62.200001 111.063 135.3057
63.000000 111.043 134.3260
64.000000 110.931 133.2233
65.000000 110.861 132.7196
66.000000 110.839 131.8521
67.000000 110.784 130.9857
68.000000 110.756 130.0566
69.000000 110.675 128.9995
70.000000 110.615 128.5823
71.000000 110.673 127.5729
72.000000 110.547 125.8808
73.000000 110.336 126.0623
74.000000 110.465 126.6661
75.000000 110.644 125.0725
76.199997 110.468 122.6838
77.500000 110.208 122.7514
78.800003 110.276 122.6079
80.000000 110.269 120.9881
81.199997 110.089 119.7474
82.500000 110.000 119.3021
83.800003 109.948 118.0466
85.000000 109.871 117.2421
86.199997 109.832 116.0863
87.500000 109.713 115.0647
88.500000 109.663 114.5140
90.000000 109.597 113.4794
91.199997 109.529 112.7576
92.500000 109.480 112.0479
93.800003 109.412 111.1829
95.000000 109.339 110.5285
96.199997 109.264 109.7674
97.500000 109.170 109.0053
98.800003 109.084 108.2300
100.000000 109.024 107.4977
101.500000 108.933 106.4602
103.000000 108.847 105.6189
104.400002 108.770 104.9049
106.000000 108.684 104.0397
107.500000 108.602 103.2789
109.000000 108.511 102.4212
110.599998 108.418 101.5975
112.000000 108.338 100.8799
113.800003 108.243 100.0166
115.000000 108.178 99.4321
117.199997 108.057 98.3690
118.000000 108.007 97.9846
120.599998 107.866 96.8375
122.000000 107.779 96.1636
124.099998 107.662 95.2877
125.000000 107.611 94.9034
126.500000 107.532 94.2978
128.000000 107.454 93.6404
131.500000 107.264 92.2840
132.000000 107.236 92.0730
134.000000 107.128 91.3426
136.000000 107.019 90.5680
138.000000 106.915 89.8065
140.000000 106.810 89.1396
143.000000 106.652 88.1841
145.000000 106.543 87.4701
147.500000 106.427 86.6758
150.000000 106.293 85.9243
152.500000 106.174 85.1501
155.000000 106.053 84.4645
157.500000 105.933 83.7996
160.000000 105.804 83.1053
162.500000 105.685 82.4732
165.000000 105.572 81.8801
167.500000 105.454 81.2956
170.000000 105.334 80.7585
172.500000 105.221 80.1921
175.000000 105.108 79.7209
177.500000 105.005 79.2514
180.000000 104.891 78.7381
182.500000 104.782 78.4248
185.000000 104.689 78.1115
187.500000 104.563 77.8045
190.000000 104.472 77.4944
192.500000 104.379 77.4040
195.000000 104.309 77.1707
197.500000 104.247 76.9674
200.000000 104.198 76.7022
203.000000 104.142 76.4347
206.000000 104.080 75.9730
209.000000 104.009 75.4514
212.000000 103.928 74.9808
214.000000 103.872 74.6331
218.000000 103.768 74.1722
220.000000 103.712 73.8989
224.000000 103.606 73.3212
227.000000 103.509 72.9764
230.000000 103.429 72.7120
233.000000 103.351 72.4042
236.000000 103.277 72.1201
240.000000 103.173 71.8576
243.000000 103.096 71.6318
247.000000 103.003 71.3557
250.000000 102.925 71.1960
254.000000 102.835 70.9468
258.000000 102.746 70.7798
262.000000 102.660 70.5771
265.000000 102.606 70.4385
269.000000 102.518 70.4203
272.000000 102.463 70.3758
276.000000 102.403 70.1898
280.000000 102.324 70.1724
285.000000 102.235 69.9846
290.000000 102.157 70.0128
295.000000 102.080 69.9240
300.000000 102.017 69.9288
304.000000 101.958 69.9035
307.000000 101.920 69.9456
311.000000 101.864 69.9265
315.000000 101.817 69.9304
320.000000 101.756 70.0251
325.000000 101.701 70.0844
