* Measurement data measured by REW V5.20.9
* Source: Microphone (IKKO ITM01s), MICROPHONE (Master Volume), R, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: 07-Oct-2022 11:20:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DUNU Talos Planar
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.297 -173.2536
20.600000 85.285 -173.5958
20.900000 85.260 -174.2079
21.200001 85.235 -174.7908
21.400000 85.218 -175.1609
21.799999 85.186 -175.8809
22.000000 85.170 -176.2359
22.400000 85.144 -176.9269
22.700001 85.127 -177.4294
23.000000 85.112 -177.9255
23.299999 85.098 -178.4182
23.600000 85.084 -178.9078
24.000000 85.065 -179.5507
24.299999 85.049 179.9811
24.700001 85.026 179.3830
25.000000 85.008 178.9580
25.400000 84.982 178.4276
25.799999 84.955 177.9425
26.200001 84.928 177.5002
26.500000 84.907 177.1883
26.900000 84.881 176.7820
27.200001 84.862 176.4719
27.600000 84.833 176.0431
28.000000 84.799 175.6053
28.500000 84.750 175.0767
29.000000 84.699 174.5885
29.500000 84.652 174.1135
30.000000 84.610 173.5988
30.400000 84.576 173.1460
30.700001 84.548 172.7946
31.100000 84.510 172.3408
31.500000 84.472 171.9297
32.000000 84.430 171.4869
32.500000 84.396 171.0962
33.000000 84.362 170.7207
33.500000 84.321 170.3526
34.000000 84.270 170.0058
34.500000 84.216 169.6831
35.000000 84.168 169.3614
35.500000 84.131 169.0084
36.000000 84.100 168.6174
36.500000 84.072 168.2136
37.000000 84.040 167.8329
37.500000 84.004 167.4905
38.200001 83.948 167.0527
38.700001 83.904 166.7426
39.500000 83.830 166.2331
40.000000 83.785 165.9139
40.599998 83.736 165.5344
41.200001 83.689 165.1669
41.799999 83.641 164.8361
42.500000 83.584 164.5067
43.099998 83.535 164.2203
43.700001 83.482 163.8777
44.400002 83.407 163.4545
45.000000 83.342 163.1670
45.500000 83.299 162.9956
46.200001 83.258 162.7849
46.799999 83.227 162.5800
47.500000 83.179 162.3353
48.200001 83.125 162.0904
48.700001 83.087 161.8860
49.400002 83.032 161.5568
50.000000 82.983 161.2957
50.799999 82.917 161.0450
51.500000 82.864 160.8741
52.200001 82.812 160.6861
53.000000 82.751 160.4413
53.799999 82.693 160.1947
54.500000 82.643 159.9957
55.200001 82.592 159.8192
56.000000 82.531 159.6397
57.000000 82.454 159.4280
58.000000 82.380 159.2298
59.000000 82.310 159.0350
60.000000 82.241 158.8180
60.799999 82.186 158.6531
61.500000 82.139 158.5284
62.200001 82.094 158.4135
63.000000 82.042 158.2853
64.000000 81.978 158.1293
65.000000 81.914 157.9728
66.000000 81.847 157.8257
67.000000 81.778 157.7048
68.000000 81.711 157.5893
69.000000 81.649 157.4574
70.000000 81.589 157.3345
71.000000 81.531 157.2498
72.000000 81.472 157.1844
73.000000 81.412 157.1056
74.000000 81.352 157.0166
75.000000 81.296 156.9321
76.199997 81.229 156.8510
77.500000 81.155 156.7432
78.800003 81.080 156.6125
80.000000 81.012 156.5624
81.199997 80.949 156.5326
82.500000 80.883 156.5070
83.800003 80.814 156.4796
85.000000 80.748 156.4467
86.199997 80.686 156.4210
87.500000 80.614 156.3247
88.500000 80.557 156.1285
90.000000 80.465 155.9160
91.199997 80.405 156.1211
92.500000 80.356 156.3780
93.800003 80.306 156.4359
95.000000 80.257 156.4378
96.199997 80.201 156.4603
97.500000 80.139 156.4768
98.800003 80.083 156.5252
100.000000 80.025 156.6708
101.500000 79.944 156.8992
103.000000 79.885 156.8907
104.400002 79.842 156.7743
106.000000 79.786 156.7612
107.500000 79.729 156.8257
109.000000 79.671 156.9054
110.599998 79.605 156.9673
112.000000 79.550 156.9922
113.800003 79.482 157.0972
115.000000 79.439 157.2109
117.199997 79.360 157.4006
118.000000 79.331 157.4650
120.599998 79.242 157.6580
122.000000 79.194 157.7763
124.099998 79.124 157.9744
125.000000 79.097 158.0453
126.500000 79.053 158.1496
128.000000 79.009 158.2533
131.500000 78.907 158.5207
132.000000 78.893 158.5681
134.000000 78.833 158.7626
136.000000 78.771 158.9165
138.000000 78.715 159.0496
140.000000 78.665 159.2108
143.000000 78.613 159.4755
145.000000 78.561 159.6735
147.500000 78.481 159.9038
150.000000 78.409 160.1095
152.500000 78.351 160.4030
155.000000 78.296 160.6842
157.500000 78.238 160.8936
160.000000 78.179 160.9777
162.500000 78.146 161.2117
165.000000 78.117 161.5642
167.500000 78.076 161.7867
170.000000 78.030 161.9910
172.500000 77.979 162.1985
175.000000 77.930 162.4004
177.500000 77.883 162.6066
180.000000 77.836 162.8329
182.500000 77.791 163.0811
185.000000 77.752 163.3455
187.500000 77.714 163.5653
190.000000 77.668 163.7385
192.500000 77.626 163.9275
195.000000 77.587 164.1357
197.500000 77.547 164.3643
200.000000 77.504 164.5988
203.000000 77.457 164.8760
206.000000 77.417 165.1552
209.000000 77.377 165.4278
212.000000 77.331 165.6940
214.000000 77.302 165.8736
218.000000 77.246 166.2641
220.000000 77.219 166.4684
224.000000 77.166 166.8900
227.000000 77.125 167.2071
230.000000 77.083 167.5165
233.000000 77.046 167.8618
236.000000 77.013 168.2551
240.000000 76.967 168.7904
243.000000 76.936 169.1995
247.000000 76.910 169.8143
250.000000 76.907 170.2821
254.000000 76.921 170.7873
258.000000 76.943 171.1079
262.000000 76.955 171.3059
265.000000 76.953 171.4178
269.000000 76.944 171.5592
272.000000 76.938 171.6760
276.000000 76.925 171.8619
280.000000 76.891 172.1055
285.000000 76.844 172.4142
290.000000 76.804 172.7206
295.000000 76.770 173.0389
300.000000 76.736 173.3768
304.000000 76.712 173.6744
307.000000 76.695 173.8953
311.000000 76.672 174.1717
315.000000 76.648 174.4437
320.000000 76.620 174.8011
325.000000 76.594 175.1642
330.000000 76.566 175.5161
335.000000 76.540 175.8662
340.000000 76.520 176.2381
345.000000 76.501 176.6008
350.000000 76.482 176.9585
355.000000 76.464 177.3264
360.000000 76.445 177.6834
365.000000 76.430 178.0168
370.000000 76.414 178.3633
375.000000 76.398 178.7332
382.000000 76.379 179.2300
387.000000 76.367 179.5769
395.000000 76.346 -179.8778
400.000000 76.335 -179.5406
406.000000 76.321 -179.1302
412.000000 76.308 -178.7242
418.000000 76.298 -178.3266
425.000000 76.285 -177.8627
431.000000 76.275 -177.4651
437.000000 76.265 -177.0665
444.000000 76.256 -176.6061
450.000000 76.250 -176.2184
455.000000 76.245 -175.8926
462.000000 76.238 -175.4413
468.000000 76.232 -175.0633
475.000000 76.225 -174.6208
482.000000 76.219 -174.1753
487.000000 76.216 -173.8556
494.000000 76.211 -173.4090
500.000000 76.208 -173.0296
508.000000 76.206 -172.5227
515.000000 76.204 -172.0806
522.000000 76.204 -171.6360
530.000000 76.205 -171.1254
538.000000 76.207 -170.6240
545.000000 76.213 -170.2074
552.000000 76.220 -169.7939
560.000000 76.223 -169.2903
570.000000 76.228 -168.6651
580.000000 76.235 -168.0542
590.000000 76.244 -167.4407
600.000000 76.254 -166.8332
608.000000 76.264 -166.3450
615.000000 76.272 -165.9177
622.000000 76.282 -165.4900
630.000000 76.294 -165.0003
640.000000 76.311 -164.3865
650.000000 76.329 -163.7731
660.000000 76.349 -163.1603
670.000000 76.370 -162.5396
680.000000 76.393 -161.9208
690.000000 76.419 -161.3020
700.000000 76.446 -160.6880
710.000000 76.475 -160.0773
720.000000 76.506 -159.4644
730.000000 76.538 -158.8506
740.000000 76.572 -158.2409
750.000000 76.608 -157.6336
762.000000 76.655 -156.9039
775.000000 76.710 -156.1173
788.000000 76.769 -155.3333
800.000000 76.827 -154.6148
812.000000 76.888 -153.8999
825.000000 76.959 -153.1410
838.000000 77.034 -152.4009
850.000000 77.108 -151.7177
862.000000 77.185 -151.0421
875.000000 77.272 -150.3315
885.000000 77.342 -149.8035
900.000000 77.452 -149.0338
912.000000 77.543 -148.4392
925.000000 77.645 -147.8221
938.000000 77.750 -147.2353
950.000000 77.851 -146.7157
962.000000 77.953 -146.2201
975.000000 78.067 -145.7178
988.000000 78.183 -145.2504
1000.000000 78.291 -144.8481
1015.000000 78.427 -144.3820
1030.000000 78.564 -143.9608
1044.000000 78.692 -143.6082
1060.000000 78.838 -143.2494
1075.000000 78.974 -142.9517
1090.000000 79.109 -142.6923
1106.000000 79.253 -142.4596
1120.000000 79.376 -142.2910
1138.000000 79.532 -142.1105
1150.000000 79.635 -142.0127
1172.000000 79.819 -141.8819
1180.000000 79.886 -141.8494
1206.000000 80.096 -141.7990
1220.000000 80.206 -141.8096
1241.000000 80.366 -141.8761
1250.000000 80.432 -141.9253
1265.000000 80.537 -142.0323
1280.000000 80.634 -142.1631
1315.000000 80.817 -142.4511
1320.000000 80.839 -142.4745
1340.000000 80.918 -142.4763
1360.000000 81.001 -142.3125
1380.000000 81.103 -142.0328
1400.000000 81.228 -141.7268
1430.000000 81.453 -141.3557
1450.000000 81.619 -141.2132
1475.000000 81.839 -141.1677
1500.000000 82.071 -141.2784
1525.000000 82.315 -141.5762
1550.000000 82.573 -142.1282
1575.000000 82.839 -143.0666
1600.000000 83.093 -144.6027
1625.000000 83.279 -146.9580
1650.000000 83.276 -150.0583
1675.000000 82.959 -152.8096
1700.000000 82.386 -153.1508
1725.000000 81.927 -150.5075
1750.000000 81.858 -146.8573
1775.000000 82.075 -144.0121
1800.000000 82.388 -142.2926
1825.000000 82.708 -141.3647
1850.000000 83.011 -140.9073
1875.000000 83.295 -140.7347
1900.000000 83.563 -140.7480
1925.000000 83.818 -140.8934
1950.000000 84.064 -141.1410
1975.000000 84.303 -141.4749
2000.000000 84.536 -141.8861
2030.000000 84.809 -142.4755
2060.000000 85.076 -143.1626
2090.000000 85.338 -143.9446
2120.000000 85.596 -144.8234
2140.000000 85.766 -145.4653
2180.000000 86.101 -146.8888
2200.000000 86.266 -147.6737
2240.000000 86.591 -149.4024
2270.000000 86.831 -150.8450
2300.000000 87.068 -152.4311
2330.000000 87.305 -154.1964
2360.000000 87.540 -156.1954
2400.000000 87.846 -159.3779
2430.000000 88.051 -162.3283
2470.000000 88.220 -167.3081
2500.000000 88.165 -171.7854
2540.000000 87.663 -177.2526
2580.000000 86.774 -178.6587
2620.000000 86.212 -175.9629
2650.000000 86.199 -174.0462
2690.000000 86.397 -173.4303
2720.000000 86.543 -174.1192
2760.000000 86.650 -175.8535
2800.000000 86.618 -177.8797
2850.000000 86.412 -179.5196
2900.000000 86.296 -179.7043
2950.000000 86.396 179.8140
3000.000000 86.524 178.2529
3040.000000 86.577 176.6185
3070.000000 86.598 175.3465
3110.000000 86.626 173.5629
3150.000000 86.664 171.4572
3200.000000 86.678 167.8552
3250.000000 86.482 162.9498
3300.000000 85.830 158.4231
3350.000000 84.829 157.6074
3400.000000 84.078 159.9575
3450.000000 83.743 162.2358
3500.000000 83.572 163.6832
3550.000000 83.474 164.6950
3600.000000 83.424 165.2031
3650.000000 83.368 165.2388
3700.000000 83.287 165.0884
3750.000000 83.211 164.8428
3820.000000 83.131 163.7660
3870.000000 82.991 162.0370
3950.000000 82.286 159.5468
4000.000000 81.652 160.2981
4060.000000 81.057 163.1469
4120.000000 80.724 166.8444
4180.000000 80.701 170.5036
4250.000000 80.924 172.9080
4310.000000 81.056 173.3191
4370.000000 81.045 173.2612
4440.000000 80.889 173.5491
4500.000000 80.725 174.6567
4550.000000 80.664 175.9962
4620.000000 80.714 177.6025
4680.000000 80.812 178.3049
4750.000000 80.889 178.2432
4820.000000 80.802 177.6685
4870.000000 80.615 177.7676
4940.000000 80.357 179.4722
5000.000000 80.326 -178.3571
5080.000000 80.524 -176.2652
5150.000000 80.755 -175.5838
5220.000000 80.970 -175.7809
5300.000000 81.150 -177.1078
5380.000000 81.131 -179.6798
5450.000000 80.785 178.0266
5520.000000 80.136 177.9169
5600.000000 79.468 -178.5827
5700.000000 79.260 -172.6773
5800.000000 79.517 -167.9299
5900.000000 80.009 -164.7976
6000.000000 80.608 -163.7650
6080.000000 81.018 -164.6834
6150.000000 81.231 -166.5001
