* Measurement data measured by REW V5.20.13
* Source: Microphone (IKKO ITM01s), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: 25-May-2023 19:50:19
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ EDXS R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.054	-162.2355
20.299999	90.076	-162.6868
20.600000	90.094	-163.1582
20.900000	90.111	-163.6496
21.200001	90.126	-164.1598
21.400000	90.137	-164.5093
21.799999	90.158	-165.2293
22.000000	90.169	-165.5984
22.400000	90.194	-166.3509
22.700001	90.215	-166.9224
23.000000	90.236	-167.4937
23.299999	90.260	-168.0591
23.600000	90.284	-168.6140
24.000000	90.318	-169.3311
24.299999	90.345	-169.8480
24.700001	90.382	-170.5060
25.000000	90.410	-170.9755
25.400000	90.447	-171.5700
25.799999	90.481	-172.1311
26.200001	90.513	-172.6621
26.500000	90.534	-173.0428
26.900000	90.558	-173.5299
27.200001	90.573	-173.8827
27.600000	90.589	-174.3408
28.000000	90.600	-174.7906
28.500000	90.609	-175.3506
29.000000	90.613	-175.9173
29.500000	90.613	-176.4966
30.000000	90.610	-177.0901
30.400000	90.607	-177.5744
30.700001	90.604	-177.9420
31.100000	90.602	-178.4357
31.500000	90.600	-178.9314
32.000000	90.599	-179.5500
32.500000	90.600	179.8368
33.000000	90.602	179.2347
33.500000	90.604	178.6504
34.000000	90.606	178.0909
34.500000	90.606	177.5616
35.000000	90.604	177.0650
35.500000	90.601	176.6007
36.000000	90.596	176.1639
36.500000	90.589	175.7446
37.000000	90.582	175.3278
37.500000	90.573	174.9019
38.200001	90.555	174.2842
38.700001	90.538	173.8342
39.500000	90.506	173.1187
40.000000	90.485	172.6803
40.599998	90.461	172.1640
41.200001	90.438	171.6571
41.799999	90.417	171.1596
42.500000	90.393	170.5932
43.099998	90.373	170.1230
43.700001	90.353	169.6695
44.400002	90.327	169.1643
45.000000	90.304	168.7531
45.500000	90.283	168.4240
46.200001	90.254	167.9763
46.799999	90.227	167.5980
47.500000	90.195	167.1590
48.200001	90.162	166.7222
48.700001	90.138	166.4113
49.400002	90.105	165.9776
50.000000	90.075	165.6100
50.799999	90.036	165.1313
51.500000	90.002	164.7251
52.200001	89.969	164.3302
53.000000	89.930	163.8929
53.799999	89.890	163.4717
54.500000	89.855	163.1157
55.200001	89.819	162.7696
56.000000	89.778	162.3841
57.000000	89.726	161.9144
58.000000	89.672	161.4556
59.000000	89.618	161.0093
60.000000	89.563	160.5795
60.799999	89.519	160.2487
61.500000	89.481	159.9675
62.200001	89.444	159.6927
63.000000	89.401	159.3854
64.000000	89.348	159.0107
65.000000	89.294	158.6480
66.000000	89.240	158.2996
67.000000	89.186	157.9665
68.000000	89.132	157.6469
69.000000	89.078	157.3383
70.000000	89.024	157.0395
71.000000	88.969	156.7502
72.000000	88.915	156.4698
73.000000	88.862	156.1982
74.000000	88.809	155.9366
75.000000	88.756	155.6867
76.199997	88.693	155.4022
77.500000	88.625	155.1100
78.800003	88.557	154.8329
80.000000	88.493	154.5894
81.199997	88.430	154.3569
82.500000	88.362	154.1165
83.800003	88.295	153.8879
85.000000	88.233	153.6888
86.199997	88.173	153.5005
87.500000	88.107	153.3072
88.500000	88.057	153.1659
90.000000	87.983	152.9666
91.199997	87.924	152.8171
92.500000	87.860	152.6631
93.800003	87.798	152.5166
95.000000	87.740	152.3879
96.199997	87.683	152.2651
97.500000	87.621	152.1391
98.800003	87.560	152.0215
100.000000	87.504	151.9210
101.500000	87.435	151.8059
103.000000	87.367	151.7011
104.400002	87.303	151.6106
106.000000	87.231	151.5151
107.500000	87.165	151.4334
109.000000	87.099	151.3590
110.599998	87.030	151.2862
112.000000	86.971	151.2278
113.800003	86.895	151.1607
115.000000	86.845	151.1215
117.199997	86.754	151.0619
118.000000	86.722	151.0441
120.599998	86.616	150.9988
122.000000	86.561	150.9808
124.099998	86.478	150.9591
125.000000	86.443	150.9514
126.500000	86.385	150.9412
128.000000	86.328	150.9357
131.500000	86.197	150.9460
132.000000	86.178	150.9497
134.000000	86.105	150.9682
136.000000	86.033	150.9905
138.000000	85.962	151.0161
140.000000	85.892	151.0469
143.000000	85.790	151.1060
145.000000	85.722	151.1539
147.500000	85.639	151.2203
150.000000	85.558	151.2930
152.500000	85.478	151.3739
155.000000	85.400	151.4632
157.500000	85.323	151.5584
160.000000	85.247	151.6575
162.500000	85.174	151.7617
165.000000	85.101	151.8730
167.500000	85.030	151.9906
170.000000	84.959	152.1123
172.500000	84.890	152.2372
175.000000	84.822	152.3655
177.500000	84.755	152.4977
180.000000	84.690	152.6339
182.500000	84.626	152.7748
185.000000	84.563	152.9203
187.500000	84.501	153.0689
190.000000	84.440	153.2191
192.500000	84.380	153.3713
195.000000	84.321	153.5264
197.500000	84.263	153.6845
200.000000	84.206	153.8454
203.000000	84.138	154.0418
206.000000	84.072	154.2413
209.000000	84.008	154.4444
212.000000	83.945	154.6506
214.000000	83.903	154.7889
218.000000	83.822	155.0672
220.000000	83.782	155.2079
224.000000	83.704	155.4929
227.000000	83.647	155.7088
230.000000	83.591	155.9264
233.000000	83.536	156.1457
236.000000	83.482	156.3665
240.000000	83.411	156.6627
243.000000	83.360	156.8866
247.000000	83.293	157.1880
250.000000	83.243	157.4159
254.000000	83.179	157.7212
258.000000	83.116	158.0276
262.000000	83.055	158.3348
265.000000	83.010	158.5656
269.000000	82.951	158.8746
272.000000	82.908	159.1080
276.000000	82.852	159.4203
280.000000	82.797	159.7326
285.000000	82.730	160.1230
290.000000	82.666	160.5137
295.000000	82.603	160.9048
300.000000	82.542	161.2979
304.000000	82.494	161.6135
307.000000	82.459	161.8500
311.000000	82.414	162.1650
315.000000	82.369	162.4798
320.000000	82.314	162.8733
325.000000	82.262	163.2668
330.000000	82.211	163.6598
335.000000	82.162	164.0529
340.000000	82.114	164.4460
345.000000	82.067	164.8376
350.000000	82.022	165.2277
355.000000	81.977	165.6180
360.000000	81.934	166.0086
365.000000	81.893	166.3988
370.000000	81.852	166.7876
375.000000	81.813	167.1751
382.000000	81.759	167.7171
387.000000	81.722	168.1038
395.000000	81.666	168.7218
400.000000	81.632	169.1078
406.000000	81.593	169.5699
412.000000	81.554	170.0302
418.000000	81.518	170.4890
425.000000	81.476	171.0229
431.000000	81.441	171.4787
437.000000	81.408	171.9328
444.000000	81.371	172.4602
450.000000	81.340	172.9103
455.000000	81.315	173.2846
462.000000	81.281	173.8084
468.000000	81.253	174.2573
475.000000	81.221	174.7793
482.000000	81.191	175.2988
487.000000	81.171	175.6689
494.000000	81.143	176.1862
500.000000	81.120	176.6295
508.000000	81.090	177.2207
515.000000	81.066	177.7382
522.000000	81.043	178.2554
530.000000	81.017	178.8465
538.000000	80.994	179.4375
545.000000	80.974	179.9541
552.000000	80.955	-179.5298
560.000000	80.935	-178.9405
570.000000	80.913	-178.2039
