* Measurement data measured by REW V5.20.13
* Source: Microphone (IKKO ITM01s), MICROPHONE (Master Volume), R, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: 07-May-2023 13:32:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: MT1 Max X-Bass L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.608	-154.7144
20.299999	87.645	-155.1172
20.600000	87.678	-155.5445
20.900000	87.709	-155.9957
21.200001	87.739	-156.4687
21.400000	87.759	-156.7944
21.799999	87.798	-157.4674
22.000000	87.818	-157.8125
22.400000	87.860	-158.5149
22.700001	87.894	-159.0471
23.000000	87.929	-159.5784
23.299999	87.966	-160.1049
23.600000	88.005	-160.6230
24.000000	88.058	-161.2959
24.299999	88.099	-161.7830
24.700001	88.154	-162.4048
25.000000	88.195	-162.8485
25.400000	88.250	-163.4090
25.799999	88.302	-163.9359
26.200001	88.351	-164.4323
26.500000	88.385	-164.7870
26.900000	88.427	-165.2402
27.200001	88.455	-165.5686
27.600000	88.489	-165.9962
28.000000	88.518	-166.4188
28.500000	88.548	-166.9485
29.000000	88.573	-167.4873
29.500000	88.593	-168.0388
30.000000	88.611	-168.6056
30.400000	88.624	-169.0708
30.700001	88.634	-169.4257
31.100000	88.647	-169.9041
31.500000	88.660	-170.3841
32.000000	88.677	-170.9797
32.500000	88.697	-171.5661
33.000000	88.719	-172.1413
33.500000	88.741	-172.7030
34.000000	88.764	-173.2458
34.500000	88.785	-173.7644
35.000000	88.804	-174.2574
35.500000	88.821	-174.7275
36.000000	88.836	-175.1793
36.500000	88.847	-175.6172
37.000000	88.855	-176.0464
37.500000	88.860	-176.4717
38.200001	88.864	-177.0679
38.700001	88.865	-177.4974
39.500000	88.864	-178.1929
40.000000	88.863	-178.6315
40.599998	88.861	-179.1587
41.200001	88.860	-179.6822
41.799999	88.860	179.8030
42.500000	88.859	179.2184
43.099998	88.859	178.7342
43.700001	88.858	178.2665
44.400002	88.856	177.7414
45.000000	88.852	177.3071
45.500000	88.848	176.9543
46.200001	88.840	176.4697
46.799999	88.831	176.0594
47.500000	88.819	175.5834
48.200001	88.806	175.1094
48.700001	88.796	174.7725
49.400002	88.781	174.3049
50.000000	88.768	173.9093
50.799999	88.751	173.3901
51.500000	88.737	172.9441
52.200001	88.722	172.5065
53.000000	88.704	172.0189
53.799999	88.684	171.5458
54.500000	88.667	171.1426
55.200001	88.648	170.7475
56.000000	88.626	170.3044
57.000000	88.598	169.7632
58.000000	88.568	169.2345
59.000000	88.538	168.7166
60.000000	88.506	168.2111
60.799999	88.481	167.8160
61.500000	88.458	167.4765
62.200001	88.435	167.1427
63.000000	88.408	166.7686
64.000000	88.375	166.3123
65.000000	88.340	165.8689
66.000000	88.305	165.4382
67.000000	88.270	165.0189
68.000000	88.234	164.6101
69.000000	88.198	164.2116
70.000000	88.160	163.8238
71.000000	88.122	163.4463
72.000000	88.084	163.0775
73.000000	88.046	162.7164
74.000000	88.008	162.3637
75.000000	87.969	162.0217
76.199997	87.922	161.6282
77.500000	87.870	161.2208
78.800003	87.819	160.8261
80.000000	87.772	160.4688
81.199997	87.724	160.1188
82.500000	87.671	159.7519
83.800003	87.618	159.4017
85.000000	87.569	159.0952
86.199997	87.521	158.8028
87.500000	87.468	158.4981
88.500000	87.427	158.2708
90.000000	87.366	157.9390
91.199997	87.317	157.6787
92.500000	87.263	157.4026
93.800003	87.210	157.1360
95.000000	87.160	156.8999
96.199997	87.111	156.6726
97.500000	87.058	156.4352
98.800003	87.006	156.2065
100.000000	86.957	156.0028
101.500000	86.896	155.7583
103.000000	86.835	155.5249
104.400002	86.778	155.3159
106.000000	86.713	155.0865
107.500000	86.653	154.8816
109.000000	86.593	154.6865
110.599998	86.530	154.4874
112.000000	86.474	154.3195
113.800003	86.403	154.1126
115.000000	86.356	153.9814
117.199997	86.270	153.7563
118.000000	86.239	153.6794
120.599998	86.138	153.4452
122.000000	86.084	153.3252
124.099998	86.004	153.1492
125.000000	85.970	153.0759
126.500000	85.912	152.9582
128.000000	85.855	152.8478
131.500000	85.725	152.6201
132.000000	85.706	152.5906
134.000000	85.633	152.4795
136.000000	85.560	152.3779
138.000000	85.488	152.2832
140.000000	85.416	152.1945
143.000000	85.310	152.0750
145.000000	85.240	152.0055
147.500000	85.153	151.9288
150.000000	85.068	151.8638
152.500000	84.983	151.8117
155.000000	84.899	151.7715
157.500000	84.816	151.7410
160.000000	84.734	151.7187
162.500000	84.654	151.7052
165.000000	84.574	151.7018
167.500000	84.496	151.7075
170.000000	84.418	151.7202
172.500000	84.341	151.7389
175.000000	84.265	151.7643
177.500000	84.190	151.7977
180.000000	84.116	151.8397
182.500000	84.043	151.8898
185.000000	83.971	151.9465
187.500000	83.900	152.0076
190.000000	83.830	152.0723
192.500000	83.761	152.1417
195.000000	83.692	152.2173
197.500000	83.624	152.2990
200.000000	83.558	152.3864
203.000000	83.478	152.4980
206.000000	83.400	152.6160
209.000000	83.324	152.7411
212.000000	83.249	152.8730
214.000000	83.199	152.9637
218.000000	83.102	153.1504
220.000000	83.054	153.2469
224.000000	82.959	153.4470
227.000000	82.889	153.6032
230.000000	82.820	153.7646
233.000000	82.752	153.9307
236.000000	82.686	154.1008
240.000000	82.598	154.3336
243.000000	82.534	154.5129
247.000000	82.450	154.7586
250.000000	82.389	154.9475
254.000000	82.308	155.2042
258.000000	82.228	155.4658
262.000000	82.150	155.7321
265.000000	82.092	155.9352
269.000000	82.017	156.2110
272.000000	81.961	156.4213
276.000000	81.889	156.7054
280.000000	81.818	156.9926
285.000000	81.731	157.3559
290.000000	81.646	157.7256
295.000000	81.564	158.1010
300.000000	81.484	158.4827
304.000000	81.421	158.7921
307.000000	81.375	159.0255
311.000000	81.314	159.3384
315.000000	81.254	159.6537
320.000000	81.181	160.0520
325.000000	81.110	160.4538
330.000000	81.041	160.8588
335.000000	80.974	161.2674
340.000000	80.908	161.6784
345.000000	80.844	162.0903
350.000000	80.782	162.5033
355.000000	80.721	162.9190
360.000000	80.662	163.3384
365.000000	80.604	163.7606
370.000000	80.548	164.1845
375.000000	80.493	164.6100
382.000000	80.419	165.2082
387.000000	80.368	165.6364
395.000000	80.289	166.3226
400.000000	80.241	166.7534
406.000000	80.185	167.2718
412.000000	80.131	167.7898
418.000000	80.079	168.3065
425.000000	80.020	168.9086
431.000000	79.971	169.4249
437.000000	79.924	169.9415
444.000000	79.871	170.5433
450.000000	79.826	171.0584
455.000000	79.790	171.4877
462.000000	79.741	172.0900
468.000000	79.700	172.6071
475.000000	79.654	173.2099
482.000000	79.610	173.8118
487.000000	79.579	174.2417
494.000000	79.538	174.8441
500.000000	79.503	175.3612
508.000000	79.458	176.0526
515.000000	79.421	176.6596
522.000000	79.385	177.2679
530.000000	79.345	177.9647
