* Measurement data measured by REW V5.20.13
* Source: Microphone (IKKO ITM01s), MICROPHONE (Master Volume), R, volume: 0.800
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: 29-Dec-2022 16:05:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TRN Xuanwu R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.034	-164.3888
20.299999	84.058	-164.6837
20.600000	84.079	-165.0106
20.900000	84.098	-165.3671
21.200001	84.116	-165.7485
21.400000	84.127	-166.0133
21.799999	84.149	-166.5627
22.000000	84.161	-166.8444
22.400000	84.188	-167.4156
22.700001	84.211	-167.8470
23.000000	84.237	-168.2777
23.299999	84.266	-168.7066
23.600000	84.297	-169.1328
24.000000	84.340	-169.6937
24.299999	84.374	-170.1035
24.700001	84.418	-170.6258
25.000000	84.451	-170.9927
25.400000	84.493	-171.4445
25.799999	84.534	-171.8561
26.200001	84.574	-172.2373
26.500000	84.601	-172.5100
26.900000	84.635	-172.8621
27.200001	84.657	-173.1194
27.600000	84.682	-173.4552
28.000000	84.702	-173.7850
28.500000	84.722	-174.1987
29.000000	84.738	-174.6281
29.500000	84.750	-175.0812
30.000000	84.759	-175.5548
30.400000	84.765	-175.9428
30.700001	84.769	-176.2370
31.100000	84.777	-176.6332
31.500000	84.786	-177.0346
32.000000	84.799	-177.5430
32.500000	84.814	-178.0531
33.000000	84.830	-178.5549
33.500000	84.847	-179.0396
34.000000	84.864	-179.5022
34.500000	84.880	-179.9424
35.000000	84.894	179.6393
35.500000	84.906	179.2432
36.000000	84.915	178.8677
36.500000	84.921	178.5070
37.000000	84.925	178.1507
37.500000	84.927	177.7893
38.200001	84.926	177.2673
38.700001	84.922	176.8857
39.500000	84.914	176.2681
40.000000	84.909	175.8780
40.599998	84.904	175.4066
41.200001	84.899	174.9359
41.799999	84.896	174.4727
