* Measurement data measured by REW V5.20.13
* Source: EXCL: Analogue 1 + 2 (2- Focusrite Usb Audio), LINE_IN (Master Volume), 1, volume: 0.250. Timing signal peak level -22.1 dBFS, measurement signal peak level -19.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 12-Feb-2023 01:02:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0316 ms (-11 mm, -0.43 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 6.1 ppm
* Measurement: Feb 12
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.933	-150.3367
20.600000	71.938	-150.6457
20.900000	71.950	-151.2975
21.200001	71.964	-152.0085
21.400000	71.973	-152.4816
21.799999	71.990	-153.4095
22.000000	71.998	-153.8607
22.400000	72.012	-154.7429
22.700001	72.022	-155.3883
23.000000	72.030	-156.0201
23.299999	72.038	-156.6400
23.600000	72.045	-157.2498
24.000000	72.053	-158.0494
24.299999	72.059	-158.6396
24.700001	72.065	-159.4124
25.000000	72.069	-159.9793
25.400000	72.072	-160.7162
25.799999	72.075	-161.4317
26.200001	72.077	-162.1294
26.500000	72.078	-162.6435
26.900000	72.078	-163.3187
27.200001	72.078	-163.8176
27.600000	72.077	-164.4717
28.000000	72.075	-165.1120
28.500000	72.071	-165.8937
29.000000	72.064	-166.6571
29.500000	72.056	-167.4037
30.000000	72.048	-168.1324
30.400000	72.040	-168.7015
30.700001	72.035	-169.1207
31.100000	72.027	-169.6703
31.500000	72.019	-170.2103
32.000000	72.008	-170.8726
32.500000	71.995	-171.5200
33.000000	71.981	-172.1518
33.500000	71.967	-172.7686
34.000000	71.953	-173.3717
34.500000	71.938	-173.9619
35.000000	71.922	-174.5398
35.500000	71.905	-175.1062
36.000000	71.888	-175.6621
36.500000	71.871	-176.2080
37.000000	71.852	-176.7437
37.500000	71.833	-177.2689
38.200001	71.806	-177.9862
38.700001	71.786	-178.4859
39.500000	71.753	-179.2645
40.000000	71.732	-179.7387
40.599998	71.706	179.7042
41.200001	71.680	179.1595
41.799999	71.653	178.6271
42.500000	71.621	178.0217
43.099998	71.593	177.5161
43.700001	71.564	177.0216
44.400002	71.530	176.4569
45.000000	71.500	175.9817
45.500000	71.475	175.5913
46.200001	71.440	175.0545
46.799999	71.410	174.6042
47.500000	71.375	174.0911
48.200001	71.340	173.5928
48.700001	71.315	173.2466
49.400002	71.278	172.7731
50.000000	71.246	172.3733
50.799999	71.204	171.8466
51.500000	71.166	171.3962
52.200001	71.128	170.9586
53.000000	71.084	170.4716
53.799999	71.040	169.9968
54.500000	71.002	169.5925
55.200001	70.964	169.1982
56.000000	70.919	168.7585
57.000000	70.864	168.2249
58.000000	70.808	167.7077
59.000000	70.752	167.2036
60.000000	70.695	166.7117
60.799999	70.650	166.3275
61.500000	70.610	165.9987
62.200001	70.570	165.6769
63.000000	70.525	165.3164
64.000000	70.468	164.8766
65.000000	70.411	164.4520
66.000000	70.353	164.0436
67.000000	70.296	163.6490
68.000000	70.238	163.2662
69.000000	70.180	162.8941
70.000000	70.122	162.5321
71.000000	70.063	162.1801
72.000000	70.004	161.8381
73.000000	69.946	161.5060
74.000000	69.888	161.1837
75.000000	69.829	160.8717
76.199997	69.758	160.5109
77.500000	69.680	160.1355
78.800003	69.602	159.7767
80.000000	69.529	159.4613
81.199997	69.456	159.1613
82.500000	69.375	158.8564
83.800003	69.294	158.5750
85.000000	69.218	158.3385
86.199997	69.141	158.1304
87.500000	69.058	157.9442
88.500000	68.994	157.8300
90.000000	68.903	157.7033
91.199997	68.838	157.6408
92.500000	68.778	157.6004
93.800003	68.730	157.5538
95.000000	68.692	157.4717
96.199997	68.656	157.3356
97.500000	68.616	157.1286
98.800003	68.571	156.8738
100.000000	68.524	156.6153
101.500000	68.459	156.2890
103.000000	68.387	155.9838
104.400002	68.315	155.7289
106.000000	68.225	155.4718
107.500000	68.137	155.2599
109.000000	68.047	155.0744
110.599998	67.948	154.9050
112.000000	67.862	154.7797
113.800003	67.749	154.6465
115.000000	67.672	154.5744
117.199997	67.522	154.4908
118.000000	67.465	154.4846
120.599998	67.271	154.6090
122.000000	67.161	154.8000
124.099998	66.991	155.3159
125.000000	66.921	155.6460
126.500000	66.815	156.3701
128.000000	66.742	157.3065
131.500000	66.793	159.7313
132.000000	66.828	160.0024
134.000000	67.009	160.6238
136.000000	67.191	160.4265
138.000000	67.311	159.6316
140.000000	67.353	158.6209
143.000000	67.304	157.2695
145.000000	67.232	156.6017
147.500000	67.126	155.9968
150.000000	67.016	155.5718
152.500000	66.907	155.2650
155.000000	66.802	155.0433
157.500000	66.700	154.8922
160.000000	66.603	154.7960
162.500000	66.508	154.7390
165.000000	66.416	154.7103
167.500000	66.327	154.7039
170.000000	66.241	154.7165
172.500000	66.158	154.7468
175.000000	66.076	154.7960
177.500000	65.997	154.8663
180.000000	65.921	154.9553
182.500000	65.850	155.0477
185.000000	65.782	155.1293
187.500000	65.715	155.2039
190.000000	65.647	155.2827
192.500000	65.580	155.3703
