* Measurement data measured by REW V5.20 Beta 60
* Source: ASIO ASIO4ALL v2, USB PnP Audio Device 1. Timing signal peak level -11,0 dBFS, measurement signal peak level -24,3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 27-ago-2020 22:57:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,3292 ms (113 mm, 4,45 in) using estimated IR delay relative to Acoustic reference on 1: xCORE USB Audio 2.0  1 with no timing offset
* Measurement: ISN H40 L 2020 ago 27
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.884	2.4459
20.299999	96.868	1.9704
20.600000	96.852	1.5035
20.900000	96.835	1.0450
21.200001	96.819	0.5947
21.400000	96.808	0.2990
21.799999	96.787	-0.2824
22.000000	96.776	-0.5682
22.400000	96.754	-1.1307
22.700001	96.738	-1.5451
23.000000	96.722	-1.9534
23.299999	96.705	-2.3560
23.600000	96.688	-2.7532
24.000000	96.666	-3.2748
24.299999	96.649	-3.6603
24.700001	96.627	-4.1668
25.000000	96.609	-4.5412
25.400000	96.586	-5.0331
25.799999	96.563	-5.5170
26.200001	96.539	-5.9928
26.500000	96.521	-6.3446
26.900000	96.497	-6.8071
27.200001	96.479	-7.1490
27.600000	96.455	-7.5987
28.000000	96.431	-8.0413
28.500000	96.400	-8.5851
29.000000	96.370	-9.1186
29.500000	96.339	-9.6422
30.000000	96.308	-10.1564
30.400000	96.286	-10.5614
30.700001	96.270	-10.8615
31.100000	96.249	-11.2573
31.500000	96.227	-11.6481
32.000000	96.199	-12.1297
32.500000	96.171	-12.6039
33.000000	96.143	-13.0703
33.500000	96.114	-13.5290
34.000000	96.085	-13.9798
34.500000	96.055	-14.4229
35.000000	96.024	-14.8585
35.500000	95.994	-15.2869
36.000000	95.963	-15.7084
36.500000	95.932	-16.1233
37.000000	95.901	-16.5319
37.500000	95.870	-16.9346
38.200001	95.826	-17.4888
38.700001	95.795	-17.8780
39.500000	95.744	-18.4893
40.000000	95.713	-18.8642
40.599998	95.674	-19.3070
41.200001	95.636	-19.7424
41.799999	95.598	-20.1709
42.500000	95.554	-20.6627
43.099998	95.518	-21.0778
43.700001	95.481	-21.4868
44.400002	95.439	-21.9561
45.000000	95.402	-22.3515
45.500000	95.372	-22.6760
46.200001	95.329	-23.1227
46.799999	95.292	-23.4986
47.500000	95.248	-23.9292
48.200001	95.205	-24.3514
48.700001	95.174	-24.6480
49.400002	95.131	-25.0568
50.000000	95.093	-25.4016
50.799999	95.044	-25.8545
51.500000	95.001	-26.2451
52.200001	94.958	-26.6308
53.000000	94.908	-27.0654
53.799999	94.857	-27.4924
54.500000	94.812	-27.8587
55.200001	94.766	-28.2174
56.000000	94.713	-28.6184
57.000000	94.648	-29.1080
58.000000	94.584	-29.5880
59.000000	94.520	-30.0599
60.000000	94.455	-30.5229
60.799999	94.404	-30.8860
61.500000	94.358	-31.1983
62.200001	94.313	-31.5052
63.000000	94.262	-31.8491
64.000000	94.198	-32.2683
65.000000	94.134	-32.6768
66.000000	94.072	-33.0777
67.000000	94.010	-33.4729
68.000000	93.949	-33.8588
69.000000	93.891	-34.2333
70.000000	93.834	-34.6048
71.000000	93.776	-34.9779
72.000000	93.715	-35.3337
73.000000	93.654	-35.6501
74.000000	93.597	-35.9335
75.000000	93.547	-36.2154
76.199997	93.489	-36.5875
77.500000	93.424	-37.0343
78.800003	93.351	-37.4940
80.000000	93.280	-37.9003
81.199997	93.207	-38.2805
82.500000	93.128	-38.6732
83.800003	93.048	-39.0542
85.000000	92.974	-39.3907
86.199997	92.901	-39.7085
87.500000	92.824	-40.0368
88.500000	92.766	-40.2832
90.000000	92.681	-40.6462
91.199997	92.614	-40.9322
92.500000	92.543	-41.2411
93.800003	92.473	-41.5482
95.000000	92.409	-41.8256
96.199997	92.348	-42.0956
97.500000	92.284	-42.3830
98.800003	92.220	-42.6687
100.000000	92.162	-42.9283
101.500000	92.088	-43.2357
103.000000	92.016	-43.5222
104.400002	91.951	-43.7821
106.000000	91.878	-44.0791
107.500000	91.810	-44.3560
109.000000	91.742	-44.6300
110.599998	91.669	-44.9174
112.000000	91.606	-45.1611
113.800003	91.524	-45.4630
115.000000	91.471	-45.6588
117.199997	91.373	-46.0061
118.000000	91.338	-46.1281
120.599998	91.225	-46.5118
122.000000	91.165	-46.7145
124.099998	91.074	-47.0174
125.000000	91.035	-47.1451
126.500000	90.971	-47.3538
128.000000	90.907	-47.5576
131.500000	90.760	-48.0086
132.000000	90.739	-48.0707
134.000000	90.657	-48.3135
136.000000	90.577	-48.5474
138.000000	90.498	-48.7798
140.000000	90.421	-49.0108
143.000000	90.305	-49.3484
145.000000	90.229	-49.5600
147.500000	90.137	-49.8139
150.000000	90.047	-50.0698
152.500000	89.965	-50.3277
155.000000	89.888	-50.5710
157.500000	89.814	-50.7987
160.000000	89.742	-51.0241
162.500000	89.671	-51.2400
165.000000	89.602	-51.4460
167.500000	89.535	-51.6561
170.000000	89.469	-51.8708
172.500000	89.398	-52.0800
175.000000	89.329	-52.2676
177.500000	89.261	-52.4585
180.000000	89.193	-52.6464
182.500000	89.126	-52.8191
185.000000	89.061	-52.9861
187.500000	88.999	-53.1536
190.000000	88.937	-53.3266
192.500000	88.871	-53.5006
195.000000	88.805	-53.6618
197.500000	88.742	-53.8163
200.000000	88.681	-53.9793
203.000000	88.606	-54.1900
206.000000	88.531	-54.3853
209.000000	88.456	-54.5630
212.000000	88.385	-54.7338
214.000000	88.340	-54.8472
218.000000	88.256	-55.0870
220.000000	88.215	-55.2077
224.000000	88.137	-55.4383
227.000000	88.080	-55.6131
230.000000	88.024	-55.7782
233.000000	87.967	-55.9537
236.000000	87.909	-56.1101
240.000000	87.836	-56.3184
243.000000	87.783	-56.4823
247.000000	87.713	-56.7020
250.000000	87.662	-56.8688
254.000000	87.596	-57.0835
258.000000	87.531	-57.2987
262.000000	87.469	-57.5009
265.000000	87.425	-57.6532
269.000000	87.368	-57.8589
272.000000	87.325	-58.0142
276.000000	87.269	-58.2203
280.000000	87.215	-58.4281
285.000000	87.148	-58.6832
290.000000	87.084	-58.9419
295.000000	87.023	-59.2057
300.000000	86.965	-59.4689
304.000000	86.921	-59.6795
307.000000	86.889	-59.8397
311.000000	86.847	-60.0548
315.000000	86.806	-60.2687
320.000000	86.755	-60.5339
325.000000	86.706	-60.7980
330.000000	86.658	-61.0633
335.000000	86.614	-61.3309
340.000000	86.571	-61.6074
345.000000	86.530	-61.8839
350.000000	86.490	-62.1603
355.000000	86.452	-62.4380
360.000000	86.417	-62.7170
365.000000	86.383	-63.0012
370.000000	86.349	-63.2921
375.000000	86.316	-63.5761
382.000000	86.274	-63.9707
387.000000	86.243	-64.2677
395.000000	86.194	-64.7525
400.000000	86.164	-65.0528
406.000000	86.131	-65.4068
412.000000	86.100	-65.7648
418.000000	86.072	-66.1364
425.000000	86.040	-66.5680
431.000000	86.017	-66.9386
437.000000	85.997	-67.3137
444.000000	85.978	-67.7567
450.000000	85.963	-68.1482
455.000000	85.952	-68.4694
462.000000	85.938	-68.9298
468.000000	85.924	-69.3322
475.000000	85.909	-69.7812
482.000000	85.899	-70.2393
487.000000	85.897	-70.5731
494.000000	85.895	-71.0477
500.000000	85.894	-71.4412
508.000000	85.895	-71.9935
515.000000	85.898	-72.4882
522.000000	85.903	-72.9837
530.000000	85.909	-73.5502
538.000000	85.916	-74.1108
545.000000	85.925	-74.6071
552.000000	85.939	-75.1264
560.000000	85.955	-75.7343
570.000000	85.976	-76.4707
580.000000	86.001	-77.2402
590.000000	86.030	-78.0664
600.000000	86.048	-78.9169
608.000000	86.059	-79.5161
615.000000	86.081	-80.0583
622.000000	86.101	-80.6809
630.000000	86.113	-81.3811
640.000000	86.131	-82.1498
650.000000	86.162	-82.8786
660.000000	86.203	-83.6383
670.000000	86.249	-84.4244
680.000000	86.296	-85.2322
690.000000	86.345	-86.0575
700.000000	86.399	-86.9052
710.000000	86.452	-87.7690
720.000000	86.508	-88.6211
730.000000	86.567	-89.4971
740.000000	86.628	-90.3860
750.000000	86.692	-91.2821
762.000000	86.775	-92.3876
775.000000	86.865	-93.6040
788.000000	86.958	-94.8289
800.000000	87.045	-95.9757
812.000000	87.141	-97.1633
825.000000	87.249	-98.4741
838.000000	87.360	-99.8109
850.000000	87.466	-101.0668
862.000000	87.581	-102.3549
875.000000	87.717	-103.7700
885.000000	87.827	-104.8917
900.000000	87.998	-106.6069
912.000000	88.137	-108.0417
925.000000	88.290	-109.6262
938.000000	88.443	-111.2497
950.000000	88.586	-112.7907
962.000000	88.732	-114.3693
975.000000	88.890	-116.1417
988.000000	89.046	-117.9448
1000.000000	89.191	-119.6618
1015.000000	89.375	-121.8955
1030.000000	89.555	-124.1945
1044.000000	89.720	-126.3855
1060.000000	89.907	-128.9910
1075.000000	90.076	-131.5009
1090.000000	90.224	-134.0678
1106.000000	90.365	-136.8714
1120.000000	90.482	-139.3849
1138.000000	90.620	-142.6726
1150.000000	90.704	-144.8930
1172.000000	90.844	-149.0255
1180.000000	90.889	-150.5425
1206.000000	91.014	-155.5040
1220.000000	91.074	-158.1751
1241.000000	91.148	-162.1859
1250.000000	91.173	-163.8966
1265.000000	91.204	-166.7310
1280.000000	91.226	-169.5466
1315.000000	91.247	-176.0118
1320.000000	91.248	-176.9220
1340.000000	91.241	179.4859
1360.000000	91.231	175.9681
1380.000000	91.239	172.5178
1400.000000	91.248	169.1459
1430.000000	91.248	164.2200
1450.000000	91.247	161.0229
1475.000000	91.242	157.1279
1500.000000	91.233	153.3254
1525.000000	91.209	149.6371
1550.000000	91.160	146.0333
1575.000000	91.105	142.5026
1600.000000	91.050	139.0542
1625.000000	90.996	135.6806
1650.000000	90.950	132.3681
1675.000000	90.912	129.1057
1700.000000	90.879	125.8935
1725.000000	90.841	122.7332
1750.000000	90.803	119.6169
1775.000000	90.774	116.5315
1800.000000	90.751	113.4683
1825.000000	90.735	110.4464
1850.000000	90.726	107.4464
1875.000000	90.727	104.4537
1900.000000	90.735	101.4728
1925.000000	90.763	98.5033
1950.000000	90.828	95.5413
1975.000000	90.907	92.5825
2000.000000	90.993	89.6194
2030.000000	91.108	86.0550
2060.000000	91.232	82.4792
2090.000000	91.368	78.8796
2120.000000	91.512	75.2451
2140.000000	91.612	72.8017
2180.000000	91.808	67.8651
2200.000000	91.905	65.3647
2240.000000	92.110	60.2958
2270.000000	92.273	56.4200
2300.000000	92.445	52.4737
2330.000000	92.625	48.4549
2360.000000	92.810	44.3560
2400.000000	93.062	38.7592
2430.000000	93.253	34.4398
2470.000000	93.502	28.5320
2500.000000	93.688	23.9806
2540.000000	93.934	17.7358
2580.000000	94.178	11.2875
2620.000000	94.413	4.6387
2650.000000	94.581	-0.4797
2690.000000	94.788	-7.4640
2720.000000	94.931	-12.8240
2760.000000	95.100	-20.1085
2800.000000	95.239	-27.5278
2850.000000	95.370	-36.9438
2900.000000	95.450	-46.4587
2950.000000	95.481	-55.9946
3000.000000	95.466	-65.5029
3040.000000	95.426	-73.0326
3070.000000	95.383	-78.6339
3110.000000	95.309	-86.0157
3150.000000	95.218	-93.2928
3200.000000	95.086	-102.2337
3250.000000	94.939	-110.9944
3300.000000	94.781	-119.5831
3350.000000	94.619	-128.0135
3400.000000	94.460	-136.3088
3450.000000	94.318	-144.4680
3500.000000	94.201	-152.5236
3550.000000	94.094	-160.4875
3600.000000	93.995	-168.3772
3650.000000	93.904	-176.2126
3700.000000	93.821	175.9775
3750.000000	93.752	168.1643
3820.000000	93.674	157.1799
3870.000000	93.617	149.2618
3950.000000	93.510	136.3654
4000.000000	93.441	128.1169
4060.000000	93.349	117.9774
4120.000000	93.223	107.5739
4180.000000	93.043	96.9384
4250.000000	92.738	84.3589
4310.000000	92.371	73.6422
4370.000000	91.892	63.2605
4440.000000	91.216	51.9617
4500.000000	90.580	43.2444
4550.000000	90.046	36.7244
4620.000000	89.355	28.6392
4680.000000	88.853	22.4432
4750.000000	88.397	15.7155
4820.000000	88.076	9.1926
4870.000000	87.927	4.5275
4940.000000	87.814	-2.1019
5000.000000	87.778	-7.9102
5080.000000	87.797	-15.8586
5150.000000	87.866	-22.9674
5220.000000	87.972	-30.2154
5300.000000	88.137	-38.6684
5380.000000	88.344	-47.2847
5450.000000	88.552	-54.9765
5520.000000	88.779	-62.8217
5600.000000	89.065	-71.9974
5700.000000	89.462	-83.8159
5800.000000	89.888	-96.0797
5900.000000	90.325	-108.8424
6000.000000	90.751	-122.1160
6080.000000	91.068	-133.0793
6150.000000	91.313	-142.8926
6220.000000	91.516	-152.8652
6300.000000	91.697	-164.3888
6400.000000	91.843	-178.8190
6500.000000	91.906	166.9121
6600.000000	91.902	152.9781
6700.000000	91.849	139.4989
6800.000000	91.771	126.5724
6900.000000	91.705	114.1587
7000.000000	91.668	102.1859
7100.000000	91.673	90.6284
7200.000000	91.740	79.3807
7300.000000	91.882	68.2931
7400.000000	92.096	57.1792
7500.000000	92.358	45.9792
7620.000000	92.748	32.6029
7750.000000	93.334	17.8385
7880.000000	94.064	2.1624
8000.000000	94.829	-13.4181
8120.000000	95.629	-30.3577
8250.000000	96.453	-50.5356
8380.000000	97.102	-72.6458
8500.000000	97.420	-94.3256
8620.000000	97.404	-116.3394
8750.000000	97.026	-139.4541
8850.000000	96.559	-156.2041
9000.000000	95.732	-179.4043
9120.000000	95.068	163.5081
9250.000000	94.417	146.1079
9380.000000	93.866	129.4740
9500.000000	93.452	114.4978
9620.000000	93.128	99.6338
