* Measurement data measured by REW V5.20
* Source: ASIO ASIO4ALL v2, USB PnP Audio Device 1. Timing signal peak level -31,3 dBFS, measurement signal peak level -18,3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -18,0 dBFS using an acoustic timing reference
* Dated: 20-ene-2021 19:07:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,2385 ms (82 mm, 3,22 in) using estimated IR delay relative to Acoustic reference on 1: xCORE USB Audio 2.0  1 with no timing offset
* Measurement: Smabat ST-10S L 2021 ene 20
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.913	42.1550
20.299999	87.956	41.5265
20.600000	87.998	40.9103
20.900000	88.039	40.3052
21.200001	88.078	39.7100
21.400000	88.104	39.3183
21.799999	88.155	38.5459
22.000000	88.179	38.1651
22.400000	88.225	37.4140
22.700001	88.259	36.8600
23.000000	88.290	36.3145
23.299999	88.321	35.7779
23.600000	88.350	35.2507
24.000000	88.386	34.5630
24.299999	88.412	34.0589
24.700001	88.445	33.4025
25.000000	88.468	32.9218
25.400000	88.498	32.2961
25.799999	88.527	31.6871
26.200001	88.554	31.0943
26.500000	88.573	30.6597
26.900000	88.599	30.0929
27.200001	88.617	29.6768
27.600000	88.641	29.1330
28.000000	88.664	28.6005
28.500000	88.693	27.9491
29.000000	88.719	27.3121
29.500000	88.745	26.6889
30.000000	88.769	26.0796
30.400000	88.787	25.6025
30.700001	88.800	25.2507
31.100000	88.817	24.7895
31.500000	88.833	24.3369
32.000000	88.853	23.7826
32.500000	88.871	23.2400
33.000000	88.889	22.7087
33.500000	88.905	22.1887
34.000000	88.921	21.6806
34.500000	88.936	21.1848
35.000000	88.950	20.7011
35.500000	88.963	20.2286
36.000000	88.977	19.7658
36.500000	88.990	19.3111
37.000000	89.002	18.8631
37.500000	89.014	18.4213
38.200001	89.030	17.8133
38.700001	89.040	17.3874
39.500000	89.055	16.7228
40.000000	89.063	16.3189
40.599998	89.072	15.8462
41.200001	89.081	15.3860
41.799999	89.090	14.9365
42.500000	89.101	14.4221
43.099998	89.110	13.9866
43.700001	89.119	13.5536
44.400002	89.128	13.0513
45.000000	89.134	12.6256
45.500000	89.138	12.2771
46.200001	89.143	11.8028
46.799999	89.146	11.4105
47.500000	89.150	10.9682
48.200001	89.154	10.5385
48.700001	89.158	10.2365
49.400002	89.164	9.8173
50.000000	89.169	9.4586
50.799999	89.175	8.9792
51.500000	89.180	8.5593
52.200001	89.183	8.1429
53.000000	89.185	7.6776
53.799999	89.186	7.2275
54.500000	89.187	6.8449
55.200001	89.188	6.4697
56.000000	89.190	6.0461
57.000000	89.191	5.5227
58.000000	89.191	5.0085
59.000000	89.191	4.5068
60.000000	89.190	4.0168
60.799999	89.190	3.6305
61.500000	89.189	3.2958
62.200001	89.188	2.9645
63.000000	89.186	2.5912
64.000000	89.183	2.1334
65.000000	89.179	1.6859
66.000000	89.176	1.2482
67.000000	89.172	0.8190
68.000000	89.169	0.3972
69.000000	89.165	-0.0183
70.000000	89.162	-0.4296
71.000000	89.159	-0.8381
72.000000	89.154	-1.2426
73.000000	89.149	-1.6396
74.000000	89.144	-2.0269
75.000000	89.139	-2.4066
76.199997	89.134	-2.8564
77.500000	89.128	-3.3374
78.800003	89.122	-3.8124
80.000000	89.116	-4.2460
81.199997	89.109	-4.6732
82.500000	89.102	-5.1291
83.800003	89.095	-5.5793
85.000000	89.089	-5.9921
86.199997	89.082	-6.4058
87.500000	89.073	-6.8527
88.500000	89.065	-7.1891
90.000000	89.053	-7.6739
91.199997	89.044	-8.0537
92.500000	89.035	-8.4672
93.800003	89.025	-8.8763
95.000000	89.016	-9.2457
96.199997	89.007	-9.6138
97.500000	88.997	-10.0167
98.800003	88.985	-10.4132
100.000000	88.973	-10.7587
101.500000	88.962	-11.1718
103.000000	88.954	-11.5968
104.400002	88.945	-12.0033
106.000000	88.933	-12.4624
107.500000	88.921	-12.8876
109.000000	88.908	-13.3044
110.599998	88.894	-13.7349
112.000000	88.883	-14.1055
113.800003	88.869	-14.5910
115.000000	88.860	-14.9204
117.199997	88.840	-15.5263
118.000000	88.831	-15.7429
120.599998	88.803	-16.3987
122.000000	88.792	-16.7375
124.099998	88.777	-17.2747
125.000000	88.769	-17.5058
126.500000	88.754	-17.8737
128.000000	88.742	-18.2298
131.500000	88.714	-19.1133
132.000000	88.709	-19.2412
134.000000	88.687	-19.7284
136.000000	88.667	-20.1968
138.000000	88.648	-20.6720
140.000000	88.629	-21.1360
143.000000	88.603	-21.8566
145.000000	88.582	-22.3373
147.500000	88.553	-22.8959
150.000000	88.532	-23.4275
152.500000	88.513	-24.0006
155.000000	88.491	-24.5811
157.500000	88.467	-25.1607
160.000000	88.442	-25.7233
162.500000	88.417	-26.2801
165.000000	88.391	-26.8372
167.500000	88.363	-27.3853
170.000000	88.334	-27.9138
172.500000	88.309	-28.4353
175.000000	88.284	-28.9702
177.500000	88.258	-29.5057
180.000000	88.232	-30.0306
182.500000	88.206	-30.5552
185.000000	88.180	-31.0805
187.500000	88.154	-31.6074
190.000000	88.125	-32.1399
192.500000	88.095	-32.6602
195.000000	88.068	-33.1804
197.500000	88.038	-33.7211
200.000000	88.005	-34.2269
203.000000	87.974	-34.7854
206.000000	87.947	-35.3865
209.000000	87.916	-35.9965
212.000000	87.883	-36.5937
214.000000	87.860	-36.9837
218.000000	87.815	-37.7614
220.000000	87.792	-38.1498
224.000000	87.744	-38.9345
227.000000	87.706	-39.5227
230.000000	87.667	-40.0945
233.000000	87.630	-40.6910
236.000000	87.586	-41.2715
240.000000	87.537	-41.9453
243.000000	87.508	-42.4769
247.000000	87.466	-43.1682
250.000000	87.443	-43.6399
254.000000	87.421	-44.4099
258.000000	87.387	-45.2343
262.000000	87.346	-46.1627
265.000000	87.301	-46.9239
269.000000	87.200	-47.9036
272.000000	87.106	-48.4313
276.000000	86.998	-48.8350
280.000000	86.935	-49.1666
285.000000	86.885	-49.6421
290.000000	86.862	-50.2170
295.000000	86.843	-50.9318
300.000000	86.823	-51.7429
304.000000	86.794	-52.4918
307.000000	86.766	-53.0506
311.000000	86.725	-53.7820
315.000000	86.683	-54.4976
320.000000	86.631	-55.3742
