* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 3, 2022 7:30:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Austria R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.032036	-163.7839
20.600000	82.023178	-158.7494
20.900000	82.089264	-154.0535
21.200001	82.235367	-149.5151
21.400000	82.374710	-146.6824
21.799999	82.721878	-141.6148
22.000000	82.914276	-139.3770
22.400000	83.315903	-135.3557
22.700001	83.629379	-132.5799
23.000000	83.963913	-129.9429
23.299999	84.328430	-127.4742
23.600000	84.721581	-125.2607
24.000000	85.262405	-122.8248
24.299999	85.652596	-121.3452
24.700001	86.127365	-119.6192
25.000000	86.454971	-118.3299
25.400000	86.884598	-116.4928
25.799999	87.343719	-114.6352
26.200001	87.838509	-113.0430
26.500000	88.214272	-112.1504
26.900000	88.687706	-111.3450
27.200001	89.008545	-110.9360
27.600000	89.393852	-110.4851
28.000000	89.750854	-110.0611
28.500000	90.189545	-109.6372
29.000000	90.625740	-109.4972
29.500000	91.042595	-109.6423
30.000000	91.433990	-109.9036
30.400000	91.736694	-110.1170
30.700001	91.961525	-110.2822
31.100000	92.257416	-110.5381
31.500000	92.542679	-110.8520
32.000000	92.876717	-111.2971
32.500000	93.188728	-111.7512
33.000000	93.490189	-112.2207
33.500000	93.786278	-112.7653
34.000000	94.071381	-113.4287
34.500000	94.336769	-114.1981
35.000000	94.577324	-115.0211
35.500000	94.793823	-115.8389
36.000000	94.993027	-116.6098
36.500000	95.184372	-117.3357
37.000000	95.372475	-118.0662
37.500000	95.552872	-118.8488
38.200001	95.778793	-120.0068
38.700001	95.921738	-120.8217
39.500000	96.133499	-122.0990
40.000000	96.255249	-122.9083
40.599998	96.387695	-123.8650
41.200001	96.509430	-124.7932
41.799999	96.619972	-125.7321
42.500000	96.725052	-126.8320
43.099998	96.798111	-127.7145
43.700001	96.864922	-128.5552
44.400002	96.929916	-129.5215
45.000000	96.971550	-130.2883
45.500000	97.000893	-130.8820
46.200001	97.028381	-131.6848
46.799999	97.032501	-132.2770
47.500000	97.035263	-132.8094
48.200001	97.035408	-133.3992
48.700001	97.006180	-133.8405
49.400002	96.936630	-134.1446
50.000000	96.906372	-134.1905
50.799999	96.881416	-134.4968
51.500000	96.801414	-134.6523
52.200001	96.735054	-134.3195
53.000000	96.703094	-134.0143
53.799999	96.614952	-133.5568
54.500000	96.572853	-132.6293
55.200001	96.578995	-131.8960
56.000000	96.516205	-130.9675
57.000000	96.542114	-128.8344
58.000000	96.649635	-127.5583
59.000000	96.698853	-125.5314
60.000000	96.945747	-123.6681
60.799999	97.083961	-122.5291
61.500000	97.237808	-120.9294
62.200001	97.499710	-119.5326
63.000000	97.786835	-118.6242
64.000000	98.090805	-117.3154
65.000000	98.491615	-116.0148
66.000000	98.917015	-115.3403
67.000000	99.318687	-114.8824
68.000000	99.736893	-114.5027
69.000000	100.179596	-114.4135
70.000000	100.606339	-114.6695
71.000000	101.006256	-115.0606
72.000000	101.408020	-115.5193
73.000000	101.821266	-116.1833
74.000000	102.220543	-117.1435
75.000000	102.587212	-118.2035
76.199997	103.024620	-119.4789
77.500000	103.486130	-121.2088
78.800003	103.904800	-123.1393
80.000000	104.272430	-124.9780
81.199997	104.623993	-126.9602
82.500000	104.980873	-129.3447
83.800003	105.300774	-131.8480
85.000000	105.564697	-134.1877
86.199997	105.805397	-136.5908
87.500000	106.036575	-139.2745
88.500000	106.191460	-141.3804
90.000000	106.384689	-144.5867
91.199997	106.507553	-147.1117
92.500000	106.608322	-149.8221
93.800003	106.678299	-152.4624
95.000000	106.722694	-154.8319
96.199997	106.746201	-157.1282
97.500000	106.749832	-159.5426
98.800003	106.734573	-161.8422
100.000000	106.707611	-163.8776
101.500000	106.655205	-166.2795
103.000000	106.588768	-168.5359
104.400002	106.514091	-170.4870
106.000000	106.422745	-172.5849
107.500000	106.331940	-174.4113
109.000000	106.237221	-176.1202
110.599998	106.136871	-177.8372
112.000000	106.046921	-179.2460
113.800003	105.934875	179.0590
115.000000	105.863159	177.9741
117.199997	105.729797	176.1158
118.000000	105.680878	175.4525
120.599998	105.536911	173.4432
122.000000	105.454727	172.4295
124.099998	105.341545	170.9361
125.000000	105.294342	170.3222
126.500000	105.215973	169.2933
128.000000	105.138634	168.3047
131.500000	104.963028	166.0996
132.000000	104.937912	165.7914
134.000000	104.835205	164.5767
136.000000	104.735588	163.3648
138.000000	104.639023	162.1997
140.000000	104.534737	161.0820
143.000000	104.374580	159.4084
145.000000	104.269325	158.3118
147.500000	104.128708	157.0209
150.000000	103.986389	155.7200
152.500000	103.843185	154.5130
155.000000	103.687981	153.3188
157.500000	103.539589	152.2189
160.000000	103.378036	151.1151
162.500000	103.217766	150.1383
165.000000	103.056076	149.1333
167.500000	102.886360	148.2774
170.000000	102.725319	147.4417
172.500000	102.550186	146.6595
175.000000	102.384186	145.9805
177.500000	102.220169	145.3431
180.000000	102.058708	144.7542
182.500000	101.894424	144.2870
185.000000	101.743362	143.8065
187.500000	101.595856	143.3359
190.000000	101.454208	142.8908
192.500000	101.311073	142.4416
195.000000	101.162453	142.0009
197.500000	101.012390	141.5944
200.000000	100.861580	141.2526
203.000000	100.681396	140.8795
206.000000	100.505905	140.5793
209.000000	100.329506	140.3249
212.000000	100.157135	140.1388
214.000000	100.047623	140.0341
218.000000	99.828178	139.8831
220.000000	99.721207	139.8613
224.000000	99.513359	139.8296
227.000000	99.362251	139.8753
230.000000	99.216522	139.9488
233.000000	99.081520	140.0842
236.000000	98.953537	140.2400
240.000000	98.791229	140.5776
243.000000	98.691498	140.7397
247.000000	98.573486	140.9684
250.000000	98.492966	141.1006
254.000000	98.387215	141.1745
258.000000	98.273651	141.2218
262.000000	98.157646	141.1959
265.000000	98.068993	141.2187
269.000000	97.944763	141.2611
272.000000	97.852631	141.3387
276.000000	97.728233	141.4327
280.000000	97.611046	141.5689
285.000000	97.468292	141.8248
290.000000	97.332314	142.0554
295.000000	97.201843	142.3088
300.000000	97.077789	142.5986
304.000000	96.982826	142.8225
307.000000	96.912849	143.0007
311.000000	96.816437	143.2278
315.000000	96.729538	143.4905
320.000000	96.625702	143.8149
325.000000	96.524948	144.1539
330.000000	96.425827	144.4979
335.000000	96.335098	144.8816
340.000000	96.250565	145.2227
345.000000	96.170624	145.5616
350.000000	96.093079	145.8823
355.000000	96.018661	146.1814
360.000000	95.944862	146.5325
365.000000	95.872787	146.8284
370.000000	95.804932	147.1157
375.000000	95.734520	147.4140
382.000000	95.641823	147.8551
387.000000	95.571297	148.1690
395.000000	95.469017	148.6525
400.000000	95.410454	148.9972
406.000000	95.340836	149.3802
412.000000	95.275314	149.7645
418.000000	95.206429	150.1779
425.000000	95.132751	150.6454
431.000000	95.072586	151.0440
437.000000	95.015190	151.3933
444.000000	94.948700	151.8827
450.000000	94.895767	152.3010
455.000000	94.852524	152.6090
462.000000	94.793549	153.0881
468.000000	94.747757	153.4697
475.000000	94.695518	153.9172
482.000000	94.643188	154.3918
487.000000	94.606743	154.6895
494.000000	94.563217	155.1771
500.000000	94.523117	155.5563
508.000000	94.471771	156.0849
515.000000	94.429680	156.5272
522.000000	94.392670	156.9899
530.000000	94.345757	157.5068
538.000000	94.306679	158.0037
545.000000	94.271744	158.4714
552.000000	94.241394	158.9041
560.000000	94.197876	159.4133
570.000000	94.159973	160.0371
580.000000	94.116394	160.6972
590.000000	94.082474	161.3410
600.000000	94.045578	161.9804
608.000000	94.020592	162.4878
615.000000	93.998260	162.9487
622.000000	93.977142	163.3887
630.000000	93.952499	163.9425
640.000000	93.931488	164.5596
650.000000	93.907127	165.1760
660.000000	93.883789	165.8384
670.000000	93.873779	166.4518
680.000000	93.857430	167.1328
690.000000	93.843460	167.8011
700.000000	93.836212	168.4144
710.000000	93.827332	169.1031
720.000000	93.820305	169.7767
730.000000	93.816078	170.4952
740.000000	93.822159	171.1201
750.000000	93.827827	171.7720
762.000000	93.831932	172.5845
775.000000	93.838890	173.4373
788.000000	93.858086	174.2883
800.000000	93.865082	175.1673
812.000000	93.894394	175.8965
825.000000	93.925278	176.7302
838.000000	93.960281	177.6312
850.000000	93.994751	178.3775
862.000000	94.038239	179.1904
875.000000	94.085159	-179.9931
885.000000	94.126953	-179.3406
900.000000	94.185570	-178.3991
912.000000	94.248077	-177.6291
925.000000	94.314011	-176.8414
938.000000	94.388390	-176.0446
950.000000	94.460419	-175.3180
962.000000	94.536057	-174.6388
975.000000	94.619781	-173.9183
988.000000	94.711777	-173.1910
1000.000000	94.801727	-172.5114
1015.000000	94.919907	-171.7647
1030.000000	95.036850	-171.0016
1044.000000	95.154968	-170.4218
1060.000000	95.292099	-169.7278
1075.000000	95.421021	-169.0752
1090.000000	95.546394	-168.5404
1106.000000	95.697868	-167.9876
1120.000000	95.823074	-167.5246
1138.000000	95.988373	-166.9852
1150.000000	96.102715	-166.6592
1172.000000	96.295715	-166.1402
1180.000000	96.373375	-165.9702
1206.000000	96.601173	-165.4186
1220.000000	96.723366	-165.1877
1241.000000	96.901428	-164.8791
1250.000000	96.979248	-164.7823
1265.000000	97.101616	-164.6168
1280.000000	97.222153	-164.4093
1315.000000	97.506538	-164.0461
1320.000000	97.547989	-164.0035
1340.000000	97.702827	-163.8007
1360.000000	97.855156	-163.5903
1380.000000	98.010025	-163.3999
1400.000000	98.166351	-163.2288
1430.000000	98.398460	-162.9592
1450.000000	98.550064	-162.7806
1475.000000	98.747330	-162.5718
1500.000000	98.942856	-162.3853
1525.000000	99.145508	-162.2056
1550.000000	99.349808	-162.0183
1575.000000	99.561584	-161.8936
1600.000000	99.779602	-161.7806
1625.000000	99.998894	-161.6337
1650.000000	100.222404	-161.5584
1675.000000	100.458725	-161.5224
1700.000000	100.699883	-161.5543
1725.000000	100.945580	-161.6168
1750.000000	101.199036	-161.7302
1775.000000	101.458847	-161.9212
1800.000000	101.728500	-162.1770
1825.000000	102.001556	-162.5408
1850.000000	102.280518	-163.0013
1875.000000	102.565392	-163.5342
1900.000000	102.855522	-164.1880
1925.000000	103.152985	-164.9477
1950.000000	103.452332	-165.8527
1975.000000	103.754051	-166.8791
2000.000000	104.055595	-168.0536
2030.000000	104.422546	-169.6651
2060.000000	104.782181	-171.5154
2090.000000	105.137375	-173.6114
2120.000000	105.476746	-176.0119
2140.000000	105.690659	-177.7679
2180.000000	106.091431	178.3359
2200.000000	106.268593	176.2164
2240.000000	106.571617	171.5656
2270.000000	106.741455	167.7806
2300.000000	106.849869	163.7971
2330.000000	106.894775	159.6984
2360.000000	106.867950	155.5281
2400.000000	106.719666	149.9048
2430.000000	106.512161	145.8536
2470.000000	106.136406	140.6489
2500.000000	105.785278	137.0978
2540.000000	105.234024	132.8148
2580.000000	104.604393	129.1357
2620.000000	103.925529	126.1093
2650.000000	103.385277	124.2464
2690.000000	102.650787	122.3676
2720.000000	102.084900	121.3804
2760.000000	101.324173	120.5760
2800.000000	100.562271	120.4420
2850.000000	99.640205	120.9999
2900.000000	98.744370	122.5867
2950.000000	97.907120	124.9197
3000.000000	97.162704	128.0673
3040.000000	96.642639	131.0749
3070.000000	96.287308	133.5278
3110.000000	95.897591	137.0435
3150.000000	95.583893	140.6954
3200.000000	95.314407	145.4641
3250.000000	95.126938	150.0198
3300.000000	95.064270	154.5851
3350.000000	95.099533	158.7788
3400.000000	95.187859	162.7498
3450.000000	95.342140	166.2222
3500.000000	95.538124	169.3515
3550.000000	95.761543	172.1368
3600.000000	95.998039	174.5495
3650.000000	96.238464	176.6585
3700.000000	96.486542	178.5305
3750.000000	96.738419	-179.8574
3820.000000	97.065262	-177.9309
3870.000000	97.296097	-176.7762
3950.000000	97.642929	-175.1743
4000.000000	97.852699	-174.3861
4060.000000	98.080765	-173.3169
4120.000000	98.308983	-172.4748
4180.000000	98.519913	-171.7059
4250.000000	98.751221	-170.8824
4310.000000	98.957001	-170.1866
4370.000000	99.143959	-169.5557
4440.000000	99.379410	-168.8898
4500.000000	99.565781	-168.3677
4550.000000	99.721657	-167.9393
4620.000000	99.951096	-167.4283
4680.000000	100.141075	-167.0724
4750.000000	100.361732	-166.7166
4820.000000	100.577484	-166.4577
4870.000000	100.726089	-166.3243
4940.000000	100.930984	-166.2239
5000.000000	101.101074	-166.2231
5080.000000	101.325928	-166.3278
5150.000000	101.503342	-166.4729
5220.000000	101.678070	-166.6584
5300.000000	101.856171	-167.0006
5380.000000	102.034126	-167.3694
5450.000000	102.170692	-167.7835
5520.000000	102.298218	-168.2862
5600.000000	102.419212	-168.9533
5700.000000	102.541740	-169.8063
5800.000000	102.630249	-170.6805
5900.000000	102.675827	-171.5057
6000.000000	102.678566	-172.2162
6080.000000	102.666733	-172.7056
6150.000000	102.646851	-173.0099
6220.000000	102.613708	-173.2366
6300.000000	102.579849	-173.3702
6400.000000	102.542862	-173.3213
6500.000000	102.489983	-173.1774
6600.000000	102.469238	-172.8867
6700.000000	102.464027	-172.5485
6800.000000	102.473984	-172.1598
6900.000000	102.499527	-171.7120
7000.000000	102.543381	-171.3018
7100.000000	102.622215	-170.8312
