* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 2, 2022 8:54:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: IET R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.442780	-175.5356
20.600000	101.414413	-175.3442
20.900000	101.395790	-175.1262
21.200001	101.392288	-174.9346
21.400000	101.398026	-174.8463
21.799999	101.421890	-174.7808
22.000000	101.436844	-174.7962
22.400000	101.468445	-174.8836
22.700001	101.492744	-174.9590
23.000000	101.519112	-175.0246
23.299999	101.549194	-175.0824
23.600000	101.583450	-175.1475
24.000000	101.633141	-175.2773
24.299999	101.670105	-175.4177
24.700001	101.715050	-175.6560
25.000000	101.744911	-175.8577
25.400000	101.781403	-176.1390
25.799999	101.817436	-176.4289
26.200001	101.854774	-176.7357
26.500000	101.883232	-176.9819
26.900000	101.920303	-177.3311
27.200001	101.946892	-177.6045
27.600000	101.980949	-177.9801
28.000000	102.014069	-178.3711
28.500000	102.053665	-178.8936
29.000000	102.088249	-179.4558
29.500000	102.115723	179.9633
30.000000	102.137886	179.3877
30.400000	102.153908	178.9307
30.700001	102.165283	178.5842
31.100000	102.178818	178.1116
31.500000	102.189194	177.6295
32.000000	102.197151	177.0276
32.500000	102.201080	176.4370
33.000000	102.202477	175.8526
33.500000	102.200699	175.2666
34.000000	102.194504	174.6837
34.500000	102.184555	174.1149
35.000000	102.172699	173.5615
35.500000	102.159477	173.0166
36.000000	102.143829	172.4788
36.500000	102.125153	171.9543
37.000000	102.104141	171.4454
37.500000	102.081390	170.9445
38.200001	102.045364	170.2455
38.700001	102.016342	169.7560
39.500000	101.968536	169.0083
40.000000	101.939583	168.5579
40.599998	101.903870	168.0280
41.200001	101.864334	167.5184
41.799999	101.820839	167.0370
42.500000	101.767883	166.5002
43.099998	101.722939	166.0452
43.700001	101.679413	165.5915
44.400002	101.629417	165.0795
45.000000	101.585045	164.6733
45.500000	101.546127	164.3621
46.200001	101.489799	163.9491
46.799999	101.441978	163.5861
47.500000	101.388718	163.1371
48.200001	101.338600	162.6952
48.700001	101.304169	162.4126
49.400002	101.255829	162.0728
50.000000	101.212128	161.8041
50.799999	101.148056	161.4150
51.500000	101.088493	161.0396
52.200001	101.032684	160.6747
53.000000	100.977180	160.2952
53.799999	100.920525	159.9489
54.500000	100.865784	159.6749
55.200001	100.812500	159.3955
56.000000	100.754196	159.0264
57.000000	100.677612	158.5870
58.000000	100.603180	158.2192
59.000000	100.524384	157.8322
60.000000	100.447029	157.4764
60.799999	100.393402	157.1843
61.500000	100.343872	156.9120
62.200001	100.288490	156.6570
63.000000	100.223236	156.3958
64.000000	100.144615	156.0777
65.000000	100.067207	155.7639
