* Measurement data measured by REW V5.20.13
* Source: Headset Microphone (Realtek(R) Audio), MICROPHONE (Hauptlautstärke), L, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 10.05.2023 21:48:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Lafitear LM1 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.487	51.5616
20.299999	107.499	50.9422
20.600000	107.533	50.4437
20.900000	107.596	49.9857
21.200001	107.683	49.4722
21.400000	107.748	49.0671
21.799999	107.875	48.1288
22.000000	107.931	47.6268
22.400000	108.025	46.6621
22.700001	108.087	46.0407
23.000000	108.151	45.5199
23.299999	108.223	45.0504
23.600000	108.301	44.5774
24.000000	108.403	43.8815
24.299999	108.469	43.3171
24.700001	108.533	42.5796
25.000000	108.568	42.0965
25.400000	108.609	41.5761
25.799999	108.658	41.1448
26.200001	108.719	40.6993
26.500000	108.769	40.3073
26.900000	108.832	39.6927
27.200001	108.873	39.1807
27.600000	108.919	38.4646
28.000000	108.957	37.7367
28.500000	108.997	36.8177
29.000000	109.028	35.9013
29.500000	109.046	35.0468
30.000000	109.057	34.3398
30.400000	109.072	33.9026
30.700001	109.092	33.6355
31.100000	109.130	33.3177
31.500000	109.181	32.9995
32.000000	109.254	32.5558
32.500000	109.325	32.0557
33.000000	109.388	31.5229
33.500000	109.440	30.9831
34.000000	109.481	30.4583
34.500000	109.515	29.9641
35.000000	109.545	29.4983
35.500000	109.576	29.0329
36.000000	109.608	28.5336
36.500000	109.637	27.9890
37.000000	109.660	27.4202
37.500000	109.677	26.8601
38.200001	109.702	26.1212
38.700001	109.724	25.6176
39.500000	109.768	24.8126
40.000000	109.798	24.2963
40.599998	109.832	23.6617
41.200001	109.859	23.0293
41.799999	109.877	22.4319
42.500000	109.894	21.8055
43.099998	109.907	21.3159
43.700001	109.921	20.8441
44.400002	109.935	20.3020
45.000000	109.946	19.8442
45.500000	109.955	19.4679
46.200001	109.967	18.9487
46.799999	109.979	18.5052
47.500000	109.994	17.9687
48.200001	110.005	17.4105
48.700001	110.007	17.0258
49.400002	110.009	16.5479
50.000000	110.016	16.1824
50.799999	110.037	15.6774
51.500000	110.057	15.1785
52.200001	110.071	14.6518
53.000000	110.080	14.0649
53.799999	110.086	13.5232
54.500000	110.092	13.0837
55.200001	110.101	12.6556
56.000000	110.109	12.1699
57.000000	110.115	11.6027
58.000000	110.124	11.0895
59.000000	110.139	10.5591
60.000000	110.154	9.9559
60.799999	110.157	9.4425
61.500000	110.154	9.0085
62.200001	110.149	8.6085
63.000000	110.144	8.1902
64.000000	110.141	7.7034
65.000000	110.142	7.2275
66.000000	110.139	6.7424
67.000000	110.129	6.2706
68.000000	110.116	5.8378
69.000000	110.105	5.4164
70.000000	110.096	4.9701
71.000000	110.086	4.5068
72.000000	110.077	4.0537
73.000000	110.072	3.6148
74.000000	110.069	3.1787
75.000000	110.065	2.7378
76.199997	110.055	2.2101
77.500000	110.036	1.6661
78.800003	110.012	1.1604
80.000000	109.993	0.7048
81.199997	109.976	0.2329
82.500000	109.958	-0.2864
83.800003	109.939	-0.7760
85.000000	109.924	-1.1940
86.199997	109.912	-1.5886
87.500000	109.906	-2.0076
88.500000	109.904	-2.3498
90.000000	109.897	-2.9101
91.199997	109.880	-3.3487
92.500000	109.849	-3.7611
93.800003	109.808	-4.1136
95.000000	109.760	-4.4240
96.199997	109.700	-4.7491
97.500000	109.623	-5.0949
98.800003	109.549	-5.3628
100.000000	109.510	-5.5547
101.500000	109.513	-5.9232
103.000000	109.535	-6.4866
104.400002	109.546	-7.0254
106.000000	109.541	-7.5354
107.500000	109.519	-7.9236
109.000000	109.485	-8.2853
110.599998	109.439	-8.6764
112.000000	109.400	-9.0187
113.800003	109.363	-9.4524
115.000000	109.347	-9.7454
117.199997	109.316	-10.2654
118.000000	109.302	-10.4303
120.599998	109.244	-10.8782
122.000000	109.210	-11.1129
124.099998	109.159	-11.5333
