* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000. Timing signal peak level -9.6 dBFS, measurement signal peak level -5.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 22-Dec-2022 4:19:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0876 ms (-30 mm, -1.18 in) using estimated IR delay relative to Acoustic reference played from USB-C to 3.5mm Headphone Jack Adapter R with no timing offset Clock adjustment: 0.9 ppm
* Measurement: 80 ohm R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 92.873 -127.9746
20.299999 92.934 -128.8916
20.600000 93.028 -129.7953
20.900000 93.079 -130.6555
21.200001 93.086 -131.4611
21.400000 93.135 -131.9752
21.799999 93.217 -132.9940
22.000000 93.246 -133.5170
22.400000 93.354 -134.6019
22.700001 93.449 -135.4295
23.000000 93.476 -136.2328
23.299999 93.463 -136.9829
23.600000 93.497 -137.6715
24.000000 93.575 -138.5318
24.299999 93.633 -139.1853
24.700001 93.755 -140.1278
25.000000 93.823 -140.8922
25.400000 93.858 -141.9461
25.799999 93.937 -142.9662
26.200001 93.962 -143.9064
26.500000 94.002 -144.5632
26.900000 94.061 -145.4073
27.200001 94.092 -146.0368
27.600000 94.144 -146.8818
28.000000 94.204 -147.7254
28.500000 94.229 -148.7578
29.000000 94.280 -149.7555
29.500000 94.292 -150.7202
30.000000 94.344 -151.6652
30.400000 94.339 -152.4272
30.700001 94.356 -153.0114
31.100000 94.392 -153.8018
31.500000 94.395 -154.5738
32.000000 94.408 -155.4601
32.500000 94.418 -156.2777
33.000000 94.467 -157.1477
33.500000 94.515 -158.1361
34.000000 94.549 -159.1251
34.500000 94.571 -159.9475
35.000000 94.608 -160.6352
35.500000 94.661 -161.4172
36.000000 94.704 -162.4158
36.500000 94.705 -163.4590
37.000000 94.679 -164.2958
37.500000 94.691 -164.9425
38.200001 94.743 -166.0417
38.700001 94.761 -167.0651
39.500000 94.723 -168.4380
40.000000 94.679 -168.9715
40.599998 94.680 -169.6146
41.200001 94.670 -170.4136
41.799999 94.657 -171.1770
42.500000 94.637 -171.9991
43.099998 94.668 -172.8825
43.700001 94.679 -173.8490
44.400002 94.655 -174.7375
45.000000 94.696 -175.3860
45.500000 94.697 -176.0167
46.200001 94.673 -176.9620
46.799999 94.624 -177.6550
47.500000 94.586 -178.4328
48.200001 94.590 -179.3528
48.700001 94.681 179.9855
49.400002 94.880 179.1776
50.000000 94.844 178.5161
50.799999 94.561 177.5628
51.500000 94.475 176.7597
52.200001 94.439 176.0474
53.000000 94.393 175.2444
53.799999 94.317 174.4105
54.500000 94.341 173.7087
55.200001 94.347 173.0333
56.000000 94.272 172.2719
57.000000 94.234 171.3382
58.000000 94.204 170.3534
59.000000 94.102 169.4313
60.000000 94.051 168.5142
60.799999 94.023 167.7484
61.500000 93.970 167.1525
62.200001 93.894 166.5753
63.000000 93.840 165.8998
64.000000 93.842 165.1169
65.000000 93.817 164.2787
66.000000 93.718 163.4828
67.000000 93.662 162.7312
68.000000 93.604 161.9468
69.000000 93.565 161.2671
70.000000 93.507 160.4902
71.000000 93.406 159.7774
72.000000 93.297 159.1772
73.000000 93.191 158.4463
74.000000 93.128 157.8262
75.000000 93.110 157.2304
76.199997 93.071 156.4234
77.500000 92.997 155.5606
78.800003 92.883 154.8843
80.000000 92.783 154.1031
81.199997 92.640 153.4511
82.500000 92.522 152.8237
83.800003 92.424 152.0833
85.000000 92.357 151.5079
86.199997 92.294 150.9031
87.500000 92.213 150.1721
88.500000 92.135 149.7061
90.000000 92.012 148.9410
91.199997 91.865 148.4507
92.500000 91.743 147.9684
93.800003 91.652 147.3978
95.000000 91.562 146.8057
96.199997 91.488 146.3987
97.500000 91.393 145.9126
98.800003 91.271 145.3787
100.000000 91.174 145.1155
101.500000 91.038 144.3936
103.000000 90.910 144.1053
104.400002 90.799 143.6617
106.000000 90.667 143.1356
107.500000 90.508 142.7573
109.000000 90.374 142.2966
110.599998 90.250 141.8153
112.000000 90.126 141.5356
113.800003 89.959 141.0881
115.000000 89.836 140.8074
117.199997 89.712 140.4393
118.000000 89.668 140.2585
120.599998 89.343 139.7715
122.000000 89.197 139.5535
124.099998 89.048 139.2446
125.000000 88.980 139.1136
126.500000 88.849 138.9495
128.000000 88.753 138.8069
131.500000 88.403 138.6057
132.000000 88.353 138.5916
134.000000 88.185 138.4865
136.000000 88.002 138.4487
138.000000 87.882 138.3611
140.000000 87.668 138.4398
143.000000 87.379 138.4960
145.000000 87.223 138.5256
147.500000 87.036 138.8255
150.000000 86.792 139.0548
152.500000 86.591 139.2802
155.000000 86.432 139.6350
157.500000 86.309 140.2635
160.000000 86.108 140.5014
162.500000 85.873 141.0263
165.000000 85.709 141.6052
167.500000 85.574 141.9545
170.000000 85.380 142.5941
172.500000 85.290 142.4236
175.000000 85.102 143.9890
177.500000 84.969 144.2548
180.000000 84.775 145.5608
182.500000 84.634 146.2476
185.000000 84.452 146.8442
187.500000 84.339 147.8991
190.000000 84.221 148.3756
192.500000 84.165 149.2279
195.000000 84.048 150.3401
197.500000 83.993 151.0604
200.000000 83.868 152.0811
203.000000 83.798 152.6239
206.000000 83.694 153.8497
209.000000 83.620 154.6535
212.000000 83.539 155.7054
214.000000 83.504 156.3623
218.000000 83.442 157.4160
220.000000 83.419 158.2347
224.000000 83.315 159.4750
227.000000 83.292 160.2835
230.000000 83.282 161.1493
233.000000 83.225 161.9231
236.000000 83.184 162.5744
240.000000 83.166 163.6539
243.000000 83.175 164.4828
247.000000 83.182 165.3475
250.000000 83.139 166.1761
254.000000 83.145 167.0081
258.000000 83.147 167.5305
262.000000 83.118 168.5777
265.000000 83.140 169.0651
269.000000 83.124 169.7747
272.000000 83.125 170.2705
276.000000 83.124 171.1221
280.000000 83.112 171.6463
285.000000 83.113 172.3111
290.000000 83.120 173.1608
295.000000 83.101 173.6672
300.000000 83.181 174.6155
304.000000 83.109 175.1813
307.000000 83.161 175.5070
311.000000 83.137 175.8643
315.000000 83.135 176.5757
320.000000 83.117 177.0428
325.000000 83.101 177.4117
330.000000 83.123 178.2564
335.000000 83.101 178.7272
340.000000 83.122 179.3218
345.000000 83.105 -179.9636
350.000000 83.118 -179.5708
355.000000 83.036 -179.1336
360.000000 83.051 -178.7452
365.000000 83.065 -178.2492
370.000000 83.088 -177.6180
375.000000 83.073 -176.9861
382.000000 83.020 -176.3411
387.000000 83.064 -175.8627
395.000000 83.031 -175.0117
400.000000 83.013 -174.5234
406.000000 83.015 -173.6453
412.000000 82.957 -173.3122
418.000000 83.043 -172.6789
425.000000 82.976 -172.0013
431.000000 82.938 -171.2043
437.000000 82.948 -170.8716
444.000000 82.929 -170.2539
450.000000 82.915 -169.5483
455.000000 82.922 -169.0113
462.000000 82.911 -168.2818
468.000000 82.922 -168.1133
475.000000 82.847 -166.9694
482.000000 82.898 -166.3106
487.000000 82.828 -165.8539
494.000000 82.829 -165.0808
500.000000 82.829 -164.3235
508.000000 82.881 -163.7225
515.000000 82.842 -163.0848
522.000000 82.851 -162.3033
530.000000 82.862 -161.3713
538.000000 82.855 -160.7253
545.000000 82.856 -159.8650
552.000000 82.840 -159.0943
560.000000 82.854 -158.3441
570.000000 82.867 -157.4129
580.000000 82.910 -156.3001
590.000000 82.919 -155.2776
600.000000 82.910 -154.3198
608.000000 82.941 -153.4156
615.000000 82.961 -152.9390
622.000000 82.977 -152.1299
630.000000 82.998 -151.3337
640.000000 83.037 -150.4010
650.000000 83.050 -149.3800
660.000000 83.128 -148.3811
670.000000 83.174 -147.5586
680.000000 83.215 -146.4306
690.000000 83.258 -145.7074
700.000000 83.299 -144.7136
710.000000 83.335 -143.8345
720.000000 83.385 -142.9272
730.000000 83.430 -142.1631
740.000000 83.481 -141.2197
750.000000 83.531 -140.4235
762.000000 83.582 -139.4217
775.000000 83.675 -138.4905
788.000000 83.731 -137.3522
800.000000 83.808 -136.4730
812.000000 83.880 -135.5350
825.000000 83.951 -134.5919
838.000000 84.001 -133.5050
850.000000 84.079 -132.5352
862.000000 84.155 -131.6811
875.000000 84.209 -130.7288
885.000000 84.266 -130.0421
900.000000 84.366 -128.9403
912.000000 84.437 -128.1613
925.000000 84.511 -127.2074
938.000000 84.583 -126.2200
950.000000 84.661 -125.5027
962.000000 84.722 -124.6678
975.000000 84.806 -123.8002
988.000000 84.895 -123.0181
1000.000000 84.963 -122.2199
1015.000000 85.063 -121.3860
1030.000000 85.152 -120.4906
1044.000000 85.232 -119.6517
1060.000000 85.337 -118.9125
1075.000000 85.412 -118.1082
1090.000000 85.487 -117.4085
1106.000000 85.595 -116.6888
1120.000000 85.692 -116.1102
1138.000000 85.791 -115.2730
1150.000000 85.870 -114.8674
1172.000000 85.990 -113.9844
1180.000000 86.026 -113.6125
1206.000000 86.123 -112.6558
1220.000000 86.140 -112.1625
1241.000000 86.175 -111.4575
1250.000000 86.193 -111.0096
1265.000000 86.270 -110.5670
1280.000000 86.440 -110.0781
1315.000000 86.953 -108.8436
1320.000000 87.026 -108.7313
1340.000000 87.239 -108.0900
1360.000000 87.398 -107.4407
1380.000000 87.502 -106.7798
1400.000000 87.579 -106.1767
1430.000000 87.695 -105.1064
1450.000000 87.790 -104.4490
1475.000000 87.884 -103.6415
1500.000000 87.989 -102.7798
1525.000000 88.097 -102.0439
1550.000000 88.191 -101.1830
1575.000000 88.301 -100.2934
1600.000000 88.426 -99.4558
1625.000000 88.527 -98.5994
1650.000000 88.620 -97.7724
1675.000000 88.725 -96.8651
1700.000000 88.858 -95.9961
1725.000000 88.979 -95.0851
1750.000000 89.086 -94.2457
1775.000000 89.210 -93.4264
1800.000000 89.330 -92.5459
1825.000000 89.460 -91.7634
1850.000000 89.585 -90.9769
1875.000000 89.730 -90.1470
1900.000000 89.860 -89.3895
1925.000000 90.007 -88.7171
1950.000000 90.146 -88.0210
1975.000000 90.269 -87.3915
2000.000000 90.410 -86.7343
2030.000000 90.586 -86.0445
2060.000000 90.763 -85.3771
2090.000000 90.929 -84.7322
2120.000000 91.087 -84.1214
2140.000000 91.201 -83.7734
2180.000000 91.432 -83.0905
2200.000000 91.550 -82.8254
2240.000000 91.777 -82.2580
2270.000000 91.944 -81.9517
2300.000000 92.091 -81.6714
2330.000000 92.258 -81.3768
2360.000000 92.417 -81.1455
2400.000000 92.621 -80.9403
2430.000000 92.763 -80.8129
2470.000000 92.947 -80.8169
2500.000000 93.084 -80.7809
2540.000000 93.251 -80.8197
2580.000000 93.397 -80.9188
2620.000000 93.543 -81.0567
2650.000000 93.638 -81.1799
2690.000000 93.766 -81.4101
2720.000000 93.843 -81.6339
2760.000000 93.932 -81.8710
2800.000000 94.006 -82.2086
2850.000000 94.087 -82.5622
2900.000000 94.140 -82.9457
2950.000000 94.182 -83.2416
3000.000000 94.199 -83.5255
3040.000000 94.198 -83.7274
3070.000000 94.190 -83.8187
3110.000000 94.159 -83.9303
3150.000000 94.133 -84.0119
3200.000000 94.091 -84.0498
3250.000000 94.007 -84.0822
3300.000000 93.989 -83.8522
3350.000000 93.939 -83.6711
3400.000000 93.883 -83.4367
3450.000000 93.822 -83.0664
3500.000000 93.744 -82.6225
3550.000000 93.650 -82.1941
3600.000000 93.568 -81.7090
3650.000000 93.485 -81.1097
3700.000000 93.407 -80.5064
3750.000000 93.340 -79.7872
3820.000000 93.281 -78.7540
3870.000000 93.260 -78.0092
3950.000000 93.232 -76.8681
4000.000000 93.218 -76.0871
4060.000000 93.192 -75.2175
4120.000000 93.125 -74.3681
4180.000000 93.049 -73.3713
4250.000000 92.959 -72.3810
4310.000000 92.876 -71.4755
4370.000000 92.804 -70.7134
4440.000000 92.726 -69.7765
4500.000000 92.681 -68.9983
4550.000000 92.630 -68.4459
4620.000000 92.561 -67.6906
4680.000000 92.503 -66.9803
4750.000000 92.427 -66.2290
4820.000000 92.333 -65.6086
4870.000000 92.263 -65.1447
