* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, L, volume: 0.265
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 5 Nov, 2022 8:19:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SEEKREAL DAWN Nov 5
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.779	54.4900
20.299999	88.846	53.6544
20.600000	88.925	52.8146
20.900000	88.984	51.9753
21.200001	88.992	51.1401
21.400000	89.004	50.5866
21.799999	89.057	49.4916
22.000000	89.091	48.9539
22.400000	89.133	47.9081
22.700001	89.178	47.1568
23.000000	89.247	46.4357
23.299999	89.305	45.7400
23.600000	89.352	45.0644
24.000000	89.421	44.1902
24.299999	89.480	43.5558
24.700001	89.548	42.7435
25.000000	89.588	42.1603
25.400000	89.640	41.4107
25.799999	89.689	40.6801
26.200001	89.742	39.9595
26.500000	89.780	39.4258
26.900000	89.818	38.7247
27.200001	89.839	38.2053
27.600000	89.865	37.5147
28.000000	89.884	36.8181
28.500000	89.903	35.9355
29.000000	89.926	35.0477
29.500000	89.944	34.1624
30.000000	89.947	33.2866
30.400000	89.952	32.6006
30.700001	89.962	32.0989
31.100000	89.968	31.4475
31.500000	89.970	30.8117
32.000000	89.988	30.0322
32.500000	90.036	29.2760
33.000000	90.069	28.5586
33.500000	90.091	27.8818
34.000000	90.121	27.2304
34.500000	90.149	26.5906
35.000000	90.167	25.9594
35.500000	90.184	25.3333
36.000000	90.206	24.7045
36.500000	90.223	24.0720
37.000000	90.223	23.4439
37.500000	90.209	22.8269
38.200001	90.192	21.9817
38.700001	90.201	21.3948
39.500000	90.192	20.4944
40.000000	90.176	19.9421
40.599998	90.173	19.2750
41.200001	90.165	18.6181
41.799999	90.153	17.9952
42.500000	90.143	17.3109
43.099998	90.138	16.7379
43.700001	90.145	16.1615
44.400002	90.159	15.4851
45.000000	90.172	14.9153
45.500000	90.180	14.4561
46.200001	90.199	13.8373
46.799999	90.214	13.3215
47.500000	90.204	12.7239
48.200001	90.181	12.1222
48.700001	90.164	11.6963
49.400002	90.122	11.1264
50.000000	90.077	10.6662
50.799999	90.037	10.0628
51.500000	90.004	9.5272
52.200001	89.985	9.0024
53.000000	89.976	8.4246
53.799999	89.967	7.8459
54.500000	89.962	7.3449
55.200001	89.964	6.8699
56.000000	89.961	6.3482
57.000000	89.951	5.7030
58.000000	89.924	5.0913
59.000000	89.872	4.5138
60.000000	89.816	3.9066
60.799999	89.771	3.4194
61.500000	89.740	3.0198
62.200001	89.712	2.6315
63.000000	89.685	2.1979
64.000000	89.664	1.6720
65.000000	89.650	1.1639
66.000000	89.650	0.6809
67.000000	89.638	0.1877
68.000000	89.612	-0.2654
69.000000	89.571	-0.7404
70.000000	89.515	-1.2039
71.000000	89.457	-1.6370
72.000000	89.394	-2.0921
73.000000	89.343	-2.5089
74.000000	89.322	-2.8956
75.000000	89.316	-3.2599
