* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, L, volume: 0.329
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 17 Dec, 2022 10:58:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TRN XUANWU Dec 17
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.276	-135.0548
20.299999	91.343	-135.8624
20.600000	91.418	-136.6461
20.900000	91.467	-137.4106
21.200001	91.466	-138.1596
21.400000	91.467	-138.6509
21.799999	91.493	-139.6151
22.000000	91.511	-140.0892
22.400000	91.518	-141.0252
22.700001	91.534	-141.7212
23.000000	91.572	-142.4159
23.299999	91.596	-143.1100
23.600000	91.608	-143.8027
24.000000	91.630	-144.7215
24.299999	91.657	-145.4056
24.700001	91.685	-146.3102
25.000000	91.700	-146.9828
25.400000	91.722	-147.8698
25.799999	91.746	-148.7423
26.200001	91.779	-149.5970
26.500000	91.807	-150.2248
26.900000	91.835	-151.0420
27.200001	91.850	-151.6377
27.600000	91.867	-152.4064
28.000000	91.880	-153.1461
28.500000	91.891	-154.0372
29.000000	91.904	-154.9013
29.500000	91.908	-155.7391
30.000000	91.892	-156.5438
30.400000	91.881	-157.1650
30.700001	91.877	-157.6228
31.100000	91.863	-158.2308
31.500000	91.842	-158.8410
32.000000	91.829	-159.6047
32.500000	91.847	-160.3598
33.000000	91.852	-161.1001
33.500000	91.849	-161.8285
34.000000	91.855	-162.5500
34.500000	91.861	-163.2637
35.000000	91.859	-163.9624
35.500000	91.859	-164.6394
36.000000	91.866	-165.2960
36.500000	91.870	-165.9370
37.000000	91.859	-166.5618
37.500000	91.834	-167.1647
38.200001	91.802	-167.9766
38.700001	91.800	-168.5508
39.500000	91.766	-169.4650
40.000000	91.728	-170.0115
40.599998	91.700	-170.6375
41.200001	91.673	-171.2593
41.799999	91.646	-171.8899
42.500000	91.616	-172.6125
43.099998	91.591	-173.2071
43.700001	91.580	-173.7892
44.400002	91.575	-174.4560
45.000000	91.574	-175.0065
45.500000	91.572	-175.4483
46.200001	91.576	-176.0545
46.799999	91.577	-176.5776
47.500000	91.547	-177.1893
48.200001	91.501	-177.7770
48.700001	91.470	-178.1766
49.400002	91.414	-178.7259
50.000000	91.358	-179.1995
50.799999	91.298	-179.8224
51.500000	91.249	179.6524
52.200001	91.216	179.1406
53.000000	91.191	178.5688
53.799999	91.163	178.0173
54.500000	91.144	177.5490
55.200001	91.133	177.0852
56.000000	91.111	176.5634
57.000000	91.081	175.9386
58.000000	91.039	175.3185
59.000000	90.968	174.7051
60.000000	90.889	174.1378
60.799999	90.833	173.7000
61.500000	90.794	173.3188
62.200001	90.755	172.9456
63.000000	90.715	172.5271
64.000000	90.674	172.0253
65.000000	90.644	171.5537
66.000000	90.628	171.0646
67.000000	90.599	170.6032
68.000000	90.560	170.1486
69.000000	90.495	169.7091
70.000000	90.428	169.3279
71.000000	90.359	168.8780
72.000000	90.273	168.4566
73.000000	90.212	168.0911
74.000000	90.179	167.6998
75.000000	90.157	167.3230
76.199997	90.132	166.9119
77.500000	90.094	166.4709
78.800003	90.008	166.0106
80.000000	89.919	165.6472
81.199997	89.836	165.2783
82.500000	89.752	164.8976
83.800003	89.698	164.5248
85.000000	89.674	164.2147
86.199997	89.646	163.8952
87.500000	89.597	163.5687
88.500000	89.545	163.3123
90.000000	89.441	162.9518
91.199997	89.363	162.6452
92.500000	89.281	162.3330
93.800003	89.234	162.1309
95.000000	89.208	161.8778
96.199997	89.183	161.6448
97.500000	89.146	161.4045
98.800003	89.068	161.1782
100.000000	88.994	160.9628
101.500000	88.895	160.6917
103.000000	88.817	160.4705
104.400002	88.774	160.2567
106.000000	88.732	160.0197
107.500000	88.683	159.8424
109.000000	88.615	159.6548
110.599998	88.514	159.4621
112.000000	88.429	159.3032
113.800003	88.352	159.1260
115.000000	88.329	158.9890
117.199997	88.283	158.7451
118.000000	88.251	158.6677
120.599998	88.106	158.4941
122.000000	88.032	158.3625
124.099998	87.953	158.2294
125.000000	87.933	158.1744
126.500000	87.900	158.0662
128.000000	87.855	157.9757
131.500000	87.671	157.7978
132.000000	87.645	157.7911
134.000000	87.572	157.7161
136.000000	87.536	157.6117
138.000000	87.493	157.5579
140.000000	87.397	157.5445
143.000000	87.255	157.4865
145.000000	87.211	157.4775
147.500000	87.161	157.4169
150.000000	87.066	157.3994
152.500000	86.941	157.4176
155.000000	86.864	157.4171
157.500000	86.825	157.4528
160.000000	86.734	157.4542
162.500000	86.641	157.5363
165.000000	86.581	157.6080
167.500000	86.550	157.6256
170.000000	86.483	157.6708
172.500000	86.377	157.7750
175.000000	86.305	157.8507
177.500000	86.271	157.9688
180.000000	86.208	158.1210
182.500000	86.116	158.2023
185.000000	86.053	158.3210
187.500000	86.005	158.4387
190.000000	85.907	158.5955
192.500000	85.801	158.6784
195.000000	85.742	158.8132
197.500000	85.692	158.9625
200.000000	85.639	159.0850
203.000000	85.538	159.3256
206.000000	85.492	159.5206
209.000000	85.437	159.6933
212.000000	85.348	159.9041
214.000000	85.296	160.0989
218.000000	85.258	160.3091
220.000000	85.212	160.4696
224.000000	85.107	160.8059
227.000000	85.073	160.9582
230.000000	85.013	161.2601
233.000000	84.942	161.5308
236.000000	84.894	161.7259
240.000000	84.827	162.0298
243.000000	84.752	162.3367
247.000000	84.730	162.6756
250.000000	84.675	162.9208
254.000000	84.586	163.2747
258.000000	84.523	163.6237
262.000000	84.441	164.0470
265.000000	84.409	164.2688
269.000000	84.346	164.6642
272.000000	84.296	164.9050
276.000000	84.242	165.3328
280.000000	84.176	165.7243
285.000000	84.111	166.1427
290.000000	84.056	166.6418
