* Measurement data measured by REW V5.20.5
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at 6.0- dBFS with no timing reference
* Dated: 19/01/2023 01:58:23 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: U6t xx Silicon WIDE L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.773	-126.2808
20.299999	81.918	-126.6495
20.600000	82.055	-126.9776
20.900000	82.183	-127.2933
21.200001	82.296	-127.6038
21.400000	82.362	-127.8006
21.799999	82.478	-128.1655
22.000000	82.529	-128.3390
22.400000	82.623	-128.7003
22.700001	82.687	-129.0171
23.000000	82.744	-129.3905
23.299999	82.793	-129.8110
23.600000	82.835	-130.2647
24.000000	82.889	-130.9088
24.299999	82.931	-131.4272
24.700001	82.992	-132.1815
25.000000	83.041	-132.7924
25.400000	83.108	-133.6388
25.799999	83.182	-134.4793
26.200001	83.267	-135.2990
26.500000	83.337	-135.9096
26.900000	83.437	-136.7254
27.200001	83.512	-137.3262
27.600000	83.609	-138.0787
28.000000	83.703	-138.7460
28.500000	83.822	-139.4743
29.000000	83.939	-140.1454
29.500000	84.044	-140.7822
30.000000	84.136	-141.3728
30.400000	84.204	-141.8258
30.700001	84.251	-142.1723
31.100000	84.307	-142.6583
31.500000	84.355	-143.1646
32.000000	84.405	-143.7998
32.500000	84.452	-144.4373
33.000000	84.502	-145.1088
33.500000	84.553	-145.8214
34.000000	84.605	-146.5455
34.500000	84.661	-147.2639
35.000000	84.724	-147.9867
35.500000	84.787	-148.7113
36.000000	84.849	-149.4079
36.500000	84.912	-150.0577
37.000000	84.975	-150.6719
37.500000	85.036	-151.2677
38.200001	85.116	-152.0773
38.700001	85.166	-152.6415
39.500000	85.234	-153.5236
40.000000	85.270	-154.0506
40.599998	85.315	-154.6698
41.200001	85.361	-155.3163
41.799999	85.405	-156.0005
42.500000	85.451	-156.8053
43.099998	85.488	-157.4694
43.700001	85.529	-158.1053
44.400002	85.581	-158.8384
45.000000	85.625	-159.4846
45.500000	85.657	-160.0187
46.200001	85.697	-160.7152
46.799999	85.734	-161.2831
47.500000	85.778	-161.9748
48.200001	85.814	-162.6738
48.700001	85.837	-163.1482
49.400002	85.872	-163.7901
50.000000	85.904	-164.3416
50.799999	85.946	-165.0743
51.500000	85.982	-165.7137
52.200001	86.016	-166.3570
53.000000	86.049	-167.0714
53.799999	86.080	-167.7447
54.500000	86.109	-168.3397
55.200001	86.135	-168.9650
56.000000	86.159	-169.6633
57.000000	86.193	-170.5018
58.000000	86.228	-171.3747
59.000000	86.257	-172.1891
60.000000	86.291	-172.9530
60.799999	86.318	-173.5603
61.500000	86.338	-174.0765
62.200001	86.358	-174.5712
63.000000	86.383	-175.1474
64.000000	86.409	-175.9229
65.000000	86.427	-176.6776
66.000000	86.448	-177.4104
67.000000	86.472	-178.1441
68.000000	86.495	-178.8593
69.000000	86.518	-179.5591
70.000000	86.538	179.7599
71.000000	86.557	179.0839
72.000000	86.573	178.4169
73.000000	86.589	177.7515
74.000000	86.604	177.0960
75.000000	86.621	176.4516
76.199997	86.643	175.6862
77.500000	86.665	174.8359
78.800003	86.676	174.0524
80.000000	86.696	173.3571
81.199997	86.714	172.5913
82.500000	86.724	171.8134
83.800003	86.742	171.0503
85.000000	86.754	170.3564
86.199997	86.769	169.6709
87.500000	86.782	168.9058
88.500000	86.791	168.3525
90.000000	86.807	167.4558
91.199997	86.810	166.8336
92.500000	86.830	166.1417
93.800003	86.841	165.4456
95.000000	86.849	164.7867
96.199997	86.855	164.1992
97.500000	86.868	163.4926
98.800003	86.873	162.8487
100.000000	86.890	162.2032
101.500000	86.889	161.4264
103.000000	86.906	160.7098
104.400002	86.913	160.0002
106.000000	86.924	159.2047
107.500000	86.927	158.4739
109.000000	86.935	157.7878
110.599998	86.944	156.9818
112.000000	86.942	156.3412
113.800003	86.957	155.4948
115.000000	86.961	154.9445
117.199997	86.969	153.9331
118.000000	86.974	153.5902
120.599998	86.986	152.4276
122.000000	86.984	151.8020
124.099998	86.998	150.8901
125.000000	86.999	150.5040
126.500000	87.005	149.8574
128.000000	87.009	149.2085
131.500000	87.014	147.7211
132.000000	87.014	147.5138
134.000000	87.023	146.6934
136.000000	87.024	145.8685
138.000000	87.029	145.0588
140.000000	87.038	144.2902
143.000000	87.039	143.0560
145.000000	87.038	142.2496
147.500000	87.037	141.2879
150.000000	87.030	140.3160
152.500000	87.034	139.3682
155.000000	87.029	138.4080
157.500000	87.025	137.5081
160.000000	87.005	136.5912
162.500000	86.982	135.6727
165.000000	86.958	134.8410
167.500000	86.921	134.1400
170.000000	86.875	133.5117
172.500000	86.839	133.0488
175.000000	86.826	132.8701
177.500000	86.865	132.7715
180.000000	86.958	132.5309
182.500000	87.070	131.9068
185.000000	87.164	130.9611
187.500000	87.218	129.8715
190.000000	87.228	128.9846
192.500000	87.253	128.3981
195.000000	87.334	127.6544
197.500000	87.396	126.6137
200.000000	87.427	125.5419
203.000000	87.447	124.3986
206.000000	87.466	123.3189
209.000000	87.477	122.2161
212.000000	87.490	121.1674
214.000000	87.496	120.4650
218.000000	87.494	119.1848
220.000000	87.497	118.5728
224.000000	87.487	117.4229
227.000000	87.484	116.6772
230.000000	87.503	116.0526
233.000000	87.552	115.3399
236.000000	87.598	114.3896
240.000000	87.626	113.1006
243.000000	87.643	112.2210
247.000000	87.676	111.0339
250.000000	87.687	110.1351
254.000000	87.690	108.9691
258.000000	87.694	107.9701
262.000000	87.717	107.0374
265.000000	87.743	106.2947
269.000000	87.790	105.1535
272.000000	87.808	104.3341
276.000000	87.833	103.1941
280.000000	87.844	102.1307
285.000000	87.861	100.7798
290.000000	87.887	99.4692
295.000000	87.895	98.2348
300.000000	87.911	97.0134
304.000000	87.925	96.1047
307.000000	87.939	95.3504
311.000000	87.956	94.3746
315.000000	87.966	93.3992
320.000000	87.977	92.1993
325.000000	87.987	91.0261
330.000000	88.000	89.9052
335.000000	88.004	88.7847
340.000000	88.005	87.6852
345.000000	88.012	86.6212
350.000000	88.016	85.5996
355.000000	88.016	84.6545
360.000000	88.022	83.7505
365.000000	88.038	82.8457
370.000000	88.064	81.9651
375.000000	88.108	81.0857
382.000000	88.161	79.6564
387.000000	88.194	78.6036
395.000000	88.219	76.8079
400.000000	88.220	75.7410
406.000000	88.221	74.4993
412.000000	88.226	73.2712
418.000000	88.217	72.0809
425.000000	88.210	70.7542
431.000000	88.202	69.6232
437.000000	88.190	68.5468
444.000000	88.180	67.2946
450.000000	88.157	66.2491
455.000000	88.146	65.4315
462.000000	88.126	64.3347
468.000000	88.116	63.3877
475.000000	88.094	62.3911
482.000000	88.062	61.4081
487.000000	88.051	60.7749
494.000000	88.024	59.8155
500.000000	87.996	59.0298
508.000000	87.963	58.0081
515.000000	87.935	57.1956
