* Measurement data measured by REW V5.20.5
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at 6.0- dBFS with no timing reference
* Dated: 19/04/2023 09:05:21 Õ
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Hidizs MS5 BASS NOZL / source : IBASSO DX170 /  64 AUDIO U12T CABLE; 
* Measurement: Hidizs MS5 BASS SOFT R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.057	-174.3833
20.299999	92.066	-174.5360
20.600000	92.072	-174.6793
20.900000	92.076	-174.8240
21.200001	92.077	-174.9802
21.400000	92.077	-175.0920
21.799999	92.072	-175.3311
22.000000	92.068	-175.4573
22.400000	92.059	-175.7238
22.700001	92.053	-175.9416
23.000000	92.047	-176.1805
23.299999	92.041	-176.4394
23.600000	92.035	-176.7117
24.000000	92.026	-177.0814
24.299999	92.022	-177.3557
24.700001	92.021	-177.7172
25.000000	92.023	-177.9903
25.400000	92.030	-178.3611
25.799999	92.039	-178.7313
26.200001	92.047	-179.0829
26.500000	92.053	-179.3254
26.900000	92.063	-179.6185
27.200001	92.071	-179.8200
27.600000	92.082	179.9269
28.000000	92.092	179.6835
28.500000	92.101	179.3901
29.000000	92.102	179.1164
29.500000	92.098	178.8725
30.000000	92.092	178.6521
30.400000	92.088	178.4727
30.700001	92.086	178.3243
31.100000	92.081	178.1007
31.500000	92.074	177.8542
32.000000	92.060	177.5375
32.500000	92.047	177.2287
33.000000	92.037	176.9214
33.500000	92.030	176.6027
34.000000	92.025	176.2761
34.500000	92.021	175.9562
35.000000	92.018	175.6513
35.500000	92.016	175.3619
36.000000	92.015	175.0863
36.500000	92.013	174.8221
37.000000	92.011	174.5663
37.500000	92.007	174.3197
38.200001	91.998	173.9932
38.700001	91.992	173.7633
39.500000	91.978	173.3757
40.000000	91.966	173.1322
40.599998	91.952	172.8532
41.200001	91.940	172.5748
41.799999	91.930	172.2801
42.500000	91.918	171.9278
43.099998	91.907	171.6355
43.700001	91.896	171.3524
44.400002	91.884	171.0333
45.000000	91.875	170.7693
45.500000	91.867	170.5505
46.200001	91.856	170.2384
46.799999	91.844	169.9679
47.500000	91.828	169.6595
48.200001	91.811	169.3658
48.700001	91.800	169.1615
49.400002	91.786	168.8734
50.000000	91.774	168.6234
50.799999	91.758	168.2927
51.500000	91.744	168.0080
52.200001	91.729	167.7259
53.000000	91.711	167.4040
53.799999	91.691	167.0903
54.500000	91.675	166.8200
55.200001	91.658	166.5368
56.000000	91.635	166.2257
57.000000	91.614	165.8770
58.000000	91.597	165.4544
59.000000	91.567	165.0832
60.000000	91.548	164.7682
60.799999	91.531	164.4570
61.500000	91.509	164.2160
62.200001	91.490	164.0079
63.000000	91.473	163.7313
64.000000	91.444	163.3671
65.000000	91.417	163.0313
66.000000	91.392	162.6754
67.000000	91.366	162.3294
68.000000	91.341	162.0116
69.000000	91.319	161.6868
70.000000	91.289	161.3492
71.000000	91.258	161.0742
72.000000	91.234	160.7637
73.000000	91.203	160.4452
74.000000	91.177	160.1504
75.000000	91.151	159.8185
76.199997	91.117	159.4569
77.500000	91.081	159.0655
78.800003	91.045	158.7099
80.000000	91.011	158.3625
81.199997	90.977	158.0329
82.500000	90.941	157.6416
83.800003	90.899	157.2821
85.000000	90.866	156.9600
86.199997	90.829	156.6187
87.500000	90.792	156.2908
88.500000	90.763	156.0182
90.000000	90.724	155.6327
91.199997	90.686	155.2835
92.500000	90.646	154.9890
93.800003	90.606	154.6595
95.000000	90.570	154.3814
96.199997	90.531	154.0625
97.500000	90.490	153.7636
98.800003	90.452	153.4222
100.000000	90.412	153.1329
101.500000	90.366	152.7935
103.000000	90.319	152.4513
104.400002	90.275	152.1440
106.000000	90.223	151.7578
107.500000	90.171	151.4431
109.000000	90.120	151.1042
110.599998	90.066	150.7701
112.000000	90.017	150.4737
113.800003	89.956	150.1041
115.000000	89.913	149.8509
117.199997	89.834	149.4577
118.000000	89.805	149.2894
120.599998	89.700	148.7828
122.000000	89.642	148.5656
124.099998	89.562	148.2381
125.000000	89.525	148.0759
126.500000	89.458	147.8872
128.000000	89.395	147.6575
131.500000	89.221	147.2753
132.000000	89.193	147.2402
134.000000	89.084	147.1958
136.000000	88.971	147.3040
138.000000	88.863	147.5688
140.000000	88.777	148.0483
143.000000	88.729	149.1667
145.000000	88.796	149.8030
147.500000	88.945	150.1572
150.000000	89.081	149.7903
152.500000	89.173	148.9038
155.000000	89.206	147.9183
157.500000	89.194	146.9665
160.000000	89.154	146.0936
162.500000	89.092	145.3120
165.000000	89.026	144.6142
167.500000	88.961	143.9963
170.000000	88.883	143.4723
172.500000	88.816	142.9556
175.000000	88.739	142.4992
177.500000	88.669	142.0815
180.000000	88.599	141.6702
182.500000	88.528	141.3175
185.000000	88.458	140.9748
187.500000	88.392	140.6004
190.000000	88.320	140.2896
192.500000	88.255	139.9871
195.000000	88.189	139.6880
197.500000	88.124	139.4251
200.000000	88.060	139.1344
203.000000	87.988	138.8566
206.000000	87.908	138.5484
209.000000	87.832	138.2517
212.000000	87.759	137.9671
214.000000	87.710	137.7644
218.000000	87.614	137.4602
220.000000	87.570	137.2942
224.000000	87.478	137.0131
227.000000	87.411	136.7949
230.000000	87.345	136.5452
233.000000	87.287	136.3273
236.000000	87.228	136.0952
240.000000	87.137	135.7757
243.000000	87.071	135.5818
247.000000	86.981	135.2829
250.000000	86.920	135.0847
254.000000	86.828	134.8667
258.000000	86.735	134.6724
262.000000	86.655	134.5301
265.000000	86.581	134.4566
269.000000	86.506	134.4496
272.000000	86.456	134.4919
276.000000	86.413	134.5356
280.000000	86.383	134.3896
285.000000	86.349	134.1310
290.000000	86.306	133.6656
295.000000	86.237	133.2654
300.000000	86.160	132.8699
304.000000	86.088	132.6236
307.000000	86.041	132.4420
311.000000	85.980	132.2402
315.000000	85.911	131.9907
320.000000	85.836	131.7594
325.000000	85.759	131.5268
330.000000	85.689	131.2878
335.000000	85.606	131.1164
340.000000	85.533	130.9213
345.000000	85.471	130.7197
350.000000	85.400	130.5552
355.000000	85.328	130.3866
360.000000	85.260	130.2209
365.000000	85.200	130.1323
370.000000	85.139	129.9821
375.000000	85.071	129.8299
382.000000	84.996	129.7110
387.000000	84.929	129.5623
395.000000	84.835	129.4430
400.000000	84.789	129.2983
406.000000	84.720	129.2569
412.000000	84.662	129.1315
418.000000	84.598	129.0300
425.000000	84.530	129.0107
431.000000	84.472	128.8532
437.000000	84.409	128.8269
444.000000	84.357	128.8043
450.000000	84.295	128.7715
455.000000	84.253	128.7252
462.000000	84.210	128.7237
468.000000	84.160	128.6949
475.000000	84.115	128.6975
482.000000	84.069	128.6924
487.000000	84.031	128.7187
494.000000	83.985	128.7127
500.000000	83.955	128.7620
508.000000	83.904	128.8002
515.000000	83.878	128.8493
522.000000	83.842	128.8945
530.000000	83.806	128.9479
538.000000	83.761	128.9992
545.000000	83.739	129.0571
552.000000	83.721	129.1801
560.000000	83.696	129.2994
570.000000	83.668	129.4620
580.000000	83.660	129.5923
590.000000	83.651	129.6999
600.000000	83.647	129.8555
608.000000	83.651	129.9935
615.000000	83.664	130.0914
622.000000	83.668	130.1114
630.000000	83.675	130.2501
640.000000	83.693	130.2888
650.000000	83.729	130.3556
660.000000	83.747	130.3646
670.000000	83.776	130.3572
680.000000	83.799	130.5056
690.000000	83.835	130.3999
700.000000	83.854	130.3367
710.000000	83.888	130.3418
720.000000	83.916	130.3177
730.000000	83.958	130.2467
740.000000	83.989	130.1530
750.000000	84.027	130.0309
762.000000	84.054	129.9383
775.000000	84.101	129.8287
788.000000	84.145	129.6760
800.000000	84.184	129.5952
812.000000	84.213	129.4325
825.000000	84.259	129.2796
838.000000	84.300	129.1820
850.000000	84.339	129.0151
862.000000	84.388	128.8784
875.000000	84.424	128.7044
885.000000	84.465	128.5507
900.000000	84.507	128.3479
912.000000	84.543	128.1915
925.000000	84.579	127.9445
938.000000	84.620	127.7736
950.000000	84.663	127.5459
962.000000	84.685	127.3701
975.000000	84.728	127.1540
988.000000	84.769	126.9217
1000.000000	84.821	126.7438
1015.000000	84.837	126.4299
1030.000000	84.877	126.1633
1044.000000	84.915	125.8755
1060.000000	84.944	125.5603
1075.000000	84.968	125.2447
1090.000000	85.007	124.9581
1106.000000	85.035	124.6404
1120.000000	85.044	124.2858
1138.000000	85.066	123.9230
1150.000000	85.090	123.6388
1172.000000	85.096	123.2710
1180.000000	85.095	123.0761
1206.000000	85.101	122.6475
1220.000000	85.107	122.3951
1241.000000	85.101	122.0576
1250.000000	85.093	121.9397
1265.000000	85.081	121.7369
1280.000000	85.070	121.5855
1315.000000	85.045	121.2090
1320.000000	85.039	121.1858
1340.000000	85.018	121.0140
1360.000000	84.989	120.8502
1380.000000	84.961	120.7802
1400.000000	84.941	120.7134
1430.000000	84.900	120.7252
1450.000000	84.869	120.8212
1475.000000	84.829	120.9108
1500.000000	84.792	120.9963
1525.000000	84.768	121.1885
1550.000000	84.734	121.5069
1575.000000	84.704	121.7245
1600.000000	84.672	122.1022
1625.000000	84.657	122.4697
1650.000000	84.631	122.8661
1675.000000	84.623	123.2924
1700.000000	84.619	123.8071
1725.000000	84.608	124.2663
1750.000000	84.593	124.7065
1775.000000	84.591	125.2323
1800.000000	84.609	125.8286
1825.000000	84.606	126.3236
1850.000000	84.615	126.9871
1875.000000	84.625	127.5349
1900.000000	84.651	128.1996
1925.000000	84.674	128.8579
1950.000000	84.709	129.5114
1975.000000	84.756	130.1539
2000.000000	84.822	130.7684
2030.000000	84.851	131.4796
2060.000000	84.901	132.2369
2090.000000	84.980	132.9930
2120.000000	85.046	133.7977
2140.000000	85.090	134.2688
2180.000000	85.201	135.2369
2200.000000	85.268	135.6949
2240.000000	85.390	136.6760
2270.000000	85.485	137.4063
2300.000000	85.585	138.0360
2330.000000	85.691	138.6407
2360.000000	85.813	139.3057
2400.000000	85.975	140.0659
2430.000000	86.100	140.5828
2470.000000	86.278	141.2357
2500.000000	86.409	141.7398
2540.000000	86.597	142.2297
2580.000000	86.791	142.6197
2620.000000	86.975	142.9478
2650.000000	87.114	143.1136
2690.000000	87.315	143.1815
2720.000000	87.441	143.2737
2760.000000	87.619	143.2259
2800.000000	87.797	143.0880
2850.000000	88.004	142.8280
2900.000000	88.178	142.3934
2950.000000	88.344	141.9557
3000.000000	88.466	141.4758
3040.000000	88.584	141.0003
3070.000000	88.661	140.6584
3110.000000	88.743	140.1434
3150.000000	88.818	139.5639
3200.000000	88.869	138.8129
3250.000000	88.886	138.2222
3300.000000	88.866	137.5547
3350.000000	88.815	137.2340
3400.000000	88.742	137.0617
3450.000000	88.661	137.1415
3500.000000	88.570	137.3597
3550.000000	88.475	137.8017
3600.000000	88.386	138.3671
3650.000000	88.286	139.1155
3700.000000	88.198	139.9872
3750.000000	88.124	141.0151
3820.000000	88.051	142.5523
3870.000000	87.992	143.8259
3950.000000	87.955	145.9130
4000.000000	87.938	147.1558
4060.000000	87.967	149.1933
4120.000000	88.016	151.0255
4180.000000	88.099	152.8284
4250.000000	88.230	154.8695
