* Measurement data measured by REW V5.20.5
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at 6.0- dBFS with no timing reference
* Dated: 16/08/2022 09:01:32 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ VK4 - L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	70.196	-164.7895
20.299999	70.197	-165.2606
20.600000	70.194	-165.7151
20.900000	70.189	-166.1557
21.200001	70.181	-166.5876
21.400000	70.175	-166.8750
21.799999	70.159	-167.4545
22.000000	70.149	-167.7484
22.400000	70.126	-168.3431
22.700001	70.106	-168.7904
23.000000	70.086	-169.2360
23.299999	70.066	-169.6832
23.600000	70.047	-170.1370
24.000000	70.024	-170.7586
24.299999	70.007	-171.2362
24.700001	69.984	-171.8770
25.000000	69.968	-172.3507
25.400000	69.948	-172.9650
25.799999	69.932	-173.5612
26.200001	69.919	-174.1443
26.500000	69.910	-174.5725
26.900000	69.898	-175.1249
27.200001	69.888	-175.5197
27.600000	69.875	-176.0169
28.000000	69.861	-176.4841
28.500000	69.843	-177.0377
29.000000	69.823	-177.5678
29.500000	69.799	-178.0776
30.000000	69.770	-178.5673
30.400000	69.745	-178.9464
30.700001	69.726	-179.2259
31.100000	69.701	-179.5979
31.500000	69.675	-179.9753
32.000000	69.643	179.5423
32.500000	69.610	179.0538
33.000000	69.579	178.5648
33.500000	69.550	178.0706
34.000000	69.521	177.5697
34.500000	69.492	177.0805
35.000000	69.463	176.6240
35.500000	69.439	176.1935
36.000000	69.417	175.7610
36.500000	69.394	175.3193
37.000000	69.365	174.8987
37.500000	69.334	174.5262
38.200001	69.297	174.0495
38.700001	69.274	173.6859
39.500000	69.227	173.0596
40.000000	69.191	172.6928
40.599998	69.150	172.2961
41.200001	69.116	171.8979
41.799999	69.083	171.4575
42.500000	69.038	170.9249
43.099998	68.996	170.5106
43.700001	68.956	170.1313
44.400002	68.914	169.6898
45.000000	68.876	169.3152
45.500000	68.844	169.0220
46.200001	68.801	168.6285
46.799999	68.764	168.2894
47.500000	68.719	167.9048
48.200001	68.675	167.5378
48.700001	68.645	167.2744
49.400002	68.601	166.9039
50.000000	68.562	166.6010
50.799999	68.512	166.2174
51.500000	68.469	165.8850
52.200001	68.425	165.5588
53.000000	68.374	165.2055
53.799999	68.325	164.8633
54.500000	68.282	164.5558
55.200001	68.237	164.2473
56.000000	68.185	163.9170
57.000000	68.124	163.5196
58.000000	68.063	163.1143
59.000000	68.001	162.7465
60.000000	67.941	162.4058
60.799999	67.892	162.1376
61.500000	67.848	161.9161
62.200001	67.804	161.7036
63.000000	67.753	161.4672
64.000000	67.690	161.1856
65.000000	67.631	160.8959
66.000000	67.572	160.5868
67.000000	67.510	160.2990
68.000000	67.451	160.0346
69.000000	67.391	159.7802
70.000000	67.332	159.5486
71.000000	67.272	159.3236
72.000000	67.212	159.1213
73.000000	67.156	158.9081
74.000000	67.097	158.6847
75.000000	67.037	158.4852
76.199997	66.969	158.2636
77.500000	66.895	158.0255
78.800003	66.823	157.8095
80.000000	66.755	157.6226
81.199997	66.691	157.4552
82.500000	66.620	157.2500
83.800003	66.547	157.0851
85.000000	66.481	156.9355
86.199997	66.415	156.7939
87.500000	66.344	156.6301
88.500000	66.287	156.5164
90.000000	66.208	156.3696
91.199997	66.145	156.2395
92.500000	66.077	156.1381
93.800003	66.011	156.0214
95.000000	65.950	155.9413
96.199997	65.889	155.8344
97.500000	65.820	155.7591
98.800003	65.757	155.6822
100.000000	65.698	155.6161
101.500000	65.623	155.5504
103.000000	65.551	155.4924
104.400002	65.483	155.4274
106.000000	65.402	155.3663
107.500000	65.331	155.3425
109.000000	65.262	155.3107
110.599998	65.186	155.3035
112.000000	65.123	155.2790
113.800003	65.037	155.2603
115.000000	64.980	155.2794
117.199997	64.882	155.2662
118.000000	64.848	155.2770
120.599998	64.731	155.3253
122.000000	64.672	155.3125
124.099998	64.583	155.3395
125.000000	64.541	155.3663
126.500000	64.475	155.4066
128.000000	64.411	155.4664
131.500000	64.266	155.5966
132.000000	64.246	155.6089
134.000000	64.161	155.7322
136.000000	64.080	155.7914
138.000000	64.003	155.9106
140.000000	63.921	155.9906
143.000000	63.803	156.1685
145.000000	63.726	156.3139
147.500000	63.625	156.4565
150.000000	63.533	156.6509
152.500000	63.441	156.8113
155.000000	63.353	156.9716
157.500000	63.261	157.1959
160.000000	63.162	157.4050
162.500000	63.076	157.6418
165.000000	62.982	157.8656
167.500000	62.897	158.0914
170.000000	62.804	158.3680
172.500000	62.713	158.6154
175.000000	62.627	158.9033
177.500000	62.535	159.2133
180.000000	62.444	159.5595
182.500000	62.350	159.8998
185.000000	62.254	160.3411
187.500000	62.161	160.8017
190.000000	62.076	161.3437
192.500000	62.006	162.0003
195.000000	61.953	162.7220
197.500000	61.921	163.4475
200.000000	61.924	164.0120
203.000000	61.941	164.4458
206.000000	61.939	164.6656
209.000000	61.913	164.7816
212.000000	61.874	164.8381
214.000000	61.832	164.9267
218.000000	61.755	165.1012
220.000000	61.710	165.2018
224.000000	61.626	165.5032
227.000000	61.547	165.7798
230.000000	61.482	166.0242
233.000000	61.416	166.2906
236.000000	61.355	166.6036
240.000000	61.258	166.9723
243.000000	61.201	167.3285
247.000000	61.108	167.7304
250.000000	61.044	168.0745
254.000000	60.962	168.5660
258.000000	60.879	169.0328
262.000000	60.797	169.5105
265.000000	60.746	169.8503
269.000000	60.672	170.3107
272.000000	60.607	170.7332
276.000000	60.537	171.2669
280.000000	60.471	171.7793
285.000000	60.380	172.4039
290.000000	60.292	173.0940
295.000000	60.208	173.7195
300.000000	60.132	174.3863
304.000000	60.074	174.9454
307.000000	60.022	175.2905
311.000000	59.964	175.8417
315.000000	59.910	176.3963
320.000000	59.836	177.0920
325.000000	59.768	177.7222
330.000000	59.698	178.4234
335.000000	59.632	179.0679
340.000000	59.574	179.7674
345.000000	59.508	-179.5569
350.000000	59.440	-178.8830
355.000000	59.380	-178.2150
360.000000	59.333	-177.5070
365.000000	59.279	-176.8407
370.000000	59.224	-176.1809
375.000000	59.168	-175.4780
382.000000	59.111	-174.5450
387.000000	59.065	-173.8394
395.000000	58.987	-172.7621
400.000000	58.952	-172.1201
406.000000	58.890	-171.3342
412.000000	58.848	-170.5938
418.000000	58.801	-169.7779
425.000000	58.734	-168.8553
431.000000	58.686	-168.0663
437.000000	58.645	-167.2391
444.000000	58.600	-166.2424
450.000000	58.568	-165.3809
455.000000	58.537	-164.7917
462.000000	58.503	-163.9324
468.000000	58.474	-163.1910
475.000000	58.436	-162.3942
482.000000	58.399	-161.4991
