* Measurement data measured by REW V5.20.5
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 6.0- dBFS with no timing reference
* Dated: 25/08/2022 09:26:10 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SeeAudio Yume WT L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	70.065	138.2376
20.299999	70.007	137.6505
20.600000	69.945	137.0637
20.900000	69.882	136.4793
21.200001	69.818	135.8992
21.400000	69.776	135.5119
21.799999	69.696	134.7222
22.000000	69.657	134.3134
22.400000	69.581	133.4609
22.700001	69.524	132.8010
23.000000	69.465	132.1434
23.299999	69.408	131.5040
23.600000	69.353	130.8862
24.000000	69.289	130.0855
24.299999	69.246	129.4875
24.700001	69.193	128.6854
25.000000	69.153	128.0901
25.400000	69.099	127.3282
25.799999	69.045	126.6203
26.200001	68.994	125.9593
26.500000	68.957	125.4811
26.900000	68.907	124.8558
27.200001	68.868	124.3962
27.600000	68.813	123.8020
28.000000	68.755	123.2323
28.500000	68.680	122.5421
29.000000	68.604	121.8506
29.500000	68.525	121.1407
30.000000	68.444	120.4111
30.400000	68.377	119.8232
30.700001	68.326	119.3870
31.100000	68.261	118.8160
31.500000	68.200	118.2495
32.000000	68.130	117.5227
32.500000	68.065	116.7634
33.000000	67.997	116.0052
33.500000	67.929	115.2921
34.000000	67.866	114.6266
34.500000	67.808	113.9756
35.000000	67.750	113.3274
35.500000	67.689	112.7041
36.000000	67.627	112.1193
36.500000	67.566	111.5565
37.000000	67.506	110.9950
37.500000	67.443	110.4325
38.200001	67.354	109.6454
38.700001	67.289	109.0792
39.500000	67.183	108.1925
40.000000	67.121	107.6598
40.599998	67.052	107.0127
41.200001	66.985	106.3390
41.799999	66.916	105.6718
42.500000	66.838	104.9337
43.099998	66.773	104.3176
43.700001	66.708	103.7119
44.400002	66.632	103.0367
45.000000	66.571	102.4766
45.500000	66.521	102.0049
46.200001	66.451	101.3304
46.799999	66.388	100.7565
47.500000	66.315	100.1116
48.200001	66.246	99.4855
48.700001	66.198	99.0420
49.400002	66.133	98.4245
50.000000	66.077	97.8977
50.799999	66.001	97.2092
51.500000	65.935	96.6349
52.200001	65.871	96.0645
53.000000	65.796	95.4098
53.799999	65.723	94.7881
54.500000	65.665	94.2289
55.200001	65.605	93.6460
56.000000	65.538	93.0197
57.000000	65.464	92.2066
58.000000	65.373	91.4120
59.000000	65.291	90.7966
60.000000	65.226	90.1162
60.799999	65.165	89.5501
61.500000	65.112	89.0801
62.200001	65.061	88.6018
63.000000	65.000	88.0555
64.000000	64.929	87.4043
65.000000	64.862	86.7324
66.000000	64.795	86.0800
67.000000	64.731	85.4543
68.000000	64.668	84.8370
69.000000	64.605	84.2389
70.000000	64.545	83.6384
71.000000	64.483	83.0301
72.000000	64.421	82.4444
73.000000	64.364	81.8741
74.000000	64.306	81.2854
75.000000	64.246	80.7340
76.199997	64.179	80.1048
77.500000	64.108	79.4515
78.800003	64.048	78.8040
80.000000	63.991	78.1536
81.199997	63.931	77.5328
82.500000	63.864	76.8900
83.800003	63.804	76.3098
85.000000	63.752	75.7119
86.199997	63.695	75.1696
87.500000	63.642	74.5558
88.500000	63.598	74.1187
90.000000	63.541	73.4626
91.199997	63.488	72.9618
92.500000	63.441	72.4342
93.800003	63.387	71.8762
95.000000	63.343	71.3957
96.199997	63.298	70.8868
97.500000	63.252	70.3708
98.800003	63.207	69.8646
100.000000	63.169	69.4135
101.500000	63.120	68.8449
103.000000	63.073	68.2817
104.400002	63.028	67.7973
106.000000	62.981	67.2022
107.500000	62.930	66.7184
109.000000	62.891	66.2314
110.599998	62.845	65.6689
112.000000	62.806	65.2179
113.800003	62.755	64.6601
115.000000	62.729	64.3203
117.199997	62.673	63.6411
118.000000	62.653	63.4045
120.599998	62.592	62.6158
122.000000	62.558	62.2606
124.099998	62.512	61.7038
125.000000	62.498	61.4775
126.500000	62.465	61.0439
128.000000	62.430	60.6446
131.500000	62.361	59.7921
132.000000	62.354	59.6561
134.000000	62.312	59.1551
136.000000	62.276	58.7180
138.000000	62.238	58.2584
140.000000	62.208	57.8110
143.000000	62.155	57.1398
145.000000	62.122	56.7570
147.500000	62.083	56.2610
150.000000	62.042	55.8024
152.500000	62.002	55.2934
155.000000	61.967	54.8400
157.500000	61.929	54.4467
160.000000	61.897	54.0438
162.500000	61.858	53.6782
165.000000	61.821	53.2929
167.500000	61.790	52.9554
170.000000	61.753	52.6017
172.500000	61.725	52.3260
175.000000	61.695	52.0223
177.500000	61.666	51.8146
180.000000	61.635	51.5829
182.500000	61.614	51.3507
185.000000	61.584	51.1606
187.500000	61.564	50.9904
190.000000	61.527	50.8725
192.500000	61.498	50.8801
195.000000	61.479	50.9380
197.500000	61.476	51.1094
200.000000	61.504	51.2882
203.000000	61.580	51.4449
206.000000	61.694	51.3298
209.000000	61.798	50.7370
212.000000	61.865	49.9353
214.000000	61.881	49.4014
218.000000	61.869	48.4025
220.000000	61.856	47.9387
224.000000	61.820	47.2411
227.000000	61.787	46.7961
230.000000	61.759	46.4169
233.000000	61.726	46.0907
236.000000	61.707	45.8204
240.000000	61.670	45.3994
243.000000	61.649	45.1325
247.000000	61.625	44.8998
250.000000	61.603	44.6746
254.000000	61.575	44.4319
258.000000	61.548	44.1435
262.000000	61.532	43.9167
265.000000	61.521	43.7638
269.000000	61.502	43.5941
272.000000	61.479	43.4265
276.000000	61.463	43.2550
280.000000	61.448	43.0822
285.000000	61.423	42.9018
290.000000	61.408	42.7281
295.000000	61.388	42.5712
300.000000	61.367	42.4793
304.000000	61.350	42.3407
307.000000	61.334	42.2800
311.000000	61.316	42.1893
315.000000	61.312	42.1121
320.000000	61.291	42.0155
325.000000	61.269	41.9357
330.000000	61.254	41.9074
335.000000	61.231	41.8281
340.000000	61.215	41.8312
345.000000	61.189	41.7727
350.000000	61.163	41.7873
355.000000	61.136	41.8257
360.000000	61.113	41.8508
365.000000	61.081	41.9248
370.000000	61.045	42.0251
375.000000	60.999	42.2061
382.000000	60.928	42.7809
387.000000	60.904	43.5519
395.000000	60.974	44.6677
400.000000	61.063	45.1155
406.000000	61.173	45.2993
412.000000	61.273	45.3857
418.000000	61.370	45.2450
425.000000	61.440	44.8912
431.000000	61.489	44.4676
437.000000	61.505	44.1368
444.000000	61.498	43.7975
450.000000	61.480	43.5839
455.000000	61.470	43.5071
462.000000	61.437	43.3948
468.000000	61.426	43.3454
475.000000	61.412	43.3451
482.000000	61.395	43.3292
487.000000	61.378	43.3628
494.000000	61.363	43.4506
500.000000	61.356	43.5772
508.000000	61.333	43.7336
515.000000	61.320	43.8421
522.000000	61.300	44.0226
530.000000	61.276	44.1752
538.000000	61.269	44.4501
545.000000	61.257	44.6801
552.000000	61.241	44.8641
560.000000	61.238	45.1061
570.000000	61.223	45.4487
580.000000	61.206	45.7656
590.000000	61.197	46.1453
600.000000	61.189	46.5667
608.000000	61.184	46.9555
615.000000	61.177	47.2459
622.000000	61.189	47.5155
630.000000	61.178	47.8914
640.000000	61.186	48.3902
650.000000	61.193	48.8772
660.000000	61.196	49.3093
670.000000	61.207	49.7621
680.000000	61.225	50.2498
690.000000	61.233	50.7015
700.000000	61.250	51.1906
710.000000	61.265	51.6709
720.000000	61.290	52.1869
730.000000	61.315	52.7134
740.000000	61.336	53.1350
750.000000	61.354	53.6982
762.000000	61.392	54.2359
775.000000	61.429	54.8917
788.000000	61.466	55.5452
800.000000	61.502	56.0775
812.000000	61.557	56.6710
825.000000	61.596	57.3098
838.000000	61.649	57.9879
850.000000	61.710	58.5445
862.000000	61.759	59.0804
875.000000	61.823	59.6657
885.000000	61.877	60.1038
900.000000	61.951	60.8159
912.000000	62.014	61.3331
925.000000	62.094	61.8831
938.000000	62.176	62.3802
950.000000	62.246	62.8131
962.000000	62.317	63.2739
975.000000	62.398	63.7175
988.000000	62.482	64.1259
1000.000000	62.579	64.5247
1015.000000	62.661	65.0067
1030.000000	62.752	65.3376
1044.000000	62.854	65.6928
1060.000000	62.960	65.9853
1075.000000	63.059	66.3474
1090.000000	63.150	66.6064
1106.000000	63.254	66.8460
1120.000000	63.350	67.0671
1138.000000	63.453	67.2057
1150.000000	63.533	67.3878
1172.000000	63.658	67.5776
1180.000000	63.698	67.5907
1206.000000	63.836	67.7670
1220.000000	63.909	67.8729
1241.000000	64.006	67.9323
1250.000000	64.053	67.9987
1265.000000	64.117	67.9574
1280.000000	64.185	68.0387
1315.000000	64.324	68.1314
1320.000000	64.344	68.1445
1340.000000	64.416	68.1504
1360.000000	64.489	68.1760
1380.000000	64.559	68.2371
1400.000000	64.620	68.2961
1430.000000	64.724	68.3193
1450.000000	64.775	68.4075
1475.000000	64.853	68.4196
1500.000000	64.927	68.5303
1525.000000	64.989	68.5745
1550.000000	65.063	68.6419
1575.000000	65.123	68.7259
1600.000000	65.194	68.8274
1625.000000	65.261	68.8724
1650.000000	65.321	68.9666
1675.000000	65.388	69.0643
1700.000000	65.459	69.1145
1725.000000	65.523	69.1906
1750.000000	65.590	69.2357
1775.000000	65.657	69.3350
1800.000000	65.731	69.3674
1825.000000	65.793	69.4073
1850.000000	65.860	69.4812
1875.000000	65.931	69.4651
1900.000000	66.002	69.5119
1925.000000	66.068	69.4953
1950.000000	66.142	69.4444
1975.000000	66.212	69.4281
2000.000000	66.278	69.3177
2030.000000	66.364	69.3213
2060.000000	66.445	69.2376
2090.000000	66.538	69.0783
2120.000000	66.621	68.9356
2140.000000	66.677	68.7508
2180.000000	66.795	68.4523
2200.000000	66.846	68.3153
2240.000000	66.961	67.9183
2270.000000	67.034	67.6028
2300.000000	67.113	67.2244
2330.000000	67.195	66.8314
2360.000000	67.266	66.4392
2400.000000	67.353	65.8198
2430.000000	67.415	65.3082
2470.000000	67.502	64.6432
2500.000000	67.564	64.0726
2540.000000	67.639	63.3264
2580.000000	67.710	62.4906
2620.000000	67.774	61.5896
2650.000000	67.813	60.9222
2690.000000	67.868	59.9153
2720.000000	67.899	59.1846
2760.000000	67.936	58.0756
2800.000000	67.950	57.0085
2850.000000	67.967	55.5734
2900.000000	67.964	54.0757
2950.000000	67.944	52.6464
3000.000000	67.903	51.2021
3040.000000	67.850	49.9869
3070.000000	67.803	49.1643
3110.000000	67.743	48.0270
3150.000000	67.666	46.9526
3200.000000	67.558	45.6712
3250.000000	67.429	44.4480
3300.000000	67.293	43.3537
3350.000000	67.152	42.3896
3400.000000	67.008	41.4791
3450.000000	66.855	40.6944
3500.000000	66.707	39.9900
3550.000000	66.559	39.3978
3600.000000	66.424	38.8522
3650.000000	66.282	38.3458
3700.000000	66.142	37.8855
3750.000000	66.011	37.3940
3820.000000	65.817	36.8441
3870.000000	65.682	36.5653
3950.000000	65.471	36.1909
4000.000000	65.335	36.1246
4060.000000	65.223	35.8381
4120.000000	65.094	35.6253
4180.000000	64.987	35.3218
4250.000000	64.842	34.8613
4310.000000	64.706	34.4431
4370.000000	64.570	34.0606
4440.000000	64.392	33.7437
4500.000000	64.243	33.5673
4550.000000	64.124	33.3937
4620.000000	63.949	33.2835
4680.000000	63.809	33.1937
4750.000000	63.639	33.1484
4820.000000	63.475	33.1728
4870.000000	63.357	33.2350
4940.000000	63.195	33.2443
5000.000000	63.072	33.3223
5080.000000	62.889	33.5376
5150.000000	62.731	33.7064
5220.000000	62.594	33.9329
5300.000000	62.419	34.3280
5380.000000	62.267	34.7277
5450.000000	62.125	35.1795
5520.000000	61.978	35.5186
5600.000000	61.832	36.2162
5700.000000	61.667	37.1843
5800.000000	61.508	38.2221
5900.000000	61.403	39.4901
6000.000000	61.333	40.7703
6080.000000	61.298	41.9928
6150.000000	61.306	43.0136
6220.000000	61.370	43.9156
6300.000000	61.453	44.7221
6400.000000	61.583	45.6278
6500.000000	61.792	46.3582
6600.000000	62.060	46.3329
6700.000000	62.320	45.3672
6800.000000	62.508	43.3067
6900.000000	62.504	40.8255
7000.000000	62.285	38.6789
7100.000000	62.001	37.9333
7200.000000	61.694	38.0085
7300.000000	61.518	38.9776
7400.000000	61.352	40.3157
7500.000000	61.264	42.3567
7620.000000	61.496	45.1486
7750.000000	61.901	47.0872
7880.000000	62.452	48.2202
8000.000000	63.068	48.5504
8120.000000	63.796	48.0381
8250.000000	64.721	45.9520
8380.000000	65.736	41.7309
8500.000000	66.664	35.1999
8620.000000	67.311	25.1439
8750.000000	67.647	14.8614
8850.000000	67.608	4.4741
9000.000000	66.809	-9.8901
9120.000000	65.779	-18.6876
9250.000000	64.523	-25.3517
9380.000000	63.268	-29.7120
9500.000000	62.188	-32.1111
9620.000000	61.174	-33.6949
9750.000000	60.193	-34.4615
9880.000000	59.318	-34.7802
10000.000000	58.601	-34.8907
10150.000000	57.788	-34.4718
10300.000000	57.090	-33.9029
10440.000000	56.453	-33.1895
10600.000000	55.805	-32.4076
10750.000000	55.304	-31.5935
10900.000000	54.835	-30.9318
11060.000000	54.287	-30.0843
11200.000000	53.874	-29.4617
11380.000000	53.425	-28.5302
11500.000000	53.088	-27.4133
11720.000000	52.622	-25.9308
11800.000000	52.483	-25.4866
12060.000000	51.991	-23.3071
12200.000000	51.724	-22.1213
12410.000000	51.473	-19.8395
12500.000000	51.391	-20.0059
12650.000000	51.250	-18.3274
12800.000000	51.183	-17.2048
13150.000000	51.308	-15.7378
13200.000000	51.302	-15.2521
13400.000000	51.387	-15.7742
13600.000000	51.519	-16.3120
13800.000000	51.405	-17.6921
14000.000000	51.339	-18.9229
14300.000000	50.967	-18.6544
14500.000000	50.865	-17.0967
14750.000000	51.040	-14.8083
15000.000000	51.582	-11.2458
15250.000000	52.568	-8.3328
15500.000000	54.153	-7.3849
15750.000000	56.566	-9.9915
16000.000000	59.864	-21.1339
16250.000000	62.491	-51.9065
16500.000000	61.526	-88.6014
16750.000000	59.054	-110.4744
17000.000000	56.683	-125.7927
17250.000000	54.152	-138.8565
17500.000000	51.237	-147.6279
17750.000000	47.941	-150.5209
18000.000000	44.737	-144.0090
18250.000000	42.943	-129.1021
18500.000000	42.776	-114.7034
18750.000000	43.695	-108.9583
19000.000000	44.717	-108.3412
19250.000000	45.683	-110.7365
19500.000000	46.714	-115.6022
19750.000000	47.667	-124.1322
