* Measurement data measured by REW V5.20.5
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at 6.0- dBFS with no timing reference
* Dated: 02/07/2022 01:20:50 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EJ07 - R - FOAM - CABLE
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	65.600	-2.6747
20.299999	65.578	-3.2533
20.600000	65.559	-3.8193
20.900000	65.546	-4.3663
21.200001	65.536	-4.8886
21.400000	65.531	-5.2209
21.799999	65.525	-5.8453
22.000000	65.523	-6.1365
22.400000	65.520	-6.6755
22.700001	65.517	-7.0409
23.000000	65.513	-7.3743
23.299999	65.507	-7.6796
23.600000	65.499	-7.9617
24.000000	65.482	-8.3091
24.299999	65.465	-8.5520
24.700001	65.435	-8.8546
25.000000	65.409	-9.0690
25.400000	65.370	-9.3485
25.799999	65.327	-9.6385
26.200001	65.281	-9.9540
26.500000	65.244	-10.2086
26.900000	65.193	-10.5663
27.200001	65.154	-10.8438
27.600000	65.103	-11.2249
28.000000	65.057	-11.6240
28.500000	65.004	-12.1534
29.000000	64.956	-12.7015
29.500000	64.911	-13.2377
30.000000	64.871	-13.7378
30.400000	64.843	-14.1084
30.700001	64.824	-14.3705
31.100000	64.800	-14.7005
31.500000	64.776	-15.0077
32.000000	64.743	-15.3553
32.500000	64.707	-15.6587
33.000000	64.668	-15.9249
33.500000	64.628	-16.1750
34.000000	64.584	-16.4312
34.500000	64.534	-16.6977
35.000000	64.480	-16.9641
35.500000	64.425	-17.2279
36.000000	64.371	-17.5028
36.500000	64.318	-17.7985
37.000000	64.265	-18.1037
37.500000	64.214	-18.4009
38.200001	64.149	-18.8032
38.700001	64.106	-19.0946
39.500000	64.037	-19.5506
40.000000	63.993	-19.8036
40.599998	63.941	-20.0706
41.200001	63.889	-20.3149
41.799999	63.836	-20.5458
42.500000	63.774	-20.8037
43.099998	63.720	-21.0309
43.700001	63.664	-21.2709
44.400002	63.594	-21.5415
45.000000	63.536	-21.7490
45.500000	63.491	-21.9202
46.200001	63.429	-22.1804
46.799999	63.374	-22.4043
47.500000	63.307	-22.6287
48.200001	63.243	-22.8167
48.700001	63.199	-22.9416
49.400002	63.139	-23.1204
50.000000	63.086	-23.2860
50.799999	63.011	-23.5002
51.500000	62.946	-23.6683
52.200001	62.882	-23.8458
53.000000	62.808	-24.0344
53.799999	62.739	-24.1894
54.500000	62.683	-24.3580
55.200001	62.620	-24.5187
56.000000	62.553	-24.6546
57.000000	62.464	-24.9024
58.000000	62.353	-24.9852
59.000000	62.280	-24.9896
60.000000	62.202	-25.2020
60.799999	62.133	-25.2954
61.500000	62.082	-25.3972
62.200001	62.023	-25.5363
63.000000	61.949	-25.5945
64.000000	61.873	-25.6187
65.000000	61.791	-25.6852
66.000000	61.707	-25.6990
67.000000	61.622	-25.7386
68.000000	61.537	-25.7435
69.000000	61.459	-25.8001
70.000000	61.375	-25.8611
71.000000	61.297	-25.8713
72.000000	61.221	-25.9086
73.000000	61.141	-25.8953
74.000000	61.068	-25.8364
75.000000	60.999	-25.8204
76.199997	60.905	-25.8267
77.500000	60.801	-25.7198
78.800003	60.708	-25.6461
80.000000	60.620	-25.5285
81.199997	60.538	-25.4748
82.500000	60.436	-25.3725
83.800003	60.346	-25.2293
85.000000	60.266	-25.1535
86.199997	60.184	-25.0253
87.500000	60.102	-24.9382
88.500000	60.024	-24.7876
90.000000	59.943	-24.5504
91.199997	59.852	-24.4710
92.500000	59.765	-24.1767
93.800003	59.691	-24.0295
95.000000	59.613	-23.7999
96.199997	59.550	-23.5994
97.500000	59.470	-23.3819
98.800003	59.393	-23.1085
100.000000	59.330	-22.9043
101.500000	59.237	-22.6385
103.000000	59.158	-22.3369
104.400002	59.081	-22.0563
106.000000	59.001	-21.6883
107.500000	58.919	-21.4455
109.000000	58.840	-21.1033
110.599998	58.763	-20.7268
112.000000	58.701	-20.5271
113.800003	58.607	-19.9888
115.000000	58.568	-19.7001
117.199997	58.456	-19.2081
118.000000	58.430	-18.9861
120.599998	58.317	-18.3638
122.000000	58.266	-18.0125
124.099998	58.181	-17.5426
125.000000	58.145	-17.2888
126.500000	58.088	-16.9239
128.000000	58.038	-16.5364
131.500000	57.920	-15.6287
132.000000	57.904	-15.5098
134.000000	57.835	-14.9785
136.000000	57.771	-14.4505
138.000000	57.708	-13.8702
140.000000	57.654	-13.4593
143.000000	57.581	-12.6348
145.000000	57.535	-12.1319
147.500000	57.478	-11.4378
150.000000	57.418	-10.8640
152.500000	57.370	-10.1648
155.000000	57.325	-9.5329
157.500000	57.282	-8.8737
160.000000	57.249	-8.3006
162.500000	57.196	-7.6412
165.000000	57.155	-6.9318
167.500000	57.119	-6.3194
170.000000	57.096	-5.7134
