* Measurement data measured by REW V5.20.5
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 6.0- dBFS with no timing reference
* Dated: 09/09/2022 09:27:17 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shuoer S12 (Final Eartips) L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	67.830	-156.3727
20.299999	67.856	-156.8984
20.600000	67.876	-157.3951
20.900000	67.892	-157.8687
21.200001	67.904	-158.3286
21.400000	67.911	-158.6330
21.799999	67.919	-159.2449
22.000000	67.922	-159.5563
22.400000	67.924	-160.1962
22.700001	67.922	-160.6931
23.000000	67.919	-161.2040
23.299999	67.914	-161.7258
23.600000	67.908	-162.2552
24.000000	67.902	-162.9691
24.299999	67.899	-163.5095
24.700001	67.898	-164.2364
25.000000	67.899	-164.7837
25.400000	67.902	-165.5072
25.799999	67.907	-166.2092
26.200001	67.914	-166.8780
26.500000	67.921	-167.3554
26.900000	67.932	-167.9609
27.200001	67.941	-168.3928
27.600000	67.953	-168.9396
28.000000	67.964	-169.4535
28.500000	67.976	-170.0564
29.000000	67.983	-170.6295
29.500000	67.986	-171.1846
30.000000	67.984	-171.7303
30.400000	67.978	-172.1655
30.700001	67.972	-172.4939
31.100000	67.961	-172.9357
31.500000	67.949	-173.3815
32.000000	67.932	-173.9456
32.500000	67.916	-174.5224
33.000000	67.900	-175.1105
33.500000	67.884	-175.6930
34.000000	67.871	-176.2536
34.500000	67.864	-176.8010
35.000000	67.860	-177.3547
35.500000	67.855	-177.9118
36.000000	67.847	-178.4435
36.500000	67.837	-178.9329
37.000000	67.829	-179.3940
37.500000	67.819	-179.8467
38.200001	67.801	179.5386
38.700001	67.785	179.1249
39.500000	67.760	178.4738
40.000000	67.743	178.0544
40.599998	67.721	177.5481
41.200001	67.698	177.0501
41.799999	67.677	176.5527
42.500000	67.654	175.9661
43.099998	67.633	175.4698
43.700001	67.611	174.9934
44.400002	67.587	174.4661
45.000000	67.568	174.0279
45.500000	67.552	173.6649
46.200001	67.526	173.1675
46.799999	67.502	172.7640
47.500000	67.476	172.3120
48.200001	67.451	171.8545
48.700001	67.432	171.5213
49.400002	67.404	171.0591
50.000000	67.380	170.6750
50.799999	67.348	170.1740
51.500000	67.320	169.7404
52.200001	67.290	169.3249
53.000000	67.257	168.8798
53.799999	67.228	168.4303
54.500000	67.201	168.0139
55.200001	67.169	167.6073
56.000000	67.131	167.1931
57.000000	67.095	166.7014
58.000000	67.063	166.1624
59.000000	67.023	165.6127
60.000000	66.978	165.1086
60.799999	66.941	164.7379
61.500000	66.909	164.4211
62.200001	66.876	164.1060
63.000000	66.839	163.7484
64.000000	66.792	163.3019
65.000000	66.746	162.8606
66.000000	66.702	162.4324
67.000000	66.661	162.0199
68.000000	66.622	161.6035
69.000000	66.577	161.1967
70.000000	66.533	160.8436
71.000000	66.493	160.4581
72.000000	66.442	160.0884
73.000000	66.399	159.7657
74.000000	66.357	159.3777
75.000000	66.307	159.0490
76.199997	66.260	158.6832
77.500000	66.206	158.2293
78.800003	66.143	157.8372
80.000000	66.095	157.5042
81.199997	66.043	157.1296
82.500000	65.987	156.7545
83.800003	65.931	156.3774
85.000000	65.878	156.0530
86.199997	65.827	155.7433
87.500000	65.772	155.4096
88.500000	65.733	155.1618
90.000000	65.670	154.7460
