* Measurement data measured by REW V5.20.5
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.650
* Format: 256k Log Swept Sine, 1 sweep at 6.0- dBFS with no timing reference
* Dated: 26/11/2022 08:09:44 Õ
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: www.iem-world.com / ThieAudio Monarch mkII / Hiby FC4; 
* Measurement: MK2 NO TIP L 87dB
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.332	8.7212
20.299999	91.316	8.6824
20.600000	91.350	8.7329
20.900000	91.428	8.7055
21.200001	91.532	8.4938
21.400000	91.604	8.2472
21.799999	91.740	7.5514
22.000000	91.796	7.1368
22.400000	91.876	6.2581
22.700001	91.904	5.6343
23.000000	91.906	5.1304
23.299999	91.892	4.8148
23.600000	91.879	4.6952
24.000000	91.888	4.7345
24.299999	91.922	4.7337
24.700001	91.983	4.4643
25.000000	92.010	4.0268
25.400000	91.989	3.3086
25.799999	91.908	2.8082
26.200001	91.829	2.7358
26.500000	91.814	2.8107
26.900000	91.862	2.6497
27.200001	91.914	2.0733
27.600000	91.923	0.7113
28.000000	91.800	-0.7605
28.500000	91.512	-1.5181
29.000000	91.337	-0.5989
29.500000	91.478	0.4476
30.000000	91.773	-0.3492
30.400000	91.898	-2.2466
30.700001	91.866	-3.8480
31.100000	91.686	-5.3896
31.500000	91.458	-5.7980
32.000000	91.302	-5.1166
32.500000	91.337	-4.5165
33.000000	91.409	-4.7553
33.500000	91.410	-5.3053
34.000000	91.383	-5.5669
34.500000	91.407	-5.7679
35.000000	91.460	-6.4524
35.500000	91.447	-7.6087
36.000000	91.334	-8.6234
36.500000	91.188	-9.0039
37.000000	91.106	-8.8908
37.500000	91.109	-8.8394
38.200001	91.142	-9.3275
38.700001	91.134	-9.7440
39.500000	91.144	-10.1182
40.000000	91.175	-10.5397
40.599998	91.160	-11.3034
41.200001	91.073	-11.7319
41.799999	91.013	-11.6880
42.500000	91.007	-11.9561
43.099998	90.927	-12.5774
43.700001	90.772	-12.6749
44.400002	90.676	-12.0549
45.000000	90.695	-11.8106
45.500000	90.712	-11.9153
46.200001	90.752	-12.1340
46.799999	90.837	-12.7818
47.500000	90.838	-14.4665
48.200001	90.619	-15.6359
48.700001	90.457	-15.3329
49.400002	90.467	-14.2742
50.000000	90.624	-14.4353
50.799999	90.667	-16.2405
51.500000	90.448	-17.2750
52.200001	90.245	-16.6567
53.000000	90.286	-15.8161
53.799999	90.329	-16.5175
54.500000	90.219	-16.8795
55.200001	90.194	-16.5496
56.000000	90.258	-17.2529
57.000000	90.025	-18.3412
58.000000	89.939	-17.1893
59.000000	90.030	-17.9957
60.000000	89.878	-18.4167
60.799999	89.910	-18.6840
61.500000	89.818	-19.9306
62.200001	89.561	-19.9166
63.000000	89.572	-18.6656
64.000000	89.684	-20.4412
65.000000	89.310	-20.7902
66.000000	89.403	-19.5204
67.000000	89.430	-21.0600
68.000000	89.257	-21.1374
69.000000	89.271	-21.3168
70.000000	89.149	-22.3515
71.000000	88.906	-22.1438
72.000000	88.917	-21.2597
73.000000	88.973	-22.2928
74.000000	88.791	-23.2072
75.000000	88.631	-23.1506
76.199997	88.545	-22.4909
77.500000	88.603	-22.9341
78.800003	88.400	-23.0056
80.000000	88.413	-22.6561
81.199997	88.278	-22.8654
82.500000	88.302	-22.9363
83.800003	88.030	-23.8171
85.000000	87.961	-22.9493
86.199997	87.892	-23.0632
87.500000	87.914	-23.3705
88.500000	87.693	-23.7788
90.000000	87.781	-22.2113
91.199997	87.711	-23.9329
92.500000	87.525	-23.1512
93.800003	87.471	-23.9380
95.000000	87.282	-23.2582
96.199997	87.324	-23.4940
97.500000	87.159	-23.8265
98.800003	87.075	-23.9542
100.000000	86.935	-23.8765
101.500000	86.793	-23.2981
103.000000	86.798	-22.5607
104.400002	86.748	-22.8648
106.000000	86.623	-23.0809
107.500000	86.453	-22.9658
109.000000	86.407	-22.2509
110.599998	86.360	-22.6329
112.000000	86.250	-22.0763
113.800003	86.228	-21.9590
115.000000	86.074	-21.9520
117.199997	85.987	-21.7300
118.000000	85.876	-21.4475
120.599998	85.759	-21.2013
122.000000	85.763	-20.6281
124.099998	85.678	-20.4954
125.000000	85.642	-20.5331
126.500000	85.549	-20.0715
128.000000	85.524	-19.7957
131.500000	85.287	-19.2538
132.000000	85.252	-19.0836
134.000000	85.214	-18.6246
136.000000	85.087	-18.4961
138.000000	85.051	-17.9352
140.000000	84.934	-17.5735
143.000000	84.847	-17.0050
145.000000	84.751	-16.7870
147.500000	84.643	-16.0569
150.000000	84.568	-15.4234
152.500000	84.465	-14.7685
155.000000	84.369	-14.5402
157.500000	84.289	-13.9962
160.000000	84.205	-13.4191
162.500000	84.158	-12.7221
165.000000	84.066	-12.0944
167.500000	83.992	-11.5245
170.000000	83.911	-11.1339
172.500000	83.858	-10.4732
175.000000	83.822	-9.8280
177.500000	83.743	-9.3053
180.000000	83.703	-8.8584
182.500000	83.648	-8.2301
185.000000	83.595	-7.6667
187.500000	83.530	-7.1871
190.000000	83.492	-6.5767
192.500000	83.457	-5.8476
195.000000	83.414	-5.4131
197.500000	83.354	-4.7919
200.000000	83.319	-4.3771
203.000000	83.275	-3.4906
206.000000	83.210	-2.8245
209.000000	83.159	-2.0897
212.000000	83.126	-1.6192
214.000000	83.095	-1.1599
218.000000	83.061	-0.3428
220.000000	83.022	0.0074
224.000000	82.986	0.8749
227.000000	82.974	1.5477
230.000000	82.945	2.0426
233.000000	82.921	2.6529
236.000000	82.914	3.2303
240.000000	82.901	3.9744
243.000000	82.899	4.5669
247.000000	82.865	5.3350
250.000000	82.848	5.7997
254.000000	82.830	6.4636
258.000000	82.829	7.2269
262.000000	82.810	8.0123
265.000000	82.804	8.4342
269.000000	82.796	9.1184
272.000000	82.783	9.6517
276.000000	82.776	10.2722
280.000000	82.774	10.9079
285.000000	82.765	11.5970
290.000000	82.755	12.4407
295.000000	82.726	13.1567
300.000000	82.729	13.8182
304.000000	82.719	14.4845
307.000000	82.718	14.8699
311.000000	82.713	15.3631
315.000000	82.702	15.9862
320.000000	82.701	16.6148
325.000000	82.685	17.2867
330.000000	82.704	17.8687
335.000000	82.707	18.5496
340.000000	82.711	19.0148
345.000000	82.710	19.7514
350.000000	82.691	20.2534
355.000000	82.712	20.9184
360.000000	82.684	21.5054
365.000000	82.690	22.1089
370.000000	82.687	22.6558
375.000000	82.689	23.1889
382.000000	82.693	23.9490
387.000000	82.699	24.4992
395.000000	82.701	25.4235
400.000000	82.695	25.8874
406.000000	82.703	26.5510
412.000000	82.696	27.1802
418.000000	82.697	27.6950
425.000000	82.695	28.4366
431.000000	82.700	28.9854
437.000000	82.705	29.5230
444.000000	82.704	30.3303
450.000000	82.688	30.8723
455.000000	82.673	31.3338
462.000000	82.675	32.0262
468.000000	82.670	32.5528
475.000000	82.657	33.3472
482.000000	82.646	33.9723
487.000000	82.632	34.4690
494.000000	82.628	35.0711
500.000000	82.625	35.6107
508.000000	82.624	36.3726
515.000000	82.616	37.2098
522.000000	82.609	37.8636
530.000000	82.592	38.5435
538.000000	82.591	39.3079
545.000000	82.594	40.0574
552.000000	82.594	40.7031
560.000000	82.585	41.4402
570.000000	82.561	42.4286
580.000000	82.557	43.3298
590.000000	82.517	44.2622
600.000000	82.496	45.3983
608.000000	82.462	46.1800
615.000000	82.477	46.8110
622.000000	82.456	47.5261
630.000000	82.457	48.2114
640.000000	82.471	49.2744
