* Measurement data measured by REW V5.20.4
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 16, 2022 1:06:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ND NSK L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.535	-122.5581
20.299999	84.611	-123.3626
20.600000	84.688	-124.1537
20.900000	84.764	-124.9559
21.200001	84.836	-125.7831
21.400000	84.879	-126.3435
21.799999	84.951	-127.4570
22.000000	84.980	-127.9932
22.400000	85.031	-128.9931
22.700001	85.066	-129.6764
23.000000	85.103	-130.3208
23.299999	85.144	-130.9556
23.600000	85.185	-131.6003
24.000000	85.235	-132.4821
24.299999	85.266	-133.1388
24.700001	85.298	-133.9621
25.000000	85.321	-134.5179
25.400000	85.356	-135.1833
25.799999	85.403	-135.8145
26.200001	85.458	-136.4698
26.500000	85.499	-136.9874
26.900000	85.550	-137.6901
27.200001	85.586	-138.2019
27.600000	85.636	-138.8500
28.000000	85.694	-139.4903
28.500000	85.774	-140.3784
29.000000	85.844	-141.4269
29.500000	85.883	-142.5566
30.000000	85.887	-143.5924
30.400000	85.878	-144.2749
30.700001	85.872	-144.7019
31.100000	85.870	-145.1961
31.500000	85.876	-145.6475
32.000000	85.891	-146.1918
32.500000	85.912	-146.7220
33.000000	85.941	-147.2489
33.500000	85.976	-147.8049
34.000000	86.013	-148.4150
34.500000	86.044	-149.0590
35.000000	86.068	-149.6878
35.500000	86.091	-150.2629
36.000000	86.120	-150.7890
36.500000	86.159	-151.3051
37.000000	86.206	-151.8629
37.500000	86.255	-152.4954
38.200001	86.312	-153.4962
38.700001	86.337	-154.2394
39.500000	86.357	-155.3674
40.000000	86.363	-156.0255
40.599998	86.363	-156.7789
41.200001	86.354	-157.4681
41.799999	86.341	-158.0513
42.500000	86.336	-158.6101
43.099998	86.346	-159.0655
43.700001	86.362	-159.5598
44.400002	86.378	-160.1712
45.000000	86.387	-160.6745
45.500000	86.396	-161.0671
46.200001	86.414	-161.6132
46.799999	86.431	-162.1189
47.500000	86.443	-162.7458
48.200001	86.443	-163.3538
