* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Oct 9, 2022 1:28:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A over B A = TE 0 R Wide B = 40106-24 — kopia 
* Measurement: TE0 Wide R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	68.759
20.299999	68.822
20.600000	68.889
20.900000	68.953
21.200001	69.010
21.400000	69.049
21.799999	69.133
22.000000	69.174
22.400000	69.259
22.700001	69.325
23.000000	69.383
23.299999	69.434
23.600000	69.486
24.000000	69.553
24.299999	69.599
24.700001	69.662
25.000000	69.714
25.400000	69.790
25.799999	69.883
26.200001	69.988
26.500000	70.071
26.900000	70.182
27.200001	70.259
27.600000	70.343
28.000000	70.399
28.500000	70.421
29.000000	70.414
29.500000	70.408
30.000000	70.417
30.400000	70.440
30.700001	70.468
31.100000	70.517
31.500000	70.571
32.000000	70.630
32.500000	70.671
33.000000	70.700
33.500000	70.733
34.000000	70.781
34.500000	70.843
35.000000	70.906
35.500000	70.959
36.000000	70.997
36.500000	71.025
37.000000	71.054
37.500000	71.090
38.200001	71.145
38.700001	71.175
39.500000	71.205
40.000000	71.223
40.599998	71.255
41.200001	71.308
41.799999	71.379
42.500000	71.458
43.099998	71.502
43.700001	71.507
44.400002	71.471
45.000000	71.442
45.500000	71.434
46.200001	71.449
46.799999	71.470
47.500000	71.495
48.200001	71.527
48.700001	71.549
49.400002	71.559
50.000000	71.545
50.799999	71.535
51.500000	71.563
52.200001	71.610
53.000000	71.634
53.799999	71.632
54.500000	71.648
55.200001	71.683
56.000000	71.717
57.000000	71.717
58.000000	71.673
59.000000	71.606
60.000000	71.546
60.799999	71.509
61.500000	71.489
62.200001	71.483
63.000000	71.489
64.000000	71.497
65.000000	71.494
66.000000	71.480
67.000000	71.458
68.000000	71.427
69.000000	71.400
70.000000	71.389
71.000000	71.360
72.000000	71.300
73.000000	71.245
74.000000	71.209
75.000000	71.176
76.199997	71.129
77.500000	71.096
78.800003	71.085
80.000000	71.052
81.199997	70.993
82.500000	70.922
83.800003	70.850
85.000000	70.780
86.199997	70.706
87.500000	70.642
88.500000	70.605
90.000000	70.556
91.199997	70.512
92.500000	70.443
93.800003	70.358
95.000000	70.277
96.199997	70.196
97.500000	70.109
98.800003	70.024
100.000000	69.947
101.500000	69.855
103.000000	69.772
104.400002	69.698
106.000000	69.599
107.500000	69.480
109.000000	69.345
110.599998	69.207
112.000000	69.096
113.800003	68.962
115.000000	68.877
117.199997	68.731
118.000000	68.675
120.599998	68.432
122.000000	68.280
124.099998	68.070
125.000000	67.988
126.500000	67.856
128.000000	67.723
131.500000	67.398
132.000000	67.352
134.000000	67.170
136.000000	66.983
138.000000	66.791
140.000000	66.595
143.000000	66.280
145.000000	66.062
147.500000	65.768
150.000000	65.445
152.500000	65.130
155.000000	64.868
157.500000	64.648
160.000000	64.449
162.500000	64.283
165.000000	64.171
167.500000	64.099
170.000000	64.039
172.500000	63.968
175.000000	63.860
177.500000	63.724
180.000000	63.586
182.500000	63.470
185.000000	63.392
187.500000	63.332
190.000000	63.263
192.500000	63.185
195.000000	63.114
197.500000	63.053
200.000000	63.006
203.000000	62.972
206.000000	62.937
209.000000	62.877
212.000000	62.815
214.000000	62.790
218.000000	62.785
220.000000	62.800
224.000000	62.846
227.000000	62.879
230.000000	62.909
233.000000	62.934
236.000000	62.958
240.000000	62.996
243.000000	63.033
247.000000	63.101
250.000000	63.156
254.000000	63.220
258.000000	63.273
262.000000	63.317
265.000000	63.346
269.000000	63.379
272.000000	63.402
276.000000	63.435
280.000000	63.469
285.000000	63.515
290.000000	63.552
295.000000	63.571
300.000000	63.600
304.000000	63.646
307.000000	63.697
311.000000	63.783
315.000000	63.867
320.000000	63.933
325.000000	63.969
330.000000	63.995
335.000000	64.012
340.000000	64.018
345.000000	64.017
350.000000	64.022
355.000000	64.038
360.000000	64.056
365.000000	64.066
370.000000	64.068
375.000000	64.065
382.000000	64.067
387.000000	64.073
395.000000	64.076
400.000000	64.072
406.000000	64.064
412.000000	64.065
418.000000	64.073
425.000000	64.088
431.000000	64.098
