* Measurement data measured by REW V5.20.9
* Source: Microfone (3- USB Sound Device        ), MICROPHONE (Volume geral), R, volume: 0,560
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 5/dez/2022 19:42:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwiears Cadenza R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.828	174.7334
20.600000	70.802	174.3846
20.900000	70.728	173.7015
21.200001	70.621	173.1266
21.400000	70.535	172.8743
21.799999	70.354	172.6580
22.000000	70.271	172.6491
22.400000	70.144	172.6665
22.700001	70.090	172.5817
23.000000	70.070	172.3314
23.299999	70.073	171.9122
23.600000	70.091	171.3606
24.000000	70.124	170.5122
24.299999	70.146	169.8723
24.700001	70.165	169.0963
25.000000	70.168	168.6046
25.400000	70.157	168.0775
25.799999	70.135	167.6653
26.200001	70.108	167.3070
26.500000	70.088	167.0345
26.900000	70.065	166.6345
27.200001	70.049	166.3035
27.600000	70.030	165.8402
28.000000	70.010	165.3883
28.500000	69.982	164.8798
29.000000	69.949	164.4328
29.500000	69.908	164.0141
30.000000	69.862	163.5949
30.400000	69.824	163.2543
30.700001	69.798	162.9972
31.100000	69.769	162.6546
31.500000	69.746	162.3142
32.000000	69.722	161.8937
32.500000	69.698	161.4801
33.000000	69.668	161.0763
33.500000	69.632	160.6908
34.000000	69.593	160.3369
34.500000	69.557	160.0157
35.000000	69.529	159.7047
35.500000	69.504	159.3676
36.000000	69.475	158.9897
36.500000	69.436	158.5946
37.000000	69.389	158.2248
37.500000	69.343	157.9000
38.200001	69.290	157.4847
38.700001	69.259	157.1806
39.500000	69.196	156.6949
40.000000	69.146	156.4229
40.599998	69.083	156.1148
41.200001	69.026	155.7661
41.799999	68.974	155.3566
42.500000	68.916	154.8876
43.099998	68.867	154.5884
43.700001	68.822	154.3864
44.400002	68.774	154.1787
45.000000	68.732	153.9508
45.500000	68.695	153.7189
46.200001	68.636	153.3748
46.799999	68.582	153.1212
47.500000	68.515	152.9187
48.200001	68.449	152.7710
48.700001	68.406	152.6357
49.400002	68.348	152.3430
50.000000	68.301	152.0102
50.799999	68.247	151.5425
51.500000	68.210	151.1845
52.200001	68.177	150.8936
53.000000	68.132	150.6154
53.799999	68.073	150.3578
54.500000	68.014	150.1412
55.200001	67.958	149.9401
56.000000	67.902	149.7434
57.000000	67.837	149.5455
58.000000	67.759	149.3314
59.000000	67.665	149.0611
60.000000	67.575	148.7823
60.799999	67.515	148.5856
61.500000	67.466	148.4417
62.200001	67.415	148.3196
63.000000	67.352	148.1873
64.000000	67.270	148.0057
65.000000	67.188	147.8026
66.000000	67.113	147.6026
67.000000	67.046	147.4359
68.000000	66.986	147.3098
69.000000	66.927	147.1941
70.000000	66.862	147.0450
71.000000	66.792	146.8510
72.000000	66.722	146.6404
73.000000	66.654	146.4548
74.000000	66.587	146.3233
75.000000	66.520	146.2431
76.199997	66.441	146.1752
77.500000	66.353	146.0878
78.800003	66.260	145.9522
80.000000	66.172	145.7904
81.199997	66.087	145.6534
82.500000	66.002	145.5718
83.800003	65.927	145.5410
85.000000	65.866	145.5113
86.199997	65.804	145.4584
87.500000	65.730	145.3947
88.500000	65.669	145.3600
90.000000	65.574	145.3159
91.199997	65.500	145.2613
92.500000	65.422	145.2015
93.800003	65.348	145.1609
95.000000	65.284	145.1388
96.199997	65.225	145.1363
97.500000	65.164	145.1572
98.800003	65.099	145.1942
100.000000	65.033	145.2319
101.500000	64.947	145.2706
103.000000	64.862	145.2947
104.400002	64.784	145.3028
106.000000	64.698	145.2827
107.500000	64.622	145.2452
109.000000	64.548	145.2310
110.599998	64.466	145.2541
112.000000	64.392	145.3032
113.800003	64.301	145.4142
115.000000	64.245	145.5056
117.199997	64.148	145.6508
118.000000	64.112	145.6862
120.599998	63.990	145.7484
122.000000	63.922	145.8019
124.099998	63.826	145.9318
125.000000	63.787	145.9846
126.500000	63.722	146.0533
128.000000	63.657	146.1135
131.500000	63.511	146.3791
132.000000	63.490	146.4337
