* Measurement data measured by REW V5.20.5
* Source: Microfone (2- USB Sound Device        ), MICROPHONE (Volume geral), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 21/abr/2022 21:52:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Tripowin Olina L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	63.942	-151.7858
20.600000	63.947	-152.0221
20.900000	63.960	-152.5226
21.200001	63.976	-153.0766
21.400000	63.989	-153.4542
21.799999	64.019	-154.2236
22.000000	64.036	-154.6138
22.400000	64.069	-155.4047
22.700001	64.094	-155.9981
23.000000	64.116	-156.5806
23.299999	64.136	-157.1465
23.600000	64.155	-157.6949
24.000000	64.179	-158.4029
24.299999	64.198	-158.9222
24.700001	64.223	-159.6040
25.000000	64.242	-160.1075
25.400000	64.266	-160.7646
25.799999	64.289	-161.4003
26.200001	64.311	-162.0137
26.500000	64.326	-162.4616
26.900000	64.344	-163.0479
27.200001	64.355	-163.4827
27.600000	64.368	-164.0584
28.000000	64.378	-164.6283
28.500000	64.389	-165.3247
29.000000	64.397	-165.9879
29.500000	64.402	-166.6032
30.000000	64.405	-167.1672
30.400000	64.408	-167.5911
30.700001	64.410	-167.9023
31.100000	64.415	-168.3216
31.500000	64.419	-168.7569
32.000000	64.426	-169.3316
32.500000	64.432	-169.9356
33.000000	64.438	-170.5517
33.500000	64.442	-171.1602
34.000000	64.445	-171.7451
34.500000	64.447	-172.3007
35.000000	64.450	-172.8298
35.500000	64.452	-173.3381
36.000000	64.454	-173.8266
36.500000	64.455	-174.2927
37.000000	64.456	-174.7360
37.500000	64.456	-175.1628
38.200001	64.451	-175.7542
38.700001	64.445	-176.1833
39.500000	64.430	-176.8797
40.000000	64.421	-177.3123
40.599998	64.411	-177.8193
41.200001	64.401	-178.3067
41.799999	64.390	-178.7737
42.500000	64.375	-179.2990
43.099998	64.361	-179.7370
43.700001	64.346	179.8401
44.400002	64.331	179.3723
45.000000	64.320	178.9907
45.500000	64.310	178.6794
46.200001	64.295	178.2424
46.799999	64.280	177.8569
47.500000	64.263	177.3885
48.200001	64.245	176.9166
48.700001	64.234	176.5969
49.400002	64.219	176.1888
50.000000	64.209	175.8639
50.799999	64.195	175.4330
51.500000	64.180	175.0474
52.200001	64.164	174.6605
53.000000	64.147	174.2245
53.799999	64.128	173.8052
