* Measurement data measured by REW V5.20.9
* Source: Microfone (USB Sound Device        ), MICROPHONE (Volume geral), L, volume: 0,560
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 21/jul/2022 9:26:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tripowin Olina US Half Tan L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.789	-158.2864
20.600000	88.794	-158.5353
20.900000	88.805	-159.0690
21.200001	88.817	-159.6765
21.400000	88.824	-160.0920
21.799999	88.839	-160.9108
22.000000	88.848	-161.2987
22.400000	88.869	-162.0165
22.700001	88.888	-162.5043
23.000000	88.908	-162.9538
23.299999	88.926	-163.3671
23.600000	88.940	-163.7422
24.000000	88.954	-164.1828
24.299999	88.965	-164.4802
24.700001	88.982	-164.8724
25.000000	88.999	-165.2035
25.400000	89.022	-165.7358
25.799999	89.038	-166.3713
26.200001	89.043	-167.0523
26.500000	89.038	-167.5476
26.900000	89.029	-168.1572
27.200001	89.023	-168.5852
27.600000	89.018	-169.1551
28.000000	89.009	-169.7565
28.500000	88.979	-170.5040
29.000000	88.928	-171.0806
29.500000	88.882	-171.3790
30.000000	88.873	-171.5083
30.400000	88.898	-171.6574
30.700001	88.926	-171.8594
31.100000	88.959	-172.2512
31.500000	88.979	-172.7198
32.000000	88.985	-173.2961
32.500000	88.987	-173.8374
33.000000	88.989	-174.4406
33.500000	88.977	-175.1576
34.000000	88.936	-175.8646
34.500000	88.879	-176.3499
35.000000	88.842	-176.5388
35.500000	88.855	-176.5829
36.000000	88.911	-176.7189
36.500000	88.972	-177.0513
37.000000	89.006	-177.4975
37.500000	89.006	-177.9191
38.200001	88.978	-178.3936
38.700001	88.955	-178.7283
39.500000	88.920	-179.3527
40.000000	88.897	-179.7411
40.599998	88.874	179.8463
41.200001	88.853	179.4680
41.799999	88.831	179.0829
42.500000	88.798	178.6145
43.099998	88.768	178.2149
43.700001	88.740	177.8447
44.400002	88.710	177.4847
45.000000	88.688	177.2350
45.500000	88.670	177.0374
46.200001	88.644	176.7368
46.799999	88.620	176.4580
47.500000	88.594	176.1381
48.200001	88.572	175.8358
48.700001	88.555	175.6270
49.400002	88.528	175.3363
50.000000	88.499	175.0768
50.799999	88.459	174.6949
51.500000	88.427	174.3328
52.200001	88.400	173.9775
53.000000	88.372	173.6151
53.799999	88.342	173.3016
54.500000	88.311	173.0478
55.200001	88.277	172.7960
56.000000	88.239	172.5122
57.000000	88.200	172.1974
58.000000	88.168	171.9313
59.000000	88.132	171.6537
60.000000	88.085	171.3241
60.799999	88.040	171.0443
61.500000	87.998	170.8165
62.200001	87.957	170.6173
63.000000	87.911	170.4161
64.000000	87.855	170.1711
65.000000	87.800	169.9096
66.000000	87.747	169.6376
67.000000	87.698	169.3868
68.000000	87.652	169.2064
69.000000	87.612	169.1017
70.000000	87.574	168.9974
71.000000	87.531	168.8248
72.000000	87.482	168.5930
73.000000	87.431	168.3558
74.000000	87.382	168.1679
75.000000	87.335	168.0511
76.199997	87.279	167.9548
77.500000	87.223	167.8080
78.800003	87.170	167.6011
80.000000	87.120	167.4037
81.199997	87.068	167.2180
82.500000	87.009	167.0150
83.800003	86.949	166.8192
85.000000	86.891	166.6707
86.199997	86.830	166.5611
87.500000	86.759	166.4707
88.500000	86.703	166.4051
90.000000	86.623	166.2997
91.199997	86.563	166.2128
92.500000	86.503	166.1281
93.800003	86.445	166.0713
95.000000	86.391	166.0378
96.199997	86.335	165.9954
97.500000	86.270	165.9421
98.800003	86.202	165.9165
100.000000	86.141	165.9300
101.500000	86.069	165.9866
103.000000	85.998	166.0460
104.400002	85.928	166.0522
106.000000	85.843	166.0446
107.500000	85.762	166.1328
109.000000	85.678	166.3210
110.599998	85.591	166.5566
112.000000	85.528	166.7616
113.800003	85.471	167.0036
115.000000	85.439	167.1464
117.199997	85.381	167.4138
118.000000	85.361	167.5182
120.599998	85.304	167.8480
122.000000	85.278	167.9763
124.099998	85.239	168.0622
125.000000	85.220	168.0722
126.500000	85.189	168.0794
128.000000	85.158	168.0922
131.500000	85.076	168.1193
132.000000	85.062	168.1172
134.000000	85.005	168.0905
136.000000	84.940	168.0358
138.000000	84.866	167.9753
140.000000	84.787	167.9469
143.000000	84.669	168.0370
145.000000	84.593	168.1809
147.500000	84.499	168.3834
150.000000	84.404	168.5915
152.500000	84.311	168.8256
155.000000	84.219	169.1101
157.500000	84.127	169.4339
160.000000	84.039	169.7626
162.500000	83.957	170.0789
165.000000	83.882	170.3879
167.500000	83.813	170.6902
170.000000	83.748	170.9836
172.500000	83.688	171.2707
175.000000	83.632	171.5496
177.500000	83.574	171.8315
180.000000	83.512	172.1290
182.500000	83.449	172.4288
185.000000	83.385	172.7190
187.500000	83.319	173.0059
190.000000	83.252	173.2955
192.500000	83.187	173.6021
195.000000	83.128	173.9326
197.500000	83.077	174.2687
200.000000	83.030	174.5914
203.000000	82.973	174.9678
206.000000	82.912	175.3513
209.000000	82.847	175.7448
212.000000	82.778	176.1595
214.000000	82.730	176.4549
218.000000	82.631	177.0938
220.000000	82.584	177.4382
224.000000	82.506	178.1745
227.000000	82.468	178.7437
230.000000	82.442	179.2733
233.000000	82.422	179.7127
236.000000	82.399	-179.9417
240.000000	82.360	-179.5565
243.000000	82.323	-179.2914
247.000000	82.265	-178.9501
250.000000	82.218	-178.6813
254.000000	82.150	-178.2781
258.000000	82.078	-177.8278
262.000000	82.001	-177.3471
265.000000	81.941	-176.9667
269.000000	81.862	-176.4468
272.000000	81.807	-176.0578
276.000000	81.742	-175.5380
280.000000	81.682	-175.0021
285.000000	81.610	-174.2990
290.000000	81.533	-173.5862
295.000000	81.455	-172.8900
300.000000	81.378	-172.2019
304.000000	81.319	-171.6501
307.000000	81.278	-171.2336
311.000000	81.227	-170.6714
315.000000	81.179	-170.0934
320.000000	81.117	-169.3450
325.000000	81.054	-168.5952
330.000000	80.992	-167.8676
335.000000	80.932	-167.1535
340.000000	80.875	-166.4429
345.000000	80.819	-165.7305
350.000000	80.768	-165.0115
355.000000	80.721	-164.2894
360.000000	80.676	-163.5727
365.000000	80.628	-162.8490
370.000000	80.579	-162.1133
375.000000	80.530	-161.3810
382.000000	80.464	-160.3916
387.000000	80.422	-159.7012
395.000000	80.355	-158.5673
400.000000	80.313	-157.8559
406.000000	80.259	-157.0184
412.000000	80.204	-156.1893
418.000000	80.150	-155.3774
425.000000	80.095	-154.4636
431.000000	80.057	-153.6836
437.000000	80.024	-152.8675
444.000000	79.989	-151.8711
450.000000	79.956	-151.0226
455.000000	79.927	-150.3413
462.000000	79.885	-149.4205
468.000000	79.849	-148.6346
475.000000	79.809	-147.6858
482.000000	79.771	-146.7153
487.000000	79.745	-146.0284
494.000000	79.713	-145.0780
500.000000	79.688	-144.2668
508.000000	79.654	-143.1837
515.000000	79.624	-142.2366
522.000000	79.597	-141.2925
530.000000	79.570	-140.2195
538.000000	79.541	-139.1629
545.000000	79.513	-138.2477
552.000000	79.484	-137.3339
560.000000	79.454	-136.2874
570.000000	79.422	-134.9710
580.000000	79.391	-133.6592
