* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -50.7 dBFS, measurement signal peak level -8.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: May 16, 2022 4:01:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0.0327 ms (11 mm, 0.44 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter R with no timing offset
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.084152	-147.2303
20.299999	105.105515	-148.1877
20.600000	105.098236	-149.0862
20.900000	105.067696	-149.8273
21.200001	105.029289	-150.3399
21.400000	105.010956	-150.5631
21.799999	105.005600	-150.8388
22.000000	105.021492	-150.9647
22.400000	105.082108	-151.3497
22.700001	105.134750	-151.8077
23.000000	105.176712	-152.3845
23.299999	105.202126	-153.0001
23.600000	105.213600	-153.5886
24.000000	105.218781	-154.2708
24.299999	105.225342	-154.7148
24.700001	105.243820	-155.2804
25.000000	105.262512	-155.7274
25.400000	105.286407	-156.3686
25.799999	105.303276	-157.0242
26.200001	105.314713	-157.6465
26.500000	105.323486	-158.0821
26.900000	105.339172	-158.6370
27.200001	105.354202	-159.0529
27.600000	105.376221	-159.6247
28.000000	105.396477	-160.2152
28.500000	105.415787	-160.9527
29.000000	105.429291	-161.6543
29.500000	105.440796	-162.3074
30.000000	105.453506	-162.9252
30.400000	105.464577	-163.4095
30.700001	105.472557	-163.7717
31.100000	105.481651	-164.2510
31.500000	105.488777	-164.7194
32.000000	105.496567	-165.2848
32.500000	105.504791	-165.8406
33.000000	105.511917	-166.4044
33.500000	105.515076	-166.9692
34.000000	105.514877	-167.5110
34.500000	105.515541	-168.0269
35.000000	105.518753	-168.5413
35.500000	105.521233	-169.0694
36.000000	105.520241	-169.5908
36.500000	105.518417	-170.0829
37.000000	105.519783	-170.5601
37.500000	105.522430	-171.0537
38.200001	105.517632	-171.7482
38.700001	105.509689	-172.1849
39.500000	105.511497	-172.8085
40.000000	105.519775	-173.2521
40.599998	105.519379	-173.8497
41.200001	105.502998	-174.3967
41.799999	105.487175	-174.8376
42.500000	105.483536	-175.3295
43.099998	105.482758	-175.8106
43.700001	105.475906	-176.3040
44.400002	105.465775	-176.8555
45.000000	105.457428	-177.3329
45.500000	105.447472	-177.7339
46.200001	105.429482	-178.2605
46.799999	105.415878	-178.6743
47.500000	105.404091	-179.1505
48.200001	105.392639	-179.6319
48.700001	105.383652	-179.9697
49.400002	105.371536	179.5743
50.000000	105.363075	179.1875
50.799999	105.350815	178.6525
51.500000	105.334732	178.1949
52.200001	105.318954	177.7679
53.000000	105.300308	177.2583
53.799999	105.269997	176.7840
54.500000	105.249352	176.4471
55.200001	105.236145	176.0386
56.000000	105.196541	175.5464
57.000000	105.156883	175.2641
58.000000	105.172195	174.7548
59.000000	105.145515	174.0507
60.000000	105.121620	173.5006
60.799999	105.099525	173.0050
61.500000	105.077934	172.6577
62.200001	105.072784	172.2847
63.000000	105.052261	171.7000
64.000000	104.986641	171.1924
65.000000	104.959641	170.8915
66.000000	104.936539	170.4009
67.000000	104.906097	170.0162
68.000000	104.895828	169.5037
69.000000	104.851334	168.9348
70.000000	104.813934	168.5248
71.000000	104.761154	168.0248
72.000000	104.706139	167.9674
73.000000	104.752075	167.7459
74.000000	104.747131	166.8175
75.000000	104.657593	166.2924
76.199997	104.608414	165.8286
77.500000	104.451538	165.5773
78.800003	104.524208	166.1085
80.000000	104.527649	164.6679
81.199997	104.352264	164.6178
82.500000	104.414101	164.6265
83.800003	104.400414	162.9443
85.000000	104.096924	162.4270
86.199997	104.100067	163.3788
87.500000	104.001831	162.5902
88.500000	103.974693	163.8526
90.000000	104.231277	162.6790
91.199997	104.139030	161.4928
92.500000	104.027161	160.6006
93.800003	103.952461	160.4711
95.000000	103.941635	159.7147
96.199997	103.832901	159.4950
97.500000	103.845421	159.6403
98.800003	103.838089	159.2209
100.000000	103.791809	158.9709
101.500000	103.721954	158.5464
103.000000	103.628357	158.3173
104.400002	103.600906	158.1044
106.000000	103.579910	157.6227
107.500000	103.536545	157.1396
109.000000	103.425323	156.7521
110.599998	103.293800	157.2395
112.000000	103.299522	157.2298
113.800003	103.212166	156.3956
115.000000	103.103798	155.8018
117.199997	102.939827	155.5304
118.000000	102.942398	155.5790
120.599998	102.920624	154.9182
122.000000	102.926971	154.7903
124.099998	102.836746	154.5058
125.000000	102.785126	154.4508
126.500000	102.718048	154.4596
128.000000	102.648163	154.0868
131.500000	102.517395	153.9737
132.000000	102.524033	153.9745
134.000000	102.447235	153.6558
136.000000	102.359406	153.4766
138.000000	102.276314	153.0489
140.000000	102.180916	152.8613
143.000000	102.113152	152.9189
145.000000	102.035248	152.7555
147.500000	101.913651	152.5682
150.000000	101.834137	152.3634
152.500000	101.771118	152.1268
155.000000	101.687729	152.0305
157.500000	101.605522	152.1551
160.000000	101.576614	152.4318
162.500000	101.543823	152.6898
165.000000	101.508347	152.9370
167.500000	101.474373	152.9297
170.000000	101.438583	152.6546
172.500000	101.415939	152.3472
175.000000	101.395714	151.9478
177.500000	101.343605	151.7277
180.000000	101.282028	151.4073
182.500000	101.213272	151.0914
185.000000	101.154755	150.8265
187.500000	101.084923	150.6294
190.000000	101.008606	150.4457
192.500000	100.934921	150.2338
195.000000	100.864632	150.0319
197.500000	100.795258	149.9429
200.000000	100.721741	149.8268
203.000000	100.631287	149.7307
206.000000	100.548126	149.6804
209.000000	100.463745	149.6313
212.000000	100.381180	149.5945
214.000000	100.327454	149.5969
218.000000	100.222023	149.6779
220.000000	100.168213	149.6773
224.000000	100.088760	149.8023
227.000000	100.033775	149.8322
230.000000	99.986938	149.8588
233.000000	99.939735	149.8052
236.000000	99.894501	149.7625
240.000000	99.822098	149.5834
243.000000	99.755585	149.5466
247.000000	99.672470	149.4483
250.000000	99.603348	149.4002
254.000000	99.513443	149.3282
258.000000	99.425209	149.3459
262.000000	99.334366	149.3494
265.000000	99.261414	149.3577
269.000000	99.182327	149.3724
272.000000	99.121178	149.4252
276.000000	99.028343	149.5355
280.000000	98.947540	149.5943
285.000000	98.842018	149.7363
290.000000	98.739632	149.9621
295.000000	98.653229	150.2488
300.000000	98.576736	150.4631
304.000000	98.526657	150.5812
307.000000	98.483597	150.6528
311.000000	98.423721	150.7207
315.000000	98.362450	150.8218
320.000000	98.283508	150.9172
325.000000	98.201279	151.0117
330.000000	98.125664	151.2585
335.000000	98.049492	151.4110
340.000000	97.960861	151.5567
345.000000	97.893600	151.7616
350.000000	97.821442	151.9701
355.000000	97.757095	152.0766
360.000000	97.694176	152.4140
365.000000	97.612244	152.6266
370.000000	97.542969	152.8284
375.000000	97.474335	152.9816
382.000000	97.405655	153.3276
387.000000	97.336624	153.6558
395.000000	97.253654	153.9350
400.000000	97.193642	154.1331
406.000000	97.120499	154.4172
412.000000	97.053482	154.6885
418.000000	96.986801	154.9700
425.000000	96.911270	155.3241
431.000000	96.849060	155.6180
437.000000	96.785080	155.9251
444.000000	96.719131	156.2966
450.000000	96.659210	156.6037
455.000000	96.612122	156.8671
462.000000	96.543213	157.2529
468.000000	96.492081	157.5671
475.000000	96.433197	157.9332
482.000000	96.373413	158.3432
487.000000	96.332100	158.6129
494.000000	96.272774	159.0171
500.000000	96.228210	159.3521
508.000000	96.170273	159.8086
515.000000	96.117523	160.2183
522.000000	96.069946	160.6147
530.000000	96.015144	161.0831
538.000000	95.964058	161.5668
545.000000	95.918472	161.9833
552.000000	95.876259	162.3954
560.000000	95.830826	162.8814
570.000000	95.775780	163.4948
580.000000	95.723503	164.1163
590.000000	95.675659	164.7431
600.000000	95.630936	165.3643
608.000000	95.597984	165.8719
615.000000	95.569038	166.3175
622.000000	95.544785	166.7593
630.000000	95.514130	167.2762
640.000000	95.482819	167.9282
650.000000	95.455467	168.5914
660.000000	95.432487	169.2427
670.000000	95.410995	169.8997
680.000000	95.392334	170.5565
690.000000	95.378647	171.2301
700.000000	95.369949	171.8907
710.000000	95.360001	172.5536
720.000000	95.359230	173.2244
730.000000	95.359344	173.8609
740.000000	95.361549	174.5355
750.000000	95.369072	175.1771
762.000000	95.385643	175.9640
775.000000	95.404716	176.7991
788.000000	95.434616	177.6166
800.000000	95.465347	178.3763
812.000000	95.501846	179.1002
825.000000	95.546249	179.8696
838.000000	95.594955	-179.3665
850.000000	95.645500	-178.6915
862.000000	95.699387	-178.0359
875.000000	95.764816	-177.3425
885.000000	95.817787	-176.8412
900.000000	95.901825	-176.1009
912.000000	95.971062	-175.5446
925.000000	96.050537	-174.9798
938.000000	96.131660	-174.4281
950.000000	96.212746	-173.9629
962.000000	96.290207	-173.5335
975.000000	96.382568	-173.0679
988.000000	96.471375	-172.6624
1000.000000	96.557388	-172.3220
1015.000000	96.665184	-171.9104
1030.000000	96.776077	-171.5510
1044.000000	96.881676	-171.2583
1060.000000	97.002121	-170.9679
1075.000000	97.114517	-170.7667
1090.000000	97.231674	-170.6006
1106.000000	97.347076	-170.5088
1120.000000	97.448410	-170.4740
1138.000000	97.569305	-170.4758
1150.000000	97.642570	-170.5060
1172.000000	97.763641	-170.6320
1180.000000	97.802757	-170.6868
1206.000000	97.908447	-170.8221
1220.000000	97.954315	-170.8330
1241.000000	98.008057	-170.7464
1250.000000	98.030853	-170.6634
1265.000000	98.071396	-170.4274
1280.000000	98.119186	-170.1148
1315.000000	98.286629	-169.2239
1320.000000	98.317497	-169.0932
1340.000000	98.459076	-168.6446
1360.000000	98.619629	-168.3298
1380.000000	98.788330	-168.1450
1400.000000	98.962021	-168.1097
1430.000000	99.211609	-168.2485
1450.000000	99.371880	-168.4379
1475.000000	99.563004	-168.7451
1500.000000	99.743927	-169.1135
1525.000000	99.915878	-169.5071
1550.000000	100.079399	-169.9155
1575.000000	100.239326	-170.3668
1600.000000	100.395882	-170.8265
1625.000000	100.548477	-171.2868
1650.000000	100.699585	-171.7756
1675.000000	100.848373	-172.2852
1700.000000	100.997917	-172.8193
1725.000000	101.143845	-173.3600
1750.000000	101.291229	-173.9287
1775.000000	101.438126	-174.5280
1800.000000	101.581589	-175.1584
1825.000000	101.726067	-175.8184
1850.000000	101.868301	-176.5219
1875.000000	102.010605	-177.2375
1900.000000	102.149696	-178.0030
1925.000000	102.286896	-178.8040
1950.000000	102.423203	-179.6395
1975.000000	102.555298	179.4955
2000.000000	102.686737	178.5862
2030.000000	102.836571	177.4484
2060.000000	102.982803	176.2618
2090.000000	103.121559	175.0254
2120.000000	103.254189	173.7375
2140.000000	103.338371	172.8582
2180.000000	103.497368	171.0280
2200.000000	103.569191	170.0975
2240.000000	103.701691	168.1763
2270.000000	103.790871	166.6978
2300.000000	103.866394	165.1973
2330.000000	103.931244	163.6746
2360.000000	103.985947	162.1538
2400.000000	104.041992	160.1256
2430.000000	104.072632	158.6224
2470.000000	104.093491	156.6194
2500.000000	104.099136	155.1515
2540.000000	104.091850	153.2355
2580.000000	104.070206	151.3809
2620.000000	104.035095	149.5943
2650.000000	104.001907	148.2913
2690.000000	103.949051	146.6293
2720.000000	103.901230	145.4261
2760.000000	103.834244	143.9041
2800.000000	103.760384	142.4602
2850.000000	103.661400	140.7717
2900.000000	103.559151	139.2007
2950.000000	103.454056	137.7435
3000.000000	103.347336	136.3901
3040.000000	103.261841	135.4087
3070.000000	103.199234	134.7111
3110.000000	103.113068	133.8455
3150.000000	103.031158	133.0570
3200.000000	102.930092	132.1890
3250.000000	102.836273	131.4658
3300.000000	102.758873	130.9485
3350.000000	102.713318	130.6042
3400.000000	102.719604	130.3353
3450.000000	102.783066	129.9019
3500.000000	102.864922	129.1047
3550.000000	102.932457	128.0548
3600.000000	102.977432	126.9084
3650.000000	103.005882	125.7614
3700.000000	103.024681	124.6652
3750.000000	103.042221	123.6158
3820.000000	103.074661	122.2016
3870.000000	103.106964	121.2106
3950.000000	103.180328	119.6552
4000.000000	103.244621	118.6298
4060.000000	103.334091	117.3036
4120.000000	103.433243	115.8195
4180.000000	103.531738	114.1991
4250.000000	103.645111	112.1444
4310.000000	103.739761	110.2930
4370.000000	103.834686	108.2981
4440.000000	103.936653	105.7814
4500.000000	104.011551	103.4593
4550.000000	104.059631	101.4184
4620.000000	104.103546	98.4344
4680.000000	104.118561	95.7581
4750.000000	104.100883	92.5667
4820.000000	104.051712	89.2741
4870.000000	103.989799	86.8946
4940.000000	103.864761	83.5529
5000.000000	103.720581	80.7279
5080.000000	103.476822	77.0732
5150.000000	103.218224	74.0500
5220.000000	102.920509	71.2737
5300.000000	102.549957	68.4451
5380.000000	102.154762	65.9750
5450.000000	101.799446	64.1078
5520.000000	101.427238	62.4688
5600.000000	100.998138	61.3114
5700.000000	100.576416	60.2549
5800.000000	100.173523	59.2704
5900.000000	99.796921	58.5955
6000.000000	99.456116	58.2761
6080.000000	99.214706	58.2054
6150.000000	99.030739	58.2538
6220.000000	98.871574	58.3970
6300.000000	98.724632	58.7172
6400.000000	98.593605	59.2220
6500.000000	98.521072	59.8612
6600.000000	98.513382	60.5643
6700.000000	98.579910	61.3391
6800.000000	98.718575	62.1291
6900.000000	98.934082	62.8746
7000.000000	99.247223	63.5697
7100.000000	99.658676	64.1082
7200.000000	100.188927	64.3820
7300.000000	100.841217	64.2095
7400.000000	101.626762	63.4543
7500.000000	102.568604	61.8251
7620.000000	103.907356	58.1257
7750.000000	105.578568	50.5951
7880.000000	107.230240	37.3593
8000.000000	108.142563	19.3679
8120.000000	107.863014	-0.3737
8250.000000	106.497688	-17.3065
8380.000000	104.821091	-28.1028
8500.000000	103.395721	-34.2934
8620.000000	102.179169	-38.3415
8750.000000	101.101021	-41.4169
8850.000000	100.419846	-43.3109
9000.000000	99.588326	-45.9057
9120.000000	99.039696	-47.9821
9250.000000	98.529320	-50.3229
9380.000000	98.078773	-52.7788
9500.000000	97.697098	-55.1329
9620.000000	97.342163	-57.5173
9750.000000	96.974480	-60.0786
9880.000000	96.634651	-62.5813
10000.000000	96.338852	-64.7029
10150.000000	96.029709	-67.2724
10300.000000	95.764931	-69.7764
10440.000000	95.563911	-71.9890
10600.000000	95.424347	-74.2917
10750.000000	95.382362	-76.3834
10900.000000	95.450333	-78.4915
11060.000000	95.637634	-80.8755
11200.000000	95.924667	-83.1841
11380.000000	96.462982	-86.5599
11500.000000	96.949127	-89.3468
11720.000000	98.090919	-95.8457
11800.000000	98.596146	-98.8587
12060.000000	100.538994	-112.2391
12200.000000	101.711159	-122.7462
12410.000000	103.254974	-144.8661
12500.000000	103.622581	-156.6621
12650.000000	103.565475	-177.5167
12800.000000	102.731720	163.2351
13150.000000	99.757217	131.6011
13200.000000	99.351387	128.2737
13400.000000	97.891533	116.6721
13600.000000	96.738991	106.7179
13800.000000	95.873993	97.6152
14000.000000	95.270836	88.6851
14300.000000	94.852188	75.4229
14500.000000	94.937424	66.0963
14750.000000	95.511856	53.1567
15000.000000	96.711357	37.4821
15250.000000	98.450050	17.2415
15500.000000	100.788147	-10.5162
15750.000000	103.215881	-52.5847
16000.000000	102.934937	-109.0966
16250.000000	99.863022	-154.1110
16500.000000	96.947449	173.2346
16750.000000	94.814560	144.3274
17000.000000	93.296036	115.0879
17250.000000	92.227577	83.2737
17500.000000	91.387787	46.7429
17750.000000	90.410782	3.9430
18000.000000	88.757378	-45.5067
18250.000000	85.857803	-98.7728
18500.000000	81.280388	-151.5037
18750.000000	75.027252	179.1035
19000.000000	77.992783	142.7390
19250.000000	75.940872	58.1721
19500.000000	71.503380	-23.3644
19750.000000	66.287857	-110.1545
