* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -41.6 dBFS, measurement signal peak level -17.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 2, 2022 3:46:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0855 ms (-29 mm, -1.15 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter R with no timing offset
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.470741	176.4050
20.299999	97.448624	175.9996
20.600000	97.428795	175.5669
20.900000	97.407791	175.1037
21.200001	97.382233	174.6215
21.400000	97.361809	174.3030
21.799999	97.314392	173.6974
22.000000	97.288902	173.4195
22.400000	97.238869	172.9166
22.700001	97.204765	172.5693
23.000000	97.173798	172.2250
23.299999	97.143448	171.8729
23.600000	97.111252	171.5181
24.000000	97.063576	171.0659
24.299999	97.026047	170.7649
24.700001	96.979301	170.4193
25.000000	96.949974	170.1796
25.400000	96.917786	169.8409
25.799999	96.885880	169.4549
26.200001	96.846893	169.0539
26.500000	96.813904	168.7791
26.900000	96.772079	168.4624
27.200001	96.747253	168.2324
27.600000	96.721649	167.8642
28.000000	96.690063	167.3772
28.500000	96.615936	166.7072
29.000000	96.506233	166.2581
29.500000	96.407242	166.1660
30.000000	96.361847	166.1862
30.400000	96.354691	166.0410
30.700001	96.349060	165.8008
31.100000	96.324867	165.3995
31.500000	96.284294	165.0349
32.000000	96.237404	164.6986
32.500000	96.212814	164.3279
33.000000	96.186180	163.7567
33.500000	96.124786	163.1072
34.000000	96.035606	162.6440
34.500000	95.957924	162.4109
35.000000	95.908234	162.2021
35.500000	95.862701	161.8712
36.000000	95.797653	161.5329
36.500000	95.724709	161.3522
37.000000	95.671562	161.2922
37.500000	95.640778	161.1723
38.200001	95.591446	160.8066
38.700001	95.537674	160.5535
39.500000	95.454269	160.2929
40.000000	95.410019	160.1133
