* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -52.4 dBFS, measurement signal peak level -22.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Nov 23, 2020 5:47:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0.1612 ms (55 mm, 2.18 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter R with no timing offset
* Measurement: Nov 23
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.751480	-151.2805
20.600000	90.751472	-151.5698
20.900000	90.743050	-151.7915
21.200001	90.740189	-151.9718
21.400000	90.747116	-152.1025
21.799999	90.784119	-152.4531
22.000000	90.812584	-152.6984
22.400000	90.879303	-153.3425
22.700001	90.927406	-153.9127
23.000000	90.966522	-154.4802
23.299999	90.996429	-154.9736
23.600000	91.020798	-155.3551
24.000000	91.052887	-155.6845
24.299999	91.081551	-155.8442
24.700001	91.125595	-156.0350
25.000000	91.158264	-156.2184
25.400000	91.193687	-156.5468
25.799999	91.215698	-156.9484
26.200001	91.227890	-157.3782
26.500000	91.235489	-157.7008
26.900000	91.248711	-158.1268
27.200001	91.262192	-158.4458
27.600000	91.283524	-158.8685
28.000000	91.305725	-159.2717
28.500000	91.332695	-159.7171
29.000000	91.360695	-160.0935
29.500000	91.390778	-160.4382
30.000000	91.419601	-160.7915
30.400000	91.438957	-161.0828
30.700001	91.451141	-161.2993
31.100000	91.465828	-161.5788
31.500000	91.480522	-161.8516
32.000000	91.499428	-162.2003
32.500000	91.516136	-162.5639
33.000000	91.528534	-162.9166
33.500000	91.540070	-163.2264
34.000000	91.557549	-163.4987
34.500000	91.582748	-163.7812
35.000000	91.609642	-164.1118
35.500000	91.630058	-164.4831
36.000000	91.642059	-164.8578
36.500000	91.649757	-165.2156
37.000000	91.657097	-165.5618
37.500000	91.664062	-165.8974
38.200001	91.673233	-166.3080
38.700001	91.683228	-166.5484
39.500000	91.705849	-166.9372
40.000000	91.715736	-167.2193
40.599998	91.719215	-167.5596
41.200001	91.722610	-167.8632
41.799999	91.733444	-168.1566
42.500000	91.750160	-168.5172
43.099998	91.762970	-168.8080
43.700001	91.777885	-169.0777
44.400002	91.793945	-169.4188
45.000000	91.794937	-169.7034
45.500000	91.789391	-169.8611
46.200001	91.795998	-169.9894
46.799999	91.822754	-170.2106
47.500000	91.845062	-170.7194
48.200001	91.836250	-171.2137
48.700001	91.829964	-171.4023
49.400002	91.850525	-171.5541
