* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -28.3 dBFS, measurement signal peak level -20.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jan 1, 2022 10:15:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1118 ms (-38 mm, -1.51 in) using estimated IR delay relative to Acoustic reference on Drop TWS1X R with no timing offset
* Measurement: ANC ON R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.485306	50.8544
20.299999	93.470444	49.4755
20.600000	93.455444	47.9614
20.900000	93.424927	46.3748
21.200001	93.373245	44.8251
21.400000	93.331215	43.8644
21.799999	93.242874	42.1329
22.000000	93.202988	41.3487
22.400000	93.139175	39.8591
22.700001	93.100029	38.7410
23.000000	93.058243	37.6007
23.299999	93.007423	36.4804
23.600000	92.948593	35.4305
24.000000	92.868073	34.1918
24.299999	92.817596	33.3659
24.700001	92.771286	32.3059
25.000000	92.747940	31.4655
25.400000	92.717209	30.2433
25.799999	92.671219	28.9653
26.200001	92.607651	27.7485
26.500000	92.555679	26.9247
26.900000	92.492317	25.9440
27.200001	92.454651	25.2604
27.600000	92.417816	24.3606
28.000000	92.390198	23.4355
28.500000	92.358963	22.2476
29.000000	92.326767	21.0608
29.500000	92.292961	19.8974
30.000000	92.256996	18.7749
30.400000	92.227753	17.9204
30.700001	92.207214	17.3067
31.100000	92.183807	16.5093
31.500000	92.164658	15.7091
32.000000	92.140961	14.6724
32.500000	92.108521	13.6086
33.000000	92.064140	12.5812
33.500000	92.014359	11.6396
34.000000	91.969376	10.7761
34.500000	91.933212	9.9385
35.000000	91.902374	9.0931
35.500000	91.872803	8.2512
36.000000	91.846542	7.4382
36.500000	91.828789	6.6425
37.000000	91.819656	5.8160
37.500000	91.811859	4.9308
38.200001	91.788956	3.6451
38.700001	91.762962	2.7543
39.500000	91.712181	1.4247
40.000000	91.677490	0.6680
40.599998	91.640633	-0.1541
41.200001	91.618515	-0.9515
41.799999	91.604118	-1.8334
42.500000	91.572220	-2.9539
43.099998	91.529953	-3.8435
43.700001	91.495201	-4.6337
44.400002	91.474228	-5.5885
45.000000	91.454422	-6.5132
45.500000	91.425797	-7.2811
46.200001	91.381287	-8.2262
46.799999	91.359360	-8.9722
47.500000	91.342834	-9.9515
48.200001	91.305023	-10.9772
48.700001	91.269157	-11.6125
49.400002	91.234604	-12.3970
50.000000	91.217278	-13.1429
50.799999	91.174995	-14.2327
51.500000	91.124245	-15.0824
52.200001	91.083611	-15.8741
53.000000	91.041092	-16.8206
53.799999	90.997940	-17.7426
54.500000	90.969666	-18.5536
55.200001	90.943863	-19.4424
56.000000	90.896873	-20.5201
57.000000	90.810219	-21.6104
58.000000	90.788368	-22.4705
59.000000	90.770714	-23.9523
60.000000	90.647293	-25.1942
60.799999	90.586365	-25.8220
61.500000	90.550186	-26.5519
62.200001	90.493202	-27.2838
63.000000	90.441193	-28.0087
64.000000	90.384224	-29.0994
65.000000	90.313988	-30.0905
66.000000	90.268623	-31.2180
67.000000	90.172035	-32.3834
68.000000	90.093185	-33.1492
69.000000	90.052521	-34.1327
70.000000	89.967903	-35.2098
71.000000	89.882248	-36.0641
72.000000	89.804031	-37.0293
73.000000	89.699562	-37.9174
74.000000	89.618507	-38.6684
75.000000	89.549522	-39.5660
76.199997	89.450539	-40.6531
77.500000	89.345200	-41.7072
78.800003	89.242752	-42.7949
80.000000	89.131531	-43.6950
81.199997	89.017860	-44.6098
82.500000	88.891914	-45.4198
83.800003	88.782173	-46.5273
85.000000	88.640068	-47.4000
86.199997	88.523575	-48.2512
87.500000	88.386574	-49.0630
88.500000	88.300362	-49.6957
90.000000	88.148453	-50.6461
91.199997	88.027229	-51.2926
92.500000	87.911652	-52.0628
93.800003	87.753922	-52.8305
95.000000	87.647217	-53.3640
96.199997	87.506287	-54.1564
97.500000	87.368629	-54.5477
98.800003	87.249496	-55.3478
100.000000	87.096115	-55.7737
101.500000	86.979691	-56.3313
103.000000	86.824348	-57.0573
104.400002	86.682449	-57.5785
106.000000	86.528610	-58.1057
107.500000	86.371521	-58.6177
109.000000	86.211296	-59.0392
110.599998	86.036171	-59.3970
112.000000	85.898727	-59.6503
113.800003	85.722267	-60.1249
115.000000	85.608513	-60.3173
117.199997	85.409683	-60.5884
118.000000	85.336632	-60.7102
120.599998	85.109154	-60.9865
122.000000	84.982819	-60.9680
124.099998	84.807091	-61.0707
125.000000	84.727783	-61.1373
126.500000	84.619705	-61.0793
128.000000	84.492973	-61.1581
131.500000	84.237434	-60.9459
132.000000	84.209381	-60.8799
134.000000	84.086311	-60.8381
136.000000	83.949234	-60.8227
