* Measurement data measured by REW V5.20
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 11, 2022 4:21:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: sg8 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	108.521988	-1.6533
20.299999	108.479340	-2.4782
20.600000	108.442062	-3.3104
20.900000	108.405792	-4.1582
21.200001	108.366272	-5.0040
21.400000	108.337814	-5.5474
21.799999	108.279495	-6.5616
22.000000	108.252106	-7.0274
22.400000	108.206284	-7.8900
22.700001	108.181114	-8.5043
23.000000	108.162437	-9.1140
23.299999	108.147758	-9.7253
23.600000	108.135559	-10.3379
24.000000	108.121841	-11.1570
24.299999	108.112625	-11.7808
24.700001	108.098907	-12.6396
25.000000	108.083939	-13.3057
25.400000	108.053551	-14.2014
25.799999	108.011375	-15.0635
26.200001	107.963921	-15.8690
26.500000	107.929588	-16.4528
26.900000	107.887314	-17.2487
27.200001	107.855392	-17.8856
27.600000	107.806030	-18.7877
28.000000	107.744629	-19.6973
28.500000	107.659767	-20.7440
29.000000	107.591347	-21.6791
29.500000	107.557022	-22.6329
30.000000	107.548882	-23.7592
30.400000	107.545631	-24.8020
30.700001	107.538956	-25.6355
31.100000	107.522369	-26.7554
31.500000	107.499329	-27.8375
32.000000	107.466873	-29.0957
32.500000	107.434250	-30.2282
33.000000	107.404663	-31.2188
33.500000	107.382660	-32.0741
34.000000	107.370407	-32.8462
34.500000	107.361450	-33.5994
35.000000	107.344681	-34.3480
35.500000	107.313988	-35.0543
36.000000	107.273422	-35.6926
36.500000	107.229340	-36.2951
37.000000	107.181442	-36.9189
37.500000	107.124725	-37.5762
38.200001	107.033028	-38.4918
38.700001	106.971008	-39.1398
39.500000	106.889534	-40.3023
40.000000	106.842377	-41.1192
40.599998	106.789368	-42.1163
41.200001	106.751633	-43.1208
41.799999	106.725616	-44.2036
42.500000	106.681740	-45.5154
43.099998	106.625893	-46.4749
43.700001	106.576538	-47.2101
44.400002	106.542191	-47.9696
45.000000	106.513443	-48.6759
45.500000	106.474518	-49.2728
46.200001	106.398483	-50.0308
