* Measurement data measured by REW V5.20.4
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 2023-maj-29 19:17:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 10mm stainless steel shell (https://www.aliexpress.com/item/1005004029765372.html)  10mm Coaxial graphene DD ( https://item.taobao.com/item.htm?id=561063354087 )  cable soldered directly to driver stock driver damper
* Measurement: 10SS V1
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.856	-167.1464
20.600000	94.873	-168.2939
20.900000	94.870	-169.2549
21.200001	94.864	-169.9366
21.400000	94.869	-170.2554
21.799999	94.900	-170.6882
22.000000	94.920	-170.8725
22.400000	94.958	-171.3112
22.700001	94.968	-171.7467
23.000000	94.957	-172.2714
23.299999	94.928	-172.8542
23.600000	94.889	-173.4641
24.000000	94.838	-174.2691
24.299999	94.811	-174.8295
24.700001	94.801	-175.4812
25.000000	94.813	-175.8880
25.400000	94.847	-176.3371
25.799999	94.884	-176.7258
26.200001	94.905	-177.1022
26.500000	94.904	-177.4017
26.900000	94.883	-177.8678
27.200001	94.859	-178.3184
27.600000	94.824	-179.1254
28.000000	94.785	179.8181
28.500000	94.719	178.3698
29.000000	94.642	177.2813
29.500000	94.595	176.8710
30.000000	94.619	176.8889
30.400000	94.672	176.8238
30.700001	94.704	176.6062
31.100000	94.704	176.1319
31.500000	94.655	175.6072
32.000000	94.564	175.0990
32.500000	94.502	174.7329
33.000000	94.490	174.2928
33.500000	94.495	173.7099
34.000000	94.480	173.1449
34.500000	94.449	172.7578
35.000000	94.422	172.5091
35.500000	94.414	172.2055
36.000000	94.416	171.6992
36.500000	94.411	171.0066
37.000000	94.387	170.2711
37.500000	94.353	169.6153
38.200001	94.303	168.8289
38.700001	94.264	168.2935
39.500000	94.196	167.5770
40.000000	94.174	167.2346
40.599998	94.173	166.7265
41.200001	94.152	166.0339
41.799999	94.086	165.4457
42.500000	94.009	165.0689
43.099998	93.980	164.6604
43.700001	93.946	164.0813
44.400002	93.905	163.5512
45.000000	93.906	163.1721
45.500000	93.909	162.7116
46.200001	93.858	162.1006
46.799999	93.803	161.8937
47.500000	93.781	161.4970
48.200001	93.716	160.6591
48.700001	93.632	160.2557
49.400002	93.582	160.1429
50.000000	93.615	159.7300
50.799999	93.562	158.6878
51.500000	93.439	158.4968
52.200001	93.431	158.5751
53.000000	93.465	157.5999
53.799999	93.355	156.5914
54.500000	93.271	156.6442
55.200001	93.284	156.7085
56.000000	93.264	156.0913
57.000000	93.107	155.3363
58.000000	93.021	154.8604
59.000000	93.003	154.0376
60.000000	92.927	153.3635
60.799999	92.846	153.1302
61.500000	92.794	152.8976
62.200001	92.758	152.4684
63.000000	92.711	151.8304
64.000000	92.621	151.2168
65.000000	92.530	150.9339
66.000000	92.477	150.5985
67.000000	92.443	150.0173
68.000000	92.377	149.3833
69.000000	92.277	148.9259
70.000000	92.186	148.6244
71.000000	92.130	148.3510
72.000000	92.086	147.9637
73.000000	92.018	147.4359
74.000000	91.937	146.9006
75.000000	91.859	146.4590
76.199997	91.769	146.1786
77.500000	91.690	145.8638
78.800003	91.612	145.4051
80.000000	91.554	145.0268
81.199997	91.494	144.6068
82.500000	91.411	144.0715
83.800003	91.313	143.5693
85.000000	91.228	143.1766
86.199997	91.141	142.8678
87.500000	91.050	142.4953
88.500000	90.982	142.2345
90.000000	90.901	141.7996
91.199997	90.805	141.5098
92.500000	90.709	141.2230
93.800003	90.621	140.8744
95.000000	90.548	140.6229
96.199997	90.463	140.3558
97.500000	90.364	140.0377
98.800003	90.284	139.6431
100.000000	90.212	139.3363
101.500000	90.114	139.0494
103.000000	90.017	138.6754
104.400002	89.938	138.3284
106.000000	89.841	138.0910
107.500000	89.756	137.9434
109.000000	89.674	137.6654
110.599998	89.572	137.4047
112.000000	89.474	137.1813
113.800003	89.357	136.7915
115.000000	89.292	136.6006
117.199997	89.182	136.4207
118.000000	89.132	136.4337
120.599998	88.923	136.2357
122.000000	88.843	135.6697
124.099998	88.736	135.4769
125.000000	88.670	135.4334
126.500000	88.544	135.3190
128.000000	88.430	135.0973
131.500000	88.188	134.9158
132.000000	88.145	134.8844
134.000000	87.969	134.7530
136.000000	87.800	134.8243
138.000000	87.614	135.0305
140.000000	87.411	135.2727
143.000000	87.131	136.7432
145.000000	86.971	138.2125
147.500000	86.873	140.9123
150.000000	87.218	143.1813
152.500000	87.673	143.3277
155.000000	87.988	141.2677
157.500000	88.025	139.0858
160.000000	87.936	137.3426
162.500000	87.805	136.0338
165.000000	87.662	135.0901
167.500000	87.513	134.4390
170.000000	87.369	133.9571
172.500000	87.223	133.6523
175.000000	87.084	133.1818
177.500000	86.953	132.9103
180.000000	86.848	132.9135
182.500000	86.722	132.7582
185.000000	86.616	132.5431
187.500000	86.520	132.4677
190.000000	86.412	132.3451
192.500000	86.320	132.2198
195.000000	86.215	132.1347
197.500000	86.088	132.1373
200.000000	85.983	132.2249
203.000000	85.870	131.9424
206.000000	85.748	131.8825
209.000000	85.630	131.8965
212.000000	85.521	131.8397
214.000000	85.442	131.8971
218.000000	85.311	131.9771
220.000000	85.238	131.9448
224.000000	85.095	132.0069
227.000000	84.999	132.0153
230.000000	84.889	131.9825
233.000000	84.779	132.0721
236.000000	84.676	132.0930
240.000000	84.552	132.1433
243.000000	84.455	132.3121
247.000000	84.319	132.4001
250.000000	84.225	132.4604
254.000000	84.118	132.5170
258.000000	83.999	132.6542
262.000000	83.868	132.7389
265.000000	83.786	132.8924
269.000000	83.685	133.0400
272.000000	83.599	133.0730
276.000000	83.481	133.2015
280.000000	83.385	133.3611
285.000000	83.256	133.5147
290.000000	83.109	133.7097
295.000000	82.971	133.8977
300.000000	82.852	134.1857
304.000000	82.749	134.2985
307.000000	82.678	134.4142
311.000000	82.586	134.6301
315.000000	82.492	134.8177
320.000000	82.368	135.1243
325.000000	82.261	135.2666
330.000000	82.161	135.4612
335.000000	82.051	135.8344
340.000000	81.954	136.0845
345.000000	81.859	136.2127
350.000000	81.738	136.4084
355.000000	81.650	136.8289
360.000000	81.566	137.1826
365.000000	81.482	137.4477
370.000000	81.400	137.6307
375.000000	81.316	138.0037
382.000000	81.168	138.5557
387.000000	81.077	138.8679
395.000000	80.920	139.2912
400.000000	80.825	139.5530
406.000000	80.744	139.8523
412.000000	80.657	140.2280
418.000000	80.542	140.7567
425.000000	80.401	141.3872
431.000000	80.333	141.6979
437.000000	80.252	142.0822
444.000000	80.143	142.6378
450.000000	80.062	143.0149
455.000000	80.001	143.3004
462.000000	79.882	143.7717
468.000000	79.804	144.0509
475.000000	79.724	144.6190
482.000000	79.627	145.1696
487.000000	79.571	145.5655
494.000000	79.494	146.0726
500.000000	79.423	146.5502
508.000000	79.323	147.1948
515.000000	79.217	147.6035
522.000000	79.139	148.0881
530.000000	79.055	148.6679
538.000000	78.966	149.3536
545.000000	78.879	149.9857
552.000000	78.803	150.5258
560.000000	78.704	151.1214
570.000000	78.606	151.8988
580.000000	78.509	152.8051
590.000000	78.462	153.4860
600.000000	78.350	154.2492
608.000000	78.273	154.9559
615.000000	78.228	155.5986
622.000000	78.181	156.1267
630.000000	78.119	156.8746
640.000000	78.053	157.7940
650.000000	77.990	158.6241
660.000000	77.926	159.5772
670.000000	77.888	160.2307
680.000000	77.852	160.9894
690.000000	77.766	162.0084
700.000000	77.702	162.8222
710.000000	77.683	163.7143
720.000000	77.647	164.7352
730.000000	77.621	165.6437
740.000000	77.561	166.5765
750.000000	77.518	167.5433
762.000000	77.458	168.7160
775.000000	77.401	169.9083
788.000000	77.400	171.0018
800.000000	77.370	172.1785
812.000000	77.359	173.2911
825.000000	77.354	174.6290
838.000000	77.338	176.0325
850.000000	77.320	177.1238
862.000000	77.319	178.3176
875.000000	77.372	179.4614
885.000000	77.380	-179.5872
900.000000	77.394	-178.1990
912.000000	77.428	-177.1256
925.000000	77.440	-175.8748
938.000000	77.467	-174.6634
950.000000	77.505	-173.4244
962.000000	77.567	-172.2494
975.000000	77.590	-170.9817
988.000000	77.631	-169.6606
1000.000000	77.678	-168.5565
1015.000000	77.735	-167.2431
1030.000000	77.817	-166.0483
1044.000000	77.890	-164.8474
1060.000000	77.977	-163.6080
1075.000000	78.066	-162.5574
1090.000000	78.200	-161.5088
1106.000000	78.293	-160.4285
1120.000000	78.353	-159.7818
1138.000000	78.447	-158.7720
1150.000000	78.510	-158.2457
1172.000000	78.633	-157.2942
1180.000000	78.679	-156.9119
1206.000000	78.831	-155.9338
1220.000000	78.906	-155.5601
1241.000000	79.049	-154.9240
1250.000000	79.102	-154.5996
1265.000000	79.165	-153.9821
1280.000000	79.236	-153.4912
1315.000000	79.417	-152.5647
1320.000000	79.438	-152.4920
1340.000000	79.521	-151.9457
