* Measurement data measured by REW V5,19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 2021-aug-26 11:10:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: stock tips (narrow bore) M + stock cable 3.5mm  Left
* Measurement: Tforce Audio YuanLi L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	89.614	10.865
20.586	89.613	10.735
20.885	89.611	10.442
21.189	89.609	10.079
21.497	89.605	9.660
21.810	89.600	9.189
22.127	89.592	8.662
22.449	89.579	8.073
22.776	89.560	7.426
23.107	89.532	6.736
23.443	89.495	6.028
23.784	89.452	5.334
24.130	89.407	4.676
24.481	89.364	4.063
24.837	89.329	3.485
25.198	89.304	2.922
25.565	89.290	2.351
25.937	89.283	1.757
26.314	89.281	1.128
26.697	89.280	0.457
27.085	89.274	-0.255
27.479	89.258	-0.991
27.879	89.226	-1.711
28.284	89.178	-2.361
28.696	89.120	-2.889
29.113	89.061	-3.283
29.537	89.013	-3.585
29.966	88.980	-3.872
30.402	88.959	-4.219
30.844	88.940	-4.658
31.293	88.916	-5.177
31.748	88.884	-5.735
32.210	88.847	-6.301
32.678	88.808	-6.868
33.154	88.771	-7.443
33.636	88.736	-8.029
34.125	88.703	-8.613
34.621	88.674	-9.177
35.125	88.650	-9.713
35.636	88.632	-10.219
36.154	88.620	-10.682
36.680	88.619	-11.092
37.214	88.634	-11.481
37.755	88.664	-11.958
38.304	88.693	-12.634
38.861	88.688	-13.498
39.427	88.627	-14.379
40.000	88.517	-15.050
40.582	88.385	-15.414
41.172	88.262	-15.557
41.771	88.161	-15.640
42.379	88.076	-15.776
42.995	87.999	-15.998
43.620	87.927	-16.297
44.255	87.857	-16.661
44.898	87.792	-17.077
45.552	87.729	-17.528
46.214	87.670	-17.994
46.886	87.612	-18.451
47.568	87.557	-18.881
48.260	87.504	-19.277
48.962	87.452	-19.643
49.674	87.401	-19.994
50.397	87.348	-20.346
51.130	87.290	-20.712
51.874	87.224	-21.089
52.628	87.151	-21.470
53.394	87.073	-21.846
54.170	86.993	-22.211
54.958	86.915	-22.563
55.758	86.841	-22.908
56.569	86.770	-23.246
57.391	86.701	-23.576
58.226	86.633	-23.891
59.073	86.563	-24.184
59.932	86.492	-24.459
60.804	86.418	-24.722
61.688	86.344	-24.986
62.586	86.267	-25.261
63.496	86.189	-25.548
64.420	86.108	-25.837
65.357	86.026	-26.115
66.307	85.945	-26.372
67.272	85.866	-26.604
68.250	85.789	-26.816
69.243	85.713	-27.018
70.250	85.638	-27.213
71.272	85.562	-27.406
72.309	85.484	-27.601
73.360	85.406	-27.802
