* Measurement data measured by REW V5.20.9
* Source: ASIO MOTU UltraLite-mk5, Mic/Line/Inst In 1. Timing signal peak level -41.8 dBFS, measurement signal peak level -33.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -0.5 dBFS using an acoustic timing reference
* Dated: Aug 15, 2022 8:11:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0319 ms (-11 mm, -0.43 in) using estimated IR delay relative to Acoustic reference on 2: Main Out 2 with no timing offset
* Measurement: Measurement 554
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	77.896	-159.3002
20.299999	77.912	-159.7321
20.600000	77.924	-160.1544
20.900000	77.934	-160.5671
21.200001	77.941	-160.9702
21.400000	77.945	-161.2337
21.799999	77.950	-161.7493
22.000000	77.951	-162.0019
22.400000	77.951	-162.4971
22.700001	77.952	-162.8601
23.000000	77.955	-163.2157
23.299999	77.963	-163.5639
23.600000	77.974	-163.9048
24.000000	77.995	-164.3483
24.299999	78.012	-164.6731
24.700001	78.036	-165.0958
25.000000	78.051	-165.4053
25.400000	78.070	-165.8089
25.799999	78.085	-166.2035
26.200001	78.099	-166.5912
26.500000	78.108	-166.8785
26.900000	78.118	-167.2565
27.200001	78.123	-167.5352
27.600000	78.126	-167.8983
28.000000	78.123	-168.2503
28.500000	78.114	-168.6769
29.000000	78.103	-169.0945
29.500000	78.089	-169.5056
30.000000	78.075	-169.9053
30.400000	78.063	-170.2124
30.700001	78.055	-170.4355
31.100000	78.047	-170.7270
31.500000	78.043	-171.0166
32.000000	78.043	-171.3785
32.500000	78.049	-171.7335
33.000000	78.057	-172.0732
33.500000	78.067	-172.4003
34.000000	78.077	-172.7249
34.500000	78.084	-173.0488
35.000000	78.089	-173.3601
35.500000	78.094	-173.6483
36.000000	78.101	-173.9227
36.500000	78.107	-174.2072
37.000000	78.107	-174.5143
37.500000	78.098	-174.8293
38.200001	78.077	-175.2309
38.700001	78.062	-175.4768
39.500000	78.042	-175.8448
40.000000	78.028	-176.0781
40.599998	78.005	-176.3519
41.200001	77.980	-176.6058
41.799999	77.958	-176.8513
42.500000	77.944	-177.1617
43.099998	77.939	-177.4603
43.700001	77.936	-177.7708
44.400002	77.934	-178.1124
45.000000	77.932	-178.3697
45.500000	77.931	-178.5616
46.200001	77.928	-178.8114
46.799999	77.923	-179.0183
47.500000	77.910	-179.2550
48.200001	77.889	-179.4874
48.700001	77.869	-179.6516
49.400002	77.837	-179.8797
50.000000	77.808	179.9253
50.799999	77.775	179.6624
51.500000	77.751	179.4297
52.200001	77.733	179.1995
53.000000	77.720	178.9449
53.799999	77.715	178.7014
54.500000	77.714	178.4982
55.200001	77.715	178.3023
56.000000	77.714	178.0826
57.000000	77.704	177.8106
58.000000	77.678	177.5459
59.000000	77.639	177.2959
60.000000	77.596	177.0656
60.799999	77.565	176.8890
61.500000	77.542	176.7337
62.200001	77.523	176.5778
63.000000	77.507	176.4028
64.000000	77.496	176.1930
65.000000	77.492	175.9914
66.000000	77.488	175.7958
67.000000	77.481	175.6067
68.000000	77.463	175.4245
69.000000	77.435	175.2470
70.000000	77.398	175.0726
71.000000	77.359	174.9034
72.000000	77.324	174.7434
73.000000	77.298	174.5943
74.000000	77.282	174.4530
75.000000	77.274	174.3147
76.199997	77.266	174.1501
77.500000	77.248	173.9769
78.800003	77.218	173.8095
80.000000	77.181	173.6579
81.199997	77.141	173.5093
82.500000	77.102	173.3555
83.800003	77.077	173.2128
85.000000	77.064	173.0893
86.199997	77.053	172.9698
87.500000	77.034	172.8428
88.500000	77.013	172.7471
90.000000	76.971	172.6078
91.199997	76.936	172.5009
92.500000	76.904	172.3900
93.800003	76.882	172.2850
95.000000	76.868	172.1935
96.199997	76.856	172.1065
97.500000	76.839	172.0164
98.800003	76.814	171.9297
100.000000	76.784	171.8521
101.500000	76.745	171.7582
103.000000	76.714	171.6682
104.400002	76.694	171.5881
106.000000	76.676	171.5017
107.500000	76.657	171.4262
109.000000	76.628	171.3558
110.599998	76.590	171.2847
112.000000	76.558	171.2248
113.800003	76.527	171.1499
115.000000	76.513	171.1013
117.199997	76.490	171.0169
118.000000	76.479	170.9877
120.599998	76.433	170.8991
122.000000	76.408	170.8550
124.099998	76.379	170.7928
125.000000	76.370	170.7674
126.500000	76.353	170.7268
128.000000	76.332	170.6888
131.500000	76.265	170.6107
132.000000	76.256	170.6007
134.000000	76.227	170.5635
136.000000	76.208	170.5299
138.000000	76.188	170.4997
140.000000	76.159	170.4726
143.000000	76.110	170.4297
145.000000	76.082	170.3962
147.500000	76.052	170.3556
150.000000	76.020	170.3323
152.500000	75.991	170.3316
155.000000	75.970	170.3362
157.500000	75.952	170.3354
160.000000	75.931	170.3312
162.500000	75.909	170.3287
165.000000	75.891	170.3305
167.500000	75.872	170.3362
170.000000	75.846	170.3438
172.500000	75.813	170.3517
175.000000	75.774	170.3596
177.500000	75.727	170.3704
180.000000	75.668	170.3867
182.500000	75.605	170.4081
185.000000	75.549	170.4317
187.500000	75.508	170.4551
190.000000	75.485	170.4783
192.500000	75.480	170.5033
195.000000	75.485	170.5313
197.500000	75.490	170.5625
200.000000	75.486	170.5958
203.000000	75.469	170.6375
206.000000	75.445	170.6808
209.000000	75.416	170.7257
212.000000	75.386	170.7728
