* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -2.0 dBFS with no timing reference
* Dated: Dec 17, 2022 4:28:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Blessing 2 Dusk R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.960	22.3864
20.600000	92.009	21.8695
20.900000	92.056	21.3058
21.200001	92.094	20.7556
21.400000	92.114	20.3994
21.799999	92.144	19.7106
22.000000	92.155	19.3762
22.400000	92.171	18.7233
22.700001	92.178	18.2455
23.000000	92.183	17.7758
23.299999	92.186	17.3124
23.600000	92.187	16.8548
24.000000	92.186	16.2531
24.299999	92.184	15.8079
24.700001	92.180	15.2228
25.000000	92.176	14.7907
25.400000	92.170	14.2237
25.799999	92.163	13.6681
26.200001	92.156	13.1237
26.500000	92.150	12.7225
26.900000	92.142	12.1960
27.200001	92.136	11.8068
27.600000	92.127	11.2943
28.000000	92.118	10.7888
28.500000	92.106	10.1662
29.000000	92.093	9.5543
29.500000	92.079	8.9542
30.000000	92.063	8.3675
30.400000	92.051	7.9083
30.700001	92.041	7.5700
31.100000	92.028	7.1272
31.500000	92.014	6.6932
32.000000	91.996	6.1622
32.500000	91.979	5.6422
33.000000	91.961	5.1318
33.500000	91.944	4.6298
34.000000	91.926	4.1362
34.500000	91.908	3.6510
35.000000	91.890	3.1746
35.500000	91.872	2.7071
36.000000	91.853	2.2485
36.500000	91.835	1.7989
37.000000	91.816	1.3575
37.500000	91.798	0.9236
38.200001	91.772	0.3276
38.700001	91.754	-0.0904
39.500000	91.723	-0.7463
40.000000	91.704	-1.1481
40.599998	91.680	-1.6220
41.200001	91.656	-2.0875
41.799999	91.632	-2.5455
42.500000	91.603	-3.0711
43.099998	91.578	-3.5145
43.700001	91.552	-3.9507
44.400002	91.521	-4.4479
45.000000	91.495	-4.8623
45.500000	91.472	-5.1988
46.200001	91.442	-5.6573
46.799999	91.416	-6.0403
47.500000	91.386	-6.4790
48.200001	91.356	-6.9108
48.700001	91.335	-7.2153
49.400002	91.305	-7.6357
50.000000	91.279	-7.9904
50.799999	91.244	-8.4554
51.500000	91.213	-8.8552
52.200001	91.181	-9.2488
53.000000	91.145	-9.6914
53.799999	91.109	-10.1271
54.500000	91.079	-10.5042
55.200001	91.048	-10.8783
56.000000	91.014	-11.3021
57.000000	90.972	-11.8228
58.000000	90.928	-12.3277
59.000000	90.885	-12.8156
60.000000	90.840	-13.2913
60.799999	90.804	-13.6654
61.500000	90.771	-13.9871
62.200001	90.738	-14.3018
63.000000	90.701	-14.6515
64.000000	90.654	-15.0736
65.000000	90.608	-15.4818
66.000000	90.563	-15.8805
67.000000	90.517	-16.2739
68.000000	90.472	-16.6635
69.000000	90.425	-17.0471
70.000000	90.376	-17.4203
71.000000	90.326	-17.7788
72.000000	90.275	-18.1203
73.000000	90.225	-18.4472
74.000000	90.177	-18.7660
75.000000	90.130	-19.0845
76.199997	90.076	-19.4724
77.500000	90.019	-19.8988
78.800003	89.961	-20.3190
80.000000	89.906	-20.6881
81.199997	89.850	-21.0345
82.500000	89.788	-21.3897
83.800003	89.726	-21.7317
85.000000	89.669	-22.0390
86.199997	89.612	-22.3393
87.500000	89.549	-22.6561
88.500000	89.500	-22.8948
90.000000	89.425	-23.2481
91.199997	89.364	-23.5244
92.500000	89.296	-23.8109
93.800003	89.229	-24.0811
95.000000	89.167	-24.3153
96.199997	89.105	-24.5366
97.500000	89.039	-24.7664
98.800003	88.972	-24.9822
100.000000	88.908	-25.1590
101.500000	88.828	-25.3481
103.000000	88.747	-25.5196
104.400002	88.669	-25.6655
106.000000	88.576	-25.7916
107.500000	88.491	-25.8667
109.000000	88.410	-25.9126
110.599998	88.325	-25.9132
112.000000	88.255	-25.8477
113.800003	88.177	-25.6919
115.000000	88.134	-25.5761
117.199997	88.065	-25.3722
118.000000	88.043	-25.2974
120.599998	87.980	-25.0323
122.000000	87.957	-24.8952
124.099998	87.939	-24.7961
125.000000	87.933	-24.8062
126.500000	87.924	-24.8785
128.000000	87.913	-25.0005
131.500000	87.868	-25.4135
132.000000	87.860	-25.4825
134.000000	87.821	-25.7736
136.000000	87.775	-26.0739
138.000000	87.722	-26.3658
140.000000	87.663	-26.6440
143.000000	87.569	-27.0305
145.000000	87.503	-27.2637
147.500000	87.419	-27.5163
150.000000	87.331	-27.7182
152.500000	87.242	-27.8783
155.000000	87.156	-28.0088
157.500000	87.071	-28.1002
160.000000	86.985	-28.1582
162.500000	86.897	-28.1981
165.000000	86.809	-28.2246
167.500000	86.725	-28.2345
170.000000	86.641	-28.2257
172.500000	86.558	-28.1997
175.000000	86.477	-28.1571
177.500000	86.398	-28.0973
180.000000	86.320	-28.0226
182.500000	86.243	-27.9406
185.000000	86.169	-27.8538
187.500000	86.096	-27.7594
190.000000	86.023	-27.6502
192.500000	85.951	-27.5191
195.000000	85.881	-27.3682
197.500000	85.812	-27.2018
200.000000	85.747	-27.0311
203.000000	85.671	-26.8292
206.000000	85.596	-26.6276
209.000000	85.520	-26.4288
212.000000	85.444	-26.2202
214.000000	85.395	-26.0702
218.000000	85.303	-25.7411
220.000000	85.258	-25.5601
224.000000	85.170	-25.1588
227.000000	85.104	-24.8362
230.000000	85.040	-24.5167
233.000000	84.979	-24.2057
236.000000	84.920	-23.8959
240.000000	84.846	-23.4609
243.000000	84.793	-23.1047
247.000000	84.728	-22.6011
250.000000	84.682	-22.2082
254.000000	84.620	-21.6484
258.000000	84.564	-21.0258
262.000000	84.521	-20.3574
265.000000	84.501	-19.8550
269.000000	84.492	-19.2316
272.000000	84.496	-18.8240
276.000000	84.512	-18.3922
280.000000	84.529	-18.0939
