* Measurement data measured by REW V5.20 Beta 9
* Source: In 1-2 (MOTU M Series), LINE_IN (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Oct 9, 2022 12:58:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: IKKO OH10 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	62.861	170.527
20.586	62.857	170.341
20.885	62.848	169.984
21.189	62.836	169.634
21.497	62.822	169.311
21.810	62.806	169.001
22.127	62.790	168.692
22.449	62.775	168.385
22.776	62.759	168.082
23.107	62.746	167.780
23.443	62.734	167.471
23.784	62.723	167.152
24.130	62.710	166.823
24.481	62.696	166.495
24.837	62.679	166.177
25.198	62.662	165.879
25.565	62.645	165.600
25.937	62.630	165.333
26.314	62.617	165.067
26.697	62.604	164.793
27.085	62.590	164.510
27.479	62.573	164.226
27.879	62.554	163.951
28.284	62.534	163.690
28.696	62.513	163.441
29.113	62.494	163.195
29.537	62.477	162.939
29.966	62.459	162.667
30.402	62.439	162.379
30.844	62.418	162.079
31.293	62.393	161.776
31.748	62.368	161.475
32.210	62.342	161.176
32.678	62.315	160.880
33.154	62.287	160.587
33.636	62.259	160.299
34.125	62.230	160.018
34.621	62.201	159.742
35.125	62.173	159.468
35.636	62.144	159.193
36.154	62.115	158.914
36.680	62.083	158.631
37.214	62.051	158.348
37.755	62.016	158.067
38.304	61.981	157.789
38.861	61.946	157.512
39.427	61.913	157.230
40.000	61.881	156.937
40.582	61.849	156.631
41.172	61.815	156.323
41.771	61.782	156.026
42.379	61.749	155.744
42.995	61.717	155.466
43.620	61.685	155.187
44.255	61.649	154.916
44.898	61.610	154.674
45.552	61.569	154.462
46.214	61.530	154.266
46.886	61.492	154.058
47.568	61.456	153.813
48.260	61.417	153.521
48.962	61.374	153.193
49.674	61.327	152.850
50.397	61.280	152.505
51.130	61.235	152.156
51.874	61.191	151.806
52.628	61.146	151.473
53.394	61.102	151.177
54.170	61.059	150.913
54.958	61.016	150.664
55.758	60.970	150.421
56.569	60.920	150.186
57.391	60.866	149.960
58.226	60.812	149.735
59.073	60.759	149.495
59.932	60.709	149.228
60.804	60.660	148.930
61.688	60.612	148.612
62.586	60.565	148.287
63.496	60.517	147.967
64.420	60.465	147.668
65.357	60.407	147.403
66.307	60.344	147.177
67.272	60.280	146.976
68.250	60.213	146.779
69.243	60.146	146.579
70.250	60.080	146.376
71.272	60.018	146.159
72.309	59.961	145.921
73.360	59.907	145.662
74.427	59.853	145.393
75.510	59.799	145.126
76.608	59.745	144.856
77.723	59.687	144.576
78.853	59.623	144.308
80.000	59.555	144.071
81.164	59.485	143.863
82.344	59.410	143.688
83.542	59.331	143.553
84.757	59.249	143.458
85.990	59.167	143.382
87.241	59.089	143.288
88.510	59.014	143.157
89.797	58.944	142.982
91.103	58.884	142.734
92.428	58.823	142.432
93.773	58.757	142.170
95.137	58.689	141.969
96.520	58.618	141.794
97.924	58.542	141.620
99.349	58.463	141.432
100.794	58.382	141.228
102.260	58.300	141.023
103.747	58.219	140.845
105.256	58.136	140.724
106.787	58.055	140.666
108.340	57.977	140.629
109.916	57.901	140.560
111.515	57.822	140.432
113.137	57.739	140.266
114.783	57.661	140.095
116.452	57.584	139.863
118.146	57.494	139.672
119.865	57.405	139.638
121.608	57.332	139.629
123.377	57.259	139.533
125.171	57.172	139.390
126.992	57.073	139.284
128.839	56.967	139.276
130.713	56.864	139.393
132.615	56.776	139.582
134.543	56.703	139.733
136.500	56.637	139.777
138.486	56.566	139.699
140.500	56.483	139.559
142.544	56.397	139.422
144.617	56.314	139.302
146.721	56.233	139.224
148.855	56.154	139.187
151.020	56.075	139.166
153.217	55.998	139.145
155.445	55.927	139.121
157.706	55.860	139.104
160.000	55.795	139.103
162.327	55.735	139.118
164.688	55.686	139.134
167.084	55.642	139.142
169.514	55.590	139.148
171.980	55.512	139.166
174.481	55.400	139.220
177.019	55.263	139.350
179.594	55.119	139.574
182.206	54.988	139.849
184.856	54.875	140.105
187.545	54.773	140.321
190.273	54.675	140.495
193.041	54.577	140.640
195.849	54.478	140.755
198.697	54.379	140.855
201.587	54.280	140.948
204.520	54.183	141.056
