* Measurement data measured by REW V5.20 Beta 9
* Source: In 1-2 (MOTU M Series), LINE_IN (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: May 7, 2023 11:58:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: TRN MT1 MAX (020) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
10.145	40.263	-28.310
10.293	40.387	-29.067
10.443	40.520	-30.335
10.595	40.787	-32.380
10.749	41.092	-34.696
10.905	41.368	-36.741
11.064	41.637	-38.695
11.225	41.899	-40.527
11.388	42.156	-42.268
11.554	42.417	-44.043
11.722	42.679	-45.826
11.892	42.940	-47.605
12.065	43.199	-49.376
12.241	43.455	-51.131
12.419	43.706	-52.877
12.599	43.951	-54.634
12.782	44.188	-56.400
12.968	44.413	-58.181
13.157	44.622	-59.961
13.348	44.812	-61.735
13.543	44.982	-63.451
13.740	45.129	-65.091
13.939	45.256	-66.573
14.142	45.370	-67.874
14.348	45.478	-68.942
14.557	45.599	-69.804
14.768	45.742	-70.473
14.983	45.922	-71.069
15.201	46.135	-71.696
15.422	46.381	-72.451
15.646	46.638	-73.453
15.874	46.890	-74.692
16.105	47.120	-76.163
16.339	47.314	-77.725
16.577	47.477	-79.256
16.818	47.617	-80.650
17.063	47.759	-81.810
17.311	47.930	-82.800
17.563	48.144	-83.738
17.818	48.409	-84.793
18.077	48.708	-86.188
18.340	49.007	-88.013
18.607	49.276	-90.243
18.877	49.491	-92.758
19.152	49.639	-95.336
19.431	49.729	-97.707
19.713	49.787	-99.681
20.000	49.841	-101.171
20.291	49.918	-102.214
20.586	50.031	-102.978
20.885	50.176	-103.709
21.189	50.335	-104.603
21.497	50.482	-105.686
21.810	50.602	-106.826
22.127	50.698	-107.852
22.449	50.787	-108.669
22.776	50.889	-109.297
23.107	51.013	-109.855
23.443	51.152	-110.467
23.784	51.287	-111.192
24.130	51.402	-111.984
24.481	51.493	-112.738
24.837	51.568	-113.368
25.198	51.645	-113.865
25.565	51.734	-114.302
25.937	51.835	-114.775
26.314	51.938	-115.336
26.697	52.035	-115.970
27.085	52.124	-116.619
27.479	52.212	-117.243
27.879	52.306	-117.853
28.284	52.411	-118.500
28.696	52.519	-119.227
29.113	52.623	-120.031
29.537	52.716	-120.863
29.966	52.798	-121.657
30.402	52.876	-122.375
30.844	52.957	-123.015
31.293	53.044	-123.608
31.748	53.139	-124.194
32.210	53.238	-124.807
32.678	53.336	-125.471
33.154	53.426	-126.184
33.636	53.503	-126.918
34.125	53.566	-127.617
34.621	53.624	-128.240
35.125	53.687	-128.796
35.636	53.761	-129.344
36.154	53.845	-129.950
36.680	53.930	-130.639
37.214	54.011	-131.397
37.755	54.084	-132.202
38.304	54.147	-133.029
38.861	54.198	-133.831
39.427	54.242	-134.550
40.000	54.289	-135.173
40.582	54.348	-135.758
41.172	54.415	-136.371
41.771	54.483	-137.022
42.379	54.550	-137.692
42.995	54.617	-138.385
43.620	54.681	-139.114
44.255	54.736	-139.859
44.898	54.784	-140.583
45.552	54.828	-141.271
46.214	54.869	-141.908
46.886	54.915	-142.485
47.568	54.976	-143.068
48.260	55.045	-143.763
48.962	55.105	-144.589
49.674	55.147	-145.462
50.397	55.179	-146.306
51.130	55.208	-147.112
51.874	55.239	-147.904
52.628	55.267	-148.674
53.394	55.295	-149.374
54.170	55.331	-150.002
54.958	55.376	-150.627
55.758	55.420	-151.281
56.569	55.458	-151.936
57.391	55.490	-152.590
58.226	55.514	-153.244
59.073	55.534	-153.887
59.932	55.554	-154.533
60.804	55.573	-155.191
61.688	55.597	-155.854
62.586	55.626	-156.542
63.496	55.654	-157.262
64.420	55.678	-157.991
65.357	55.693	-158.704
66.307	55.702	-159.392
67.272	55.707	-160.053
68.250	55.711	-160.710
69.243	55.713	-161.375
70.250	55.718	-162.008
71.272	55.736	-162.693
72.309	55.740	-163.446
73.360	55.732	-164.040
74.427	55.742	-164.517
75.510	55.765	-165.073
76.608	55.779	-165.711
77.723	55.782	-166.378
78.853	55.781	-167.049
80.000	55.777	-167.724
81.164	55.770	-168.382
82.344	55.757	-168.998
83.542	55.739	-169.547
84.757	55.715	-170.054
85.990	55.686	-170.543
87.241	55.661	-171.038
