* Measurement data measured by REW V5.19
* Source: Microphone (USB Sound Device        ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 30, 2021 7:42:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FiiO FH5s L Treble
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	113.926	-164.9985
20.299999	113.929	-165.4894
20.600000	113.933	-165.9578
20.900000	113.936	-166.4283
21.200001	113.940	-166.8947
21.400000	113.942	-167.2004
21.799999	113.945	-167.7962
22.000000	113.946	-168.0850
22.400000	113.949	-168.6429
22.700001	113.951	-169.0475
23.000000	113.953	-169.4441
23.299999	113.954	-169.8328
23.600000	113.954	-170.2118
24.000000	113.953	-170.6994
24.299999	113.952	-171.0521
24.700001	113.950	-171.5100
25.000000	113.948	-171.8490
25.400000	113.943	-172.2980
25.799999	113.937	-172.7415
26.200001	113.929	-173.1756
26.500000	113.922	-173.4948
26.900000	113.913	-173.9139
27.200001	113.905	-174.2251
27.600000	113.895	-174.6359
28.000000	113.885	-175.0417
28.500000	113.872	-175.5431
29.000000	113.860	-176.0424
29.500000	113.848	-176.5383
30.000000	113.834	-177.0218
30.400000	113.823	-177.3950
30.700001	113.815	-177.6674
31.100000	113.805	-178.0231
31.500000	113.795	-178.3718
32.000000	113.782	-178.7980
32.500000	113.768	-179.2126
33.000000	113.754	-179.6171
33.500000	113.738	179.9872
34.000000	113.722	179.6019
34.500000	113.705	179.2283
35.000000	113.687	178.8640
35.500000	113.670	178.5049
36.000000	113.652	178.1483
36.500000	113.635	177.7928
37.000000	113.617	177.4383
37.500000	113.598	177.0869
38.200001	113.571	176.6082
38.700001	113.551	176.2791
39.500000	113.521	175.7715
40.000000	113.503	175.4607
40.599998	113.481	175.0906
41.200001	113.458	174.7257
41.799999	113.435	174.3715
42.500000	113.407	173.9728
43.099998	113.383	173.6372
43.700001	113.360	173.3043
44.400002	113.331	172.9211
45.000000	113.305	172.6004
45.500000	113.284	172.3414
46.200001	113.254	171.9917
46.799999	113.228	171.6985
47.500000	113.197	171.3643
48.200001	113.167	171.0516
48.700001	113.147	170.8371
49.400002	113.121	170.5220
50.000000	113.098	170.2305
50.799999	113.062	169.8478
51.500000	113.029	169.5413
52.200001	112.997	169.2448
53.000000	112.962	168.9057
53.799999	112.926	168.5797
