* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 09-Nov-2022 10:53:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Hexa L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	80.692	30.6256
20.299999	80.710	29.8759
20.600000	80.725	29.1305
20.900000	80.738	28.3951
21.200001	80.747	27.6783
21.400000	80.752	27.2141
21.799999	80.761	26.3186
22.000000	80.766	25.8852
22.400000	80.775	25.0388
22.700001	80.783	24.4147
23.000000	80.790	23.7965
23.299999	80.795	23.1874
23.600000	80.798	22.5923
24.000000	80.800	21.8281
24.299999	80.801	21.2783
24.700001	80.803	20.5708
25.000000	80.805	20.0518
25.400000	80.807	19.3673
25.799999	80.806	18.6895
26.200001	80.803	18.0251
26.500000	80.799	17.5408
26.900000	80.791	16.9170
27.200001	80.784	16.4648
27.600000	80.775	15.8792
28.000000	80.765	15.3091
28.500000	80.753	14.6153
29.000000	80.740	13.9395
29.500000	80.728	13.2750
30.000000	80.715	12.6148
30.400000	80.702	12.0915
30.700001	80.692	11.7060
31.100000	80.676	11.2074
31.500000	80.660	10.7299
32.000000	80.640	10.1602
32.500000	80.622	9.6101
33.000000	80.605	9.0696
33.500000	80.588	8.5361
34.000000	80.569	8.0128
34.500000	80.549	7.5033
35.000000	80.528	7.0104
35.500000	80.506	6.5361
36.000000	80.483	6.0804
36.500000	80.460	5.6407
37.000000	80.438	5.2120
37.500000	80.417	4.7894
38.200001	80.386	4.2029
38.700001	80.362	3.7892
39.500000	80.321	3.1512
40.000000	80.294	2.7762
40.599998	80.263	2.3499
41.200001	80.234	1.9371
41.799999	80.206	1.5263
42.500000	80.171	1.0528
43.099998	80.139	0.6654
43.700001	80.107	0.3003
44.400002	80.071	-0.1068
45.000000	80.041	-0.4488
45.500000	80.015	-0.7288
46.200001	79.979	-1.1073
46.799999	79.949	-1.4175
47.500000	79.916	-1.7705
48.200001	79.884	-2.1232
48.700001	79.861	-2.3780
49.400002	79.828	-2.7385
50.000000	79.798	-3.0460
50.799999	79.752	-3.4335
51.500000	79.710	-3.7310
52.200001	79.669	-3.9896
53.000000	79.627	-4.2644
53.799999	79.584	-4.5327
54.500000	79.546	-4.7450
55.200001	79.511	-4.9262
56.000000	79.478	-5.1259
57.000000	79.441	-5.4162
58.000000	79.401	-5.7190
59.000000	79.365	-6.0109
60.000000	79.330	-6.3333
60.799999	79.297	-6.5964
61.500000	79.267	-6.8032
62.200001	79.237	-6.9896
63.000000	79.205	-7.1981
64.000000	79.163	-7.4561
65.000000	79.120	-7.6903
66.000000	79.078	-7.9139
67.000000	79.036	-8.1416
68.000000	78.993	-8.3606
69.000000	78.949	-8.5700
70.000000	78.906	-8.7687
71.000000	78.865	-8.9558
72.000000	78.825	-9.1377
73.000000	78.784	-9.3060
74.000000	78.745	-9.4601
75.000000	78.706	-9.6050
76.199997	78.660	-9.7692
77.500000	78.609	-9.9479
78.800003	78.557	-10.1053
80.000000	78.511	-10.2378
81.199997	78.467	-10.3730
82.500000	78.419	-10.5098
83.800003	78.374	-10.6362
85.000000	78.333	-10.7502
86.199997	78.291	-10.8530
87.500000	78.246	-10.9448
88.500000	78.213	-11.0085
90.000000	78.164	-11.1016
91.199997	78.124	-11.1678
92.500000	78.081	-11.2251
93.800003	78.041	-11.2804
95.000000	78.004	-11.3313
96.199997	77.968	-11.3751
97.500000	77.932	-11.4167
98.800003	77.897	-11.4661
100.000000	77.863	-11.5108
101.500000	77.821	-11.5479
103.000000	77.781	-11.5801
104.400002	77.743	-11.6085
106.000000	77.700	-11.6261
107.500000	77.663	-11.6347
109.000000	77.628	-11.6458
110.599998	77.591	-11.6612
112.000000	77.557	-11.6776
113.800003	77.513	-11.6840
115.000000	77.485	-11.6849
117.199997	77.437	-11.7072
118.000000	77.418	-11.7137
120.599998	77.360	-11.6971
122.000000	77.331	-11.6745
124.099998	77.288	-11.6517
125.000000	77.270	-11.6445
126.500000	77.238	-11.6349
128.000000	77.208	-11.6257
131.500000	77.139	-11.5722
132.000000	77.130	-11.5612
134.000000	77.095	-11.5166
136.000000	77.060	-11.4726
138.000000	77.025	-11.4212
140.000000	76.992	-11.3594
143.000000	76.943	-11.2722
145.000000	76.911	-11.2188
147.500000	76.872	-11.1657
150.000000	76.834	-11.1131
152.500000	76.795	-11.0429
155.000000	76.757	-10.9703
157.500000	76.720	-10.8960
160.000000	76.686	-10.8217
162.500000	76.654	-10.7354
165.000000	76.621	-10.6501
167.500000	76.584	-10.5664
170.000000	76.549	-10.4760
172.500000	76.516	-10.3912
175.000000	76.485	-10.3095
177.500000	76.455	-10.2217
180.000000	76.428	-10.1277
182.500000	76.400	-10.0282
185.000000	76.371	-9.9290
187.500000	76.340	-9.8353
190.000000	76.310	-9.7491
192.500000	76.282	-9.6675
195.000000	76.254	-9.5675
197.500000	76.229	-9.4505
200.000000	76.204	-9.3358
203.000000	76.173	-9.2126
206.000000	76.139	-9.0914
209.000000	76.106	-8.9585
212.000000	76.074	-8.8204
214.000000	76.053	-8.7275
218.000000	76.013	-8.5292
220.000000	75.994	-8.4166
224.000000	75.958	-8.1729
227.000000	75.932	-7.9902
230.000000	75.907	-7.8203
233.000000	75.884	-7.6449
236.000000	75.864	-7.4603
240.000000	75.837	-7.2153
243.000000	75.819	-7.0298
247.000000	75.798	-6.7719
250.000000	75.783	-6.5702
254.000000	75.771	-6.3012
