* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 27-May-2022 10:58:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic B to A at 1,000 Hz A = May 27 B = May 27 B was scaled by -0.5 dB and shifted by 0.000 ms to align a 0.1 degree phase difference
* Measurement: MACH 20 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.856	19.6392
20.299999	92.853	19.4227
20.600000	92.854	19.2267
20.900000	92.859	19.0322
21.200001	92.867	18.8257
21.400000	92.872	18.6804
21.799999	92.883	18.3787
22.000000	92.888	18.2267
22.400000	92.898	17.9285
22.700001	92.906	17.7100
23.000000	92.916	17.4913
23.299999	92.926	17.2679
23.600000	92.936	17.0391
24.000000	92.948	16.7308
24.299999	92.956	16.5045
24.700001	92.965	16.2169
25.000000	92.971	16.0123
25.400000	92.980	15.7494
25.799999	92.989	15.4923
26.200001	92.997	15.2421
26.500000	93.002	15.0633
26.900000	93.008	14.8405
27.200001	93.013	14.6837
27.600000	93.021	14.4803
28.000000	93.031	14.2711
28.500000	93.042	13.9918
29.000000	93.049	13.7017
29.500000	93.052	13.4196
30.000000	93.053	13.1563
30.400000	93.054	12.9573
30.700001	93.054	12.8125
31.100000	93.055	12.6244
31.500000	93.056	12.4433
32.000000	93.056	12.2308
32.500000	93.058	12.0347
33.000000	93.062	11.8504
33.500000	93.067	11.6720
34.000000	93.074	11.4965
34.500000	93.083	11.3241
35.000000	93.093	11.1518
35.500000	93.105	10.9695
36.000000	93.118	10.7660
36.500000	93.129	10.5387
37.000000	93.136	10.2979
37.500000	93.139	10.0597
38.200001	93.138	9.7496
38.700001	93.136	9.5438
39.500000	93.132	9.2283
40.000000	93.129	9.0400
40.599998	93.124	8.8278
41.200001	93.120	8.6309
41.799999	93.118	8.4436
42.500000	93.117	8.2278
43.099998	93.117	8.0395
43.700001	93.117	7.8461
44.400002	93.116	7.6174
45.000000	93.114	7.4257
45.500000	93.110	7.2735
46.200001	93.106	7.0742
46.799999	93.101	6.9142
47.500000	93.097	6.7364
48.200001	93.094	6.5646
48.700001	93.092	6.4431
49.400002	93.091	6.2699
50.000000	93.090	6.1158
50.799999	93.087	5.9036
51.500000	93.083	5.7180
52.200001	93.078	5.5400
53.000000	93.071	5.3532
53.799999	93.064	5.1862
54.500000	93.061	5.0493
55.200001	93.059	4.9099
56.000000	93.058	4.7383
57.000000	93.054	4.5094
58.000000	93.047	4.2833
59.000000	93.038	4.0716
60.000000	93.028	3.8783
60.799999	93.021	3.7375
61.500000	93.015	3.6189
62.200001	93.011	3.4994
63.000000	93.006	3.3609
64.000000	93.000	3.1851
65.000000	92.994	3.0003
66.000000	92.986	2.8093
67.000000	92.976	2.6281
68.000000	92.965	2.4654
69.000000	92.957	2.3115
70.000000	92.949	2.1586
71.000000	92.941	2.0116
72.000000	92.934	1.8683
73.000000	92.927	1.7224
74.000000	92.920	1.5719
75.000000	92.911	1.4192
76.199997	92.899	1.2416
77.500000	92.886	1.0613
78.800003	92.874	0.8899
80.000000	92.864	0.7397
81.199997	92.854	0.5985
82.500000	92.845	0.4457
83.800003	92.834	0.2871
85.000000	92.822	0.1398
86.199997	92.809	-0.0040
87.500000	92.797	-0.1580
88.500000	92.787	-0.2736
90.000000	92.774	-0.4377
91.199997	92.764	-0.5554
92.500000	92.753	-0.6764
93.800003	92.741	-0.8019
95.000000	92.729	-0.9196
96.199997	92.716	-1.0381
97.500000	92.703	-1.1699
98.800003	92.692	-1.3018
100.000000	92.681	-1.4184
101.500000	92.667	-1.5473
103.000000	92.654	-1.6626
104.400002	92.641	-1.7737
106.000000	92.624	-1.9089
107.500000	92.609	-2.0419
109.000000	92.594	-2.1725
110.599998	92.579	-2.2980
112.000000	92.568	-2.4009
113.800003	92.551	-2.5263
115.000000	92.539	-2.6037
117.199997	92.517	-2.7514
118.000000	92.509	-2.8105
120.599998	92.483	-3.0052
122.000000	92.470	-3.0983
124.099998	92.450	-3.2236
125.000000	92.441	-3.2718
126.500000	92.426	-3.3463
128.000000	92.410	-3.4227
131.500000	92.371	-3.6123
132.000000	92.366	-3.6395
134.000000	92.346	-3.7476
136.000000	92.327	-3.8458
138.000000	92.306	-3.9334
140.000000	92.283	-4.0166
143.000000	92.245	-4.1273
145.000000	92.220	-4.1915
147.500000	92.191	-4.2587
150.000000	92.162	-4.3064
152.500000	92.131	-4.3350
155.000000	92.096	-4.3402
157.500000	92.059	-4.2980
160.000000	92.026	-4.1747
162.500000	92.004	-3.9478
165.000000	92.008	-3.6528
167.500000	92.043	-3.4295
170.000000	92.096	-3.4397
172.500000	92.139	-3.6974
175.000000	92.154	-4.0681
177.500000	92.143	-4.4274
180.000000	92.118	-4.7203
182.500000	92.088	-4.9462
185.000000	92.057	-5.1253
187.500000	92.025	-5.2686
190.000000	91.994	-5.3875
192.500000	91.962	-5.4899
195.000000	91.932	-5.5804
197.500000	91.905	-5.6559
200.000000	91.882	-5.7117
203.000000	91.858	-5.7554
206.000000	91.834	-5.7905
209.000000	91.808	-5.8353
212.000000	91.780	-5.8899
214.000000	91.761	-5.9290
218.000000	91.723	-6.0039
220.000000	91.704	-6.0342
224.000000	91.668	-6.0799
227.000000	91.641	-6.1025
230.000000	91.614	-6.1156
233.000000	91.589	-6.1192
236.000000	91.564	-6.1182
240.000000	91.531	-6.1225
243.000000	91.506	-6.1316
247.000000	91.474	-6.1423
250.000000	91.451	-6.1454
254.000000	91.419	-6.1481
258.000000	91.387	-6.1429
262.000000	91.355	-6.1176
265.000000	91.331	-6.0927
269.000000	91.301	-6.0621
272.000000	91.278	-6.0412
276.000000	91.247	-6.0176
280.000000	91.215	-5.9978
285.000000	91.176	-5.9666
290.000000	91.138	-5.9144
295.000000	91.099	-5.8275
300.000000	91.061	-5.7321
304.000000	91.030	-5.6595
307.000000	91.005	-5.6082
311.000000	90.972	-5.5420
315.000000	90.939	-5.4692
320.000000	90.897	-5.3601
325.000000	90.854	-5.2090
330.000000	90.810	-4.9953
335.000000	90.766	-4.7200
340.000000	90.724	-4.3926
345.000000	90.689	-3.9885
350.000000	90.674	-3.4938
355.000000	90.693	-2.9950
360.000000	90.747	-2.6584
365.000000	90.808	-2.5984
370.000000	90.846	-2.7650
375.000000	90.852	-2.9987
382.000000	90.824	-3.2529
387.000000	90.790	-3.3689
395.000000	90.735	-3.4651
400.000000	90.702	-3.4592
406.000000	90.666	-3.3928
412.000000	90.631	-3.2802
418.000000	90.596	-3.1462
425.000000	90.556	-2.9800
431.000000	90.524	-2.8373
437.000000	90.494	-2.6987
444.000000	90.462	-2.5333
450.000000	90.435	-2.3776
455.000000	90.413	-2.2403
462.000000	90.383	-2.0461
468.000000	90.357	-1.8718
475.000000	90.327	-1.6500
482.000000	90.299	-1.4177
487.000000	90.281	-1.2529
494.000000	90.255	-1.0303
500.000000	90.234	-0.8418
508.000000	90.208	-0.5857
515.000000	90.185	-0.3513
522.000000	90.163	-0.1083
530.000000	90.139	0.1801
538.000000	90.115	0.4800
545.000000	90.096	0.7403
552.000000	90.077	0.9914
560.000000	90.057	1.2762
570.000000	90.034	1.6545
580.000000	90.012	2.0554
590.000000	89.991	2.4628
600.000000	89.972	2.8712
608.000000	89.958	3.1943
615.000000	89.948	3.4729
622.000000	89.939	3.7562
630.000000	89.929	4.0910
640.000000	89.916	4.5302
650.000000	89.905	4.9864
660.000000	89.897	5.4437
670.000000	89.893	5.8961
680.000000	89.891	6.3468
690.000000	89.891	6.8048
700.000000	89.894	7.2726
710.000000	89.897	7.7527
720.000000	89.903	8.2402
730.000000	89.911	8.7359
740.000000	89.921	9.2422
750.000000	89.934	9.7498
762.000000	89.956	10.3443
775.000000	89.986	10.9815
788.000000	90.021	11.6382
800.000000	90.059	12.2555
812.000000	90.099	12.8696
825.000000	90.148	13.5262
838.000000	90.203	14.1820
850.000000	90.259	14.7817
862.000000	90.320	15.3692
875.000000	90.393	15.9881
885.000000	90.455	16.4506
900.000000	90.555	17.1144
912.000000	90.640	17.6205
925.000000	90.738	18.1416
938.000000	90.839	18.6353
950.000000	90.937	19.0621
962.000000	91.039	19.4490
975.000000	91.154	19.8219
988.000000	91.271	20.1674
1000.000000	91.379	20.4730
1015.000000	91.515	20.7817
1030.000000	91.655	20.9716
1044.000000	91.788	21.0730
1060.000000	91.940	21.1185
1075.000000	92.082	21.0915
1090.000000	92.223	20.9980
1106.000000	92.373	20.8245
1120.000000	92.500	20.6141
1138.000000	92.660	20.2749
1150.000000	92.763	20.0087
1172.000000	92.943	19.4491
1180.000000	93.007	19.2226
1206.000000	93.205	18.3951
1220.000000	93.306	17.8980
1241.000000	93.450	17.0992
1250.000000	93.509	16.7383
1265.000000	93.602	16.1095
1280.000000	93.690	15.4514
1315.000000	93.872	13.8358
1320.000000	93.896	13.5953
1340.000000	93.985	12.6087
1360.000000	94.065	11.5894
1380.000000	94.137	10.5443
1400.000000	94.199	9.4747
1430.000000	94.274	7.8313
1450.000000	94.311	6.7248
1475.000000	94.342	5.3356
1500.000000	94.357	3.9400
1525.000000	94.358	2.5514
1550.000000	94.344	1.1851
1575.000000	94.316	-0.1484
1600.000000	94.272	-1.4313
1625.000000	94.214	-2.6480
1650.000000	94.145	-3.7949
1675.000000	94.068	-4.8755
1700.000000	93.984	-5.8909
1725.000000	93.891	-6.8345
1750.000000	93.790	-7.6929
1775.000000	93.683	-8.4648
1800.000000	93.571	-9.1537
1825.000000	93.457	-9.7632
1850.000000	93.343	-10.2960
1875.000000	93.229	-10.7530
1900.000000	93.116	-11.1418
1925.000000	93.005	-11.4700
1950.000000	92.895	-11.7380
1975.000000	92.788	-11.9516
2000.000000	92.682	-12.1133
2030.000000	92.558	-12.2420
2060.000000	92.438	-12.3098
2090.000000	92.324	-12.3254
2120.000000	92.216	-12.2931
2140.000000	92.146	-12.2463
2180.000000	92.015	-12.1016
2200.000000	91.952	-12.0054
2240.000000	91.833	-11.7568
2270.000000	91.748	-11.5188
2300.000000	91.669	-11.2458
2330.000000	91.597	-10.9398
2360.000000	91.531	-10.6008
2400.000000	91.452	-10.0957
2430.000000	91.400	-9.6765
2470.000000	91.339	-9.0647
2500.000000	91.299	-8.5576
2540.000000	91.257	-7.8043
2580.000000	91.231	-6.9549
2620.000000	91.229	-6.0149
2650.000000	91.248	-5.2688
2690.000000	91.306	-4.2931
2720.000000	91.371	-3.6352
2760.000000	91.476	-2.9203
2800.000000	91.587	-2.3874
2850.000000	91.720	-1.8653
2900.000000	91.853	-1.3966
2950.000000	91.996	-0.9597
3000.000000	92.153	-0.5723
3040.000000	92.290	-0.3142
3070.000000	92.398	-0.1618
3110.000000	92.551	-0.0273
3150.000000	92.713	0.0190
3200.000000	92.925	-0.0539
3250.000000	93.147	-0.2841
3300.000000	93.376	-0.6859
3350.000000	93.614	-1.2680
3400.000000	93.862	-2.0504
3450.000000	94.124	-3.1050
3500.000000	94.393	-4.5582
3550.000000	94.649	-6.5188
3600.000000	94.864	-8.9991
3650.000000	95.014	-11.9062
3700.000000	95.085	-15.0909
3750.000000	95.073	-18.3860
3820.000000	94.925	-22.9059
3870.000000	94.731	-25.9081
3950.000000	94.296	-30.0705
4000.000000	93.962	-32.1765
4060.000000	93.518	-34.1541
4120.000000	93.045	-35.5314
4180.000000	92.557	-36.3340
4250.000000	91.985	-36.5951
4310.000000	91.504	-36.2914
4370.000000	91.040	-35.5438
4440.000000	90.528	-34.1600
4500.000000	90.122	-32.5825
4550.000000	89.810	-31.0246
4620.000000	89.420	-28.5197
4680.000000	89.132	-26.1168
4750.000000	88.858	-23.0715
4820.000000	88.653	-19.8432
4870.000000	88.551	-17.4746
4940.000000	88.471	-14.1383
