* Measurement data measured by REW V5.19
* Source: Microphone (USB Sound Device        ), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: 16-Nov-2021 22:03:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Old R old tip
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	72.989	65.3131
20.299999	73.183	64.7469
20.600000	73.352	64.3974
20.900000	73.497	64.2249
21.200001	73.621	64.1872
21.400000	73.694	64.2121
21.799999	73.815	64.3183
22.000000	73.864	64.3611
22.400000	73.937	64.3490
22.700001	73.965	64.2273
23.000000	73.967	64.0257
23.299999	73.945	63.7882
23.600000	73.907	63.5329
24.000000	73.856	63.1307
24.299999	73.829	62.7003
24.700001	73.812	61.8436
25.000000	73.802	60.9762
25.400000	73.779	59.6250
25.799999	73.750	58.2719
26.200001	73.740	57.0931
26.500000	73.766	56.3299
26.900000	73.854	55.3802
27.200001	73.953	54.6322
27.600000	74.106	53.5256
28.000000	74.252	52.3404
28.500000	74.394	50.9612
29.000000	74.495	49.9338
29.500000	74.584	49.2966
30.000000	74.677	48.8723
30.400000	74.746	48.5452
30.700001	74.789	48.2752
31.100000	74.827	47.8952
31.500000	74.847	47.5183
32.000000	74.857	47.0467
32.500000	74.862	46.5006
33.000000	74.862	45.8230
33.500000	74.856	45.0507
34.000000	74.855	44.2514
34.500000	74.872	43.4333
35.000000	74.909	42.5712
35.500000	74.954	41.6865
36.000000	75.004	40.8497
36.500000	75.059	40.1088
37.000000	75.120	39.4593
37.500000	75.179	38.8749
38.200001	75.245	38.1419
38.700001	75.277	37.6679
39.500000	75.303	36.9463
40.000000	75.313	36.4910
40.599998	75.327	35.9232
41.200001	75.347	35.3282
41.799999	75.369	34.7126
42.500000	75.397	33.9728
43.099998	75.421	33.3239
43.700001	75.444	32.6818
44.400002	75.471	31.9692
45.000000	75.492	31.3965
45.500000	75.511	30.9451
46.200001	75.539	30.3450
46.799999	75.562	29.8422
47.500000	75.583	29.2551
48.200001	75.594	28.6747
48.700001	75.596	28.2618
49.400002	75.596	27.6772
50.000000	75.601	27.1801
50.799999	75.618	26.5469
51.500000	75.639	26.0181
52.200001	75.658	25.5092
53.000000	75.670	24.9632
53.799999	75.677	24.4486
54.500000	75.685	24.0013
55.200001	75.694	23.5444
56.000000	75.700	23.0115
57.000000	75.699	22.3381
58.000000	75.695	21.6740
59.000000	75.699	21.0354
60.000000	75.711	20.4304
60.799999	75.718	19.9781
61.500000	75.720	19.6120
62.200001	75.720	19.2730
63.000000	75.723	18.8967
64.000000	75.728	18.4022
65.000000	75.726	17.8782
66.000000	75.720	17.3531
67.000000	75.716	16.8425
68.000000	75.715	16.3573
69.000000	75.710	15.9160
70.000000	75.704	15.5084
71.000000	75.696	15.1104
72.000000	75.685	14.7116
73.000000	75.676	14.3182
74.000000	75.675	13.9137
75.000000	75.677	13.4942
76.199997	75.673	13.0244
77.500000	75.665	12.5468
78.800003	75.646	12.0915
80.000000	75.626	11.7111
81.199997	75.612	11.3413
82.500000	75.600	10.9370
83.800003	75.591	10.5497
85.000000	75.588	10.2053
86.199997	75.581	9.8518
87.500000	75.563	9.4687
88.500000	75.543	9.1879
90.000000	75.513	8.7872
91.199997	75.492	8.4861
92.500000	75.478	8.1905
93.800003	75.469	7.9214
95.000000	75.463	7.6780
96.199997	75.455	7.4201
97.500000	75.440	7.1214
98.800003	75.416	6.8258
100.000000	75.392	6.5775
101.500000	75.370	6.2879
103.000000	75.355	5.9961
104.400002	75.345	5.7375
106.000000	75.331	5.4628
107.500000	75.312	5.2159
109.000000	75.286	4.9743
110.599998	75.257	4.7211
112.000000	75.238	4.5085
113.800003	75.221	4.2428
